geneid	dist
977	5695402
978	5695402
992	8607935
1024	13655499
1430	13909983
1711	5695402
1712	5695402
2011	5209966
3124	3562424
3855	5031675
3911	11986485
4202	5031675
4208	14728345
4275	5031675
4374	5031675
4378	6716359
4416	25326756
4448	258850
4475	1487079
4513	5031675
4544	11040357
4546	11040357
4676	18224241
4716	3868911
4717	5031675
4734	258850
4747	5031675
4750	258850
4772	14728345
4827	258850
4828	14728345
4841	14728345
4857	5987425
4867	25326756
4901	3943578
4919	3494553
5051	17202084
5059	2162200
5085	15880045
5098	7558092
5143	12546763
5151	17396370
5161	5977927
5198	10834701
5216	13304234
5242	7493279
5249	7232346
5264	909327
5266	16933516
5291	16504363
5302	3496975
5305	9168689
5357	12750732
5362	17222055
5401	14282753
5467	14269488
5470	2191720
5471	14116590
5505	15501903
5506	7395875
5522	13193999
5546	8201632
5562	17312225
5599	5319014
5608	13185656
5654	11450437
5670	7851787
5691	11604057
5697	17419666
5705	11024663
5740	8356588
5748	13862695
5772	3675471
5780	6174586
5785	8617929
5798	8206841
5820	14989781
5837	20322564
5854	250429
5877	10195712
5879	10267433
5898	10250
5912	10900511
5913	11861295
5914	13241994
5916	14592422
5921	7661186
5930	15220031
5939	10409615
5951	18737955
5993	7557197
6004	7762928
6012	5636390
6050	14146671
6054	4297717
6061	17024830
6095	8336343
6101	3012189
6106	14413341
6117	13642229
6120	15907463
6121	14972048
6144	16727330
6160	8856300
6179	14446040
6195	2779851
6198	5337551
6201	14282753
6204	15118745
6206	13228230
6228	14419759
6230	16109040
6267	14931523
6276	11579830
6278	6174296
6291	11131959
6304	15348380
6308	8864928
6316	9084276
6329	5636390
6338	11155750
6351	6220050
6360	8899110
6391	759831
6401	11735708
6416	750922
6429	19811633
6441	15074515
6469	10906619
6470	11735708
6474	10464405
6504	8566164
6514	4904614
6538	16197007
6552	13067708
6567	8240346
6597	20888824
6653	7582657
6658	10348873
6663	16810282
6667	845516
6676	1083667
6689	12938974
6709	14475280
6722	12976907
6723	15937003
6731	11730705
6745	7887560
6760	10320377
6771	8252826
6784	4257295
6809	10007950
6816	19970024
6820	12112241
6821	9296242
6834	3459166
6839	4241970
6847	2626737
6861	11735708
6890	2218115
6916	17061087
6918	5790871
6920	4714227
6923	14374215
6931	8255272
6939	3822899
6946	16732718
6952	15806462
6953	17941207
6974	17718441
6986	2817307
6987	12849302
6988	18129877
6997	11851980
7005	12255963
7007	13283366
7013	1067816
7014	1165209
7045	15158569
7052	8520776
7058	5185049
7066	17222055
7084	18239216
7098	15820531
7108	19224774
7119	9186054
7144	10397462
7158	1288150
7166	5436034
7176	8276468
7179	10593507
7183	14318539
7190	4728207
7222	5055081
7237	3947732
7258	17511266
7264	16451753
7299	10410114
7301	9462274
7306	176143
7312	2626737
7327	2972164
7333	29492352
7338	9290799
7346	9864964
7353	13803933
7385	4519452
7411	23906252
7425	10360848
7426	7861025
7428	3119709
7430	8368240
7443	16241754
7455	7748627
7462	9411187
7469	29492352
7496	16750430
7498	14214255
7499	587461
7503	8918902
7511	8529170
7525	17417797
7536	13115064
7540	2773408
7546	17371440
7562	2626737
7580	3273262
7583	2943784
7590	596753
7595	14993182
7606	29492352
7611	16752448
7637	2731764
7648	19198283
7649	1165209
7659	148122
7688	12178237
7692	6228557
7701	3106316
7709	2959349
7714	11162998
7719	2970964
7733	9197182
7738	7545348
7739	16421259
7741	10890417
7760	5295336
7761	5143
7773	16906885
7776	7498242
7777	17447462
7791	4849054
7808	11735708
7816	6332753
7829	17686433
7832	7905611
7834	10674941
7854	9128439
7863	29492352
7882	14106964
7887	594458
7900	1159484
7918	7806777
7919	18797559
7923	2400132
7926	6332039
7933	12790665
7937	2526101
7938	8516892
7987	10407120
7993	18185592
8006	7843698
8007	4519452
8013	23699453
8018	10454017
8019	17810613
8031	8214234
8042	17211159
8044	8672092
8061	13691401
8071	4855269
8082	12998230
8083	7508047
8096	14997716
8097	5354218
8101	4250576
8117	9278428
8120	13127365
8148	13969896
8153	9914652
8160	5298940
8163	18204717
8170	9962369
8172	12771527
8189	1204559
8203	24138628
8207	9159549
8219	7773949
8236	13462164
8244	14728296
8245	7796792
8247	4385521
8255	32402077
8286	14244815
8297	14425554
8312	1052993
8321	12193314
8336	2191720
8378	4264596
8394	7788829
8397	10483455
8411	31803111
8413	13322239
8415	12048618
8430	12144722
8431	12523698
8438	8368240
8447	1019641
8450	16510075
8455	1799336
8459	13860020
8462	14960465
8463	4984690
8465	8389290
8488	11530524
8500	16436
8505	12257780
8510	16445571
8526	8897413
8553	10824114
8561	8735079
8563	12175189
8571	30396294
8579	2042658
8582	19526308
8600	8437059
8603	29492352
8623	8832522
8635	13196093
8636	383951
8641	9357978
8656	1869446
8657	9571308
8662	11104403
8663	3335164
8665	7261684
8674	8114768
8675	8740432
8677	12251610
8691	1099093
8698	17593155
8702	11530524
8709	9117485
8710	6482316
8723	9359995
8730	1025306
8742	5203427
8745	17554929
8746	33271559
8751	6971473
8759	950152
8761	4895964
8768	19057203
8771	3392487
8782	1487079
8789	9324291
8792	15933897
8795	14585495
8796	6215309
8805	10777504
8827	1025306
8832	5253677
8833	14225249
8850	14264831
8862	1025306
8885	14546441
8898	14555455
8919	2651974
8921	17569989
8928	3273738
8950	2351783
8964	15227584
8965	10796234
8974	5607189
8986	16683351
8999	9101934
9007	14211493
9012	5019867
9019	17770406
9020	11873204
9026	15883123
9027	5734308
9040	6197139
9043	12137397
9045	4955879
9047	19126419
9052	11907475
9077	7811355
9079	7309134
9094	4731406
9095	8468469
9106	10890417
9108	15710859
9119	17550563
9155	6470245
9173	1905595
9178	17957043
9209	6271837
9214	14485131
9226	18616275
9228	5159757
9232	3511930
9238	10753804
9248	9064160
9260	19656718
9265	14136284
9267	4511
9269	15440672
9270	18208228
9287	28068135
9288	11449123
9291	12153506
9299	2626737
9317	12295766
9327	11437475
9338	12277355
9341	14722612
9345	15012388
9348	14688718
9366	5695402
9376	5695402
9379	5695402
9383	11549278
9390	5695402
9408	10623746
9410	1884825
9414	3376566
9442	11284049
9448	10890573
9449	2306104
9458	11638128
9466	9306466
9474	30396294
9485	3840807
9495	2314592
9504	14840684
9519	14577825
9534	8302862
9539	5223800
9541	5235306
9554	4519452
9577	5257057
9578	12882633
9583	301519
9587	14720953
9602	6189280
9603	5206112
9617	149648
9621	16454036
9625	10353625
9636	9206271
9638	14562863
9648	11741157
9652	18120132
9655	7856424
9657	12265720
9661	16455907
9668	2092378
9670	5734317
9678	16455907
9683	11494039
9692	16594197
9716	16033019
9718	15325955
9722	12528132
9729	17217730
9735	9114570
9741	16398541
9744	15356767
9748	18802486
9752	2199067
9758	6132779
9759	15172696
9770	15288332
9772	1460857
9774	14425272
9779	6147780
9790	270146
9793	3279820
9794	6471780
9798	2651974
9806	3188220
9808	7876851
9810	11474559
9811	17577009
9813	3499833
9827	2651974
9851	3543846
9852	8263589
9853	3878182
9864	924891
9878	17205207
9880	9661445
9893	4241970
9902	583275
9922	6787340
9930	12701158
9944	826145
9950	8844414
9954	8690009
9960	8358871
9961	5136633
9986	15285649
9990	5336363
10007	1946776
10008	14582256
10018	5820660
10021	17765859
10026	12850676
10033	826145
10037	814050
10054	14714598
10061	8342067
10070	5327099
10071	8843889
10075	18110035
10076	18783335
10079	10411213
10086	13642229
10088	15192669
10091	18610145
10107	16457590
10112	5373601
10121	8864029
10122	9296242
10123	14640121
10127	16907100
10128	4984690
10134	9171704
10145	20322564
10167	13322745
10171	19224774
10172	6569699
10187	14832497
10195	6470359
10203	13813763
10205	15252832
10206	11474836
10209	12231918
10212	14660910
10228	15353630
10233	14663571
10236	11313404
10245	9780023
10254	21049579
10262	14712556
10264	2290367
10269	11424029
10276	6737690
10282	3584549
10286	12458526
10287	14370574
10293	14856266
10296	358163
10298	98628
10301	7610264
10307	19327452
10317	16517403
10322	16932141
10323	858252
10324	7877582
10326	1411171
10331	15718610
10334	9268475
10335	17472205
10336	19516873
10341	6615032
10346	6470655
10347	9199292
10350	2848951
10356	152104
10357	9076964
10363	4328304
10374	7787153
10376	14485131
10393	4346326
10405	6626538
10406	17610099
10410	3533280
10436	12005164
10444	2969733
10447	7583026
10472	15453642
10489	17405616
10493	9740385
10540	26135511
10561	11645864
10566	8280707
10567	16781002
10607	16744524
10608	14953724
10610	14953890
10632	6343008
10633	16746785
10637	10522754
10664	2108880
10665	16468230
10672	18096538
10685	14475280
10694	5313141
10702	4413979
10704	2651974
10713	14091580
10716	9852247
10727	5209445
10739	14046020
10743	12989364
10765	15568189
10766	11120302
10772	5497372
10774	15980714
10806	2005190
10814	10185
10819	13610962
10833	7826464
10838	5684102
10844	10907989
10845	16713840
10872	5516742
10875	1411171
10879	1411171
10882	15612982
10891	10427
10900	6116614
10905	5878102
10907	5593488
10908	17925980
10912	11351214
10914	6727056
10918	13359121
10925	14339455
10928	18346151
10936	9261273
10938	5598421
10967	23365032
10969	5412093
10977	1825355
10980	6250360
10983	23134859
10997	8998458
10998	17202084
11004	8655195
11009	16676559
11011	16442570
11021	2132573
11031	121780
11032	13966488
11036	13335280
11038	10010828
11040	9955844
11053	17021855
11056	25064226
11060	134860
11061	3243161
11067	8124744
11075	11953437
11077	15406048
11089	17040202
11099	4731736
11101	8550043
11102	8943632
11106	595014
11109	20513724
11114	11419724
11120	9411357
11123	718687
11124	16593880
11125	8274169
11129	17120680
11131	15933897
11140	9300754
11141	1427371
11163	9659162
11167	11742456
11169	17671101
11172	16481808
11173	10046768
11177	2477955
11188	25051938
11193	15296863
11195	12658
11197	18097005
11209	8902476
11214	4247756
11216	6209056
11225	8550539
11226	3607999
11233	10089679
11236	14388775
11237	10035154
11242	5613600
11243	3800205
11249	723315
11257	15695140
11263	15561949
11289	14917267
11291	2234704
11297	6191256
11299	14364730
11300	4791938
11311	20299802
11320	237854
11322	13671735
11326	9685796
11329	15551446
11331	5017585
11335	17616302
11343	9790242
11344	8124140
11349	8937381
11351	2651974
11363	5299214
11366	9766962
11371	12308061
11378	6930767
11379	15847712
11386	5838712
11396	9719657
11399	10102996
11405	1411171
11410	11767038
11414	12338529
11415	14110781
11417	2102618
11419	11340184
11425	8982185
11430	12111181
11433	7457142
11436	8843003
11445	8420887
11458	7949881
11459	16244081
11463	16413313
11464	7090631
11465	13452317
11481	13888580
11482	25291
11484	17005986
11486	4709541
11487	16311047
11490	17968216
11491	4772456
11493	8597074
11497	3102755
11498	14496883
11499	8440419
11500	6556700
11504	8685306
11505	1693519
11507	4864613
11511	17873896
11513	3285299
11516	15814112
11518	18787715
11524	5827598
11541	3974809
11542	7787606
11543	13585202
11544	15688888
11546	5897976
11547	18753656
11548	2989765
11561	2746720
11564	4052533
11574	16491460
11575	14394564
11579	11911733
11585	7914798
11590	4851889
11591	9440375
11592	1411171
11604	11684575
11614	5549386
11617	13521397
11619	15504357
11620	364345
11625	5057763
11627	11399026
11628	5357348
11636	15477667
11638	13331107
11643	5304573
11646	18663948
11647	9703295
11650	18663948
11652	1980313
11653	2257135
11654	411576
11657	18663948
11659	5067142
11670	10568523
11671	666571
11679	14691185
11680	13942829
11685	2472255
11691	6349925
11694	872444
11695	12531179
11696	409727
11704	6128086
11713	12320853
11716	2774410
11724	1411171
11726	5721656
11727	8251795
11728	7720928
11734	172108
11739	14856974
11741	14388775
11743	15629420
11744	2976598
11765	13098763
11775	5063429
11780	13230253
11783	494405
11786	9000166
11787	11254007
11789	1334015
11800	3166110
11801	25311802
11805	12558612
11807	8044182
11810	11427094
11812	17606060
11821	3287697
11826	12558612
11829	4148654
11831	17510863
11832	65167
11847	2588738
11856	3064789
11873	7209241
11893	3474133
11897	107915
11900	3331439
11908	11902229
11911	5286070
11912	2316609
11917	10494528
11922	1108316
11924	2229665
11938	12100744
11944	10044180
11945	1805332
11946	15941212
11954	6408093
11963	17594924
11964	12793637
11969	15272514
11987	6089954
11996	13421589
12003	14005556
12008	9245635
12011	10382909
12013	13820171
12016	8665767
12019	1135250
12024	15755963
12025	17866716
12027	14575741
12035	16352117
12038	16405663
12041	16375419
12044	7046986
12045	7905865
12047	3097057
12048	16643240
12049	6531816
12050	8552672
12054	13158035
12060	1137215
12064	7502594
12069	3834068
12083	4765645
12087	11245073
12088	9149253
12091	18113957
12092	11328064
12095	13137836
12100	9661995
12102	12081302
12106	18590810
12109	8600452
12111	10670564
12125	11470318
12131	5793371
12136	23000005
12137	16025219
12146	2536823
12157	12921782
12163	4517995
12166	7796792
12185	3882682
12210	19234806
12212	14827570
12222	6742058
12262	5722151
12268	16899139
12269	18106159
12275	3575406
12280	19258929
12293	3916662
12294	19234806
12308	6343008
12316	10637096
12325	5280615
12327	11435618
12331	18663948
12334	181865
12341	937999
12343	12589655
12345	7569361
12350	8089138
12351	3905528
12370	12375921
12373	15124144
12379	5859097
12383	11656347
12384	28709961
12387	13088272
12388	7110887
12389	1995004
12391	16214
12392	14083792
12396	5705842
12404	4708751
12412	13851815
12415	12729472
12417	11103061
12421	4708751
12426	9206271
12428	6979958
12429	6979958
12430	6979958
12431	28696000
12434	4850162
12435	9327491
12452	16553080
12459	8501880
12463	9186574
12464	6167502
12468	16047226
12469	11073207
12470	11446987
12478	8955364
12479	18496993
12484	8333524
12485	3666634
12490	11429537
12491	7027223
12492	8760230
12493	9595536
12497	6100727
12500	6212084
12501	14431557
12502	1004871
12513	11033035
12515	14998246
12517	2703949
12530	1946643
12531	1476770
12534	4885000
12551	6835714
12553	4136163
12556	1279829
12570	15204623
12575	5635574
12576	15902394
12579	5673492
12582	12251835
12583	6307146
12589	4863681
12595	17929424
12602	15024175
12606	18345744
12610	26208002
12619	2924377
12624	5115852
12625	4831634
12637	13680911
12658	1819577
12662	1294306
12668	18764554
12670	26201412
12672	5299072
12682	9191387
12683	18179283
12686	10426330
12688	8079264
12690	8644145
12698	659370
12699	11591934
12701	17137366
12707	7727255
12711	4829213
12717	161417
12729	24726048
12734	3056102
12737	16428959
12741	18663948
12762	1368794
12765	5358040
12766	26227337
12767	1185109
12779	9495182
12783	9689311
12790	14810020
12805	14097051
12810	17333071
12817	1145319
12822	819505
12829	4171985
12833	11697761
12845	14638984
12846	25308199
12847	804946
12852	4618890
12853	13915348
12857	16380391
12863	15501903
12865	7060611
12866	17904826
12877	1272372
12878	10187712
12891	11308527
12892	14683881
12898	2111469
12900	7675800
12901	5753237
12904	3675471
12905	17942912
12907	14282753
12921	18379025
12925	2977968
12934	14658758
12936	22199658
12944	5031675
12947	377618
12949	10585218
12950	9974848
12955	16510075
12957	1141210
12958	1303676
12973	3529449
12975	1213458
12977	12405039
12987	29987374
12988	6141048
12992	7362229
12998	7582657
13006	784576
13010	8409849
13016	29983817
13017	29985674
13018	29985674
13021	9806101
13023	6316087
13026	8580059
13029	6723103
13033	24715369
13042	4759315
13050	646130
13053	1159484
13054	1411171
13058	8760230
13059	11790223
13063	18863978
13067	439940
13070	5317277
13071	22104176
13073	17080266
13075	12578630
13086	9272608
13088	29725645
13096	10311110
13097	15071396
13098	15228223
13103	1842896
13111	14009782
