geneid	dist
559	3633
564	4876
572	6802
575	7627
582	7355
590	6672
594	5821
605	5117
614	3537
619	1736
624	1139
992	81164
1024	49733
1325	163
1430	41190193
2011	70500174
2929	188129
2932	208811
3124	86919129
3150	39441
3152	208811
3159	123361
3911	70434472
4104	85965697
4208	34891662
4378	191505
4416	32254
4448	103457
4475	88123464
4544	86475779
4546	86475779
4548	384089
4714	384089
4734	103457
4750	103457
4756	9481
4772	34891662
4827	103457
4828	34891662
4841	34891662
4856	658659
4867	32254
4881	78575301
4901	70288699
4919	68771691
5007	84318898
5051	15524441
5059	17456528
5085	15591101
5098	17571936
5143	16627914
5151	336276
5161	16521363
5197	68099399
5198	18819837
5216	19770027
5234	51029921
5242	17388965
5249	16620158
5264	516224
5266	22756985
5280	16383412
5291	19871651
5302	120406
5305	19836104
5357	215387
5362	15505730
5369	20072298
5401	68065854
5467	239023
5468	61895943
5470	50678590
5471	126362119
5493	39441
5505	67440487
5506	16970007
5522	39509000
5546	57789705
5557	10446
5562	18618728
5608	39459447
5654	21767
5670	131325152
5691	69851492
5697	685952
5705	173482
5740	59100433
5748	756080
5780	56105677
5785	82493315
5798	57813695
5820	39340874
5837	68050171
5854	61452809
5877	61732273
5879	395757
5898	69728853
5913	1704570
5914	39681762
5916	61326529
5930	40272146
5939	654733
5951	126461736
5993	37875810
6004	131623488
6012	441793
6050	126429918
6054	61711656
6061	62971317
6101	70237981
6106	88651949
6117	76250464
6120	24005347
6121	39316797
6137	98581
6144	6319
6160	71408277
6179	88594188
6195	13829461
6198	41532185
6201	68065854
6204	57829351
6206	39618270
6215	361640
6228	88638102
6230	1805694
6266	81690680
6267	53487072
6276	22978730
6278	402228
6291	707489
6304	57775538
6308	70852116
6316	20212646
6329	441793
6338	16598082
6351	56375577
6360	70767330
6401	26703
6416	13763349
6429	62048102
6441	42836505
6470	26703
6474	774043
6514	43440796
6552	87495042
6567	58229869
6597	37182999
6639	522875
6653	23478
6658	96690599
6663	205200
6667	61245467
6689	82912520
6709	67218436
6722	88432978
6723	40321399
6731	17329007
6760	485028
6771	58339260
6784	84789601
6795	61895943
6808	18742194
6813	31478
6816	236511
6820	536692
6821	68018461
6834	435725
6839	61884945
6850	559
6855	31478
6861	26703
6863	58901570
6890	50723905
6891	509730
6898	129531625
6902	522875
6905	128040360
6913	559
6920	15208
6923	98866248
6931	75009318
6936	581346
6938	581346
6939	741457
6942	581346
6943	509730
6946	21287672
6952	59301835
6953	231418
6974	1868
6986	127467066
6987	97542236
6988	129400123
6990	98930610
6997	19738
7005	375195
7007	86209844
7013	59310556
7014	22820
7058	61605632
7066	15505730
7084	138892
7094	581346
7108	35305402
7119	130521413
7144	614934
7146	581346
7148	581346
7158	131642601
7166	4421
7179	30029
7190	71223675
7222	98195952
7258	36854176
7264	127122615
7299	278514
7301	129571214
7306	39830
7327	20176185
7338	129110778
7346	74374713
7353	75670808
7380	509730
7385	21750643
7425	569423
7426	23650610
