geneid	dist
992	325059
1024	276388
1325	11777325
1430	34207275
2011	12152011
2932	1799
3152	1799
3159	19727
3911	9263103
3990	1018857
4104	4623386
4208	39604163
4378	5364683
4416	4896
4448	12805973
4475	6485717
4548	5561570
4714	5561570
4734	12805973
4750	12805973
4772	39604163
4827	12805973
4828	39604163
4841	39604163
4867	4896
4881	2718149
4901	9326278
4919	10587300
5007	2567337
5051	6880469
5085	6960767
5098	8998176
5143	8207698
5151	5552084
5161	8112583
5197	11067669
5198	5053824
5216	4435093
5234	23264111
5249	8195224
5266	1552856
5280	7936697
5291	4253666
5302	1417704
5305	4309721
5357	3850753
5362	6865207
5369	4144494
5401	11129148
5467	3876227
5470	23562978
5471	2011958
5505	11598761
5506	8557729
5522	24213903
5546	18134092
5557	5356591
5562	5283663
5599	2178641
5608	24361933
5654	2210698
5659	18960643
5670	742009
5691	4778911
5697	5857982
5705	3807492
5740	17144640
5748	5950464
5780	19778948
5785	933620
5798	18128512
5820	24409071
5837	11150605
5843	19336480
5854	16467050
5877	16221019
5879	20698119
5898	4713988
5913	1386658
5914	24052239
5916	16554221
5921	2343762
5930	23299577
5939	20195207
5951	2112250
5993	25794023
6004	260534
6012	4319270
6050	2085675
6061	15107063
6095	17392971
6101	5110560
6106	15721426
6117	9726996
6120	107120
6121	24430236
6144	3292946
6160	5888876
6179	15887572
6195	13915809
6198	21953135
6201	11129148
6204	18107017
6206	24156787
6215	4328994
6228	15745430
6230	30459706
6266	14271462
6267	21709564
6276	3848469
6278	5599356
6291	6247582
6304	18166041
6308	5861164
6316	4101699
6329	4319270
6338	8181913
6351	19660605
6360	5813102
6401	5416229
6416	13865062
6429	1364119
6441	18684950
6470	5416229
6474	6159542
6504	334507
6514	18070534
6538	29342317
6552	16813659
6567	17943191
6597	6673369
6658	15041534
6663	475539
6667	16606870
6676	5512071
6689	15336975
6709	11798651
6722	15926679
6723	23273519
6731	8868980
6760	20416910
6771	17682645
6784	6845276
6808	5204453
6809	18995107
6813	1474840
6816	3321641
6820	1349796
6821	11194778
6834	1338928
6855	1474840
6861	5416229
6863	17320145
6890	23489369
6898	20718107
6905	13902003
6916	15145733
6917	15078815
6918	5911025
6920	20651429
6923	4853490
6931	9266013
6936	5939548
6938	5939548
6939	2249301
6942	5939548
6946	2889029
6952	16937078
6953	1232430
6974	6874906
6986	13405781
6987	15907602
6988	14842584
6990	4705303
6997	9344372
7005	1506615
7007	16442587
7013	16904376
7014	76629
7045	1325393
7058	16436006
7066	6865207
7084	3246313
7094	5939548
7108	4870679
7119	15579861
7144	20324493
7146	5939548
7148	5939548
7158	86762
7162	5933774
7166	15628379
7176	9231618
7179	3100515
7183	864076
7190	6005693
7222	5426856
7237	1551452
7258	26588948
7264	17611312
7299	2730012
7301	14959103
7306	10566506
7327	4638431
7338	15975654
7346	1227108
7353	9183578
7411	4648882
7425	20491740
7426	2511295
7428	467394
7430	2416158
7435	5939548
7443	18832498
7455	16772577
7461	1402471
7462	16311760
7496	4655596
7498	8168320
7499	1389872
7503	16327471
7511	2890144
7525	5730313
7536	17080560
7540	20635966
7546	4712453
7580	1457220
7583	1009750
7590	13868678
7595	4705362
7611	9222781
7637	20800146
7648	4830550
7649	38464
7659	17367588
7688	4741365
7692	9545384
7701	31731137
7709	844036
7714	15060325
7719	830368
7733	14492869
7734	5939548
7738	1659402
7739	17636580
7741	16287200
7760	18569601
7761	5720373
7773	1424336
7776	20599845
7777	6102742
7791	23296772
7808	5416229
7816	10302449
7832	4672441
7834	1226374
7854	14664906
7882	5068230
7883	1194592
7887	1402760
7918	1230610
7919	9801385
7923	1522716
7926	10329339
7931	13171029
7933	4566574
7937	1307887
7938	8993532
7983	3412188
7987	15432721
7993	4601720
8006	663307
8013	1263160
8018	17119040
8019	3678500
8031	18021196
8042	3935100
8044	2223997
8071	3213687
8074	6258064
8082	27682161
8083	20619655
8096	1025538
8097	18700947
8101	6829433
8117	15906465
8120	6551660
8143	1646298
8147	812721
8148	597610
8153	6009226
8160	2202085
8163	4593155
8170	25226638
8172	6623934
8189	14651204
8203	4921754
8207	14733636
8219	2206757
8229	5939548
8236	25699765
8244	16432540
8245	2169387
8247	3035295
8255	2230815
8286	2832600
8297	15765331
8312	4836027
8321	4612243
8336	23562978
8360	1365312
8378	2709993
8394	337574
8397	17132855
8411	1635985
8413	1008801
8417	13909475
8430	9638686
8431	712594
8438	2416158
8441	1688552
8447	7946076
8455	5856239
8458	1142573
8459	9942827
8462	24532981
8463	4825986
8465	2004376
8481	5489416
8488	11373119
8489	15123242
8500	720390
8505	8970105
8510	4733447
8519	2567337
8526	3230565
8547	9021751
8553	930158
8561	12634375
8563	8881727
8571	3075941
8577	3956547
8579	9989169
8582	2828489
8600	10414923
8623	11760565
8625	11370328
8635	12794928
8636	8659080
8641	4378522
8656	5096898
8657	1573626
8662	10043933
8663	11572253
8665	2501711
8673	74828
8674	1928261
8675	1427840
8677	9016229
8691	1214888
8698	6328976
8702	9182919
8709	14174362
8710	12960647
8723	4226466
8730	7257099
8742	16459704
8745	1535959
8746	950081
8751	2636456
8759	8119809
8761	17900037
8768	3671771
8771	20366054
8782	6485717
8789	16100972
8792	766248
8795	18175620
8796	18321064
8805	592589
8827	7257099
8832	11842846
8833	2773092
8862	7257099
8885	2694648
8898	2735398
8919	14783228
8921	6284084
8928	22990578
8950	16510448
8964	8121382
8965	29205885
8974	20874458
8986	2214461
8999	14601654
9007	2735860
9012	12145732
9019	4765547
9020	375920
9026	461310
9027	11309750
9040	3632478
9043	857548
9045	12425561
9047	3873051
9052	326241
9067	2606866
9077	14398772
9079	13337062
9094	1843033
9095	33578
9106	16287200
9108	998319
9119	1520182
9132	14135236
9155	1099275
9173	13046415
9178	4507288
9196	2877495
9209	19136224
9214	11837093
9216	10946292
9226	47947
9228	13282243
9232	25418970
9238	661839
9248	1134318
9251	710270
9260	6972841
9265	2061103
9267	7138599
9269	13212566
9270	5217269
9287	17182466
9288	1681045
9291	8902053
9317	725905
9327	1739933
9338	3340725
9341	7200902
9345	4672673
9348	25465814
9367	11039963
9383	1675734
9410	11628016
9414	23706195
9415	23742168
9442	10748037
9448	13388058
9449	12490093
9466	7667041
9471	154249
9474	3075941
9485	15528315
9495	12437583
9504	7581252
9513	812721
9519	2910874
9534	2830296
9539	15216208
9541	13433555
9578	6396566
9583	15815005
9587	2927924
9588	95906
9600	3382925
9602	13814733
9603	13384354
9617	17232807
9621	17077510
9625	13218857
9633	4281572
9636	955565
9638	2822958
9648	9682736
9652	5039758
9655	121622
9657	3366387
9661	17026277
9668	1404106
9670	15091318
9678	17026277
9683	2461140
9692	2128227
9716	242507
9718	2621894
9721	6288903
9722	14398586
9725	13573256
9729	5164070
9732	3036104
9735	12088668
9741	17402468
9744	24197884
9745	7149540
9748	2632847
9758	3161181
9759	8261907
9770	8095608
9772	1234483
9774	13933010
9779	19798642
9790	15728006
9793	552577
9794	10854047
9798	14783228
9806	22825473
9808	2472526
9810	10684393
9811	1710161
9813	3663086
9821	2818922
9827	14783228
9846	10062778
9851	25437833
9852	2100244
9853	396105
9864	4388704
9870	9378012
9878	6746621
9880	986023
9902	14954665
9922	3054352
9930	4431141
9944	11462782
9950	12547239
9951	2212565
9954	11480343
9960	2402696
9986	155179
9990	18673090
9994	380852
10007	641439
10018	3864063
10021	1432197
10026	15895850
10037	671014
10052	8437768
10054	2859377
10061	304473
10070	18614622
10071	2000046
10075	5014251
10076	2590511
10079	11276319
10086	9726996
10088	8435333
10091	24924
10107	4577548
10112	2561511
10121	10784063
10122	11194778
10123	4372417
10127	13226060
10128	4825986
10133	16865624
10134	1706
10143	667066
10145	11150605
10156	2860658
10167	14618890
10171	4870679
10172	526396
10187	3270086
10203	5413435
10204	2027207
10205	6968956
10206	7635802
10212	2669095
10213	10707
10233	4320447
10236	21022075
10245	10163202
10254	7969937
10262	7166455
10264	12536030
10269	1781787
10276	5177796
10286	3574180
10287	7533130
10296	5032400
10301	1854382
10306	5343331
10307	6942897
