geneid	dist
582	263
992	45468070
1005	17775342
1032	3032286
1238	3032286
2011	1569753
2735	30040600
2929	545
3124	2001
3361	30040600
3990	986
4104	7168077
4208	18848106
4378	1889
4416	791
4475	3837009
4527	47997408
4529	129
4534	15564243
4536	23693133
4539	15564243
4540	23693133
4542	23693133
4544	4599273
4545	23693133
4546	4599273
4559	23693133
4566	1268108
4580	23693133
4595	23693133
4623	23693133
4716	47954237
4772	18848106
4828	18848106
4841	18848106
4867	791
4881	20205903
5059	61450325
5085	65680696
5098	61282034
5143	62912796
5151	68448414
5161	63575936
5197	2080838
5198	69500332
5216	70740626
5234	24142876
5242	61532708
5249	62937929
5264	44641700
5266	65250907
5280	63668736
5291	70462118
5302	452
5331	65435555
5345	68770537
5362	65833590
5369	70029917
5397	10161392
5401	2148716
5467	54916719
5468	10179053
5470	24722130
5471	59005082
5505	2741309
5506	62343220
5522	49038942
5546	14974734
5557	68811784
5562	69085327
5570	13621253
5597	14883007
5599	58623527
5608	48930715
5631	49306941
5659	47477476
5670	61565243
5691	53168679
5697	67753417
5705	55183328
5730	13224406
5740	11952583
5748	67656650
5772	1232336
5773	13848269
5780	17855490
5785	64226087
5798	14958463
5820	48697362
5837	2166843
5841	13961259
5843	17144081
5854	10878447
5874	13741613
5877	10420066
5879	50377018
5895	13855581
5898	53740536
5912	54424903
5913	48982581
5914	49253745
5916	10939492
5921	58445497
5930	50787683
5939	49460662
5951	58719584
5977	65435555
5993	45783146
6004	62860102
6012	53951329
6023	60275150
6050	58751657
6054	10445599
6061	8381612
6095	12513361
6101	52480712
6106	34127375
6117	43795471
6120	63117197
6121	48639133
6137	4993430
6144	68183853
6160	51127853
6179	34054836
6195	896187
6201	2148716
6204	14928824
6206	49165122
6215	53937119
6228	34108336
6230	37478242
6266	36760546
6267	21894033
6276	36397373
6278	68320815
6291	44501841
6295	13741613
6304	15049365
6308	51251145
6316	69934635
6329	53951329
6338	62938699
6351	17635669
6360	51370468
6390	30011853
6401	42033345
6416	989031
6441	46962255
6469	54589815
6470	42033345
6474	43777568
6504	63319765
6514	45757320
6538	39508261
6552	31887079
6567	14514532
6597	30916429
6639	1706
6653	44577680
6658	27649514
6663	63599735
6667	11005149
6676	44153140
6688	13653533
6689	35250956
6709	1104
6722	33822003
6723	50839796
6745	55506368
6760	50086282
6764	13163773
6768	13519465
6771	13911110
6784	16040994
6795	10179053
6808	69264600
6809	47555659
6813	5282
6816	17351215
6820	19873498
6821	2235106
6826	20479891
6834	19948657
6839	10203269
6850	42700761
6855	5282
6861	42033345
6863	12353735
6890	24529390
6898	1351
6902	1706
6905	14217672
6913	42700761
6916	8432240
6917	2064
6918	45106826
6920	16014980
6923	12229305
6926	20631804
6931	1929422
6936	42745470
6938	42745470
6939	17971353
6942	42771303
6946	67465802
6952	11641782
6953	19134801
6974	16145966
6986	15264478
6987	29052393
6988	12280728
6990	11936526
6997	35445547
7005	19098042
7007	29869254
7013	11590275
7014	18763041
7045	19990194
7057	20522931
7058	10828712
7066	65833590
7084	17414588
7094	42745470
7098	102314
7108	27618468
7111	20552930
7114	223992
7119	10517284
7144	49745811
7151	150602
7158	63090379
7162	45145868
7166	23497082
7176	2025409
7179	24259298
7183	16620619
7190	1532
7222	13348938
7237	19917664
7258	44109522
7264	5803681
7299	37858436
7301	12109876
7327	14728676
7333	76985
7338	9423255
7346	5422095
7353	45312097
7366	42817048
7385	12275685
7387	19476117
7411	18591585
7425	50016287
7426	10775776
7428	43493557
7430	10686131
7435	42745470
7443	47208994
7455	20693836
7461	19623727
7462	8409803
7469	104207
7496	14756623
7497	20890908
7498	47082581
7499	4835295
7503	29651816
7511	11441239
7525	68051665
7536	31583523
7540	15987743
7546	27173293
7562	45139017
7580	4676692
7583	44173172
7590	14294166
7595	18512517
7606	118770
7611	2116689
7621	23737105
7637	16318331
7648	27417431
7649	18846299
7659	6188275
7688	27233004
7692	512175
7701	17219
7709	43806508
7714	8304229
7719	43791067
7733	7321375
7738	9259423
7739	5538432
7741	10611840
7760	46693330
7761	51481438
7773	65008255
7777	67407914
7783	13790559
7791	929
7808	42033345
7816	379879
7829	15923980
7832	70142281
7834	20913629
7854	7659607
7883	5465857
7887	4764457
7900	2066783
7907	42700761
7910	22122144
7918	8758724
7919	118565
7923	19006439
7926	430239
7931	15887041
7933	11848287
7938	2996807
7983	12365517
7987	28294734
7988	42700761
7993	18675212
8002	42700761
8006	61757971
8013	19178910
8018	23600618
8019	55394716
8029	12739107
8031	14692796
8042	36650733
8044	10333203
8058	13470021
8061	1414
8071	56382621
8074	30192506
8082	14654785
8083	15977301
8090	20541837
8094	546866
8096	21579532
8097	46996421
8101	16023486
8117	9594025
8120	66302087
8143	20472512
8147	22314241
8148	6229639
8153	29711558
8160	58524984
8163	18732157
8164	45493034
8170	46873755
8172	15685037
8184	13741613
8189	23716271
8203	18056922
8207	7711732
8229	42745470
8234	9117170
8236	45910389
8245	10188962
8247	11655173
8255	22190712
8286	23539397
8297	34081601
8317	20649430
8321	27051232
8332	23432499
8336	24722130
8337	35887450
8338	941
8360	19498516
8378	11020012
8380	17775342
8394	62570341
8397	23536989
8411	20451452
8413	21673713
8417	6485385
8430	428971
8431	61633708
8438	10686131
8441	20611893
8447	2231583
8450	70239957
8455	4671084
8458	2868510
8459	52292
8462	48562308
8463	18303491
8465	9860585
8481	5174014
8488	989939
8489	11702207
8500	17896908
8505	1127
8510	27221894
8519	10046285
8526	68106676
8547	896
8553	16827215
8557	8473594
8561	14363176
8562	19997498
8563	1128438
8571	24196442
8577	25911350
8579	338120
8582	4319514
8600	546674
8603	25487
8623	23288596
8625	23785258
8635	39652200
8636	1353124
8641	7365230
8653	32192789
8656	5944427
8657	20146127
8660	13207638
8663	32168211
8665	10769193
8673	16373066
8674	9657648
8675	4732880
8677	1021077
8691	5508536
8698	15203865
8702	870009
8709	6798479
8710	14042262
8716	5882623
8723	904
8731	20214652
8742	10868652
8745	11803346
8746	18522422
8751	10939549
8759	1962973
8761	3262245
8768	25283473
8771	8338446
8775	61680846
8782	3837009
8789	9287490
8792	61537383
8795	15094374
8805	26085223
8832	298355
8833	23348180
8853	70217969
8885	743804
8898	725272
8921	15113303
8928	26886479
8950	10910374
8965	39867483
8969	32509336
8974	798513
8986	4804874
8994	4534494
8999	25276982
9007	23291049
9012	693148
9019	27307923
9020	15534104
9026	4225265
9027	31809474
9040	3683567
9043	12965673
9045	1048083
9047	25752427
9052	15428589
9067	4498211
9077	4417043
9079	26814494
9106	10611840
9108	3022529
9119	11873656
9132	6772635
9155	16668766
9173	13886365
9178	5771607
9195	1179
9196	11309726
9203	32182282
9209	16755199
9214	2908064
9216	61660848
9226	16328373
9228	26941244
9232	46429081
9238	275487
9248	60895622
9251	26397261
9260	10598143
9265	58817837
9267	29682210
9269	4831497
9270	7095024
9287	3639321
9288	17935969
9317	3341456
9324	32059314
9327	18042033
9338	81687
9341	11034416
9345	18567389
9348	46372490
9367	33356427
9383	17931357
9391	1270652
