geneid	dist
633	37545554
636	152
992	4304275
1430	19807166
2011	27560057
2932	521
3152	521
3911	80993257
4104	72469735
4208	36785873
4378	4880928
4416	4200
4448	69638017
4475	69800964
4548	1642
4714	1642
4734	69638017
4750	69638017
4772	36785873
4827	69638017
4828	36785873
4841	36785873
4867	4200
4881	85453205
4901	80882127
4919	79730349
5007	74245758
5051	63274786
5059	65304605
5085	63373227
5098	65338907
5143	2708
5151	62100093
5161	64524451
5197	79232886
5198	61677997
5216	61152040
5234	99748466
5242	65241276
5249	64586322
5264	5316427
5266	58392499
5280	64343774
5291	60991292
5302	1165527
5305	61093589
5357	7890861
5362	63260240
5369	60904207
5401	79165902
5467	7882536
5468	93242935
5470	100017068
5471	9560978
5505	78775916
5506	64908439
5522	51778099
5546	95200418
5557	61933245
5562	61870069
5597	95098206
5599	9409563
5608	51920655
5654	1731263
5659	46992964
5670	7042008
5697	62368805
5705	7988918
5740	94261970
5748	62464064
5780	96786197
5785	57797717
5798	95194896
5820	51957976
5837	79157920
5843	96403809
5854	93676422
5879	48582127
5898	19937867
5913	5540916
5914	3975
5916	93776169
5921	9338306
5930	51012514
5939	48168452
5951	9451662
5993	39575506
6004	6553972
6012	7466340
6050	9470864
6061	92432639
6095	94511130
6101	19398371
6106	21733282
6117	14730216
6120	6291891
6121	51975417
6138	8087511
6144	60073210
6160	18667000
6179	21904613
6195	64149081
6198	49742263
6201	79165902
6204	95174284
6206	51732872
6215	7454947
6228	21749853
6230	44081448
6266	20207566
6267	98557751
6276	67868340
6278	62137191
6291	5610283
6304	95211047
6308	18696844
6316	60865145
6329	7466340
6338	64578037
6351	96689586
6360	18763553
6401	6248993
6416	64102800
6429	2970
6441	46739409
6470	6248993
6474	5669742
6504	6192655
6514	53633603
6538	43026485
6552	22863661
6567	94966712
6597	9333582
6658	25205320
6663	5923989
6667	93812595
6676	6149118
6689	21321629
6709	78624861
6722	21942605
6723	50994671
6731	65224257
6760	48426394
6771	94711699
6784	39058824
6795	93242935
6808	61785163
6809	47020758
6813	1401
6816	812
6820	2873
6821	79141111
6834	3502
6855	1401
6861	6248993
6863	94440635
6890	99949346
6898	11520251
6905	3665997
6916	92462310
6917	289630
6918	5800446
6920	11471621
6923	51582093
6931	709
6936	284
6938	284
6939	859807
6942	284
6946	59725719
6952	94078626
6953	5111132
6974	39025264
6986	4118876
6988	66973
6990	51456978
6997	2590923
7007	23895618
7013	94047847
7014	52335
7045	1460
7058	93621655
7066	63260240
7084	21276
7094	284
7104	50037468
7108	7456139
7119	743840
7144	48274236
7146	284
7148	284
7158	6300578
7162	446
7166	1141000
7176	380
7179	5957428
7183	743035
7190	18624126
7222	52091503
7237	5353183
7258	40342224
7264	2727776
7299	2209684
7301	174889
7306	1616133
7327	55436457
7338	1118287
7346	13143357
7353	15474757
7411	6964848
7425	48353412
7428	12508690
7430	53445881
7435	284
7443	46876549
7455	178726
7461	5208663
7462	1432639
7496	55452304
7498	16366241
7499	13269215
7503	23982223
7511	4930
7525	62251012
7536	23086460
7540	11455792
7546	7323256
7580	13321556
7583	12950786
7590	3699086
7611	8063286
7637	11594197
7648	7421765
7649	11829
7659	2429362
7688	7353858
7692	7733960
7709	12825594
7714	92392490
7719	12815802
7733	70712
7734	284
7738	52689441
7739	2620592
7741	93518480
7760	53212810
7761	18822458
7773	58269179
7776	11423448
7777	62575748
7791	99782134
7808	6248993
7829	1099
7832	61314103
7834	1402
7854	92029439
7882	51780576
7883	13125471
7887	13276527
7910	646493
7918	52427045
7919	11466833
7923	995967
7926	11084463
7931	4353513
7933	51349624
7938	8293213
7983	54284937
7987	24870506
7993	7008610
8006	6978704
8013	1174
8018	7064440
8019	8057396
8029	54505405
8031	95036351
8042	67414917
8044	53251371
8071	8543300
8074	8900022
8082	24208321
8083	11444172
8096	437703
8097	46740079
8101	39081393
8117	1047987
8120	62975192
8143	5198350
8148	72979227
8153	8633183
8160	9364463
8163	7043225
8170	52701239
8172	39393650
8189	3401122
8203	6739293
