geneid	dist
992	8340308
1024	7277651
1430	7741919
2011	8574038
2932	5361014
3124	678179
3152	5361014
3855	5306885
3911	7526911
4202	5306885
4208	8320280
4275	5306885
4374	5306885
4378	10526092
4416	7834913
4448	120740
4475	9725412
4513	5306885
4676	13376319
4716	4783044
4717	5306885
4734	120740
4747	5306885
4750	120740
4772	8320280
4827	120740
4828	8320280
4841	8320280
4857	431158
4867	7834913
4901	2890500
4919	2406950
5051	10191592
5059	4937924
5085	12238786
5098	6017840
5143	11045759
5151	10304428
5161	2559931
5198	2917848
5216	8601522
5249	5780093
5264	1332598
5266	5915830
5291	5587621
5302	1601665
5305	5572641
5357	12530992
5362	10206316
5401	7739849
5467	11962431
5470	3497640
5471	9203011
5505	10038045
5506	5914763
5522	8026950
5546	5506619
5562	10274068
5599	10394010
5608	8021167
5654	6099850
5670	5241518
5691	7298020
5697	10325711
5705	7805259
5740	5626927
5748	9016458
5780	9705229
5785	5860585
5798	5511541
5820	9105838
5837	4213314
5854	12370322
5877	7672529
5898	1055814
5912	7738148
5913	9211448
5914	8053330
5916	6069437
5921	5095733
5930	12718722
5939	6258895
5951	849804
5993	7168361
6004	5173090
6012	1063739
6050	9230192
6054	6940032
6061	10857295
6095	5613168
6101	2034475
6106	8077043
6117	11882860
6120	9432254
6121	9099834
6138	11467338
6144	5771930
6160	5944958
6179	8103719
6195	4939498
6198	6362763
6201	7739849
6204	9827929
6206	8046001
6215	5463804
6228	8081745
6230	9944288
6267	5978246
6276	6393062
6278	3302583
6291	1404179
6304	9867706
6308	5952713
6316	5613685
6329	1063739
6338	5792013
6351	9805382
6360	5982615
6390	8571866
6391	406141
6401	5822376
6416	420290
6429	6294396
6441	10514456
6469	5482429
6470	5822376
6474	10758546
6504	5820903
6514	2761221
6538	10012179
6552	8417336
6567	5543557
6597	11269528
6653	4604081
6658	7900389
6663	6137460
6667	5455766
6676	4354261
6689	8068252
6709	6150427
6722	8114357
6723	13832557
6731	10687471
6745	5642464
6760	6194343
6771	5546421
6784	6966791
6808	10258435
6809	6033088
6816	12015877
6820	2743306
6821	7071006
6834	2315591
6847	7172634
6861	5822376
6890	3457543
6916	10867504
6917	6770259
6918	411725
6920	7632980
6923	8041869
6931	1908604
6939	3320722
6946	5774071
6953	12571096
6974	11681537
6986	6361305
6987	12452405
6988	3968199
6990	113081
6997	8427215
7005	2207080
7007	4130475
7013	5559229
7014	3590545
7045	4203092
7052	1998802
7058	2936724
7066	10206316
7084	10952802
7098	12312189
7108	5985038
7119	6897674
7144	6250488
7158	1264958
7166	2239689
7176	1920585
7179	10834605
7183	4481635
7190	8256039
7222	7058318
7237	6493642
7258	11041706
7264	9635026
7296	7638687
7299	7790799
7301	4015380
7306	6427753
7312	7172634
7327	3637630
7333	5720898
7338	6973067
7346	7440736
7353	11852181
7385	6727670
7411	9111828
7425	6227407
7426	2658147
7430	2413465
7443	3782745
7455	7719282
7462	7064598
7469	5720898
7496	703218
7498	11536868
7499	488632
7503	5993964
7511	4723587
7525	10322944
7536	8466330
7540	6325412
7546	5964940
7562	7172634
7580	2768933
7583	388795
7590	11931
7595	12502528
7606	5720898
7611	1952687
7637	6297462
7648	11604046
7649	3590545
7659	921664
7688	5970269
7692	682027
7701	521761
7709	400698
7714	7901606
7719	411612
7733	9141326
7738	4044933
7739	9610761
7741	9884052
7760	2960406
7761	5457803
7773	5897933
7776	3249483
7777	10350763
7791	13939961
7808	5822376
7816	2728724
7829	11699867
7832	5279553
7834	5928641
7854	9179336
7863	5720898
7882	11841137
7887	478932
7900	630066
7918	2629562
7919	2417498
7923	2226160
7933	8161224
7937	2290773
7938	6022140
7987	7872835
7993	12353077
8006	5236270
8007	6727670
8013	9220588
8018	9852252
8019	11456536
8031	5517048
8042	10278740
8044	4823114
8061	9759995
8071	1862358
8083	3257919
8096	3752110
8097	2990344
8101	6972597
8117	6960827
8120	7066842
8148	5043249
8153	5371341
8160	10401563
8163	12346107
8170	2627541
8172	11190895
8189	593785
8203	8986602
8207	9174312
8219	5731309
8236	4886939
8244	8083662
8245	2613495
8247	6685740
8255	1999985
8286	13437662
8297	8088897
8312	906644
8321	5952244
8336	3497640
8378	4131218
8394	5192823
8397	9871702
8411	1705555
8413	291405
8430	7663716
8431	8027663
8438	2413465
8447	13378411
8450	5594644
8455	12954574
8458	10104113
8459	9812053
8462	9090955
8463	908347
8465	4627774
8488	1628343
8489	1343037
8500	2349390
8505	7761930
8510	6413493
8526	5812802
8553	11020980
8561	16850838
8563	8642566
8571	452993
8579	5873637
8582	5223392
8589	7778172
8600	5817631
8603	5720898
8623	8494674
8635	12333505
8636	387051
8641	1099870
8656	11197349
8657	2884248
8663	2228473
8665	2589586
8674	2890243
8675	6484747
8677	7758123
8691	1474403
8698	11777079
8702	1628343
8709	9182162
8710	2853158
8723	1103237
8730	781742
8742	2902546
8745	11260641
8746	2493777
8751	3772833
8759	13409434
8761	4852628
8768	7044458
8771	5614729
