geneid	dist
582	3380071
619	17887546
631	18421979
633	118
992	27918
1430	2733435
1711	152
1712	152
2929	207854
3124	39365689
3855	250941
3911	1142948
4104	590399
4202	250941
4208	4312269
4275	250941
4374	250941
4378	43727105
4475	5102679
4513	250941
4548	1666
4714	1666
4716	41583922
4717	250941
4747	250941
4772	4312269
4828	4312269
4841	4312269
4856	26364942
4857	395959
4881	5271836
4901	1592426
4919	1516650
5007	42354361
5051	37430607
5059	39882447
5085	37531270
5098	40070358
5143	38908881
5151	35287043
5161	38799124
5197	14953879
5198	34236009
5216	33157411
5234	19027971
5242	39785354
5249	38893517
5264	1179640
5266	27085284
5280	38678123
5291	32779313
5302	20760659
5331	27305149
5345	34968317
5362	37412958
5369	32335199
5397	38232403
5401	15045913
5467	16083743
5468	38203018
5470	18071143
5471	20693541
5505	15774846
5506	39331070
5522	31838673
5546	31415114
5557	34931478
5562	34776503
5597	31585600
5599	20317514
5608	31702590
5631	29898289
5654	28934453
5659	28885818
5670	23387790
5691	13912359
5697	35812369
5705	16372632
5706	34429410
5711	33306379
5730	34049135
5740	35927256
5748	35918236
5772	3699039
5780	27506203
5785	26125391
5798	31451387
5820	31463849
5837	15062902
5841	32880523
5843	28447363
5854	37242874
5874	33189688
5877	37858026
5879	30724465
5895	33036451
5898	14627744
5912	15510644
5913	31771292
5914	32051996
5916	37196025
5921	20136276
5930	33281395
5939	29995276
5951	20374810
5977	27305149
5993	178883
6004	24659671
6012	14904974
6023	21996269
6050	20416064
6055	33258749
6061	10017010
6095	35167132
6101	13070552
6105	15232426
6106	32922111
6117	5040
6120	25008718
6121	31420351
6137	10213662
6144	30409393
6160	11335314
6179	32847695
6195	13038470
6197	33396550
6201	15045913
6204	10619509
6206	31957861
6215	14882517
6228	32904962
6230	16928247
6266	36769352
6267	22492928
6276	15552509
6278	35380312
6291	1082549
6295	33189688
6304	31389403
6308	11540596
6316	32259165
6329	14904974
6338	38880884
6351	28045878
6360	11686744
6390	27133011
6401	1989072
6416	13091948
6441	28529198
6469	15682739
6470	1989072
6504	25230588
6514	27993891
6538	19577687
6552	29744882
6567	32573255
6597	1508149
6653	1135721
6658	24179625
6663	25519707
6667	37101794
6676	821199
6689	34451801
6709	16058666
6722	32546395
6723	33322712
6731	39705919
6745	16777062
6760	30407006
6764	34151207
6771	32942661
6795	38203018
6808	34553038
6809	28915794
6810	33388234
6813	45308341
6816	43460428
6820	37540123
6821	15150737
6826	36796309
6834	37455249
6839	38195603
6850	1405793
6855	45308341
6861	1989072
6863	35471104
6890	18312043
6898	40287459
6905	59244
6913	1405793
6916	10061122
6917	3532617
6918	2262639
6920	40348414
6923	8701829
6926	36736762
6931	32333812
6936	2418214
6938	2418214
6939	44337172
6946	29632403
6952	36290598
6953	3822474
6986	41685688
6987	25955450
6988	2868290
6990	8860941
6997	14380984
7005	45578884
7007	26979149
7013	36310036
7014	45433606
7045	37377983
7052	31361110
7057	36782526
7058	37551824
7066	37412958
7084	43523415
7094	2418214
7098	2341033
7104	33382323
7108	26083509
7114	33753489
7119	5262805
7144	30202548
7146	2433144
7151	1982742
7158	25005836
7162	2275619
7166	8486878
7176	32256588
7179	21518358
7183	26065
7190	11033983
7222	7332683
7237	4622196
7258	26492305
7299	1014488
7301	3116864
7306	8996120
7327	33457364
7333	33877063
7338	6920463
7346	29299579
7353	2301254
7385	30388590
7387	4187699
7411	3235691
7425	30343149
7426	12366342
7428	34713766
7430	12257679
7435	2418214
7443	28736345
7455	5436071
7461	4349260
7462	8021107
7469	33859203
7496	33488806
7497	36495279
7498	5149752
7499	29839056
7503	26754729
7511	28935588
7525	35631371
7536	29362999
7540	40389639
7546	25436142
7562	2285296
7580	30018343
7583	34310596
7590	43204719
7595	3164546
7606	33837389
7611	32247598
7621	20907076
7637	39994304
7648	25802955
7649	45542422
7659	10930393
7675	36573194
7688	25510970
7692	33587337
7701	11002920
7709	34388208
7714	9921138
7719	34423065
7733	8674413
7734	2433144
7738	10526979
7739	29194726
7741	37578576
7760	28370530
7761	11788421
7776	40485331
7777	36120929
7783	33110933
7791	18869739
7808	1989072
7816	12953224
7832	33699020
7834	36464907
7854	9081584
7882	8053726
7883	29265355
7887	29859164
7900	14935863
7907	1405793
7910	35043855
7918	9968828
7919	12614879
7923	45742347
7926	12997265
7931	40507562
7933	9158632
7937	37245768
7938	31585656
7983	30521434
7987	25069357
7988	1405793
7993	3332868
8002	1405793
8006	23586473
8013	3865164
8018	33153738
8019	16618857
8029	30969506
8031	31799779
8042	15854872
8044	11818289
8056	12920728
8061	12586306
8071	17801522
8082	23826421
8083	40438635
8090	36774489
8094	33557261
8096	35687366
8097	28545926
8117	6732884
8120	36988271
8143	16715264
8147	34627933
8148	7182459
8153	7435
8160	20200553
8163	3396765
8164	28097015
8170	29587227
8172	324703
8184	33189688
8189	33008344
8203	2783404
