geneid	dist
559	33820265
582	617327
602	615796
631	21038627
633	236192
636	3707396
977	7282
992	35015
1032	7877251
1238	7877251
1430	4328300
1712	49290
2010	1657443
2014	1656478
2929	560
3124	37699643
4104	6805225
4208	3923251
4378	41701516
4475	3826318
4533	85
4610	85
4741	5600490
4772	3923251
4828	3923251
4841	3923251
4856	24117232
4881	22012092
5007	43051700
5051	34025280
5059	36193323
5085	34111402
5098	36353454
5143	6397013
5151	32136470
5161	35230869
5197	13314161
5198	31206793
5216	30273012
5234	18493336
5242	36113853
5249	35315853
5264	1010727
5266	24860457
5280	35123868
5291	29944784
5302	11335060
5331	25045481
5345	31847846
5362	34014832
5369	29557657
5397	840591
5401	13387085
5467	14968919
5468	863491
5470	19280724
5471	19145646
5505	14026059
5506	35703745
5522	26664237
5546	6955501
5557	31815151
5562	31681434
5597	6837053
5599	18818840
5608	26935122
5631	20302842
5659	19425982
5670	21560198
5691	13041961
5697	32598423
5705	15233096
5711	5236204
5730	4543647
5740	2955232
5748	32773975
5772	20904925
5780	10557974
5785	24000781
5798	6938957
5820	26998762
5837	13401903
5841	5603737
5843	9778625
5854	1719769
5874	5333816
5877	1219051
5879	21071148
5895	5463630
5897	4947910
5898	13835724
5912	14464513
5913	26695427
5914	26450594
5916	1778121
5921	18646244
5930	25342781
5939	20387379
5951	18861963
5977	25045481
5993	4161276
6004	22779619
6012	13918017
6023	20329355
6050	18896208
6055	5279495
6061	8902821
6095	3606129
6101	12278015
6105	14206891
6106	39556855
6117	442130
6120	22999867
6121	27035378
6137	5033835
6138	15519189
6144	27829921
6160	10724940
6179	39485411
6195	11223966
6197	5166794
6198	22866865
6201	13387085
6204	13359242
6206	26592242
6215	13900315
6228	39542064
6230	22259048
6253	934409
6266	43027654
6267	15680562
6276	21055281
6278	21792071
6291	929953
6295	5333816
6304	7026530
6308	10900119
6316	29490786
6329	13918017
6338	35302336
6351	10314332
6360	11053405
6390	34320250
6391	11233596
6401	1682293
6416	11254845
6441	19102485
6469	14614213
6470	1682293
6504	23197922
6514	18610250
6538	24680214
6552	36713872
6567	6360754
6597	14247329
6653	976857
6658	31681785
6663	23443828
6667	1849436
6676	707893
6689	40942182
6709	14282508
6722	39218580
6723	25313274
6731	36042260
6745	15595428
6760	20758422
6764	4457530
