geneid	dist
582	11357045
602	15514902
992	28145749
1005	39823593
1032	18300838
1238	18300838
2011	1479435
2929	155741
3124	942082
3855	717166
3911	537844
4104	6872464
4202	717166
4208	9931257
4275	717166
4374	717166
4378	52768587
4475	3806414
4513	717166
4525	11719614
4530	15817448
4544	49077388
4546	49077388
4676	8089
4717	717166
4747	717166
4772	9931257
4828	9931257
4841	9931257
4856	18358872
4881	664877
4901	278463
4919	234380
5007	23495235
5051	3002248
5085	2992890
5098	294701
5143	1361580
5151	5249808
5161	1557977
5197	1881912
5198	11498358
5216	7292769
5234	25616995
5242	450601
5249	1386651
5264	26784370
5266	12568334
5280	1637136
5291	7578694
5302	5555970
5331	12419681
5345	5498668
5362	3056289
5369	8002653
5397	10773526
5401	1954956
5467	22213116
5468	10788801
5470	26325799
5471	18259706
5505	2617101
5506	993455
5522	37929360
5546	15822418
5557	5539210
5562	5789495
5570	14318010
5597	15706172
5599	18596799
5608	38214897
5631	30492627
5659	29349805
5670	15770917
5691	24063116
5697	4614836
5705	22053093
5706	35455327
5711	14398605
5740	12666581
5748	4567387
5780	19043774
5785	13454858
5798	15810579
5820	38296228
5837	1972474
5841	14692633
5843	18288233
5854	11542452
5877	31223462
5879	31379478
5898	23864620
5912	22689416
5913	37967540
5914	37685158
5916	11605382
5921	18906259
5930	36281064
5939	30608226
5951	18495457
5977	12419681
5993	41293745
6004	14774488
6012	23172839
6023	17002482
6050	18452678
6054	11086331
6055	14432339
6061	8975551
6095	13204056
6101	24738172
6105	22912004
6106	33098852
6117	34812915
6120	14325835
6121	38344200
6144	9708358
6160	26106525
6179	33026761
6195	751822
6198	33527163
6201	1954956
6204	15780339
6206	37846616
6215	23209112
6228	33080997
6230	39919270
6266	36065720
6267	23298637
6276	38771162
6278	5096497
6287	14449546
6291	26941948
6304	15901831
6308	25994485
6316	8142155
6329	23172839
6338	1387215
6351	18820788
6360	25899164
6390	28698827
6391	801438
6401	26075577
6416	825533
6441	28932909
6469	22632655
6470	26075577
6504	14273888
6514	28235060
6530	38224981
6538	42083778
6552	30694373
6597	32557048
6635	38224981
6653	26787778
6658	26270571
6659	38224981
6663	13922226
6667	11680952
6676	27208424
6689	34297583
6709	2838974
6722	32794020
6723	36253902
6731	545712
6745	21562443
6760	31049072
6764	13967310
6771	14639967
6784	15437958
6795	10788801
6808	5966838
6809	29379677
6813	29046322
6816	31406406
6820	28377720
6821	2065152
6826	27693551
6834	28304126
6839	10809087
6850	25476447
6855	29046322
6861	26075577
6863	13036932
6890	26104600
6898	32891497
6905	35069985
6913	25476447
6916	9024152
6917	37613594
6918	26360966
6920	32939163
6923	11445646
6926	27601869
6931	43028492
6936	25451063
6938	25451063
6939	30770872
6946	10522390
6952	12348307
6953	21307353
6974	15525554
6986	33874927
6987	27695173
6988	37072964
6990	11191907
6997	37817872
7005	29292983
7007	28543955
7013	12299456
7045	28236038
7052	42101996
7057	27659583
7058	11499219
7066	3056289
7084	31372721
7094	25451063
7098	25387211
7104	34110492
7108	28348284
7114	44271856
7119	37282337
7144	30788450
7151	25339114
7158	14352139
7162	26372900
7166	17794468
7176	42951472
7179	24385681
7183	32128162
7190	26321904
7199	38224981
7222	12513162
7237	9654046
7258	42872182
7264	39853484
7299	38409214
7301	37321032
7306	18247099
7327	14677152
7333	44200619
7338	39961971
7346	40030611
7353	33475592
7385	12364493
7387	21601156
7411	20754665
7425	30988835
7426	10796503
7428	43463440
7430	10705389
7435	25451063
7443	29172733
7455	22763906
7461	21746449
7462	40903785
7469	44210841
7496	15001818
7497	27408063
7498	30914028
7499	40579020
7503	28317569
7511	11428921
7525	4914534
7536	30353943
7540	32962595
7546	27741011
7562	26378601
7580	40769166
7583	43832709
7590	34982790
7595	20657279
7606	44228251
7611	42943909
7621	23788233
7637	32644384
7648	28084806
7649	29595145
7659	43183173
7688	27839529
7692	44144799
7701	43388608
7709	43714470
7714	8905406
7719	43701822
7733	7776597
7738	9215004
7739	39922847
7741	11258493
7760	28740232
7761	25794939
7773	12773907
7776	33053357
7777	4383001
7791	25639463
7808	26075577
7816	327732
7829	15312710
7832	6742168
7834	27365099
7854	8166015
7882	11906290
7883	39968506
7887	40593113
7900	1868610
7907	25476447
7910	26118963
7918	8722143
7919	71077
7923	29397691
7926	369069
7931	33068807
7933	11105548
7937	28117765
7938	42401349
7983	12467703
7987	26913503
7988	25476447
7993	20842041
8002	25476447
8006	15651465
8013	21330192
8018	24565857
8019	21734890
8028	23925111
8029	12863038
8031	15527419
8042	39036509
8044	10347306
8056	299375
8061	38864
8071	20884606
8082	59746118
8083	33006957
8090	27642667
8094	44124179
8096	26683857
8097	28951183
8101	15416379
8117	39834070
8120	3493710
8143	20221501
8147	25956956
8148	6265004
8153	30960180
8160	18659767
8163	20898054
8164	41368480
8170	40140278
8172	15053523
8189	24427439
8203	20291617
8207	8311299
8219	10272791
8229	25451063
8234	9059766
8236	41050616
8244	23647483
8245	10206430
8247	11746351
8255	21697151
8286	23561342
8297	33057238
8312	28110528
8317	27576436
8321	27637386
8332	23441764
8336	26325799
8339	76535778
8360	21620111
8378	11043375
8380	39823593
8394	14889435
8397	24572156
8411	20198874
8413	26628254
8417	6585172
8430	346150
8431	14253688
8438	10705389
8441	20375012
8447	2201815
8450	7798565
8455	4764225
8458	2553422
8459	182094
8462	38508729
8463	20493207
8465	9854741
8481	5300259
8488	859562
8489	37663030
8500	17493710
8510	27825787
8512	38224981
8519	23495235
8526	9931140
8547	864470
8553	32038549
8557	1077072
8561	13937946
8562	19709871
8563	1001393
8571	24321743
8577	26237086
8579	14840
8582	4284938
8600	513524
8603	44164799
8623	21927188
8625	24328306
8635	39575169
8641	7057489
8653	15398923
8656	6008028
8657	19779575
8663	15445645
8665	10787975
8673	15943487
8675	40644524
8677	891785
8691	5558114
8698	14355903
8702	757297
8709	7082259
8710	13510908
8716	5906400
8723	18641
8731	12462195
8742	11532914
8745	11621231
8746	18177965
8751	10962724
8759	1956044
8761	3172277
8768	25552849
8771	8214765
8775	591589
8782	3806414
8789	40296659
8792	15801228
8795	15941233
8796	25427452
8805	22029354
8832	29865974
8833	23384317
8850	1333377
8853	7833050
8885	588140
8898	577574
8919	26111556
8921	14255394
8950	11574332
8964	33494743
8965	42473865
8969	14993898
8974	764117
8986	4802960
8994	26041945
8999	22794030
9007	23309260
9012	29410507
9019	27942271
9020	15517808
9026	3758618
9027	15873853
9040	3652243
9043	12764226
9045	29151620
9047	26049297
9052	15399981
9067	4475242
9079	21091452
9094	9462474
9106	11258493
9108	2700794
9119	11684111
9132	7014088
9155	16722635
9173	13362558
9178	25068519
9195	14985794
9196	11373549
9203	15433402
9209	17875754
9214	2887911
9216	24409159
9226	15902719
9228	21016701
9232	40497916
9238	250755
9248	16511849
9251	21555579
9260	20427514
9265	18411741
9267	30139912
9269	4579755
9270	23749363
9287	3593014
9288	17894100
9291	965839
9317	2967048
9324	15578647
9327	17987055
9338	90954
9341	20065903
9345	20729810
9348	40580975
9367	14260008
9383	17888741
9398	39823593
9407	51247861
9411	27216524
9414	27215787
9415	27172282
9430	30205421
9437	4878945
9440	46386839
9443	46810987
9448	25497758
9449	3872891
9458	26050200
9466	8615743
9474	24321743
9485	17903403
9495	3770092
9504	8793842
9513	26093209
9519	450428
9534	11271219
9539	9198652
9541	21109419
9554	11986875
9574	7701184
9577	9158005
9578	14744290
9583	10410438
9587	416175
9588	15993263
9596	21202153
9600	8699
9602	27028035
9617	10975261
9621	12582936
9625	20909255
9633	25488411
9636	8147683
9648	38263563
9652	23960713
9655	14302977
9657	46514
9668	2157329
9670	16450999
9678	12460921
9683	10727203
9692	4860112
9716	4898306
9718	687135
9722	18095645
9725	12291092
9729	23935611
9732	378988
9735	15026290
9741	13236593
9744	6658082
9745	20118790
9748	677899
9751	10773526
9752	12606071
9758	3979723
9759	33682662
9770	33345140
9772	5515567
9774	1542615
9779	19096482
9790	8665243
9793	13382815
9794	13941871
9808	10742349
9810	23243569
9811	11474390
