geneid	dist
631	23595606
991	5219473
992	330497
1005	127829
1274	32724947
1711	152
2011	1744564
2929	174531
2932	287
3124	1836397
3159	505395
3855	8268059
4104	6699247
4202	8268059
4208	3215198
4275	8268059
4374	8268059
4378	47771253
4475	3984340
4513	8268059
4530	15075609
4544	44662740
4546	44662740
4716	49059838
4717	8268059
4747	8268059
4772	3215198
4828	3215198
4841	3215198
4881	18717009
5051	2545071
5059	428854
5085	2500637
5098	318635
5143	1208468
5151	4279599
5161	1369595
5197	1869267
5198	5042017
5216	6062360
5234	22439319
5242	470746
5249	1228912
5264	1468001
5266	10525245
5280	5922
5291	6327665
5302	48718
5331	10396938
5345	4508258
5362	2594821
5369	6686431
5397	9943670
5401	1932918
5467	18538799
5468	9954780
5470	23013502
5471	15283275
5505	2470903
5506	907456
5522	7327864
5546	14415099
5557	4538250
5562	4758962
5597	14315760
5599	15567116
5608	7480414
5631	1730341
5654	57994392
5659	758934
5670	13209700
5691	20085574
5697	3801676
5705	18404940
5730	12776307
5740	11601030
5748	3764720
5780	17030806
5785	11233353
5798	14402568
5820	7547037
5837	1954811
5841	13443507
5843	16389937
5854	10610531
5874	13252960
5877	10229208
5879	2403619
5895	13342028
5898	19937627
5901	12968121
5912	18956532
5914	7072248
5916	10668259
5921	15794842
5930	6211369
5951	15474427
5977	10396938
5993	9848678
6004	12372008
6012	19343396
6023	14209467
6050	15434740
6061	8324135
6095	12088632
6101	20639023
6106	29620992
6117	29184421
6120	12021626
6121	7576812
6144	8035215
6160	21779014
6179	29562051
6195	609548
6197	13170830
6201	1932918
6204	14376308
6206	7189368
6215	19374147
6228	29608546
6230	7897017
6266	32102767
6267	20474883
6276	7076415
6278	4186775
6287	13225976
6290	13310972
6291	1367011
6295	13252960
6304	14471402
6308	21688172
6316	6787118
6329	19343396
6338	1229493
6351	16856761
6360	21604146
6390	25825897
6401	1967491
6416	669550
6441	426295
6469	18901542
6470	1967491
6504	11954118
6514	893
6538	9545287
6552	27549891
6567	13995984
6597	2567528
6639	2538359
6653	1426016
6658	23561944
6663	11659854
6667	10741069
6676	1106916
6689	30662310
6709	2658391
6722	29361405
6723	6121149
6731	550912
6745	18019092
6760	2166123
6764	12718758
6771	13402780
6795	9954780
6808	4925223
6809	790184
6813	19983126
6816	18310442
6820	20599691
6821	2010587
6826	21139767
6834	20668944
6839	9972824
6850	2496037
6855	19983126
6861	1967491
6863	11931214
6890	22812614
6898	17578278
6902	2538359
6905	15986240
6913	2496037
6916	8368735
6918	1726669
6920	17498757
6923	10054802
6926	21262123
6931	2202622
6936	2726601
6938	2726601
6939	18829661
6946	8639904
6952	11313023
6953	3974414
6974	13395771
6986	16835745
6987	24878261
6988	14234318
6990	9833454
6997	6440498
7005	19793820
7007	25648213
7013	11267908
7014	19518821
7045	20698772
7057	21152415
7058	10573281
7066	2594821
7084	18363054
7094	2726601
7098	2794567
7108	3134565
7114	1180046
7119	12597285
7144	1971631
7146	2533621
7151	2819522
7158	12032136
7162	1706511
7166	7593558
7179	6345023
7183	17892808
7190	21965558
7222	11007316
7237	4593990
7258	11212359
7264	5466824
7299	1022688
7301	14063065
7327	25318327
7333	1085142
7338	9050008
7346	5146350
7353	27821703
7385	11271120
7387	4259265
7411	3543264
7425	2139407
7426	9636957
7428	609927
7430	9545342
7435	2726601
7443	596989
7455	5332477
7461	4377911
7462	8035968
7469	1092920
7496	25343653
7497	21400923
7498	25528974
7499	4615004
7503	25467978
7511	10242033
7525	4021203
7536	27226536
7540	17475758
7546	3592750
7562	1701167
7580	4461890
7583	918827
7590	16065654
7595	3477788
7606	1103295
7611	2339996
7621	6773697
7637	17717979
7648	3384541
7649	19579212
7659	5777066
7688	3491630
7692	1297773
7701	537454
7709	809869
7714	8267847
7719	858936
7733	7259309
7734	2533621
7738	8249386
7739	5232305
7741	10381062
7760	310064
7761	21512517
7776	17421856
7777	3608153
7791	22461021
7808	1967491
7816	330751
7829	13216462
7832	5639552
7834	21425535
7854	7658006
7882	10445877
7883	5179743
7887	4545317
7900	1854898
7907	2496037
7910	22486262
7918	7860806
7919	103108
7923	19707540
7926	370863
7933	9752929
7937	20814610
7938	2849442
7983	11362241
7987	24175288
7988	2496037
7993	3610390
8002	2496037
8006	13124449
8013	4009690
8018	21179760
8019	18162913
8029	11713318
8031	14179830
8042	7257347
8044	9187903
8061	20559
8071	17411081
8082	45268931
8083	17465707
8090	21161868
8096	22033166
8097	445364
8101	13305292
8117	11517067
8120	2890994
8143	9574773
8147	22326056
8148	5594630
8153	1594135
8160	15629483
8163	3664842
8164	9933753
8170	8989708
8172	12985271
8184	13252960
8189	21059469
8203	3165602
8207	7796091
8219	9125030
8229	2726601
8234	8083918
8236	9693023
8244	6058768
8245	9058059
8247	10528743
8255	9099154
8286	7025667
8297	29586194
8312	3269372
8317	21277520
8321	3745953
8332	7073423
8336	23013502
8338	30383375
8339	30373494
8360	4278100
8378	9892116
8380	127829
8394	12462241
8397	21190133
8411	9596677
8413	22111029
8417	6213451
8431	13179812
8438	9545342
8441	9504386
8450	6504647
8455	4776477
8458	2236335
8459	198537
8462	7690680
8463	3328140
8465	8773995
8481	5267303
8488	895502
8489	13706163
8500	11836690
8505	742183
8510	3505097
8519	9394049
8526	8278340
8547	12623713
8553	18051019
8557	8048258
8561	11118512
8562	10019692
8563	1089628
8571	6659062
8577	4845216
8579	70227
8582	3877746
8600	479731
8603	1058794
8623	19783761
8625	20991364
8635	35079682
8641	6863502
8653	13469527
8656	5873834
8657	9968871
8660	12761029
8662	309037
8665	9628581
8673	12752404
8674	1051
8675	4516377
8677	986064
8691	4996774
8698	12572931
8702	786650
8708	211004
8709	6687231
8710	10762667
8716	5284061
8731	10437069
8742	10602429
8745	17117
8746	11333510
8751	9792659
8759	1853379
8761	2880421
8768	5633002
8771	7911079
8775	582393
8782	3984340
8789	8901697
8792	13247154
8795	14505580
8796	444022
8805	19007761
8832	2163388
8833	7161963
8853	6530303
8885	524565
8898	503518
8921	12514593
8928	24979968
8950	10644340
8964	30569178
8965	9844832
8969	13179104
8986	4344132
8994	6356912
8999	19669825
9007	7178953
9012	3860975
9019	3472057
9020	14617397
9026	3374561
9027	13854471
9040	3270555
9043	12173222
9045	4313425
9047	5086994
9052	14511740
9067	4049946
9079	18182715
9094	8457490
9106	10381062
9108	2364511
9119	11099103
9132	6583092
9155	15669183
9173	10616528
9178	7102171
9195	13174528
9196	10179602
9203	13489158
9209	16038225
9214	2693062
9216	4744671
