geneid	dist
559	3687
564	4930
572	6854
575	7677
579	7519
582	7358
590	6678
594	5826
602	5408
605	5118
614	515
619	1740
624	1142
633	16163433
636	149
991	10205914
992	1476870
1024	1462991
1274	1148538
1325	6542970
1430	11961804
2010	30436831
2011	30481573
2014	30437851
2929	432
3124	1894921
3150	1389410
3152	1176334
4104	5183058
4208	7599429
4534	13070817
4536	6356272
4539	13070817
4540	6356272
4542	6356272
4545	6356272
4548	50616972
4559	6356272
4580	6356272
4595	6356272
4623	6356272
4714	50616972
4741	76353804
4772	7599429
4828	7599429
4841	7599429
5007	2872976
5051	6837700
5059	2851032
5085	6967370
5098	2717170
5143	4052961
5151	10165791
5161	4240767
5197	660226
5198	11006395
5216	12025387
5234	16163685
5242	2888457
5249	4074338
5264	527291
5266	33323374
5280	4340036
5291	12295021
5302	21175095
5331	33193105
5345	10395964
5362	6823596
5369	12695969
5401	577343
5467	21593579
5468	5221272
5470	23399440
5471	7536343
5505	10848
5506	3571371
5522	24926
5546	9577360
5557	10432981
5562	10696598
5599	5611683
5608	459516
5654	5378175
5659	8058454
5670	28700680
5691	23299996
5697	9701538
5705	21453442
5730	7869724
5740	6710691
5748	9661167
5772	38083527
5780	11781900
5785	34132960
5798	9562777
5820	528367
5837	567186
5841	8615692
5843	11179984
5854	5831921
5874	8404969
5877	5469521
5879	6256346
5895	8518839
5898	23127607
5912	21993054
5913	209752
5914	231950
5916	5890404
5921	18290487
5930	1577033
5939	6873124
5951	5491183
5977	33193105
5993	13443926
6004	35561464
6012	22484757
6023	8579459
6050	5453280
6055	8285387
6061	3747286
6095	7178384
6101	23954512
6106	23184139
6117	32206641
6120	35068988
6121	569316
6137	2455593
6144	14055392
6160	25157647
6179	23119859
6198	3957702
6201	577343
6204	9539441
6206	136663
6215	22529862
6228	23172342
6230	18409337
6253	605310
6266	25823157
6267	14445887
6276	17470427
6278	10069299
6287	8331447
6290	8482374
6291	735334
6295	8404969
6304	9635583
6308	25042745
6316	12819358
6329	22484757
6338	4074999
6351	11624447
6360	24971728
6390	18934502
6391	1856734
6401	2879638
6416	1885939
6441	7738316
6469	21945073
6470	2879638
6504	35003022
6514	6993077
6538	20504307
6552	20926069
6567	9167789
6597	12256618
6653	540496
6658	16663584
6663	34670922
6667	5955725
6676	1034713
6689	24380302
6709	197777
6722	22914821
6723	1614358
6731	2966850
6745	21019231
6760	6511958
6764	7777030
6771	8564466
6784	6046980
6795	5221272
6808	10869263
6809	8112792
6813	7431730
6816	23178190
6820	4396398
6821	553908
6826	3751329
6834	4330684
6839	5236826
6850	3591850
6855	7431730
6861	2879638
6863	7041659
6890	16542369
6898	22036068
6905	20160299
6913	3591850
6916	3789049
6917	17940807
6918	2567428
6920	21933601
6923	2445276
6931	8021592
6939	23804851
6946	14512728
6952	6466866
6953	1805140
6974	6139506
6986	21197801
6987	18039515
6988	18271804
6990	2211216
6997	16848650
7005	25048261
7007	18802620
7013	6429038
7014	24620440
7045	4272252
7052	8989182
7057	3723457
7058	5730121
7066	6823596
7084	23237271
7108	1379941
7114	6570581
7119	16551238
7144	6696484
7151	2470123
7158	35078493
7162	2549088
7166	16394506
7176	8134563
7179	1186724
7183	22490539
7190	25386275
7222	329
7237	904700
7258	15152269
7264	11629715
7299	42951023
7301	18065128
7327	10419962
7333	6427965
7338	15326446
7346	11272516
7353	31626525
7387	1293866
7411	2303145
7425	6600079
7426	85594036
7428	5089180
7430	85488925
7443	7889467
7455	34898
7461	1194555
7462	14341691
7496	10455526
7497	3563976
7498	29295735
7499	10711173
7503	18650752
7511	86145714
7525	9906274
7536	20660138
7540	21904307
7546	1483064
7583	5566700
7590	20235379
7595	2421518
7606	6465081
7611	8207186
7621	1644883
7637	22211159
7648	1565483
7649	24725666
7659	37938536
7688	1560952
7692	6777957
7701	5006101
7709	5347515
7714	3717733
7719	5337248
7733	2963214
7738	84077029
7739	11385974
7741	5594116
7760	7558048
7761	24882929
7773	33482312
7776	21857044
7777	9496195
7783	8463695
7791	16186497
7808	2879638
7816	2130847
7829	5907463
7832	11479836
7834	3535522
7854	3184405
7882	2876954
7883	11301101
7887	10665375
7900	679596
7907	3591850
7910	2263459
7918	83659462
7923	24936624
7926	2125283
7931	21832936
7933	2138205
7937	4096930
7938	8964540
7983	6069219
7987	17239845
7988	3591850
7993	2206158
8002	3591850
8006	36387834
8013	1614755
8018	421513
8019	21198740
8028	1613660
8029	5714596
8031	9357776
8042	17684127
8044	85133310
8061	2369739
8071	20405498
8074	11603409
8082	24350937
8083	21890479
8094	6809707
8096	2872672
8097	7739853
8101	6024545
8117	15471205
8120	6328325
8147	1636328
8148	81178487
8153	11102228
8160	5663986
8163	2192406
8164	13571521
8170	12247771
8172	5646826
8184	8404969
8189	291011
8203	2822671
8207	3291919
8219	85008835
8234	83925899
8236	13234123
8244	17775154
8245	84943000
8247	86461793
8255	4405942
8286	1902315
8297	23144771
8312	1484034
8317	3662927
8321	1393708
8332	1976839
8336	23399440
8337	7165315
8338	2201475
8339	2229950
8360	1271783
8378	85829786
8394	35625780
8397	430258
8411	5096389
8413	2812281
8417	2086873
8431	28673171
8438	85488925
8441	5000857
8447	5097661
8450	12492467
8458	7433042
8459	2329070
8462	672192
8463	2662475
8465	84647332
8489	17751712
8500	10885886
8510	1547336
8519	2872976
8526	14243557
8553	22667946
8557	4722732
8561	75975268
8562	5520945
8571	1359839
8577	301392
8579	20012462
8582	79584115
8600	2004677
8603	6391761
8623	12585625
8625	199163
8635	28504988
8641	7427962
8657	5485117
8659	8451985
8660	7845565
8662	2236360
8663	8388994
8665	85585867
8673	9372469
8674	84459803
8675	10631635
8677	2644
8691	80595608
8698	5197236
8708	5378834
8709	2474159
8710	76488367
8716	80875370
8723	6045488
8731	33231846
8742	5822371
8745	923972
8746	11425902
8751	85752810
8761	78555966
8768	554110
8771	4866227
8775	2989215
8789	15166644
8792	28768738
8795	9652124
8796	4886746
8805	2074489
8832	28038605
8833	2068717
8850	6478410
8853	12544785
8885	221130
8898	5740116
8921	5153048
8928	18542943
8950	5864845
8965	20874552
8969	8916916
8974	76017330
8986	79983737
8994	23086143
8999	1259137
9007	2096896
9012	27543758
9019	1655045
9020	3344024
9026	8407038
9027	7969177
9040	78993568
9043	476247
9045	27188916
9047	160418
9052	3224975
9067	79760184
9077	23619851
9079	2901226
9094	84306328
9095	2581083
9106	5594116
9108	7544349
9119	905976
9132	2408438
9155	4628210
9173	76671306
9178	22208511
9182	8451985
9195	8921976
9196	86087471
9203	8402394
9209	10844250
9214	227831
9216	266120
9226	9297784
9228	3028824
9232	12674748
9238	75475078
9248	9071262
9251	2422358
9260	17525945
9265	5427881
9267	2395766
9269	5906284
9270	20908536
9287	78944182
9288	5852306
9317	7758234
9324	8285118
9327	5950447
9338	5202270
9341	17167706
9345	2349643
9348	12767120
9367	9778416
9383	5850354
9385	1148538
9401	29243375
9403	2945945
9407	19729495
9408	58449074
9409	5792282
9411	17338234
9412	2931524
9414	17337506
9415	17289626
9420	11832150
9437	23000092
9449	87667
9458	23090892
9466	16272323
9474	1359839
9485	16253600
9495	9607
9504	16400742
9513	2241008
9519	5592711
9525	4204138
9539	3923817
9541	2873359
9554	86662764
9574	18169740
9575	6308204
9577	3901341
9578	5351851
9583	4958052
9587	5544129
9588	9437595
9596	2769205
9600	5144532
9602	24652374
9603	2813316
9617	80319816
9621	6634258
9625	3130115
9633	22574883
9636	8136896
9638	5664250
9648	17219502
9652	21130544
9655	35027801
9657	5170176
9659	3519708
9661	6556588
9668	7162868
9670	7533788
9678	6556588
9683	85514595
9692	80048810
9716	9322107
9718	5848529
9721	56499724
9722	6885955
9725	77929189
9729	21095702
9732	5500098
9735	8416249
9741	7187200
9744	44556
9745	17214903
9748	5834975
9752	16673251
9758	79250940
9759	10606647
9770	10933090
9772	80567016
9774	1075972
9779	11828096
9790	814705
9793	1164951
9794	10076894
9806	18913948
9808	85530329
9810	3471834
9811	1258096
9813	78968931
9821	1553727
9846	2141776
9851	12718708
9852	84838584
9853	3421947
9864	1795550
9866	8410044
9870	9894564
9878	18385005
9880	83079377
9893	5236826
9897	77756111
9902	3556767
9922	30867894
9930	1846598
9933	3325559
9943	25903008
9944	99428
9950	75735285
9951	6265668
9954	8228914
9960	85468949
9961	132394
9963	8930696
9986	9625893
9990	7722777
9994	81497985
10007	81152968
10008	5529796
10018	28657995
10021	305578
10026	18028279
10033	327187
10037	75484966
10052	14859294
10054	5636003
10061	82051694
10070	995
10071	80085287
10075	21179478
10076	5869470
10079	470105
10086	32206641
10088	8749434
10091	9273540
10107	11668207
10112	6018267
10118	4084482
10121	10182928
10122	553908
10123	22452467
10127	77012152
10128	2662475
10133	81063220
10134	2140841
10143	1027407
10145	567186
10156	1588667
10167	3085076
10171	1422290
10172	3743699
10187	5365557
10195	107513
10203	10306884
10204	7414433
10205	7180076
10206	16301090
10209	962503
10212	5814573
10213	11972416
10228	83787
10233	22505008
10236	4688062
10240	10981846
10245	1621294
10254	11206313
10262	17188714
10264	150324
10269	6113241
10276	7499357
10282	12219959
10286	809167
10287	16585038
10293	16330129
10296	21142166
10298	7448195
10306	10543613
10307	17774244
10317	1505669
10322	17699685
10323	22685980
10324	9849667
10331	3293597
10334	3103101
10335	15626389
10336	17376628
10341	1133420
