geneid	dist
559	2602661
582	7481
602	5949
619	17244
636	155
992	1171368
1032	9305765
1238	9305765
1430	3856449
2011	1532925
2735	13466179
2929	875
3124	2261090
3159	1425
3361	13466179
3855	1985
3911	5755267
4104	5391467
4202	1985
4208	30411303
4275	1985
4374	1985
4378	57781170
4475	2564000
4513	1985
4525	3486953
4548	629
4714	629
4716	60117472
4717	1985
4747	1985
4756	7561786
4772	30411303
4828	30411303
4841	30411303
4856	21593291
4857	5940
4881	22776
4901	6099061
4919	6012346
5007	21598643
5051	32399686
5059	34506542
5085	32482470
5098	34668243
5143	15983501
5151	30622270
5161	33588088
5197	21729136
5198	7612808
5216	28808473
5234	16762972
5242	34433931
5249	24405019
5264	305422
5266	23570029
5280	299
5291	28474906
5302	30295599
5331	23775464
5345	30341248
5362	32387205
5369	28096087
5397	339835
5401	21720261
5467	14125428
5468	367425
5470	17509218
5471	18128994
5505	21082687
5506	34040101
5522	25418085
5546	6108880
5557	30310476
5562	30178577
5597	5994175
5599	17814738
5608	25676417
5659	18450639
5670	20430042
5691	12188793
5697	31073846
5705	14375947
5730	3964118
5740	2408195
5748	31152363
5772	19761665
5780	9558546
5785	22761321
5798	6093855
5820	25735079
5837	21643237
5841	4827798
5843	8806720
5854	1217817
5874	4571522
5877	718283
5879	20023355
5895	4696774
5898	12628229
5912	13619933
5913	21636982
5914	25218080
5916	1275951
5921	17641202
5930	24173802
5951	17853034
5977	23775464
5993	28520703
6004	21600012
6012	13105742
6023	19264564
6050	17893935
6055	4519727
6061	25786944
6095	3030471
6101	11476011
6106	37960819
6117	4817
6120	21811036
6121	25771636
6137	4678806
6144	26435076
6160	9998294
6179	37899080
6195	10858807
6201	21720261
6204	6067282
6206	25344328
6215	13092464
6228	37954622
6230	20444010
6253	352019
6266	41243549
6267	14198443
6276	19290502
6278	17366507
6291	417600
6295	4571522
6304	6171915
6308	10152365
6316	28037718
6329	13105742
6338	33654602
6351	9323984
6360	10328661
6390	33094112
6391	10888820
6401	1730962
6416	10912157
6441	1111
6469	13773215
6470	1730962
6504	22002237
6514	17656813
6538	22704918
6552	35277240
6567	5534043
6597	12913063
6653	308746
6658	30559109
6663	22240457
6667	1338762
6676	3936
6689	39287177
6709	4366
6722	37641917
6723	24145028
6731	34362111
6745	14732004
6760	40400240
6764	3853149
6771	4773568
6784	17962022
6795	367425
6808	30052404
6809	18476735
6813	28586462
6816	30943399
6820	22160396
6821	21625954
6826	21515191
6834	22080761
6839	373266
6850	1249438
6855	28586462
6861	1730962
6863	2842106
6890	17267084
6898	33804707
6905	201119
6913	1249438
6916	25748767
6917	3243624
6918	1955668
6920	33609026
6923	10515463
6931	37814366
6936	632
6938	632
6939	30335392
6946	25760191
6952	2064136
6953	3231359
6974	18059336
6986	32596303
6987	32090205
6988	2649456
6990	10265932
6997	18264544
7005	28814459
7007	32947409
7013	2015309
7014	29236959
7045	22011981
7052	36951096
7057	21501901
7058	1172932
7066	32387205
7084	30944453
7094	632
7098	2142447
7104	22345027
7108	16022165
7114	39048481
7119	4695467
7144	19565235
7146	1893
7151	2171789
7158	21784489
7162	1967591
7166	7140197
7176	37733010
7179	12144405
7183	327096
7190	9745203
7222	11538514
7237	3905391
7258	28532397
7264	34989818
7299	816947
7301	2916705
7306	7560757
7327	12282048
7333	39155078
7338	6068957
7346	35183892
7353	2605705
7385	14409574
7387	3536322
7411	2753284
7425	19687543
7426	8007613
7428	39000313
7430	10207559
7435	632
7443	18329094
7455	4576679
7461	3663736
7462	7011579
7469	39139700
7496	11816666
7497	21288872
7498	4856261
7499	35631984
7503	32750517
7511	15438842
7525	30918547
7536	34938526
7540	33571898
7546	15470827
7562	1973478
7580	35763781
7583	39378213
7590	31279029
7595	2690340
7606	39126116
7611	37724251
7621	11618687
7637	33936137
7648	15781409
7649	29127456
7659	9497561
7688	15538320
7692	38915845
7701	20190
7709	39221631
7714	25832027
7719	39234676
7733	27108492
7734	1893
7738	8750826
7739	35097184
7741	918443
7760	17988891
7761	10359483
7776	33488280
7777	31346622
7791	16788795
7808	1730962
7816	23338402
7829	17840340
7832	29258641
7834	21250787
7854	26572612
7882	10937838
7883	35152872
7887	35646820
7900	21750279
7907	1249438
7910	20070644
7918	8361947
7919	23608237
7923	28943928
7926	23333124
7931	33462441
7933	10183085
7937	21895948
7938	37237142
7983	14301287
7987	31281322
7988	1249438
7993	2825363
8002	1249438
8006	20598826
8013	3268338
8018	18307932
8019	14598355
8029	13931721
8031	5802823
8042	19536898
8044	9844469
8061	23678535
8071	15624067
8082	19711999
8083	33557961
8090	21493374
8094	38892521
8096	20616804
8097	18155343
8101	17939322
8117	5926431
8120	32040969
8143	8082538
8147	19605498
8148	5952171
8153	11525850
8160	17724344
8161	2024840
8163	2879721
8164	28614472
8170	27374128
8172	988
8184	4571522
8189	18178048
8203	2366316
8207	26514514
8219	9773685
8229	632
8234	8594190
8236	28284300
8244	5441482
8245	9690964
8247	15122766
8255	9934999
8286	11459950
8297	37926409
8312	15809446
8317	21420519
8332	11285648
8336	17509218
8337	12999372
8338	23272284
8339	23284676
8360	3557954
8378	15835595
8394	21334541
8397	18319134
8411	8063630
8413	20559331
8417	28188178
8430	320228
8431	19796709
8438	10207559
8441	8215748
8447	342490
8450	28290135
8455	3412018
8458	2011225
8459	23586190
8462	25898422
8463	2526976
8465	9378023
8481	3950805
8489	3294478
8500	5345915
8505	554780
8510	15526470
8519	9083376
8526	26361404
8553	34523191
8557	1250
8561	1887990
8562	7567352
8563	457491
8571	12094615
8577	13982674
8579	5321
8582	4119186
8600	23211332
8603	39187482
8623	25698904
8625	18085750
8635	38460695
8641	6265721
8653	287
8656	4548969
8657	7597579
8660	3942667
8662	23467200
8663	9276085
8665	10291579
8673	3841273
8674	9146653
8675	35690129
8677	583128
8691	20078
8698	13368724
8702	640630
8708	578572
8709	27613160
8710	1480428
8716	5607050
8723	6112659
8742	1207304
8745	10901867
8746	5997416
8759	235803
8761	3058869
8768	13298652
8771	7410330
8775	34307721
8782	2564000
8789	6388038
8792	20396261
8795	6212868
8796	9543063
8805	15820112
8832	35165185
8833	11201489
8853	28266936
8885	301793
8898	319227
8921	13305711
8928	20051452
8950	1248019
8965	23123726
8969	8457971
8974	758016
8986	4587436
8994	38596297
8999	16569859
9007	11138239
9012	35307160
9019	15633738
9020	14865585
9026	3090036
9027	9693949
9040	3504405
9043	12109880
9045	35456487
9047	13797778
9052	14729002
9067	4311575
9077	37707703
9079	14894005
9094	8262020
9095	14176465
9106	918443
9108	2141205
9119	10995127
9132	27994808
9155	15834580
9173	1314717
9178	10373429
9195	8451444
9196	15503178
9203	2931
9209	8310958
9214	20810270
9216	24867592
9226	3797318
9228	14812873
9232	27721506
9238	257535
9248	19892455
9251	15347291
9260	14580482
9265	17954014
9267	29817408
9269	3840139
9270	11366647
9287	3414955
9288	17057237
9291	478547
9317	2381210
9324	9396811
9327	17162552
9338	733836
9341	14938681
9345	2734184
9348	27808658
9367	7676927
9372	8825152
9383	17053996
9391	18846580
9399	18637054
9407	6225382
9408	11093574
9411	18366418
9414	18365698
9415	18317127
9430	18258846
9437	18158890
9443	404837
9448	24533410
9449	19817853
9458	38579553
9466	25613186
9471	4411743
9474	12094615
9485	7236698
9495	19856410
9504	25428330
9513	20049993
9519	427425
9534	15570406
9539	25489862
9541	14903747
9554	1330
9574	20107109
9578	13540027
9583	24420265
9587	435660
9588	3887277
9596	14985403
9600	775734
9602	37011875
9617	9947925
9625	14700479
9633	9894347
9636	7705979
9638	375494
9648	18779523
9652	11184705
9655	21844604
9668	1693007
9670	10280709
9683	10228211
9692	4648313
9716	4117852
9718	228046
9721	2053174
9722	11889586
9725	32113
9729	11308544
9732	483902
9735	2957628
9741	3041209
9744	25384849
9745	14873086
9748	245969
9751	339835
9752	10707037
9758	3780844
9759	33373789
9770	33003945
9772	5266218
9774	10642990
9779	9604388
9790	7749429
9793	12750002
9794	7439505
9806	20507921
9808	10243411
9810	22558600
9811	10771987
9813	3427929
9821	207080
9851	27765109
9852	9576162
9853	14999646
9864	9818544
9866	9237517
9870	1274
9878	14234563
9880	7758349
9893	373266
9897	142851
9902	26106708
9922	15076711
9930	3538
9931	9861691
9933	26347396
9944	21268338
9950	2293899
9951	841516
9954	9431007
9960	10166253
9961	21320609
9963	8438887
9986	7834111
9990	18116783
9994	6309770
10007	5916183
10008	452103
10018	16758727
10021	1327
10026	32078164
10033	21364098
10037	261730
10052	266
10054	397374
10061	6773827
10070	38527
10071	4708282
10075	11143897
10076	218070
10079	21520932
10086	4817
10088	21090267
10091	3751901
10107	29116490
10112	186217
10118	106
10121	7172493
10122	21625954
10123	10064692
10127	1172347
10128	2526976
10133	9306507
10134	12940918
10143	12638287
10145	21643237
10156	256088
10167	26777512
10171	15915967
10172	4543
10187	660060
10195	15729634
10203	30429210
10204	17990039
10205	19275819
10206	16031
10209	12586558
10212	272681
10213	47386527
10228	25374129
10233	9949599
10236	22818711
10245	51433598
10254	32641977
10262	14888546
10264	19747653
10269	17262510
10276	25556049
