geneid	dist
559	43465905
631	24121686
633	13925176
636	5521953
971	172879
991	78939919
992	1109719
1024	67083191
1032	1643
1152	101
1238	1643
1274	229754
1325	152
1430	26920
2011	5038
2256	101
2735	7121425
2929	261
2932	215738
3124	400204
3150	250487
3152	548
3361	7121425
3901	981
4208	25922033
4378	36969535
4448	15438587
4475	4124643
4525	37910038
4529	3470541
4530	1206743
4543	24214066
4544	24222719
4546	24222719
4716	38308368
4734	15438587
4742	1805267
4744	24142270
4750	15438587
4772	25922033
4827	15438587
4828	25922033
4841	25922033
4901	940682
5009	981
5051	12445488
5059	8304663
5085	12437184
5098	13153294
5143	9863332
5151	15764347
5161	10152660
5197	27954
5198	16812574
5216	18440362
5234	21682112
5242	8381388
5249	9899496
5266	24554634
5280	10248238
5291	18813102
5302	16112249
5305	18632948
5331	24346279
5345	16053981
5357	33016148
5362	12541083
5369	19331497
5397	9264425
5401	125391
5467	32979641
5468	9281455
5470	20877262
5471	63754149
5493	187927
5505	760632
5506	9226465
5522	57098747
5546	14684539
5557	16092051
5562	16422655
5597	14579227
5599	64097983
5608	57385150
5631	46955069
5659	44698425
5670	28844539
5697	14896596
5705	33262646
5740	11315914
5748	14832821
5780	17923786
5785	25645308
5798	14669888
5820	57494208
5837	150999
5841	13555099
5843	17113342
5854	10121044
5874	13277289
5877	9610174
5879	48261742
5895	13433006
5898	31386546
5901	13100074
5912	32415743
5913	57124527
5914	56771811
5916	10196192
5921	64406536
5930	54872677
5939	47135189
5951	63995740
5977	24346279
5993	54608864
6004	27669016
6012	31875356
6023	62354901
6050	29770330
6055	13260918
6061	7320400
6095	11944183
6101	30262187
6105	32185965
6106	40960439
6117	52273935
6120	27114076
6121	57550896
6144	21260253
6160	60649054
6179	40886030
6195	138724
6198	51135004
6201	125391
6204	14642844
6206	56986477
6215	31851542
6228	40944830
6230	43968733
6266	43924640
6267	22017251
6276	42653493
6278	15604141
6290	13394949
6291	24253973
6295	13313465
6304	14757422
6308	60785540
6316	19471274
6338	9900236
6351	17664103
6360	29051538
6390	36192518
6391	57834
6401	22465262
6416	46286
6429	34262618
6441	43834735
6445	2423168
6469	32597290
6470	22465262
6474	2267796
6504	26970561
6514	42555018
6530	56486202
6538	46235356
6552	38413695
6567	14159042
6597	37089671
6635	56486202
6649	2423168
6653	24019584
6658	33361141
6659	56486202
6663	65978994
6667	10279729
6676	2629244
6689	42238607
6709	982569
6722	40605066
6723	54839301
6731	8490898
6745	33635791
6760	47780758
6764	12758085
6771	13497137
6784	18890998
6795	9281455
6808	16628611
6809	44854562
6810	13222508
6816	9599151
6820	6556057
6821	243931
6826	5825739
6834	6492671
6839	9299208
6855	7149107
6861	22465262
6863	11750712
6890	21114472
6891	23254263
6905	13072682
6916	7381813
6917	15568273
6918	24768271
6920	11047978
6923	14338768
6926	5754670
6931	26293727
6938	23302698
6939	8984848
6943	23254263
6946	22135342
6949	23388655
6952	10957918
6953	16591820
6974	19013422
6986	11937760
6987	35118933
6988	15008312
6990	14029187
6997	41734548
7005	7520935
7007	36061695
7013	10899548
7014	7850305
7045	554
7052	25129840
7057	5792186
7058	9983466
7066	12541083
7084	9544864
7098	20359534
7108	33548893
7111	5725524
7114	28085658
7119	16837614
7144	47345567
7151	23413639
7158	27124720
7162	24746181
7166	21532725
7176	26173726
7179	29275974
7183	10380472
7190	60464711
7199	56486202
7222	15569567
7237	17458301
7258	52666591
7264	22322515
7301	15247650
7306	22129074
7327	14878360
7333	28222170
7338	18237111
7346	22500438
7353	54021845
7385	11356347
7411	15941064
7425	47706587
7426	4357760
7428	29762747
7430	4249802
7443	44096060
7455	18359153
7461	17149355
7462	19227104
7469	28445400
7496	14373957
7497	5588832
7498	56052406
7499	23258944
7503	35895742
7511	5085718
7536	38102054
7540	11066597
7546	32899887
7562	24738048
7583	29200838
7590	13001257
7595	15833640
7606	28181107
7611	26165568
7621	28640108
7637	10775551
7648	33270238
7649	7764557
7659	21649059
7675	5663012
7688	620695
7692	27835918
7701	29803439
7709	29382050
7714	7256299
7719	29396890
7733	6187443
7734	23277430
7738	27065663
7739	22397768
7741	9794752
7760	43513792
7761	29131361
7773	24796951
7776	11146568
7777	14553526
7783	13362965
7791	21560261
7808	22465262
7829	18746870
7832	17706530
7834	5562403
7854	6525878
7863	28405442
7882	14809148
7883	22445630
7887	23276584
7907	23228634
7910	4088032
7918	26520368
7923	7537906
7926	183819
7931	11162107
7933	13927221
7937	6277026
7938	25494996
7983	11186581
7987	34201421
7993	16040326
8006	28715251
8013	16642587
8018	2436205
8019	33471176
8029	12182497
8031	14394510
8042	42977886
8044	3827346
8061	167220
8071	66922879
8074	36342551
8094	27791249
8096	4739402
8097	43879095
8101	18859086
8117	18106109
8120	13569296
8147	3899471
8148	28749438
8153	35826151
8160	64207314
8163	16109517
8164	54275724
8170	55858215
8172	18614887
8184	13313465
8189	2271790
8203	15315512
8207	6655675
8219	3749642
8234	26887530
8236	54760990
8244	19383007
8245	3662537
8247	5403668
8255	26679773
8286	28344049
8297	40909690
8312	33297951
8321	32771995
8332	28212937
8336	20877262
8337	134998
8338	48554401
8341	172879
8360	17025009
8378	4657442
8394	27821949
8397	2442517
8411	24683305
8413	4697670
8417	5014968
8431	28799552
8438	4249802
8441	24861632
8447	1873881
8450	19082825
8455	5298402
8458	3431903
8459	326260
8462	57752562
8463	15602811
8465	3321750
8474	981
8481	5881767
8489	15618343
8500	21816221
8505	89473
8510	33010373
8512	56486202
8526	21485762
8547	20086
8553	10218321
8557	9197072
8561	17470229
8562	24165186
8563	222472
8571	29234797
8577	31256974
8579	8801
8582	6722185
8600	8972
8603	28298379
8623	27507702
8624	981
8625	2174058
8635	47495020
8641	7880634
8653	37993591
8656	6664099
8657	24431051
8659	38039453
8663	37912082
8665	4353725
8673	20016263
8674	3059900
8675	23333899
8677	74654
8691	29528012
8698	18053062
