geneid	dist
559	3679
564	4930
572	6875
575	7701
579	7531
582	7370
590	6690
594	5837
602	5421
605	5131
614	3551
619	1738
624	1139
992	2074413
1024	2080537
1430	847456
2010	13782109
2011	13743635
2014	13781109
2929	384245
3124	428522
3152	326988
4104	252244
4208	8880789
4378	1159544
4475	4149025
4772	8880789
4828	8880789
4841	8880789
5051	3827602
5085	3970625
5098	430371
5143	1869974
5151	1085034
5161	2073057
5197	1828786
5198	54868
5216	8117861
5234	19626668
5242	546741
5249	1896587
5264	2403179
5266	9668087
5280	2235893
5291	8478566
5302	2892
5331	9942826
5345	751416
5362	3805596
5369	8971693
5401	1771073
5467	2221294
5470	18907331
5471	3212306
5505	4279698
5506	1292721
5522	9356662
5546	14659273
5557	716930
5562	532554
5599	2889769
5608	9614286
5631	2341269
5654	751113
5659	1143507
5670	5694197
5691	1016968
5697	1785206
5705	2069641
5730	12490965
5740	11170748
5748	1930393
5780	17447190
5785	8544971
5820	9708045
5837	1761905
5841	13498992
5843	16805959
5854	10011503
5877	9523944
5879	3076283
5898	1352203
5913	9382088
5914	9099803
5916	10074596
5921	2696744
5930	7763038
5939	2446453
5951	2945323
5977	9942826
5993	12718703
6004	6976647
6012	1805808
6023	4496611
6050	2974131
6054	9556633
6061	7415941
6095	11748725
6101	949452
6106	17139439
6117	7472735
6120	7314575
6121	9743077
6137	2719341
6144	10869345
6160	320950
6179	17370079
6201	1771073
6204	14604177
6206	9256044
6215	1784928
6228	17159739
6230	21906431
6266	14779946
6267	21288326
6276	23279222
6278	1190342
6291	444039
6304	14717124
6308	220621
6316	9145007
6329	1805808
6351	17295911
6360	131365
6390	21463579
6401	8099584
6416	5254394
6441	869983
6469	2450812
6470	8099584
6474	1203248
6504	7541648
6514	225627
6538	19932774
6552	19462170
6567	14118861
6597	28196252
6639	7322111
6653	2309277
6658	23734753
6663	7872972
6667	10143855
6676	778724
6689	16344246
6709	4123049
6722	17440195
6723	7729690
6731	642809
6745	1586348
6760	2818375
6764	12401818
6771	13454778
6784	15298295
6808	380054
6809	1181908
6813	13072786
6816	15022712
6820	295116
6821	1747234
6839	9278208
6850	2735186
6855	13072786
6861	8099584
6863	11579636
6890	19124370
6898	16280864
6902	7322111
6905	15088822
6913	2735186
6916	7470541
6917	12748953
6918	7758525
6920	16325019
6923	11357370
6931	3884711
6936	7254280
6938	7254280
6939	14506024
6946	11582987
6952	10838881
6953	5110999
6974	15395535
6986	16095115
6987	22271519
6988	13175911
6990	11129056
6997	23898347
7005	13119515
7007	21548349
7013	10789085
7014	13499422
7045	82729
7057	66692
7058	9905441
7066	3805596
7084	14989972
7094	7254280
7098	6930537
7108	31285228
7114	2776152
7119	11554443
7144	2616040
7148	7183558
7151	6868411
7158	7288751
7162	7733755
7166	250849
7179	28602016
7183	15742909
7190	535121
7222	12459452
7237	4077953
7258	14210467
7264	6876661
7299	3741682
7301	13009944
7327	1934800
7333	2681870
7338	10420066
7346	6541022
7353	6430771
7387	4514633
7411	5610964
7425	2799682
7426	9771171
7428	1858198
7430	9677513
7435	7254280
7443	1011332
7455	3042268
7461	4424645
7462	9473396
7496	1957183
7497	119747
7498	4293124
7499	6176366
7503	21690108
7511	10367844
7525	1508815
7536	19887960
7540	16344973
7546	31741800
7562	7727853
7580	6054101
7583	2234131
7590	15161354
7595	5747490
7606	2699331
7611	4036111
7621	28076921
7637	16118059
7648	31532289
7649	13436007
7659	7263162
7688	31662762
