geneid	dist
559	15773052
582	7384944
602	296
636	17175956
991	8740881
992	2175590
1032	8667908
1238	8667908
1274	3428366
1329	11459892
1430	39573
2010	2928854
2011	2969268
2014	2929863
2929	671447
2932	564672
3124	2305159
3152	564672
3159	449384
4104	6310167
4208	5652035
4378	4561941
4475	3514779
4525	8958630
4529	6103269
4533	84
4534	15265685
4539	15265685
4610	84
4716	3918673
4741	4212351
4744	8106745
4772	5652035
4828	5652035
4841	5652035
4881	13882653
5007	9319886
5051	14861255
5059	18655669
5085	15042998
5098	18775558
5143	4654884
5151	12178544
5161	16976252
5197	1843965
5198	37351014
5216	9894366
5234	14817868
5242	18561400
5249	17134086
5266	4188867
5280	16788335
5291	9427497
5302	23282479
5331	4389455
5345	11850519
5362	14842296
5369	8992062
5397	6180357
5401	1901238
5467	5979979
5468	6199821
5470	14177391
5471	1957949
5505	1769281
5506	17856241
5522	13612880
5546	11191339
5557	11810926
5562	11656260
5597	11078222
5599	2276308
5608	13878189
5631	5181073
5659	3404551
5670	441861
5691	7729401
5697	12859721
5705	5433793
5730	9405496
5740	8023144
5748	12967896
5780	14134039
5785	3190389
5798	11175163
5820	13989561
5837	1929104
5841	10168762
5843	13351794
5854	6910992
5877	6500238
5879	6175680
5895	10065918
5898	7545010
5912	6458514
5913	13640235
5914	13386740
5916	6976958
5921	2512929
5930	11847945
5939	5270086
5951	2162346
5977	4389455
5993	16890429
6004	1517633
6012	6904496
6050	2114037
6061	4409876
6095	8666861
6101	8398607
6106	2639720
6117	7290086
6120	2040949
6121	14031934
6137	2363131
6144	7197616
6160	9774480
6179	2885375
6195	922498
6201	1901238
6204	11148340
6206	13535091
6215	6948171
6228	2665714
6230	26371776
6266	86929
6267	17574110
6276	27753180
6278	12280521
6291	546939
6304	11265284
6308	9680323
6316	8907898
6329	6904496
6338	17104365
6351	13860010
6360	9580125
6390	6835354
6391	987882
6401	3060690
6416	1003457
6441	2909111
6469	6305477
6470	3060690
6474	1299837
6504	2245431
6514	24526655
6538	24250800
6552	5047331
6567	10730788
6597	32586027
6639	4499
6653	393510
6658	9121535
6663	2525951
6667	7065990
6676	862424
6689	1873915
6709	2179
6722	2936372
6723	11809876
6731	18504386
6745	5347860
6760	5864545
6764	9336266
6771	10120153
6784	15286
6795	6199821
6808	11433350
6809	3485438
6813	19296345
6816	17393308
6820	20049209
6821	2018706
6826	20680624
6834	20123809
6839	6232016
6850	2573538
6855	19296345
6861	3060690
6863	8489325
6890	14345985
6898	16198547
6902	4499
6905	14328482
6913	2573538
6916	4455346
6917	11927414
6918	2635836
6920	16087128
6923	12191729
6926	20815775
6931	2000289
6936	4017457
6938	4017457
6939	18021115
6946	6474670
6953	7863280
6986	15366778
6987	7745128
6988	12409443
6990	11923368
7005	19216862
7007	6997963
7013	7650465
7014	18876003
7057	20718267
7058	6796190
7066	14842296
7084	17427209
7094	4017457
7098	4246394
7108	35809798
7114	359485
7119	10551782
7144	5517173
7151	4292087
7158	2015284
7162	2615953
7166	12252647
7176	2104498
7179	1974298
7183	16659847
7190	9984549
7222	13298901
7237	8654340
7258	18608160
7264	5848484
7299	26602792
7301	12171046
7306	14594728
7327	15507444
7333	173920
7338	9417951
7346	5472621
7353	8870502
7366	14212
7385	13352914
7387	8202046
7411	7296749
7425	5726880
7426	11834689
7428	1599310
7430	11741718
7435	4017457
7443	3139744
7455	9464727
7469	212059
7496	15839634
7497	21030241
7498	10591025
7499	4824095
7503	7176277
7511	12430235
7525	12580498
7536	5369187
7540	16066073
7546	36274706
7562	2609768
7583	872727
7590	14407257
7595	7220750
7606	245000
7611	2197138
7621	423671
7637	16362328
7648	36023156
7649	18949299
7659	593897
7675	20960071
7688	7462096
7692	625808
7701	1626942
7709	1159995
7714	4329963
7719	1198288
7733	3241373
7738	10259947
7739	5581619
7741	6637841
7760	2603148
7761	9472596
7773	3954619
7776	15999481
7777	13232745
7783	10002293
7791	14696266
7808	3060690
7816	277842
7829	15932448
7832	10466255
7834	21059070
7854	3623165
7882	12659521
7883	5515379
7887	4808915
7900	1831868
7907	2573538
7910	22379858
7918	9777944
7919	51867
7923	19121270
7926	331461
7933	11829978
7937	20280029
7938	2964072
7983	13444713
7987	8540696
7988	2573538
7993	7380373
8002	2573538
8006	648430
8007	13324741
8013	7910499
8018	23901608
8019	5513269
8029	13823757
8031	10939782
8042	27115066
8044	11375116
8061	31726
8071	4675642
8074	33575910
8082	15403583
8083	16053615
8090	20737663
8094	665163
8096	21790867
8097	2930510
8101	16038406
8117	9662843
8120	14272669
8143	21284902
8147	22568084
8148	7157900
8153	33695370
8160	2338858
8163	7441717
8164	17146486
8170	15854368
8172	15674686
8189	23973748
8203	6739276
8207	3691444
8219	11293473
8229	4017457
8234	10108654
8236	16832791
8244	10412907
8245	11228742
8247	12717587
8255	22638508
8286	227470
8297	2694869
8312	35921307
8321	36404052
8332	24226383
8336	14177391
8337	8246682
8338	950
8339	86384
8360	8221374
8378	12084151
8394	1470530
8397	23861774
8411	21262364
8413	21892326
8417	2154705
8430	298211
8431	501226
8438	11741718
8441	21421667
8447	1900208
8450	9194568
8455	4345757
8458	2708904
8459	131981
8462	14209347
8463	6993936
8465	10890742
8481	4804284
8488	788175
8489	11846617
8500	18694005
8505	829485
8510	36143522
8526	7112993
8547	797838
8553	16866455
8557	7711274
8561	15001921
8562	20823465
8563	913535
8571	2160260
8577	37491568
8579	24373
8582	5249265
8600	423479
8603	5880
8623	13667752
8625	23880878
8635	2174612
8636	1169960
8641	6522520
8653	15190743
8656	5479046
8657	20848699
8660	9385775
8662	261327
8663	15220140
8665	11830860
8673	17120656
8674	10670237
8675	4781862
8677	819189
8691	6466131
8698	15133069
8702	670529
8709	2614138
8710	14553844
8716	6807655
8723	6540301
8742	6900566
8745	11101675
8746	19340011
8751	12002742
8759	1662646
8761	4197733
8768	1212077
8771	7579942
8775	18366970
8782	3514779
8789	9129926
8792	414708
8795	11314390
8796	1814451
8805	21621815
8832	5999459
8833	24171135
8850	1496218
8853	9168824
8885	719889
8898	701020
8921	15027320
8928	3667
8950	6944612
8964	645674
8965	24005590
8969	14774445
8974	1887303
8986	5793249
8994	9779103
8999	22372422
9007	24106426
9012	6247570
9019	36105326
9020	14921466
9026	4069715
9027	15616456
9040	4600316
9043	12314534
9045	6544231
9047	597156
9052	14807176
9067	5484099
9077	9612028
9079	20721207
9094	10522291
9106	6637841
9108	2892940
9119	11160899
9132	2537700
9155	16049212
9173	14407477
9178	10924568
9195	14791898
9196	12375921
9203	15207675
9209	12961701
9210	14698953
9214	26115
9216	3322328
9226	17055255
9228	20643148
9232	16235373
9238	1382610
9248	313854
9251	21169279
9260	6238195
9265	2078567
9267	3885486
9269	5090669
9270	9699642
9287	4545271
9291	889417
9317	3181450
9324	15344188
9327	16118649
9338	106604
9341	5858991
9345	7268916
9348	16327733
9367	13893248
9379	7702
9383	16482638
9385	3428366
9391	463133
9400	11184903
9405	7669983
9407	11093931
9411	13353427
9412	11093931
9413	1840289
9414	13354196
9415	13400142
9420	14192725
9430	7506544
9439	14038239
9443	631623
9449	537883
9458	9764711
9466	4760853
9474	2160260
9485	12350344
9495	571443
9504	5006097
9513	22399319
9519	542829
9525	5008414
9534	12301658
9535	4604399
9539	4648786
9541	20733085
9554	12950083
9574	26526652
9577	4592675
9578	15242997
9583	5843014
9587	499543
9588	17169228
9596	20840943
9600	22225
9602	8654992
9617	11811551
9621	7933151
9625	20523726
9633	10412964
9636	2831809
9638	645849
9648	21227999
9652	9940419
9655	2070952
9657	69392
9668	2343565
9670	16181871
9678	7814367
9683	11767472
9692	5884545
9716	5275983
9722	17809555
9725	13263781
9729	9906981
9732	462503
9735	16259547
9741	8677784
9744	13583312
9745	5909376
9748	795862
9751	6180357
9752	14193861
9758	4875671
9759	419059
9770	765731
9772	6447716
9779	14181722
9790	9426753
9793	12916940
9794	13577411
9806	11562960
9808	11781681
9810	10975876
9811	10996327
9813	4577991
9821	564537
9851	16275101
9852	11118771
9853	14999801
9864	11418749
9866	15152510
9870	11043677
9878	6927870
9880	9236026
9893	6232016
9897	13348487
9902	4127504
9922	12772967
9930	11492551
9933	3855113
9943	11333789
9944	1970674
9950	15307701
9951	1239002
9954	15390622
9960	11695765
9961	2011176
9963	14728198
9986	14102245
9990	2834190
9994	7516139
10007	7124343
10008	486417
10018	12968529
10021	2024530
10026	7795912
10033	2050537
10037	1387646
10052	3254251
10054	612977
10061	8069267
10070	2645506
10071	5945868
10075	10018965
10076	815276
10079	2129738
10086	7290086
10088	18639519
10091	17028070
10107	10274681
10112	911207
10118	13184565
10121	13381841
10122	2018706
10123	10575933
10127	14247833
10128	6993936
10133	11160232
10134	13808770
10143	12804866
10145	1929104
10156	604144
10167	3387930
10171	35864750
10172	15284698
10187	296676
10195	15982990
10203	11959257
10205	16309456
10206	4808293
10209	12752303
10212	774037
10213	6760671
10228	13572640
10233	10477992
10236	10713307
10240	805810
10245	5882198
10254	1018666
10262	5882975
10264	422822
10269	16021259
10276	8175583
10282	6520476
10286	10294257
10287	5208299
10293	4913310
10296	9975883
10298	1987658
10301	2365238
10306	11774201
10307	6512447
10317	482920
10322	27020270
10323	10214909
10324	5802011
10326	9214
10331	13087578
10334	14672956
10335	18979943
10336	6083551
10341	14024212
10347	14342643
10350	27158690
10356	1481783
10357	13247120
10363	9393764
10374	2601490
10376	26115
10385	6549379
10393	2154556
10405	13980637
10406	17937435
10410	3676776
10415	7964525
10436	570044
10444	8161969
10447	17128313
10472	6320377
10478	8246682
10479	3325006
10481	8740881
10483	15117480
10484	5885816
10489	12434497
10492	8714605
10493	5571738
10495	27493915
10500	1074269
10507	1322988
10515	274618
10516	36124138
10520	5922863
10530	2369380
10540	5755040
10546	11798686
10560	18673365
10562	5265800
10563	15711740
10578	19908455
10582	1912491
10591	34764162
10596	4599382
10606	3224089
10607	3214018
10608	18313880
10610	18314026
10611	18314163
10612	18314317
10615	22477328
10627	24314433
10633	3187881
10634	6869009
10635	1322988
10637	2014117
10645	1322988
10651	22306121
10655	11093931
10664	1613172
10665	9282291
10670	17078210
10672	10124400
10684	24780279
10685	2179
10694	3148494
10702	6182343
10713	1739462
10716	4442185
10718	1725682
10720	1699806
10722	1696806
10724	1685107
10726	1671918
10727	4777109
10730	1652075
10739	857310
10743	736059
10765	23430
10766	591952
10771	7089604
10772	1613775
10774	6166531
10806	6995280
10814	884253
10819	109324
10833	2811211
10838	1831532
10844	889530
10845	5575705
10872	1335484
10882	1515679
10891	6075413
10900	5108666
10906	48662018
10907	1880377
10908	2587578
10912	14550140
10913	5457429
10914	12840322
10918	3247739
10925	5419158
10928	8768771
10935	19320511
10936	14647530
10938	2062373
10951	34991
10953	26467971
10967	5327575
10969	6351
10977	2965435
10980	13040319
10983	7478447
10998	14861255
11004	11894084
11009	7798927
11011	8186655
11015	7724003
11021	6625660
11025	4497441
11031	1366722
11032	15900663
11036	21243987
11038	7699538
11040	16203683
11048	3828647
11053	3687016
11055	11094843
11056	7120090
11060	1390839
11061	6458640
11067	1870145
11075	10701707
11077	14056094
11089	3679153
11093	11262392
11099	4267026
11101	20572729
11102	6388147
11106	5925548
11109	3784888
11114	20914023
11120	5362465
11123	1496825
11124	27208641
11125	5040035
11129	6236716
11131	414708
11140	5567761
11141	1721256
11167	154885
11172	7800794
11173	1509487
11177	13799127
11187	3351469
11188	7052945
11193	947002
11195	4746069
11197	11680433
11198	6060963
11207	5633975
11209	15508985
11214	9918245
11216	14277641
11217	5289958
11225	12476453
11226	3259244
11228	13907151
11230	8740881
11233	11240850
11236	5956848
11237	1545109
11242	1869651
11243	11212217
11249	26886954
11250	6529094
11257	8370614
11263	86839
11289	14118682
11291	26968279
11297	4674064
11299	5773013
11301	1132056
11305	23651799
11310	11246135
11311	73787
11320	10489368
11322	14804622
11326	25929837
11329	95388
11331	4555174
11334	25243372
11335	11406624
11343	6040226
11344	11632347
11349	1852390
11366	5749021
11371	6505444
11378	4445641
11379	1739851
11386	2667282
11395	6585109
11396	4567375
11399	25876056
11400	1187772
11405	1347910
11410	60512
11414	2579107
11415	1464919
11417	23764385
11418	5523626
11419	5257686
11425	6424423
11430	11693777
11432	4791908
11436	13009001
11445	24704289
11458	12522245
11459	2641726
11463	1517804
11464	1511933
11465	452022
11474	1411140
11481	7450268
11482	5019170
11484	3858476
11486	255252
11487	12103398
11490	2814645
11491	246772
11493	3114489
11497	1772322
11498	159765
11499	10594081
11500	1540114
11503	6199051
11504	15367732
11505	6883850
11507	276824
11511	9504741
11513	66268
11516	1656537
11518	6289178
11524	21101295
11527	369830
11528	1578207
11529	315993
11542	11289448
11543	1636910
11544	1266761
11546	5362684
11547	825835
11548	1127241
11555	22357925
11561	5501806
11564	2149439
11574	11152959
11575	5967139
11579	7850237
11582	12424844
11585	13301875
11590	263600
11591	5297487
11592	1833344
11596	7296863
11600	2390552
11601	18673365
11614	5019482
11617	5154849
11619	94664
11620	3630171
11627	12300588
11628	4954599
11636	624312
11638	213156
11643	680792
11646	3533292
11647	1044858
11650	3533292
11653	385556
11654	6506615
11656	631694
11657	3533292
11658	6203396
11659	2839529
11661	5282835
11670	5109216
11671	808328
11673	6481121
11679	2029053
11680	7228395
11683	4864195
11685	13808730
11691	27271847
11694	23615322
11695	10624406
11696	3676861
11704	6164155
11713	2807481
11714	6203396
11716	5309362
11726	3511702
11727	11806629
11728	1218571
11732	856550
11733	872595
11734	918152
11739	9352084
11741	5956848
11743	11578799
11744	13745778
11747	966139
11759	5281090
11765	4790458
11766	2308526
11775	4046502
11778	9196955
11780	2569316
11783	5204086
11786	3772222
11787	3366293
11788	2659452
11789	9174444
11800	886104
11801	6907703
11805	9118668
11807	6985186
11810	10201493
11812	3299633
11821	5853412
11825	5696695
11826	9118668
11827	2629770
11828	2063634
11829	999207
11831	13394870
11832	1077794
11842	422748
11847	3629116
11856	4588473
11869	13284253
11873	11621350
11890	3649989
11893	4143375
11897	1295920
11900	2939924
11908	3290667
11911	3276564
11912	3475039
11913	2078018
11917	6921971
11922	235373
11924	1329055
11935	4758847
11938	3072254
11940	7131437
11944	1503421
11945	138354
11946	15541905
11951	4201755
11954	6377880
11962	22423390
11963	7506325
11964	8422847
11969	423633
11987	9905969
11995	26478089
11996	79652
12003	17076352
12008	5618052
12011	5674772
12013	23345525
12016	4751083
12019	189956
12020	4840089
12024	8792926
12025	9403372
12027	4880882
12035	25964159
12037	28204389
12038	8361236
12039	18897548
12041	8324121
12044	489132
12045	5852099
12046	6147020
12047	8615844
12048	3357211
12049	5015314
12050	403219
12054	4172283
12060	6468175
12064	16396091
12069	12335992
12083	3493691
12087	10323626
12088	13234129
12091	7365118
12092	4565197
12095	652515
12100	383567
12102	6788386
12103	26988161
12106	16953258
12109	11207359
12111	270652
12116	172443
12125	26914474
12131	22713612
12136	13571482
12137	965727
12146	12036858
12157	15214931
12163	7462929
12165	15857004
12166	11228742
12169	16081598
12171	14729370
12174	19908455
12179	12533471
12181	4804287
12183	44297626
12185	15976294
12186	9153784
12202	6727659
12208	44297626
12211	14854593
12212	14857713
12222	570539
12227	12689974
12241	24488590
12244	19514396
12246	8740881
12261	23228037
12262	5460
12268	26958069
12269	13143142
12270	23023596
12274	284756
12277	7401577
12280	4613039
12282	2987292
12291	1974938
12292	9399024
12293	4469308
12296	10318712
12304	13598860
12305	13752247
12307	94456
