geneid	dist
559	3703
564	4957
572	6893
575	7717
579	7519
582	7358
590	6678
594	5826
602	5411
605	5121
614	3544
619	1740
624	1139
977	152
978	152
991	8709440
992	9879415
1032	2084
1238	2084
1274	3435508
2011	9595690
2929	1215797
3124	2277873
3159	1027638
4104	6436003
4208	25957128
4378	55143782
4475	3676064
4525	19264796
4529	6083379
4534	15268894
4539	15268894
4716	55460704
4744	25671224
4772	25957128
4828	25957128
4841	25957128
4881	19790196
5007	9537788
5051	14748075
5059	18544777
5085	14930369
5098	18728147
5143	4484151
5151	12074769
5161	16854067
5197	1752471
5198	37066615
5216	9823925
5234	14726144
5242	18443241
5249	17001803
5264	25727108
5266	4198373
5280	16663550
5291	9427431
5302	23024269
5345	11746885
5362	14729297
5369	8997893
5397	10005646
5401	1810877
5467	6082031
5468	10025128
5470	14078847
5471	2108414
5505	2382669
5506	17733630
5522	13494558
5546	15820575
5557	11707127
5562	11550810
5597	15706343
5599	2460857
5608	13745024
5631	5116637
5659	3340762
5670	493054
5691	7826054
5697	12739217
5705	5904814
5730	14028173
5740	12751402
5748	12877770
5772	1325328
5773	14687667
5780	18701609
5785	3208411
5798	15804524
5820	13856419
5837	1838443
5841	14797879
5843	17978945
5854	10740936
5877	11228546
5879	6098618
5895	14694926
5898	7673453
5913	13507569
5914	13293194
5916	10805553
5921	2700780
5930	11747427
5939	5259742
5951	2319158
5993	16943466
6004	1804535
6012	7003007
6054	10330655
6061	8238524
6095	13291864
6101	8509955
6105	6757691
6106	26880126
6117	17155892
6120	2062388
6121	13902807
6137	16252728
6138	5542216
6144	7199558
6160	9865412
6179	27133308
6195	971909
6201	1810877
6204	15777720
6206	13405860
6215	7046952
6228	26906278
6230	26091128
6266	24555120
6267	17429510
6276	27459720
6278	12230467
6287	14542076
6291	8288175
6304	15894361
6308	9759713
6316	8939249
6329	7003007
6338	16981898
6351	18487765
6360	9670271
6390	30332233
6391	1037149
6401	10637272
6416	1065725
6441	2845774
6469	6505672
6470	10637272
6474	9012158
6504	2264456
6514	24389170
6530	1569684
6538	23963958
6552	29290154
6567	15360276
6597	32275269
6635	1569684
6639	11531123
6653	8098656
6658	28011180
6659	1569684
6663	2547311
6667	10895679
6676	8618994
6689	25934550
6709	2575712
6722	27200871
6723	11670408
6731	18359553
6745	24007905
6760	5788235
6771	14771147
6784	15993699
6795	10025128
6808	11407621
6809	3417104
6813	1733
6816	17214761
6820	19989013
6821	1928650
6826	20616432
6834	20064023
6839	10056991
6850	8352
6855	1733
6861	10637272
6863	13090621
6890	14254756
6898	16038008
6902	11531123
6905	14207428
6913	8352
6916	8291078
6917	11772030
6918	10191104
6920	15930158
6923	12132181
6926	20820628
6931	1935874
6936	11363353
6938	11363353
6939	17859737
6946	6486849
6953	15178788
6974	16106402
6986	15212217
6988	12253587
6990	11862729
6997	28100092
7005	19056364
7007	30178578
7013	12378879
7014	18721930
7045	20098249
7057	20671741
7058	10626134
7066	14729297
7084	17300451
7094	11363353
7098	11793534
7108	35507200
7111	20688773
7119	10512185
7144	5477428
7151	11843980
7158	2035949
7162	10167694
7166	19516077
7176	2036434
7183	16495491
7190	10074722
7199	1569684
7222	13241869
7237	15948214
7258	18463360
7264	5766153
7299	37805781
7301	12081329
7306	17061992
7327	30923257
7333	119172
7338	9396127
7346	5390672
7353	16079031
7366	11394592
7385	28548423
