geneid	dist
559	3680
564	4930
572	6870
575	7701
579	7533
582	7372
590	6692
594	5840
602	5424
605	5134
614	515
619	1747
624	1139
636	9033607
992	19365518
1005	30992373
1024	19370775
1274	3476946
1430	4691472
1711	152
2010	2698337
2011	2661824
2014	2697351
2929	522
3124	504798
3152	1997012
4104	1740460
4208	8364564
4378	11974689
4527	22726839
4534	395287
4536	161
4539	395287
4540	161
4542	161
4545	161
4559	161
4580	161
4595	161
4623	161
4741	7428194
4756	1272333
4772	8364564
4828	8364564
4841	8364564
4901	2013946
5007	333388
5051	26706606
5059	3638836
5085	26691339
5143	24534413
5151	29291722
5161	24758983
5198	30232297
5216	29395396
5234	4984381
5242	23148874
5249	24567456
5266	23317613
5280	24915584
5291	28967021
5302	1988
5345	29536927
5362	26736107
5369	28467329
5401	796454
5467	5862707
5470	5676345
5471	1472186
5505	3127458
5506	23924137
5522	701099
5546	4702113
5557	29570752
5562	29882289
5597	4586983
5599	1861085
5608	958685
5654	11206963
5659	1037072
5670	19285423
5691	7663538
5705	5729927
5730	2548391
5740	1211773
5748	28450822
5772	1915147
5780	5236065
5785	22137425
5798	4692397
5820	1044556
5837	789075
5841	3565998
5843	6024237
5854	88336
5877	587621
5879	2854235
5898	7499677
5913	729168
5914	463658
5916	43920
5921	2089698
5930	41680
5939	2228141
5951	1748648
5993	3759412
6004	20581645
6012	6840743
6023	28809
6050	1692661
6054	544223
6061	245107
6095	1826537
6101	8371056
6106	12980699
6117	17421772
6120	20897335
6121	1075640
6137	1775700
6144	26481143
6160	9669650
6179	13249984
6198	2547353
6201	796454
6204	4667778
6206	615851
6215	6871052
6228	13003855
6230	13362077
6266	10336972
6267	2624368
6276	14743048
6278	29136729
6291	17807718
6304	4764268
6308	9567159
6316	28406665
6329	6840743
6338	24568193
6351	5626695
6360	9480992
6401	8606087
6416	88399
6441	791728
6469	6307467
6470	8606087
6474	18488275
6504	21101346
6514	177574
6538	11386676
6552	15624534
6567	4168181
6597	19665070
6639	9508923
6653	19569265
6658	20049710
6663	21427569
6667	224194
6676	18139399
6689	12107366
6709	2988023
6722	13303552
6723	75176
6731	23248933
6745	5194026
6760	2602872
6764	2474616
6771	3518957
6784	29130319
6808	30053746
6809	1072626
6813	3553199
6816	20551156
6820	2971611
6821	776792
6834	2586839
6839	864120
6850	9382071
6855	3553199
6861	8606087
6863	1640366
6890	5444895
6898	19326048
6902	9508923
6905	17371559
6913	9382071
6916	222946
6918	8209860
6920	19215887
6923	25014769
6926	1768864
6931	6083689
6936	9694362
6938	9694362
6939	21171298
6946	25749098
6952	887311
6953	12276657
6974	29242731
6986	18415762
6988	15483800
6990	24783462
6997	15374866
7005	22525195
7007	17747746
7013	840797
7014	22127945
7045	2527968
7057	1819157
7058	353340
7066	26736107
7084	20593532
7094	9694362
7108	19460912
7114	5010446
7119	13816960
7144	2390570
7148	9733116
7151	10128966
7158	20873044
7162	8182838
7166	17634468
7179	15769554
7183	19792522
7190	9899581
7222	1660055
7237	13375017
7258	5302154
7264	8993472
7299	21026451
7301	15258335
7306	23663100
7327	870432
7333	4904763
7338	12612493
7346	8650384
7353	16255983
7385	7733821
7387	12875645
7411	11756016
7425	2576222
7426	5680536
7428	4170973
7430	5588352
7435	9694362
7443	914106
7455	14384561
7461	13076121
7462	11563023
7496	585584
7497	1603321
7498	13952141
7499	8344940
7503	17880678
7511	6234557
7525	28924017
7536	15976503
7540	19199395
7562	8176860
7580	8236871
7583	4486582
7590	17457637
7595	11670898
7606	4919326
7611	6239557
7621	15183819
7637	19481812
7648	19302083
7649	22198072
7659	9355851
7688	19075174
7692	5124956
7701	4119681
7709	4382304
7714	317041
7719	4376354
7733	1385012
7738	4201689
7739	8732285
7741	375129
7760	577003
7761	9386885
7776	19151624
7777	28189140
7783	3400748
7791	5009588
7808	8606087
7816	756009
7832	30064243
7834	1530352
7854	947843
7882	25480821
7883	8657350
7887	8295812
7900	887257
7907	9382071
7910	306358
7918	3826863
7919	1073967
7923	22398384
7926	750873
7931	19126316
7933	24685416
7937	2279528
7938	6915861
7983	300489
