geneid	dist
582	263
602	296
977	6390490
978	6390490
992	19706
1032	27192
1238	27192
1274	3653742
1325	9750165
1711	6390490
1712	6390490
2011	6070
3124	142823
3152	279
4104	387155
4208	4334059
4378	5782171
4475	2688259
4536	5886453
4540	5886453
4542	5886453
4544	1481196
4545	5886453
4546	1481196
4559	5886453
4580	5886453
4595	5886453
4623	5886453
4716	3919812
4744	811605
4772	4334059
4828	4334059
4841	4334059
4881	172863
5051	2682791
5059	293851
5085	2674023
5098	163530
5143	1116562
5151	4915464
5161	1309934
5197	55185
5198	5830378
5216	6843761
5234	7541222
5242	333200
5249	1141756
5264	1356937
5266	12102012
5280	1392019
5291	7130114
5302	5232985
5331	11956202
5345	5169628
5362	2738823
5369	7531034
5397	3587235
5401	122705
5467	21784824
5468	3562442
5470	8285937
5471	17737173
5505	13414
5506	759959
5522	9600134
5546	746204
5557	5215757
5562	5480987
5597	907400
5599	18100346
5608	9889525
5631	2035713
5659	1062083
5670	15207390
5691	22168488
5697	4280547
5705	21629063
5706	7084384
5730	67979
5740	1669735
5748	4205822
5772	14931364
5777	16100
5780	1304611
5785	12948117
5798	780358
5820	9987742
5837	147810
5841	626606
5843	582987
5854	2772967
5874	410970
5877	3398865
5879	3055696
5895	518348
5898	22540037
5904	236
5912	22125696
5913	9635813
5914	9301776
5916	2730538
5921	18436887
5930	7935746
5939	2139215
5951	17994257
5977	11956202
5993	9162495
6004	14211716
6012	22581962
6023	16505483
6050	17952704
6061	5508037
6095	1056318
6101	21505292
6106	7791189
6117	11885934
6120	13841563
6121	10043652
6137	119770
6144	9185118
6160	20119448
6179	8103563
6195	2446288
6198	5101301
6201	122705
6204	797279
6206	9488023
6215	22617999
6228	7827325
6230	462256
6266	5317029
6267	5272738
6276	2133582
6278	4728789
6287	371451
6291	1226831
6295	410970
6304	714501
6308	20249373
6316	7686998
6329	22581962
6338	1142281
6351	1115443
6360	20395289
6390	7661644
6391	2387616
6401	1995658
6416	2380213
6441	632690
6469	22068999
6470	1995658
6504	13774257
6514	890
6538	1672278
6552	9754157
6567	1247795
6597	2744767
6658	5280340
6663	13427652
6667	2664663
6676	911178
6689	6979387
6709	42711
6722	8153762
6723	7913824
6731	422884
6745	21153643
6760	2683644
6764	133892
6771	583026
6784	851206
6795	3562442
6808	5662699
6809	1096125
6813	16639672
6816	14938459
6820	17171344
6821	233550
6834	17242028
6839	3555406
6850	320
6855	16639672
6861	1995658
6863	1290477
6890	8015844
6898	681340
6905	1105303
6913	320
6916	5467162
6918	1700254
6920	561021
6923	3303669
6926	17728949
6931	12979252
6936	407
6938	407
6939	15528148
6942	2637269
6946	9849705
6952	1978901
6953	4095178
6974	929766
6986	8986
6987	6666577
6988	3105392
6990	3441251
6997	2956606
7005	16570579
7007	7499445
7013	1993288
7014	16274522
7045	17270576
7052	12206038
7057	17711326
7058	3055699
7066	2738823
7084	14992779
7094	407
7098	2779341
7104	5721371
7108	1087127
7114	13910034
7119	4954897
7144	2394809
7146	524
7151	2795097
7158	13924568
7162	1679552
7166	8538475
7176	12910489
7179	70259
7183	828301
7190	19894763
7222	2106361
7237	4916292
7258	7399973
7264	9854242
7299	4715
7301	3341067
7306	9007879
7327	6696247
7333	13991672
7338	6053004
7346	10046227
7353	13769195
7366	2703427
7385	7564113
7387	4453560
7411	3568112
7425	2649225
7426	5925881
7428	14557651
7430	5814828
7435	407
7443	856420
7455	5714563
7461	4610981
7462	6920049
7469	13985015
7492	236
7496	6264867
7497	17836196
7498	15748049
7499	10588269
7503	7273804
7511	6609756
7525	4537775
7536	9406900
7540	529458
7546	566278
7562	1673687
7580	10814285
7583	14239595
7590	1046389
7606	13975915
7611	12902777
7621	588699
7637	868395
7648	890953
7649	16329306
7659	9340489
7688	640443
7692	13830879
7701	14577187
7709	14290036
7714	5578807
7719	14324522
7733	4913710
7734	524
7738	5330516
7739	9897392
7741	3079042
7760	362983
7761	20483226
7773	12296620
7776	461432
7777	4000059
7791	7567323
7808	1995658
7816	258758
7829	731417
7832	6421805
7834	17862774
7854	5269634
7882	2722890
7883	9975584
7887	5882829
7900	42258
7907	320
7910	19122086
7918	4858551
7919	55622
7923	16483946
7926	253752
7931	413035
7933	3716963
7937	17383344
7938	12492423
7983	7662514
7987	5933982
7988	320
7993	3652831
8002	320
8006	15073713
8013	4171914
8018	19697640
8019	21337307
8028	487398
8029	8075607
8031	1068014
8042	1369744
8044	6408664
8056	281255
8058	152309
8061	30721
8071	20439550
8082	9230103
8083	510255
8090	17720263
8094	13815247
8096	18550671
8097	653573
8101	827090
8117	5926910
8120	3122378
8143	327696
8147	19263541
8148	2337438
8153	1020659
8160	18195405
8163	3713131
8164	8845524
8170	10269511
8172	122508
8184	410970
8189	19560727
8203	3036021
8207	5453709
8219	6332639
8229	407
8234	5181252
8236	9316469
8244	6698362
8245	6254070
8247	6927918
8255	2352071
8286	900113
8297	7859215
8312	915103
8317	17742612
8321	430194
8332	970623
8336	8285937
8338	4333404
8339	4348055
8360	4476205
8378	6205984
8394	14308367
8397	19708284
8411	297390
8413	18655162
8415	53572
8417	3739311
8430	236261
8431	15134423
8438	5814828
8441	482389
8447	648686
8450	7328387
8455	2489226
8458	1246504
8459	172414
8462	10229007
8463	3244515
8465	5928839
8481	1850877
8489	3716020
8500	2199418
8505	124473
8510	625134
8519	2784389
8526	9450406
8547	156367
8553	701674
8557	1199159
8561	622610
8562	57485
8563	36136
8571	374026
8577	1311
8579	23949
8582	548842
8600	131886
8603	14016115
8623	1161653
8625	19466830
8635	2663193
8641	48027
8653	10871494
8656	1286334
8657	11122
8660	85863
8663	10909527
8665	5917406
