geneid	dist
559	32266857
992	8921384
1024	2284189
1430	4983854
3124	35250059
3855	5050779
3911	6504249
4202	5050779
4208	10595371
4275	5050779
4374	5050779
4378	7165487
4416	1800355
4448	5880993
4475	982932
4513	5050779
4544	1963216
4546	1963216
4676	12179872
4716	2864890
4717	5050779
4734	5880993
4747	5050779
4750	5880993
4772	10595371
4827	5880993
4828	10595371
4841	10595371
4857	83201
4867	1800355
4901	1758790
4919	3619993
5051	8134561
5059	1140687
5085	10496506
5143	6894516
5151	8018146
5161	6484127
5198	3526128
5216	7763772
5242	285159
5249	508469
5264	4838614
5266	11527538
5291	11117878
5302	12852269
5305	4881769
5357	12548995
5362	8131620
5401	2851060
5470	7628236
5471	8465322
5505	9515316
5506	377913
5522	5384774
5546	3962700
5562	8061904
5599	2757326
5608	5420936
5654	11695818
5670	3651117
5691	6205063
5697	7985315
5705	8376043
5740	4108235
5748	7979590
5780	3469779
5785	4351440
5798	3973622
5820	8414133
5837	2304235
5854	5385366
5877	6656308
5879	4749835
5898	90819
5912	8293545
5913	11003021
5914	5341594
5916	4852725
5921	3484679
5930	5254343
5939	4876038
5951	2714365
5993	6958115
6004	3571377
6012	11826
6050	8488568
6054	1790595
6061	10355233
6095	4084728
6101	3166620
6106	12159739
6117	13306651
6120	12532721
6121	8406630
6138	11018657
6144	11347934
6160	5817350
6179	12183711
6195	3105530
6198	5023954
6201	2851060
6204	13260469
6206	5370115
6215	4186702
6230	9350803
6267	4760970
6276	8454618
6278	52606
6291	4964116
6304	13062285
6308	5826426
6316	4851937
6329	11826
6338	9375622
6351	3512962
6360	5857241
6390	7727380
6401	363416
6416	261296
6429	11026502
6441	7571724
6469	2570315
6470	363416
6474	14094392
6504	4313655
6538	9424152
6552	7537756
6567	3995731
6597	711907
6653	8913553
6658	5667321
6663	11771249
6667	719964
6689	7419987
6709	4927690
6722	7434887
6723	9825922
6731	6582690
6745	4013265
6760	4801298
6771	4008503
6784	1733036
6808	8092703
6809	4550456
6816	9886999
6820	277783
6821	5895096
6834	47542097
