geneid	dist
559	938
564	1263
572	3009
575	3767
582	4736
590	5524
594	5961
605	4452
614	6250
624	2160
992	1727429
1024	12503154
1430	7716797
2011	2373704
3855	930098
3990	13777328
4104	418536
4202	930098
4208	9134405
4275	930098
4374	930098
4416	13044234
4448	12596283
4475	2697490
4513	930098
4548	7117281
4676	5999501
4714	7117281
4716	7108963
4717	930098
4734	12596283
4747	930098
4750	12596283
4772	9134405
4827	12596283
4828	9134405
4841	9134405
4857	471323
4867	13044234
4919	10278811
5085	5760407
5143	15865837
5198	2525922
5216	3319872
5234	2269140
5242	5051062
5266	2444063
5302	10875392
5357	14889146
5369	13975580
5467	9265988
5471	6011021
5505	10308467
5506	6794519
5546	9599505
5562	3090406
5599	11399381
5631	3482612
5654	9329704
5659	12032499
5691	11564312
5705	10767804
5740	9611841
5748	10982395
5785	11993315
5820	5821440
5837	10827644
5854	5374962
5898	12850117
5912	3199047
5913	763514
5916	7023898
5921	6768562
5930	15402012
5951	254650
5993	1255446
6004	302445
6050	2941076
6054	292589
6061	10468540
6095	4085871
6121	10314396
6144	11279053
6195	10257663
6198	871701
6204	8906990
6215	6512435
6228	9389907
6230	4151203
6264	2595590
6278	2730042
6291	2633672
6304	8468254
6316	6034423
6351	579044
6401	126714
6429	2097574
6441	13864188
6469	10858038
6470	126714
6474	7273445
6567	145157
6597	1687092
6653	15402543
6658	3424935
6663	8295747
6667	4292246
6676	476170
6689	6847066
6709	294681
6722	1277279
6760	5469342
6784	10956986
6809	8200652
6821	15218874
6847	2734402
6861	126714
6863	10308467
6905	11783499
6931	3288437
6946	11130645
6952	7071624
6987	7751192
6990	2583162
6997	578187
7052	912319
7058	479270
7084	4199177
7114	1436263
7119	2853122
7144	11034309
7176	3288437
7179	9917220
7183	2663389
7222	4654624
7237	2720327
7264	5354296
7301	3938419
7306	4458006
7312	2734402
7338	6709086
7346	14378261
7411	12038851
7443	3002359
7511	7524275
7525	9301092
7540	6562289
7546	11750029
7562	2734402
7580	11430762
7590	10884936
7595	3035348
7611	6911423
7637	3716810
7648	13301557
7659	5310501
7688	2448485
7701	1247677
7719	3021042
7733	8538376
7741	15266690
7761	852730
7776	6366757
7808	126714
7816	7786061
7829	13900194
7832	669884
7854	7244392
7883	1203131
7887	9685913
7937	589274
7987	10365157
7993	876612
8013	10583663
8019	3457064
8042	2237076
8044	7821431
8061	11011086
8074	9140144
8082	6654574
8083	15832632
8094	8248134
8096	11798875
8097	7708262
8101	3274462
8120	12406967
8143	673025
8148	10976931
8172	2384122
8189	6741877
8203	292589
8219	3849311
8234	7540012
8245	997908
8247	8371954
8286	7263601
8297	7718560
8321	11750029
8378	6978064
8394	9289026
8413	10743626
8431	12007406
8441	9561533
8447	12086794
8455	10124894
8459	257954
8462	6477419
8463	1534034
8489	4879903
8579	6568895
8636	7665269
8653	4465519
8656	7910598
8675	5652629
8698	2214158
8709	4602507
8716	5070210
8746	5767084
8751	5079033
8768	9908633
8771	10026018
8782	2697490
8789	11927378
8795	2759677
8796	5759751
8805	8945020
8832	257954
8833	4900331
8850	8829670
8919	10263485
8921	9139852
8950	9581225
8969	4465519
9012	3236604
9019	9527237
9020	9103739
9040	8678955
9045	4753738
9052	10786
9077	11624381
9079	13866495
9094	11225173
9106	15266690
9119	5923567
9155	5810931
9173	4259500
9195	4465519
9203	4465519
9210	4465519
9214	2056293
9226	4304604
9228	9386640
9232	4885669
9238	12187860
9248	9604280
9260	8155600
9265	1502904
9267	9325026
9270	10339185
9291	5669334
9299	2734402
9317	10247078
9324	297449
9338	8770792
9345	320217
9348	10221216
9367	9183967
9383	7833614
9411	6809582
9449	6083441
9466	10344223
9519	12025151
9539	2316724
9541	1974285
9577	263999
9583	9303636
9587	8286696
9588	6659442
9602	11116378
9603	4758048
9621	250305
9625	4818245
9636	3792477
9638	7713189
9648	11992000
9652	2304289
9655	4592295
9657	1354518
9661	4192968
9678	4192968
9683	2707427
9716	552206
9718	2265042
9721	7154219
9729	466828
9741	11113740
9744	2969638
9745	6480575
9748	11627715
9758	4600030
9772	10259924
9774	6967644
9779	13014618
9790	11783499
9793	6200361
9798	10263485
9808	12146829
9821	7210842
9827	10263485
9851	6491210
9852	6955904
9866	4465519
9870	916062
9878	578187
9902	392633
9922	2372876
9944	9950270
9951	7529493
9960	8714382
9961	9362042
9963	4465519
9990	1475257
9994	3023141
10007	7812028
10008	646748
10018	11994245
10033	9950270
10061	7100287
10070	7991283
10079	11630827
10088	8891192
10091	7884318
10121	382528
10122	15218874
10123	3605926
10128	1534034
10134	11839825
10143	12914685
10145	10827644
10156	10886947
10167	5238734
10172	4705265
10187	5391287
10195	13777328
10212	8106318
10233	246704
10236	1759208
10269	11844240
10282	2703852
10286	8070237
10296	7655792
10324	9938134
10326	7155180
10335	3687338
10336	8075466
10346	2555434
10347	4785667
10356	7108963
10374	5055013
10376	2056293
10393	5995363
10405	7510357
10406	8065554
10410	5007648
10436	599239
10462	9733250
10479	254650
10493	6498466
10540	11922145
10607	8162452
10664	1562933
10685	294681
10694	824337
10704	10263485
10718	3687338
10727	1620397
10739	9433417
10765	8299839
10766	4403955
10772	7332296
10806	7014737
10814	10614660
10845	8125058
10872	11217053
10875	7155180
10879	7155180
10882	5329347
10891	11089054
10908	4216918
10912	5856311
10914	15962124
10919	1858575
10928	4805274
10967	6512435
10983	7304523
11031	6289562
11032	4134550
11036	8026898
11040	10583663
11048	3159643
11056	8001210
11067	4735074
11077	5141218
11089	13511541
11093	1120946
11099	3050159
11102	7086708
11106	480866
11114	10230088
11123	6173880
11124	10648634
11125	4402027
11140	1209641
11141	3605926
11172	3167408
11173	6914138
11177	3311682
11189	9456281
11195	4268749
11209	6524323
11217	3453755
11226	4199177
11228	149056
11236	12251083
11237	9879510
11242	9759313
11243	1204614
11249	11680344
11250	1898932
11257	4993476
11263	5140399
11283	2738773
11289	3471309
11297	6169087
11299	79340
11300	2647720
11310	144227
11311	11246409
11320	11405823
11322	4587804
11326	3353117
11329	6160345
11331	2220625
11343	199762
11351	10263485
11371	10953764
11379	7732993
11386	9465844
11395	8181444
11396	8446242
11399	7883418
11405	7155180
11414	4088744
11415	669884
11417	2123292
11418	7855392
11425	1236684
11433	207297
11436	9250211
11463	12428961
11464	7390902
11465	9262590
11487	4180555
11490	1690912
11491	1108373
11493	2137472
11497	5278548
11498	7747874
11499	4268749
11500	4241057
11505	9681060
11513	5537804
11518	3355390
11541	1679316
11543	7651170
11546	882013
11561	2313015
11575	9195333
11585	10594012
11592	7155180
11614	5770780
11617	6710817
11619	1495456
11628	5815727
11643	11116378
11646	3436870
11647	7586400
11650	3436870
11657	3436870
11671	121754
11680	4650305
11685	5139395
11691	2671756
11694	6958108
11695	8835064
11716	11830844
11724	7155180
11726	10308467
11727	9604280
11728	10023581
11734	2269140
11739	12094699
11741	12251083
11744	355566
11747	8063187
11759	12501547
11765	5700212
11775	6881153
11783	7141972
11786	11886581
11788	9972054
11800	76211
11810	8507146
11829	10130128
11831	15904643
11832	73872
11856	10915304
11873	7901147
11893	4600030
11911	7250527
11922	3868401
11938	801479
11940	560523
11944	7901147
11945	5583665
11946	1754065
11963	3167408
11964	3820327
11969	5398079
11987	6695922
11996	2667756
12003	8091050
12011	4283478
12020	898772
12024	7328806
12027	7196481
12035	11225173
12038	11164670
12039	143123
12041	9897552
12044	1793845
12045	580122
12047	7855392
12048	2534883
12049	213165
12050	7263601
12054	12038121
12060	7578980
12092	5812228
12095	580122
12100	3064446
12102	4336948
12116	15569299
12136	10081539
12137	7751192
12146	5093592
12163	773285
12166	997908
12211	2696961
12212	2826137
12222	5796543
12293	1692768
12316	8156654
12325	8943027
12327	7732993
12331	3436870
12341	9122000
12343	9929767
12345	9984776
12350	9687066
12351	652881
12384	8378206
12388	1614974
12389	4241057
12391	5755497
12396	8388988
12404	11062614
12412	6789252
12417	1196807
12421	11062614
12426	648597
12428	8800430
12429	8800430
12430	8800430
12434	8091786
12435	8239910
12452	7108963
12459	10428632
12463	4448635
12464	12679052
12468	5810931
12469	7199246
12470	7443827
12484	4315289
12490	607649
12491	11879754
12493	145157
12497	3556289
12501	13679430
12502	11899387
12513	11211898
12527	2137296
12531	9520938
12536	15677559
12553	833241
12556	4274639
12574	4122388
12576	2990075
12579	13471662
12582	9436847
12583	5368008
12589	11995575
12595	14887739
12610	10889588
12618	9233779
12624	4633304
12637	13225808
12660	1195302
12670	9344252
12672	6167811
12686	3955442
12688	2596998
12690	4657985
12696	6010257
12701	2829776
12711	6985281
12717	3925322
12729	8836694
12734	2885850
12737	11822275
12741	3436870
12762	12024363
12766	1797307
12767	1073662
12805	14966480
12811	1690912
12829	355566
12833	9696700
12835	6720630
12852	357664
12853	11219194
12857	9591417
12863	10308467
12866	12189476
12878	10915304
12891	10034698
12900	1502904
12901	10899060
12934	8670684
12944	930098
12949	1690912
12973	6617990
12975	10317569
12987	6744238
12995	6847066
12998	15402543
13006	1858575
13021	1204614
13023	5008286
13026	10590812
13029	10251714
13042	3144407
13054	7155180
13059	6294177
13063	8947344
13067	1729636
13070	2371752
13071	5754850
13086	1200173
13088	6519516
13098	14997986
13103	1564207
13111	10117457
13115	7018199
13127	7782637
13136	1060881
13137	758719
13142	600617
13148	5999501
13157	10393228
13167	14361786
13173	7108963
13175	10710947
13179	640317
13189	276369
13192	10884536
13204	2555434
13206	8931896
13213	4452035
13236	9850642
13246	14741319
13252	4103256
13253	10519269
13256	11088488
13258	11874797
13273	5093592
13277	6978064
13287	2169108
13295	9599732
13313	10035602
13315	3445914
13316	7185529
13328	1172982
13350	13887332
13361	14255617
13382	6507754
13389	1793845
13399	6449274
13407	7027520
13430	7256955
13432	3955442
13441	4915527
13442	3621447
13452	2432928
13471	4107116
13488	4735074
13490	4977023
13510	8204173
13511	1502904
13523	3460367
13525	9324458
13526	3588814
13534	9947970
13539	4654624
13542	5861661
13547	10261849
13550	7086708
13593	6291245
13654	72907
13689	1517615
13695	2923409
13697	8031035
13700	4132149
13712	3311682
13714	6736149
13719	12575299
13721	8707527
13722	4812096
13729	6294177
13730	9689373
13745	13073013
13747	7466340
13756	6978064
13766	245126
13778	8916200
13783	11702720
13784	1294370
13808	9107227
13811	10366273
13821	7155180
13828	3882935
13830	11084518
13834	5791414
13843	1322507
13861	11793944
13871	9122000
13873	7015049
13877	10109687
13891	8116531
13901	9137253
13904	1465996
13909	13831467
13910	1177589
13915	2707427
13916	12526731
13922	9674131
13924	276369
13925	5723944
13926	375554
13927	10439240
13928	1060881
13934	10813310
13941	471323
13951	582810
13972	10386262
13992	6662751
14004	1884846
14006	9537608
14021	2786010
14030	6167811
14037	7328806
14045	8903207
14046	4199177
14066	3180701
14067	471323
14082	6070686
14083	6593940
14094	10988554
14100	8055731
14104	4419578
14110	849805
14118	9689373
14120	265574
14122	7154219
14125	11667271
14153	8968171
14159	12175482
14164	8822719
14168	15677559
14169	7434872
14170	8926890
14171	1302683
14184	11384675
14188	5009720
14190	5916797
14193	12648538
14204	1933602
14205	2269140
14206	581099
14209	5601136
14213	228619
14216	642989
14221	2269140
14266	9399227
14273	4490318
14276	11641661
14277	11435740
14278	2734402
14293	9679103
14320	7827177
14326	7711981
14343	13471662
14354	1033165
14357	5566765
14358	2262210
14362	4717442
14363	1352853
14365	10266570
14385	8391364
14389	10757666
14392	6398902
14394	1085380
14395	7781705
14399	12814019
14407	620195
14422	8904791
14435	8404742
14450	6978064
14451	9754686
14459	8273657
14468	7209315
14469	7711981
14470	12204682
14475	9344446
14481	7576275
14485	620195
14487	3849311
14489	4482349
14491	1917137
14492	4717442
14497	7698902
14500	10992251
14514	8980624
14519	8030790
14525	7809825
14530	12033725
14531	9183967
14535	2260545
14536	7750079
14543	6630098
14546	12170003
14548	9077984
14550	1274498
14551	3247187
14552	12170003
14555	8042529
14559	10255495
14560	6124653
14567	7223713
14570	3745487
14582	7184059
14585	6000797
14586	6630098
14598	14030393
14605	5012133
14614	126714
14636	331762
14637	6167811
14650	5838666
14653	2052410
14656	4612972
14657	6304529
14661	357664
14663	9485019
14668	8178429
14674	7234529
14676	9925083
14681	2641984
14682	6794941
14694	258012
14707	8302985
14710	2734402
14715	1639992
14727	5201729
14734	580122
14735	13044234
14748	12431799
14750	7338475
14763	7014823
14796	8364662
14799	1752122
14820	6022503
14842	2387259
14850	9486530
14853	1731070
14861	12501547
14875	5940137
14881	11409776
14884	11101698
14887	11315678
14890	6386793
14898	2310021
14909	4627206
14917	5747254
14919	3554699
14921	2238045
14922	7067136
14947	6630098
14948	9920120
14951	1125927
14958	10213721
14961	9869475
14967	7015049
14968	2857029
14989	15783664
14995	5472754
14996	2214158
15000	6630098
15001	5485393
15003	3554699
15006	8902340
15010	6425771
15013	4753738
15019	143123
15021	318837
15023	3176223
15031	13327831
15035	9561533
15036	6630098
15040	7234529
15045	1793845
15052	11793944
15056	1878
15077	10739829
15082	8083856
15093	5747138
15102	1858575
15120	12122716
15131	8200098
15137	560310
15140	8906248
15145	12033724
15157	1944289
15185	12310412
15199	1329993
15204	833241
15223	5815727
15225	4936841
15233	8011749
15239	10023581
15246	1858575
15249	1751151
15250	7510357
15259	6630098
15265	4105791
15268	11405823
15273	12042517
15275	276944
15282	9605969
15290	5070210
15295	1243376
15299	6192353
15305	6630098
15311	14917796
15318	4717442
15322	7197497
15328	7479776
15334	4717442
15335	9561533
15343	2734402
15351	14917796
15373	5174903
15376	3322489
15388	4119007
15395	7373645
15410	11673535
15425	3170913
15428	10357982
15430	2328830
15431	4822488
15432	6630098
15433	8159143
15441	6630098
15448	5999501
15451	6630098
15478	6169087
15484	1759208
15489	9553750
15510	7089327
15525	8322929
15526	6630098
15527	2786010
15535	815958
15536	13803400
15550	10645580
15565	4643292
15569	6684473
15570	1639992
15580	1274498
15602	7213864
15610	471323
15617	788776
15620	1557337
15629	8800430
15631	10008889
15632	607649
15634	1060293
15635	4184109
15646	15222371
15660	2734402
15674	12520954
15686	1754065
15700	11157541
15712	4690702
15721	3806459
15726	4955916
15730	2145187
15735	6695922
15741	7328806
15747	2557211
15754	685977
15770	4626670
15793	7821914
15822	12002915
15827	3467334
15835	5754958
15836	753492
15842	12175482
15843	1066467
15844	606901
15845	15408388
15856	4753738
15864	11435703
15881	2578439
15892	7564010
15894	8308192
15897	3570761
15911	7334092
15914	6267240
15915	8591729
15919	9493677
15933	699144
15934	306959
15937	2262664
15942	102086
15945	824337
15949	7590554
15953	493495
15964	11702720
15969	6695007
15971	6169087
15995	15864994
15996	2734402
16000	15864994
16002	11350042
16018	7768121
16031	14517178
16032	10474934
16034	12503154
16035	16025914
16036	2853122
16044	6533348
16046	2351410
16050	8602392
16055	12503154
16057	8322929
16060	6410763
16063	10037296
16078	10897885
16079	3687338
16081	4785667
16083	6695922
16090	801479
16092	4222506
16097	5079033
16117	4887285
16122	6978064
16127	314087
16130	4895749
16136	9394294
16138	10339185
16140	11116378
16152	11783499
16165	4758048
16180	6630098
16181	3186634
16186	1884846
16192	2968434
16208	6024539
16209	2237076
16210	1275284
16220	13513112
16226	10532262
16235	12154263
16241	5532223
16258	184424
16272	1562933
16273	2482316
16274	292589
16275	1559863
16284	623051
16290	6630098
16293	7889164
16295	8032304
16305	6091471
16306	1995134
16309	5132985
16313	7638709
16314	1761690
16330	9746495
16332	1635665
16357	12356265
16371	7199246
16374	8037403
16383	9485019
16387	9907112
16392	9984776
16394	1060881
16415	7734651
16425	6630098
16432	4288349
16434	7510357
16438	6316316
16444	784222
16453	10133180
16461	7233800
16470	7249343
16482	3857800
16483	9452341
16490	355566
16492	9199936
16493	126714
16503	3765071
16506	8903761
16507	1294370
16512	6550104
16514	1204614
16516	1200439
16517	10495063
16533	10991091
16554	7522220
16572	5595356
16593	1275284
16633	12612068
16668	7155180
16681	2826137
16683	2696961
16702	8190137
16713	8274090
16716	5128321
16733	2214158
16736	3855182
16740	2316724
16742	930098
16743	7502376
16749	8653847
16755	6592211
16771	5868489
16774	8653847
16781	6502190
16784	10847044
16794	12405063
16801	2709097
16808	471323
16811	12025151
16813	6630098
16825	9945961
16829	11734452
16833	4897028
16836	9704532
16868	3123017
16870	7711981
16871	8942105
16880	4186795
16895	3123017
16902	9072731
16904	3311682
16917	6839746
16918	4040482
16928	5079033
16933	5174903
16934	2182628
16947	9614001
16948	12643120
16949	7297061
16955	11358724
16956	2060849
16961	13471662
16969	12057503
16977	145157
17007	2709097
17013	12967712
17017	12734611
17028	9135453
17029	3123017
17037	2734402
17047	2607058
17052	11426395
17059	6791030
17085	8181735
17087	7633150
17088	6712611
17089	10663157
17090	11311885
17092	11232261
17101	2097574
17110	5193739
17115	10999713
17131	318837
17141	11517081
17145	9687066
17157	2097574
17171	11187128
17183	9431052
17188	15147531
17215	471323
17237	2097574
17238	11129335
17240	9907112
17250	10569668
17252	1213610
17253	9344446
17262	1028290
17268	9302821
17283	331762
17294	6048706
17297	6818156
17304	1942351
17311	4805274
17313	12487891
17315	3554893
17321	9765794
17348	542931
17367	8912671
17374	7938707
17375	7174246
17382	12596283
17405	7580131
17420	11425442
17444	5853059
17472	9082374
17477	509072
17494	12313350
17497	11073348
17513	631450
17514	7155180
