geneid	dist
559	4777
564	6039
572	7975
575	8318
582	7396
590	6713
594	5858
605	5149
614	3551
619	1734
624	1140
633	9895986
977	155
978	155
992	5920826
1024	1649242
1430	16689023
1711	155
1712	155
2011	13723902
2929	28412258
3124	9118958
3855	13947839
3911	23198496
4202	13947839
4208	20403871
4275	13947839
4374	13947839
4378	25462615
4416	22510400
4448	23677422
4475	1138504
4513	13947839
4544	19713228
4546	19713228
4676	21971913
4716	6642979
4717	13947839
4734	23677422
4747	13947839
4750	23677422
4772	20403871
4827	23677422
4828	20403871
4841	20403871
4857	15320809
4867	22510400
4901	314731
4919	22671437
5051	20252196
5059	20502622
5085	6288478
5098	26911631
5143	21268576
5151	20511596
5161	35816471
5198	5209309
5216	9341854
5242	21488976
5249	21269186
5264	3138859
5266	10473851
5291	8940538
5302	313419
5305	9353255
5357	24886380
5362	20293978
5369	16392251
5401	23662010
5467	203029
5470	18283788
5471	12905089
5505	9122562
5506	21401302
5522	28202546
5546	26915916
5562	20437609
5599	12973283
5608	28183242
5654	23028214
5659	799026
5670	3282220
5691	18278580
5697	20573839
5705	18905317
5740	5720666
5748	4408406
5780	608247
5785	15246294
5798	6665440
5820	2790493
5837	28950366
5877	5000739
5879	5083229
5898	18568927
5912	18721416
5913	14666556
5914	2596468
5916	999556
5921	3078600
5930	2568220
5939	6783776
5951	10729
5993	1217192
6004	3652151
6012	18587754
6050	26842972
6054	2027100
6061	25916687
6095	5670745
6101	18006632
6106	28853539
6117	2559466
6120	20730928
6121	2813259
6144	11378387
6160	2752586
6179	24955731
6195	5240128
6198	242035
6201	23662010
6204	20054023
6206	28294750
6228	28848405
6230	6478116
6267	72688
6276	768988
6278	4435391
6291	3258073
6304	22280466
6308	2734698
6316	11753487
6329	18587754
6338	26610862
6351	656693
6391	12312976
6401	1147278
6429	3647277
6441	12360121
6469	179523
6470	1147278
6474	2100808
6504	15519481
6514	24683298
6538	6276789
6552	25874274
6567	5356887
6597	24621689
6653	3209345
6658	5277583
6663	19431885
6676	18946648
6689	25639536
6709	9242777
6722	24978295
6723	10365969
6731	27861148
6745	19191679
6760	4924188
6771	5396478
6808	20407103
6809	9002100
6816	17614575
6820	8322921
6821	115532
6834	8215250
6861	1147278
6890	10319975
6905	4017948
6916	25901318
6917	16697394
6918	15674802
6920	27045991
6923	29031814
6931	6086938
6939	14181984
6946	11358463
6952	20957814
6953	24712405
6974	3132494
6986	4231532
6987	4543005
6988	12408109
6990	29773645
6997	12272543
7005	4417386
7007	123400
7014	110750
7045	5098324
7052	6386081
7058	12572344
7066	20293978
7084	15250265
7098	34050553
7108	20247592
7119	17047111
7144	6754970
7158	309894
7166	1322654
7176	6065758
7179	7793
7183	4972916
7190	850371
7222	2299553
7237	18035253
7258	1364678
7264	977652
7299	4958028
7301	12389259
7306	10079688
7333	13239367
7338	17323862
7346	14021459
7353	13789857
7385	29688399
7411	17691171
7425	4869790
7426	3528258
7428	21200406
7430	1156033
7443	2472555
7455	15948920
7462	18277161
7469	13239367
7496	700697
7498	12894070
7499	14058463
7503	28629471
7511	9903141
7525	20557593
7536	21970067
7540	9114683
7546	5066462
7580	6809598
7583	40577
7590	4063581
7595	19248640
7606	13239367
7611	6058105
7637	9199830
7648	30832935
7649	110750
7659	7869698
7688	5092539
7692	18367267
7701	7170351
7709	936
7719	6239216
7733	135432
7738	504283
7739	992458
7741	23314304
7760	10261652
7776	4386084
7777	20643630
7791	18143033
7808	1147278
7816	6311
7829	3183470
7832	7337537
7854	81705
7863	13239367
7882	1162804
7887	14073286
7900	16981985
7918	2623176
7919	13857729
7923	4477413
7926	18002020
7933	25383930
7937	25776605
7938	11964678
7987	5394791
7993	20879527
8006	3379041
8007	29688399
8013	7913591
8018	2726590
8019	2617121
8031	8191992
8042	2098553
8044	10020718
8061	9960940
8071	25171412
8083	4365321
8096	7736719
8097	10053049
8101	156441
8117	17284760
8120	17149702
8148	18850799
8153	23916118
8160	12954779
8163	20863374
8170	5953885
8172	7390458
8189	9291892
8203	17159761
8207	108952
8219	19346678
8236	16377960
8244	4112836
8245	19321087
8247	29654925
8255	201600
8286	24562144
8297	28835336
8321	705660
8336	18283788
8378	409768
8394	3534705
8397	2547762
8411	1644414
8413	15487013
8430	21818589
8431	24154437
8438	1156033
8447	26353874
8455	27520204
8458	8882901
8459	695000
8462	2900825
8463	17222083
8465	12105758
8481	27474606
8488	8483537
8500	1799265
8505	21574893
8510	5077715
8526	11064112
8547	21593250
8553	11386866
8561	27871054
8563	729767
8571	22547496
8579	22705728
8582	1807811
8589	24389869
8600	11549012
8603	13239367
8623	4154332
8635	4984243
8636	5989879
8641	1291810
8656	1305412
8657	1576198
8662	11362871
8663	21678263
8665	609887
8674	18922976
8675	6796687
8677	21587093
8691	8795250
8698	26975783
8702	8483537
8709	159597
8710	5038741
8723	29690729
8730	17923323
8742	12482284
8745	1513327
8746	929448
8751	15010688
8759	1004025
8761	27897315
8768	3341974
8771	11076409
8782	1138504
8789	17399340
8792	20689297
8795	970951
8796	10144865
8805	5845804
8827	17923323
8832	15134639
8833	6844306
8850	13377452
8862	17923323
8885	182258
8898	192033
8919	7148449
8921	27029394
8928	7123275
8950	28275
8964	26165753
8965	32803695
8974	27129697
8986	3198230
8999	9492266
9007	6864127
9012	15160115
9019	8142213
9020	11600013
9026	8133535
9027	20270686
9040	18606573
