geneid	dist
559	3727
564	4977
572	6906
575	7731
579	7523
582	7362
590	6682
594	5829
602	5412
605	5122
614	3538
619	1740
624	1139
631	12650
977	151
978	151
992	81381
1005	23136048
1032	8583880
1238	8583880
1274	20848195
1430	19025297
1711	151
1712	151
2929	96353
2932	590103
3124	2000909
3159	542823
4104	6794064
4208	22324571
4378	52471927
4475	3944645
4544	923373
4546	923373
4548	1980503
4714	1980503
4716	53981421
4772	22324571
4828	22324571
4841	22324571
4881	19373233
5007	9658836
5051	4618524
5059	610249
5085	4606749
5098	406927
5143	2099593
5151	7385992
5161	2369939
5197	2291836
5198	8356198
5216	9709462
5234	17592753
5242	688820
5249	2125931
5266	15215198
5280	2469223
5291	10003956
5302	37084547
5331	15017927
5345	7706412
5362	4794359
5369	10451380
5397	10858576
5467	25482787
5468	10874861
5470	16940683
5471	21330658
5493	999
5505	3018624
5506	1503014
5522	44205831
5546	16159687
5557	7744663
5562	8022081
5597	16046035
5599	21721546
5608	44105864
5631	37721604
5654	63366467
5659	41040940
5670	18958059
5691	27201124
5697	6659330
5705	25329806
5730	13904850
5740	12672502
5748	6583296
5772	26101035
5773	15042740
5777	14005926
5780	18999593
5785	16305332
5798	16146329
5820	43882095
5837	2389868
5841	15145524
5843	18299318
5854	11584351
5874	14931539
5877	11166226
5879	36775679
5895	15049754
5897	14657003
5898	27019837
5901	14654216
5904	13973227
5912	25955681
5913	44156230
5914	44431909
5916	11623956
5921	21992965
5930	45959980
5939	37733581
5951	21558652
5977	15017927
5993	48659741
6012	26408814
6023	20090739
6050	21518337
6055	14882318
6061	9067025
6095	13218511
6101	27875883
6105	26171590
6106	34586302
6117	36524695
6120	17536223
6121	43839139
6137	5300263
6138	24941045
6144	12214945
6160	29178274
6179	34514029
6198	34035006
6204	16119795
6206	44304857
6215	26443508
6228	34569496
6230	38789118
6266	37235997
6267	20316982
6276	37709529
6278	7256998
6287	14892819
6291	5359033
6295	14931539
6304	16225711
6308	29076714
6316	10574055
6329	26408814
6338	2126106
6351	18794553
6360	28987284
6390	30522401
6391	28993648
6401	3077075
6416	29030259
6441	40538733
6469	25899081
6470	3077075
6474	1115316
6504	17464812
6514	39464768
6530	1348483
6538	40771809
6552	32408365
6567	15693707
6597	32638152
6635	1348483
6639	6248638
6653	5297010
6658	28241472
6659	1348483
6661	13717248
6663	17003551
6667	11705687
6676	1679755
6689	35718989
6709	3286169
6722	34308213
6723	46004111
6731	792054
6745	24835658
6760	37025721
6764	13847997
6771	15106332
6784	16250470
6795	10874861
6808	8201300
6809	41129805
6813	21227338
6816	19221125
6820	22147567
6821	2492762
6826	22766107
6834	22224898
6839	10893488
6850	1623
6855	21227338
6861	3077075
6863	13024668
6890	17108924
6902	6248638
6905	15906960
6913	1623
6917	13656616
6918	4712473
6920	17757234
6926	22899268
6931	3814915
6936	6599021
6938	6599021
6939	19886675
6942	6330144
6946	13008289
6952	12345829
6953	8431890
6974	16340657
6986	16917910
6987	29604174
6988	14048917
6990	12443090
6997	36831415
7005	21140891
7007	30398175
7013	12293785
7014	20783237
7045	22254746
7052	4851542
7057	22801108
7058	11464766
7066	4794359
7084	19267038
7094	6599021
7098	6809790
7108	29525665
7111	22838920
7114	2223744
7119	12356858
7144	37384230
7146	1040
7151	6857824
7158	17591489
7162	4724729
7166	72091
7176	3916914
7179	25802464
7183	18422377
7190	29369817
7199	1348483
7222	13485234
7237	9344120
7258	46932688
7264	7659323
7299	956493
7301	13800266
7306	13234095
7327	15536056
7333	2050220
7338	11214035
7346	7282437
7353	35447971
7385	13102887
7411	7804200
7425	37165509
7426	11450319
7428	388712
7430	11362024
7435	6599021
7455	10114753
7461	9066044
7462	10236878
7492	13973227
7496	15566722
7497	23177021
7498	33399258
7499	6831298
7503	30251317
7511	12073250
7525	7054576
7536	32108053
7540	17587040
7546	28863074
7562	4730498
7583	1289512
7590	15985031
7595	7724540
7606	2116981
7611	3997173
7621	25260847
7637	18072893
7648	29165996
7649	20858929
7659	8016400
7688	28950149
7692	2463280
7701	411973
7709	893665
7714	8947561
7719	1025009
7733	7928076
7734	1040
7738	9846034
7739	7390038
7741	11305240
7760	40316904
7761	28880010
7776	17561811
7777	6332908
7783	14987477
7791	17461978
7808	3077075
7816	391270
7829	16115767
7832	9102363
7834	23203110
7854	8284689
7882	12880563
7883	7324382
7887	6630229
7900	2281505
7907	1623
7910	24404726
7918	9393787
7919	56569
7923	21035384
7926	449548
7931	17532827
7933	12108857
7937	22374925
7938	4829341
7983	13194681
7987	28887820
7988	1623
7993	7885689
8002	1623
8006	18844041
8013	8508039
8018	24445810
8019	25017416
8029	13564843
8031	15874291
8042	37981325
8044	10927957
8061	27926
8071	24114505
8074	31934857
8082	11025659
8083	17643818
8090	22821970
8094	2501602
8096	23868195
8097	40796466
8101	16221593
8117	11403158
8120	5253563
8143	21961331
8147	24672613
8148	6682264
8153	31472962
8160	21789523
8163	7943218
8164	48278546
8170	42029720
8172	15849373
8184	14931539
8189	24308035
8203	7258295
8207	8429795
8219	10855814
8229	6599021
8234	9676723
8236	48794077
8244	11007491
8245	10783460
8247	12373525
8255	23685969
8286	25053255
8297	34539615
8312	29200031
8317	22945137
8321	28765103
8332	24951226
8336	16940683
8338	29811150
8339	30517911
8360	8938554
8378	11696586
8380	23136048
8394	18067298
8397	24452180
8411	21936467
8413	23951361
8417	6878119
8430	261743
8431	18923929
8438	11362024
8441	22108894
8447	1806239
8450	10224586
8455	4793985
8458	3124499
8462	43729788
8463	7500216
8465	10455816
8481	5305979
8488	582394
8489	13461309
8500	19329141
8505	723322
8510	28939024
8512	1348483
8526	12469777
8553	18636859
8557	8200308
8561	15717076
8562	21445642
8563	778016
8571	25761432
8577	27517128
8579	53373
8582	4746016
8600	552395
8603	2008259
8623	23650931
8625	24218232
8635	40157900
8641	6996581
8653	15764745
8656	5991847
8657	21615655
8660	13888426
8662	366178
8663	15802934
8665	11446359
8673	17806298
8674	10193244
8675	6594846
8677	614813
8691	6006231
8698	15314903
8702	476227
8709	7322606
8710	15282943
8716	6335574
8723	7008971
8731	15101310
8742	11556022
8745	11297712
8746	19987168
8751	11612422
8759	1541301
8761	3605132
8768	26864478
8771	8061709
8775	848531
8782	3944645
8789	11115046
8792	10959
8795	16274943
8796	576529
8805	22027249
8832	562628
8833	24887307
8853	10273178
8885	753131
8898	723285
8921	15240424
8928	14579450
8950	11597455
8964	32162079
8965	41129657
8969	15380430
8974	848716
8986	5293480
8994	5044068
8999	22750158
9007	24821284
9012	718476
9019	29045357
9020	14836251
9026	4634191
9027	16215596
9040	4076775
9043	12447994
9045	1473004
9047	27354294
9052	14731120
9067	4937650
9077	4279060
9079	21108817
9094	10056170
9095	14210674
9106	11305240
9108	3270079
9119	11357163
9132	7256105
9155	15933357
9173	15118236
9178	6204271
9195	15369573
9196	11988759
9203	15790048
9209	17930961
9214	3255157
9216	7187022
9228	21060369
9232	41576433
9238	218666
9248	19603540
9251	21577529
9260	10840321
9265	21487762
9267	28822794
9269	5582181
9270	7520763
9287	4017688
9288	17078236
9291	760769
9317	3592283
9324	15927206
9327	17175357
9338	91536
9341	11253300
9345	7773348
9348	41515676
9366	151
9367	14599836
9376	151
9379	151
9383	17073402
9385	20848195
9390	151
9398	23136048
9407	6826245
9409	10648576
9411	16008799
9412	36642992
9414	16009551
9415	16052980
9420	19057526
9430	30835320
9439	41357506
9449	4287512
9458	5018919
9466	12183281
9474	25761432
9485	12884971
9495	4200810
9504	11943069
9513	24422657
9519	543911
9525	9699162
9534	11912213
9539	9284372
9541	21124685
9554	12702454
9574	38506219
9575	2619639
9577	9187084
9578	15424992
9583	10542788
9587	490157
9588	36578577
9596	21236211
9600	2471
9602	3329422
9603	21201577
9617	12310363
9621	12584434
9625	20932337
9633	5685355
9636	8802394
9638	643623
9648	37242938
9652	7278935
9657	50724
9668	2706634
9670	16763769
9678	12461983
9683	11383371
9692	5357616
9716	5697024
9718	850438
9721	2976414
9722	18301780
9725	13870742
9729	7467123
9732	454261
9735	16894129
9741	13252283
9744	44225451
9745	11171137
9748	838453
9751	10858576
9752	16955766
9758	4353580
9759	32339550
9770	32035804
9772	5983544
9774	1830382
9779	19047300
9790	9822201
9793	12959646
9794	14348524
9806	14348831
9808	11398520
9810	22057994
9811	11174109
9813	4045004
9821	241147
9851	41539383
9852	10674689
9853	14954830
9864	11727437
9866	15710275
9870	11736871
9878	10471270
9880	8843240
9893	10893488
9897	13937785
9902	8759694
9922	10707095
9930	11812484
9933	8491163
9944	2801099
9950	15996120
9951	1408284
9954	15958167
9960	34966
9961	2752296
9963	15364576
9986	14765583
9990	40469320
9994	7039335
10007	6653107
10008	474651
10018	29188565
10021	2696146
10026	29591438
10033	2684172
10037	223718
10052	13558570
10054	606794
10061	7773407
10071	5435294
10075	7219371
10076	872926
10079	2608758
10086	36524695
10088	18976584
10091	17740906
10107	9343041
10112	1066207
10117	38480481
10118	29303206
10121	14083556
10122	2492762
10123	5891705
10127	14952981
10128	7500216
10133	11665622
10134	13806277
10143	12853146
10145	2389868
10156	294788
10167	8112221
10171	29295686
10172	15140745
10187	259326
10195	15816518
10203	7589639
10204	21408405
10205	17392961
10206	12115984
10209	12813373
10212	814110
10213	40593471
10228	44252633
10233	5753710
10236	22288952
10245	39449863
10254	31714863
10262	11187314
10264	4365926
10269	17295877
10276	24732548
10282	40816895
10286	10589466
10287	11843150
10293	12010896
10296	7261180
10298	21379524
10301	21812731
10306	7848206
10307	10771520
10317	148484
10322	38001929
10323	5513209
10324	6206448
10326	16334
10331	13299367
10334	14606378
10335	46517808
10336	11068688
10341	19250910
10347	14337841
10350	37868711
10356	3392470
10357	13242333
10359	5610116
10363	48243794
10374	2756309
10376	3255157
10385	40779866
10393	44067524
10405	19277618
10406	47760011
10410	37578983
10415	27408733
10436	34304023
10444	27595137
10447	48343248
10472	6656128
10479	13507992
10488	7114124
10489	7114521
10493	39155331
10500	37895034
10507	37754781
10516	17415615
10520	41359723
10535	27264815
10540	41536431
10607	13601142
10608	19022354
10609	19533139
10610	19022227
10611	19022078
10612	19021919
10613	19021768
10635	37754781
10637	10364886
10645	37754781
10651	9555397
10664	3208577
10665	4011887
10670	17762324
10672	7148155
10680	10648576
10684	40569635
10685	3286169
10694	22692843
10702	39729954
10704	12728
10713	21076141
10716	12771931
10718	21073013
10722	21041852
10727	9485619
10739	20248124
10743	15989714
10765	16658046
10766	286291
10771	11744600
10772	15306551
10774	39716519
10806	11642542
10814	1113653
10819	15412214
10833	3039599
10838	773406
10844	1226445
10845	5080668
10872	15379544
10875	29811807
10879	22344311
10882	388222
10891	39634390
10900	4609345
10906	40576490
10907	6557
10908	14288613
10912	18730051
10913	4918836
10914	12892066
10918	3495742
10919	50133735
10925	14454240
10928	8449149
10935	46084564
10936	14597518
10938	950796
10953	38575206
10967	4896557
10969	35214913
10977	41836570
10980	17999530
10983	7960634
10997	19982249
10998	4618524
11004	11509545
11009	11579686
11011	12718690
11015	11673509
11021	56927629
11023	12707164
11025	42553176
11031	3490561
11032	15792476
11036	21648878
11038	11664940
11040	41723045
11053	15751930
11055	11787164
11056	7639915
11060	3456841
11061	40886518
11067	4299171
11075	11413907
11077	18914967
11089	15789057
11093	11948174
11099	3694363
11101	20959645
11102	2075169
11106	10649312
11109	8455637
11114	21315751
11120	936855
11123	330347
11124	37849922
11125	593698
