geneid	dist
636	152
992	43598736
1024	4030488
1325	142966255
1430	112794036
2011	16933403
2929	26611871
2932	480
3124	72601739
3152	480
3855	66825709
3911	123863669
4104	23010241
4202	66825709
4208	47067372
4275	66825709
4374	66825709
4416	35765048
4448	72898185
4475	18824487
4513	66825709
4544	65748769
4546	65748769
4548	123597747
4714	123597747
4716	9872769
4717	66825709
4734	72898185
4747	66825709
4750	72898185
4772	47067372
4827	72898185
4828	47067372
4841	47067372
4857	27885551
4867	35765048
4901	123585948
4919	120605950
5051	55815030
5059	53875509
5085	56111930
5143	55010661
5151	53038883
5161	58385566
5197	26114
5198	43614830
5216	32595599
5234	141824246
5242	53990315
5249	55046172
5264	20159078
5266	25741329
5280	58134358
5291	32281588
5302	76795
5305	32457488
5357	106700403
5362	55786209
5369	31746148
5401	41643972
5467	106673523
5470	106425308
5471	1987548
5506	54614193
5522	82688927
5546	1468654
5557	52641998
5562	52464180
5599	749589
5608	82924592
5654	59488407
5659	70762389
5670	19707687
5697	53922786
5705	106883285
5740	310286
5748	54100743
5780	381130
5785	23465235
5798	1417654
5820	67753303
5837	57071164
5854	2441166
5877	41525948
5879	74289802
5898	105135704
5912	106176724
5913	38970514
5914	82358116
5916	191227
5921	18624479
5930	80516536
5939	73052245
5951	111654207
5993	67654329
6004	690
6012	105738656
6050	11531555
6061	42468821
6101	103975855
6106	84290085
6117	94279430
6120	21513207
6121	67810186
6144	29473001
6160	101945547
6179	120758
6198	77137037
6201	41643972
6204	33538
6206	82575526
6215	105709844
6228	84286677
6230	35666120
6266	86757727
6267	8158868
6276	19852357
6278	53153897
6291	20503843
6304	141463840
6308	102035042
6316	31535209
6329	105738656
6338	21317991
6351	206845
6360	102243660
6391	153400249
6401	13827934
6416	153342164
6429	3089425
6441	14007833
6469	40349802
6470	13827934
6474	20721764
6504	22049435
6514	14660220
6538	33065627
6552	82662173
6567	140170100
6597	14359635
6653	81857120
6658	78365833
6663	22491543
6667	303554
6676	7915784
6689	85285737
6709	57718796
6722	83949674
6723	136775
6731	54169732
6745	11094232
6760	73764034
6784	63841862
6808	52254433
6809	70893905
6813	7648306
6816	42805085
6820	25636493
6821	57195216
6834	25409840
6855	7648306
6861	13827934
6863	1526338
6890	106619570
6905	26175
6916	42396502
6917	46522928
6918	7629010
6923	130159394
6931	136566424
6939	19569539
6946	28642452
6952	139345142
6953	168465265
6974	63894270
6986	7775
6987	79707666
6988	72482499
6990	129509456
6997	7215619
7005	22732787
7007	80372017
7013	1116638
7045	17819043
7052	138649528
7058	41903345
7066	55786209
7084	46970526
7108	24886870
7119	24491347
7144	73248661
7158	21451077
7166	16845819
7176	136746305
7179	24781
7183	139043480
7190	101636734
7222	59870972
7237	3492206
7258	64634078
7264	27779833
7299	15989
7301	72881413
7306	9298424
7327	111325300
7333	67766628
7338	25314409
7346	25201930
7353	95826024
7385	2166
7411	17760861
7425	73540129
7426	27136875
7428	7908866
7430	30077835
7443	13921064
7455	23925702
7462	25949502
7469	67766628
7496	111799601
7498	98137861
7499	35277299
7503	80221992
7511	16046705
7525	53601539
7536	82149230
7540	4602383
7546	205482
7580	26027625
7583	7455542
7590	6091556
7595	17711776
7606	67766628
7611	137061368
7637	4389761
7648	22684187
7659	27383848
7688	283670
7692	4128380
7701	7937890
7709	7478227
7714	4577333
7719	7556362
7733	97267113
7738	23060852
7739	27791505
7741	41612550
7760	14766228
7761	102338726
7773	25136097
7776	4659796
7777	88041
7791	141872803
7808	13827934
7816	88950064
7829	63528350
7834	30097328
7854	96844664
7863	67766628
7882	108868086
7887	35215179
7900	78702139
7918	10310916
7919	79313412
7923	22575529
7926	88937578
7933	129173853
7938	217641
7983	30947650
7987	78896961
7993	14217994
8006	20200250
8007	2166
8013	168904762
8018	54065800
8019	107109581
8031	140342574
8042	20875746
8044	16219885
8083	4634779
8096	79667541
8097	13980754
8101	63744528
8117	25203641
8120	55173958
8143	30593666
8148	59159729
8153	13967570
8160	46625
8163	14285237
8170	69448190
8189	53762758
8203	17521548
8207	96796705
8219	10551529
8236	70710475
8244	655060
8245	10447731
8247	13649968
8255	29690704
8286	27598830
8297	84250428
8312	2620353
8321	49557229
8336	106425308
8378	23935847
8394	72940
8397	53983919
8411	30629141
8415	121487868
8417	98430739
8430	122364295
8431	19817531
8438	30077835
8441	30504518
8447	15128287
8450	31954473
8455	20794403
8462	67915851
8463	17451106
8465	42877
8481	20736074
8488	80972960
8489	46311856
8500	33495351
8505	124016535
8510	256812
8526	29324975
8553	36674631
8561	104345360
8563	12843240
8571	44833
8577	69914159
8579	121120320
8582	100637310
8589	124765404
8600	49606721
8603	67766628
8623	73055525
8625	50656960
8635	88829147
8641	481606
8656	22197571
8657	31226897
8662	56342442
8663	24188633
8665	11029861
8673	35695516
8674	16912783
8675	34677886
8677	123930844
8691	25532779
8698	62922830
8709	97877474
8710	75734663
8716	38104546
8730	85759808
8742	41964352
8745	23323143
8746	33151778
8751	25560651
8759	14592069
8761	28683
8768	70851563
8771	45315200
8782	18824487
8789	25480643
8792	19670117
8795	23317
8796	25931475
8805	5133521
8827	85759808
8832	35050917
8833	27789373
8850	1387317
8853	31929529
8862	85759808
8885	112079136
8898	112227214
8919	3063566
8921	62855696
8928	104063157
8950	2481134
8964	127191976
8965	32911032
8974	132004777
8986	155482778
8999	53469552
9007	27814602
9012	35665438
9019	370145
9020	132860129
9026	5129127
