geneid	dist
559	3791
564	5052
572	6990
575	7836
582	7407
590	6725
594	5869
605	5160
614	3566
619	1731
624	1136
992	8760141
1024	14636040
1430	7737082
2011	2279477
2929	23659378
3124	2199824
3855	1866030
3911	11501324
4202	1866030
4208	12458816
4275	1866030
4374	1866030
4378	10691199
4416	4506778
4448	5384968
4475	7900343
4513	1866030
4544	968228
4546	968228
4676	3003971
4716	4323863
4717	1866030
4734	5384968
4747	1866030
4750	5384968
4772	12458816
4827	5384968
4828	12458816
4841	12458816
4857	1622573
4867	4506778
4901	11449715
4919	11103549
5051	7110672
5059	9048423
5085	19982876
5098	8992452
5143	9471274
5151	6957621
5161	20203758
5198	4327503
5216	9396493
5242	9657279
5249	9467580
5264	9513495
5266	11013551
5291	9431566
5302	13419108
5305	3589758
5357	1243657
5362	7108832
5401	8378919
5467	1353404
5470	23416904
5471	1390806
5505	341547
5506	9576805
5522	138965
5546	787417
5562	7013023
5599	12489001
5654	427607
5659	10249348
5670	1784693
5691	10715758
5697	6928261
5705	1239915
5740	4908127
5748	6920176
5780	2220837
5785	11294900
5798	806869
5820	17985442
5837	9620591
5854	12166891
5877	3333115
5879	2540678
5898	10694182
5912	10600876
5913	13918286
5914	157317
5916	100859
5921	2926449
5930	6909661
5939	3120466
5951	9265637
5993	14461648
6004	1164553
6012	10631927
6050	1414591
6054	8264881
6061	8182323
6095	4938731
6101	10822135
6106	2677845
6117	3804323
6120	2438135
6121	17997144
6144	9846880
6160	9178586
6179	2195410
6195	6728529
6198	3259891
6201	8378919
6204	12746106
6206	6635636
6215	11788234
6228	2685610
6230	16567041
6267	4149784
6276	823376
6278	6946866
6291	9761392
6304	12781115
6308	9185780
6316	3161371
6329	10631927
6338	12776104
6351	263299
6360	16840103
6391	2560552
6401	13015593
6416	2579525
6429	758996
6441	332057
6469	1333725
6470	13015593
6474	17856940
6504	11739781
6514	6313081
6538	16483631
6552	954026
6567	148113
6597	12456773
6653	3373920
6658	5990170
6663	11564281
6667	8917928
6676	17518414
6689	1977485
6709	280701
6722	1524505
6723	8307610
6731	12110284
6745	17391249
6760	3043808
6771	5022325
6784	12628302
6808	7052880
6809	2358911
6816	5267360
6821	6358040
6834	1906856
6861	13015593
6890	23349855
6905	17482174
6916	8211747
6918	8823274
6920	12955746
6923	2635281
6931	6978852
6939	8107659
6946	10051034
6952	13644598
6953	19804483
6974	15527148
6986	6971055
6987	1150510
6988	4726265
6990	2613717
6997	15445987
7005	13663945
7007	11813107
7013	8808474
7014	5794263
7045	12294368
7052	7090075
7058	6751137
7066	7108832
7084	5353134
7098	9514817
7108	10257741
7119	2020058
7144	3110376
7158	23099333
7166	12825533
7176	6998115
7179	17724190
7183	15056898
7222	9437210
7237	6059401
7258	14656550
7264	12662862
7299	6346314
7301	4778071
7306	15278815
7327	6358348
7333	693669
7338	2305695
7346	1903637
7353	3734894
7385	8105230
7411	13695686
7425	3081212
7426	6693174
7428	5635950
7430	6372731
7443	621760
7455	7538649
7462	3587129
7469	693669
7496	1102656
7498	685
7499	1983846
7503	16819142
7511	9983606
7525	6936900
7536	642396
7540	6916502
7546	10211457
7580	12554033
7583	5807885
7590	17488795
7606	693669
7611	7023877
7637	6876825
7648	18716248
7649	5794263
7659	7786167
7688	10222190
7692	8333622
7701	5617217
7709	5754457
7714	10388918
7719	5752422
7733	15923258
7738	9282894
7739	12677718
7741	8252773
7760	6222800
7761	11802680
7773	10283433
7776	17495985
7777	6908865
7791	4281503
7808	13015593
7816	14210741
7829	15547532
7832	13624025
7854	16001912
7863	693669
7882	1483256
7887	1995448
7900	12084025
7918	6630328
7919	8497225
7923	7643197
7926	14224802
7937	7761508
7938	11916888
7987	6033652
7993	12824959
8006	951588
8007	8105230
8013	13526261
8018	12373732
8019	9223996
8031	819376
8042	12872853
8044	9944400
8061	767871
8071	11329961
8083	17506212
8096	5064393
8097	6179892
8101	12634779
8117	2222428
8120	4867061
8148	10414982
8153	3014244
8160	12499492
8163	19473223
8170	1050506
8172	3952166
8189	3967658
8203	13934562
8207	16035067
8219	17497772
8236	14395269
8244	18685171
8245	6609670
8247	24279251
8255	2113804
8286	6566606
8297	2692807
8312	15513662
8321	10193840
8336	23416904
8378	9362008
8394	1069086
8397	12397647
8411	2238805
8413	15802031
8415	4525660
8417	15733994
8430	4316337
8431	1780206
