geneid	dist
559	3775
564	5037
572	6944
575	7775
582	7492
590	6795
594	5942
605	5229
614	3644
619	518
624	1818
992	307514
1024	261421
1430	29323804
2011	16072858
2735	6347370
2929	796
2932	641
3152	641
3361	6347370
3911	8395753
3990	16311712
4104	21906284
4208	15687
4378	2784306
4416	6149
4448	69447113
4475	23687122
4544	74
4546	74
4734	69447113
4750	69447113
4772	15687
4827	69447113
4828	15687
4841	15687
4867	6149
4881	14592091
4901	8271715
4919	7218271
5007	19943292
5051	45581468
5085	45578544
5098	43647659
5143	44365388
5151	46861573
5161	44587828
5197	6603137
5198	47370202
5216	47949809
5234	11564659
5242	43708951
5249	44384460
5264	6152508
5266	50621572
5280	44648462
5291	48113537
5302	45549781
5305	48049467
5357	55629383
5362	45738363
5369	48218377
5401	6535913
5467	55660342
5470	11272478
5471	53893510
5505	6090731
5506	44086494
5522	50023405
5546	15827685
5557	47055351
5562	47204857
5599	54056582
5608	49964294
5654	5188969
5659	54914919
5670	52642709
5691	56567818
5705	55591435
5740	653434
5748	46504995
5780	14187855
5785	51159483
5798	15820448
5820	49845199
5837	6527764
5843	14559589
5854	1302643
5879	53391766
5898	56518759
5913	1014132
5914	50179333
5916	1213215
5921	54195360
5930	50813046
5939	53791924
5951	53989415
5993	48536150
6004	52209731
6012	56108001
6050	53965276
6054	1676043
6061	2573532
6101	56895943
6106	514
6117	58737360
6120	51879373
6121	49823975
6144	48973874
6160	57659000
6179	53513163
6195	3103001
6198	52095901
6201	6535913
6204	15800097
6206	50105576
6215	56116783
6228	53550701
6230	44020173
6266	55093707
6267	12874820
6276	69813883
6278	46787696
6291	5900100
6304	15977743
6308	57630254
6316	48281361
6329	56108001
6338	44386527
6351	14434304
6360	57577980
6401	2663082
6416	3143456
6429	19273491
6441	55182071
6470	2663082
6474	5808775
6504	51781104
6514	55755057
6538	45086563
6552	52580548
6567	388466
6597	4216538
6658	50202236
6663	51542394
6667	1005487
6676	2573208
6689	54269199
6709	5882499
6722	53384402
6723	2556891
6731	43772227
6760	53504068
6784	43788871
6808	47322372
6809	54883167
6813	7576540
6816	1208872
6820	7707048
6821	6507847
6834	7716762
6839	1480638
6855	7576540
6861	2663082
6863	555520
6890	11334145
6905	3970327
6916	2557838
6917	4874262
6918	2191150
6920	8690353
6923	41942802
6936	5634047
6938	5634047
6939	107253
6942	5634047
6946	49334822
6952	15666808
6953	1115625
6974	43821159
6986	3348025
6988	4636848
6990	41800210
6997	6981579
7005	7562298
7007	51514347
7013	15657691
7014	6798438
7058	1123585
7066	45738363
7084	1141012
7094	5634047
7104	51788604
7108	2243921
7119	5352695
7144	53632348
7146	5634047
7148	5634047
7158	51887170
7162	2148778
7166	4960937
7179	340357
7183	929196
7190	57777860
7222	42476422
7237	1466240
7258	47727820
7264	11714407
7299	7942246
7301	4758368
7306	641995
7327	21031759
7338	5723156
7346	12090496
7353	59412407
7411	3306871
7425	53569985
7426	22926641
7428	7433864
7430	23016087
7435	5634047
7455	5823220
7461	1324348
7462	6048596
7496	20837643
7498	59815786
7499	12229026
7503	51435281
7511	22565367
7525	46678965
7536	52412612
7540	8700162
7546	2068402
7580	12269119
7590	4000019
7595	3279100
7611	59976
7637	8604849
7648	2199519
7649	6765079
7659	11861743
7688	2129684
7701	8182470
7709	1654
7719	22573
7733	3138194
7734	5634047
7738	23933450
7739	11595447
7741	2927
7760	55313344
7761	57481066
7773	50720423
7776	8726066
7777	46443160
7791	11505820
7808	2663082
7816	69094
7829	43721359
7832	47738427
7834	7811473
7854	2982262
7882	42142175
7883	12090990
7887	12234590
7918	24232867
7919	5025587
7923	7552002
7926	88222
7931	3119770
7933	41753255
7937	7738606
7938	269485
7983	22031130
7987	50573541
7993	3358238
8006	52525694
8013	1171667
8018	1069617
8019	55464011
8029	21814482
8031	15719840
8042	69363656
8044	23218591
8071	55049189
8074	3742439
8082	24596287
8083	8719283
8096	7681924
8097	55173531
8101	43771810
8117	5651016
8120	45939009
8147	7499094
8153	3495882
8160	54080512
8163	3377549
8170	49059070
8172	43573461
8189	2998516
8203	6397
8207	2919503
8219	23223832
8229	5634047
8236	48571494
8245	23278695
8247	22409354
8286	42880
8297	53530422
8312	2211569
8321	2001927
8336	11272478
8360	1281031
8378	22742606
8394	52267016
8413	7664838
8417	3760406
8430	36022444
8438	23016087
8447	24883948
8455	23075773
8458	26268825
8459	5075925
8462	49797891
8463	3189694
8465	23439540
8481	22789123
8488	4734815
8489	4920002
8500	193448
8505	36626775
8510	2091005
8519	19943292
8526	49295477
8547	9435375
8553	995542
8561	72460630
8563	36710232
8571	312734
8577	1249580
8579	35677904
8582	14400639
8600	153148
8623	47672992
8625	17192993
8635	56282508
8636	37119410
8641	21650815
8656	22407549
