geneid	dist
559	3825
564	5082
572	7015
575	7863
582	7415
590	6732
594	5877
605	5169
614	3572
619	1737
624	1140
636	26815
992	6440019
1024	6727489
1430	5870022
2011	6879004
3124	4780
3855	2288777
3911	3469345
4202	2288777
4208	5914825
4275	2288777
4374	2288777
4378	8835327
4416	702151
4448	49276
4475	1864664
4513	2288777
4544	687286
4546	687286
4676	452261
4716	3997266
4717	2288777
4734	49276
4747	2288777
4750	49276
4772	5914825
4827	49276
4828	5914825
4841	5914825
4857	2042446
4867	702151
4901	2027485
4919	73654
5051	4227559
5059	1196605
5085	4194469
5098	133114
5143	7134093
5151	4139323
5161	12602208
5198	3026182
5216	2400729
5242	171918
5249	46561
5266	7785078
5291	8083540
5302	9457947
5305	8092137
5362	4217300
5401	7130268
5467	7930663
5470	13606871
5471	7005752
5505	7770611
5506	130766
5522	2224861
5546	13974620
5562	4169531
5599	4854881
5608	2246814
5654	10675825
5670	9941850
5691	3661835
5697	4114651
5705	4416203
5740	13865874
5748	4109284
5780	2761740
5785	7675396
5798	13971727
5820	3087419
5837	222805
5854	1106755
5879	5698326
5898	188921
5912	4359713
5913	309779
5914	2194916
5916	5826709
5921	13608948
5930	2156608
5939	5586381
5951	480571
5993	11597
6004	13691698
6012	138364
6050	7022290
6054	8503500
6061	8465034
6095	7338126
6101	286077
6106	5111536
6117	7102887
6120	7022028
6121	3093048
6144	7933715
6160	359701
6179	5134277
6195	1428854
6198	5878
6201	7130268
6204	6430050
6206	2211296
6228	5115361
6230	448903
6267	6585035
6276	4280613
6278	593883
6291	66473
6304	6635932
6308	364934
6316	8067620
6329	138364
6338	3106611
6351	2784595
6360	392374
6390	2423117
6391	9697385
6401	5415098
6416	9721901
6429	4522462
6441	5206145
6469	4383093
6470	5415098
6474	1652575
6504	7606601
6514	1789489
6538	498665
6552	2588769
6567	7258355
6597	2695655
6653	13274295
6676	889956
6689	2764612
6709	5575673
6722	2652951
6723	7474467
6731	4785881
6745	5701567
6760	5641556
6771	13932718
6784	6014833
6808	4195033
6809	5787352
6816	9408467
6821	3913583
6861	5415098
6890	13569406
6916	8476532
6918	1003914
6920	1188685
6923	5077965
6931	3876447
6939	381167
6946	7927038
6952	6965333
6953	8627598
6974	8880698
6986	2188673
6987	6562491
6988	1183588
6990	507522
6997	6261829
7005	2351344
7007	2419515
7013	497657
7014	1179111
7045	2491774
7052	4079637
7058	2533520
7066	4217300
7084	8518163
7098	2436861
7108	3233517
7119	5319362
7144	5592236
7158	421021
7176	3897256
7179	1518522
7183	3595954
7222	5119346
7237	1193077
7258	962037
7264	6532863
7299	5397303
7301	1224236
7306	5952649
7327	10774824
7333	2204471
7338	5395033
7346	5864318
7353	7217182
7385	1098331
7411	7004992
7425	5620116
7426	4310062
7428	368902
7430	4107597
7443	2521586
7455	1615134
7462	5491455
7469	2204471
