geneid	dist
559	4020627
636	51653678
992	6187926
1024	6351648
1430	58620164
1711	4807065
1712	4807065
2011	43408937
2929	698127
2932	1270528
3150	1703384
3152	1270528
3911	155059458
3990	141477018
4104	132656060
4208	66460617
4378	33589020
4416	47994973
4448	124170754
4475	129477042
4536	11796
4540	11796
4542	11796
4545	11796
4548	10600956
4559	11796
4580	11796
4595	11796
4623	11796
4714	10600956
4734	124170754
4750	124170754
4772	66460617
4827	124170754
4828	66460617
4841	66460617
4867	47994973
4881	144327197
4901	155185598
4919	157184077
5007	135586401
5051	103717061
5059	35748082
5085	39184767
5098	35602725
5143	37038343
5151	41697650
5161	37488394
5197	157941939
5198	42410940
5216	43479996
5234	177571304
5242	35828051
5249	37110048
5264	15413601
5266	48344222
5280	37562523
5291	43813042
5302	80572236
5305	43728342
5362	39229314
5369	44096851
5401	158031118
5467	57863309
5468	166115799
5470	241557
5471	54302224
5493	1703384
5505	158817334
5506	36536118
5522	87530510
5546	169676692
5557	41935731
5562	42158480
5599	54650230
5608	87319332
5654	27123240
5659	95440559
5670	52007295
5691	59273441
5697	40964052
5705	57755506
5740	168033983
5748	40905316
5772	10438464
5780	172123534
5785	49435822
5798	169672188
5820	10487609
5837	158074537
5841	168951454
5843	171514032
5854	166813298
5877	166364871
5879	92832819
5898	59160643
5912	58214342
5913	42722601
5914	87756198
5916	166944355
5921	54948335
5930	88734666
5939	93643156
5951	54537174
5993	84997514
6004	51285305
6012	58560996
6050	54487008
6054	166395337
6061	164633694
6095	168464447
6101	59746951
6106	76008062
6117	66871329
6120	50861593
6121	87179557
6137	39334
6144	45554735
6160	61085051
6179	76273328
6195	119420772
6198	90900809
6201	158031118
6204	169639128
6206	87665040
6215	58580142
6228	76057261
6230	78002272
6266	74037117
6267	175202587
6276	109977958
6278	41498813
6291	15061131
6304	169727429
6308	61032104
6316	44253217
6329	58560996
6338	37116162
6351	171980097
6360	60913233
6391	119360277
6401	13056608
6416	119350933
6429	49631438
6441	95888545
6470	13056608
6474	14930107
6504	50656057
6514	96864130
6538	79689486
6552	77716291
6567	169321474
6597	10723855
6639	14333753
6653	15378660
6658	81669622
6663	50190304
6667	167068388
6676	13249339
6689	75439411
6709	159176783
6722	76346774
6723	88759627
6731	35960241
6760	93085666
6771	168940593
6784	94512449
6795	166115799
6808	42305388
6809	95386150
6813	3819706
6816	8846646
6820	3520992
6821	158171677
6834	3474512
6839	166131004
6855	3819706
6861	13056608
6863	168371378
6890	177900033
6891	14168887
6898	8091698
6902	14333753
6905	9306488
6916	164684278
6917	11292470
6918	13970412
6920	8139363
6923	98262971
6931	4910764
6936	14364895
6938	14364895
6939	6560594
6942	14364895
6943	14168887
6946	46166964
6952	167703439
6953	3951133
6974	94433811
6986	8571508
6987	80376958
6988	10875894
6990	98430922
6997	7152576
7005	3930548
7007	79785141
7013	167653203
7014	72803
7045	3395995
7052	5820329
7058	166763229
7066	39229314
7084	8737027
7094	14364895
7104	90426785
7108	13164605
7119	11980321
7144	93352584
7146	14364895
7148	14364895
7158	50887638
7162	14056862
7166	2840364
7176	4993354
7179	16736266
7183	146386998
7190	87722
7222	97011225
7237	2005476
7258	83867464
7264	20052606
7299	5948703
7301	11092388
7306	11834451
7327	104096076
7338	12637215
7346	7285225
7353	65716376
7366	14253097
7380	14168887
7385	102120761
7411	11785387
7425	93223866
7426	100787805
7428	1261219
7430	100654470
7435	14364895
7443	95680221
7455	238285
7462	13239940
7496	104115168
7498	64332094
7499	6936572
7503	79868069
7511	101330392
7525	41266804
7536	78224171
7540	8167311
7546	13641498
7580	6830305
7583	1838719
7590	9264399
7595	11884420
7611	5086669
7637	7979270
7648	13439270
7649	6744
7659	20383965
7688	13534092
7692	7515814
7701	1195050
7709	1568243
7714	164558129
7719	1553840
7733	163571312
7734	14364895
7738	99249159
7739	19853657
7741	166514740
7760	96184858
7761	60762208
7773	48565998
7776	8223425
7777	40649232
7791	177588836
7808	13056608
7816	9652866
7829	94595389
7832	43090862
7834	3068584
7854	163933506
7882	97624304
7883	7311901
7887	6902709
7900	157894438
7918	98592009
7919	8163124
7923	3962832
7926	9732497
7931	8227578
7933	98696207
7937	3327789
7938	5793838
7983	102216583
7987	81136233
7993	11722041
8006	51887880
8007	102120761
8013	934366
8018	7154815
8019	57471143
8031	169487531
8042	110769245
8044	100342768
8071	56655015
8074	11561743
8082	46499970
8083	8200628
8096	2541168
8097	95866916
8101	94543063
8117	12525443
8120	39712207
8148	131194818
8153	11648929
8160	54690347
8163	11711056
8170	85955471
8172	95029746
8189	3358730
8203	12211793
8207	164039936
8219	100314590
8229	14364895
8234	98863231
8236	85098244
8244	1086594
8245	100242673
8247	101619106
8255	19187700
8286	17487149
8297	76103004
8312	13346189
8336	241557
8338	1500146
8360	1575640
8378	101045576
8394	51401529
8397	7084560
8411	19679474
8413	2515381
8415	124099237
8417	162668261
8430	124413115
8431	51968453
8438	100654470
8441	19621440
8447	126970686
8455	130617061
8458	107624884
8459	8447739
8462	87137399
8463	12054069
8465	99900235
8481	131136794
8488	823965
8489	11338907
8500	21630028
8505	125297331
8510	13565166
8519	135586401
8526	45758957
8547	125228131
8553	146361997
8561	129034831
8563	125469242
8571	16989489
8577	15093927
8579	123869643
8582	135004363
8600	7862922
8623	86802759
8625	172475009
8635	71579990
8641	132949289
8656	131864786
8657	19948729
8662	8726829
8663	13087973
8665	100773134
8673	23095574
8674	99691882
8675	6868864
8677	125276024
8691	132122297
8698	95373076
8702	124990920
8709	163089921
8710	128546437
8716	131961266
8723	132981913
8730	108362601
8742	166796015
8745	137136853
8746	21071538
8751	100932541
8759	126690367
