geneid	dist
559	3697
564	4949
572	6876
575	7703
582	7350
590	6682
594	5831
602	5413
605	5123
614	3556
619	1742
624	1136
633	11113152
636	51314086
992	44834
1024	6206
1032	85456
1238	85456
1274	47072801
1325	16076917
2929	438
2932	777566
3124	442074
3152	635
4104	282667
4208	498999
4378	2713582
4416	46157444
4475	1756965
4525	18485841
4544	26688938
4546	26688938
4716	5262271
4772	498999
4828	498999
4841	498999
4867	46157444
4881	7141592
5007	3037008
5051	9290021
5059	127751
5085	9274484
5143	5457489
5151	13435044
5161	5949993
5197	849727
5198	14810966
5216	16588281
5234	24810249
5242	2445602
5249	5506037
5264	17754896
5266	491616
5280	6069450
5291	16506843
5302	3376672
5305	16700199
5357	17974022
5362	9379675
5369	5880755
5401	969447
5467	18018822
5468	21526795
5470	24109497
5471	11486483
5505	1927811
5506	4006442
5522	18436458
5546	27162143
5557	13974397
5562	14347149
5597	27073063
5599	12068778
5608	18851971
5631	5668527
5654	20381590
5659	2623617
5670	7120906
5691	20552438
5697	12439803
5705	17807479
5740	23659363
5748	12338799
5780	30567684
5785	2084041
5798	27138638
5820	18970961
5837	998160
5841	25900266
5843	29740315
5854	22387836
5877	21870472
5879	7353579
5895	25777676
5898	20332606
5912	18711281
5913	18506623
5914	10189009
5916	22454132
5921	12413427
5930	12374875
5939	5869365
5951	11865144
5993	23074658
6004	5336249
6012	19458974
6050	11806247
6054	21901631
6061	518395
6095	24278538
6101	21189507
6106	32493625
6117	8980039
6120	4341558
6121	19019277
6137	4315037
6138	17230601
6144	4119687
6160	19343173
6179	32794894
6195	11787665
6198	16488120
6201	969447
6204	27110485
6206	10051291
6215	19489067
6228	32546750
6230	35313944
6253	592923
6266	29396379
6267	28022436
6276	36897332
6278	13268028
6291	583006
6304	27246345
6308	19555121
6316	5790905
6329	19458974
6338	5506788
6351	30362943
6360	19696760
6390	29124579
6391	11693742
6401	1082024
6416	11677054
6441	1730077
6469	18632549
6470	1082024
6504	3962692
6514	18308896
6538	32742283
6552	31847081
6567	26600043
6597	43023513
6653	663029
6658	26175259
6663	3380665
6667	22522324
6676	202410
6689	31525771
6709	2257933
6722	32865323
6723	12427554
6731	2669870
6745	17027090
6760	6817859
6764	25041540
6771	25860799
6784	10962553
6795	21526795
6808	14538654
6809	2793025
6813	19651910
6820	19071517
6821	1075737
6826	18333849
6834	18973718
6839	21545351
6850	480319
6855	19651910
6861	1082024
6863	24088861
6890	24343130
6905	22189179
6913	480319
6916	479080
6918	621763
6920	24299216
6923	15954720
6926	18157438
6931	5576683
6936	387565
6938	387565
6939	22295383
6942	387565
6946	3446152
6949	44370945
6952	23294057
6953	3815271
6974	11078328
6986	23415365
6987	27875470
6988	19903236
6990	15600147
6997	37689510
7005	20481795
7007	28982270
7013	23234035
7014	21034635
7045	18889412
7052	7206873
7057	18297060
7058	22280255
7066	9379675
7084	22895988
7094	387565
7108	46887037
7114	3003486
7119	17668372
7144	6249445
7146	387565
7148	387565
7151	263018
7158	4356170
7162	584328
7166	2427320
7176	5795672
7179	49795802
7183	23810254
7190	19049645
7222	7368156
7237	4911603
7258	25285345
7264	11059736
7299	911502
7301	19617198
7327	3584908
7333	2800846
7338	16095006
7346	10571663
7353	10797909
7385	307099
7387	4257332
7411	2954918
7425	6711530
7426	2608006
7428	531981
7430	2744038
7435	387565
7443	2161987
7455	5849067
7461	4568834
7462	14691238
7496	3620254
7497	17989657
7498	13485276
7499	9642322
7503	28731279
7511	1695745
7525	12964560
7536	31206618
7540	24289720
7546	47437646
7580	9408171
7583	1691384
7590	22284272
7595	2844793
7606	2853242
7611	5888646
7621	49136344
7637	24202164
7648	47117351
7649	20882148
7659	11670924
7688	47250516
7692	3333043
7709	1150193
7714	616938
7719	1142305
7733	2562679
7734	387565
7738	4861347
7739	10719768
7741	22094192
7760	1128981
7761	19784105
7773	150670
7776	24216636
7777	11949413
7783	25706158
7791	24796561
7808	1082024
7816	364797
7832	15765766
7834	17957548
7854	1811031
7882	6601247
7883	10583452
7887	9557980
7900	831842
7907	480319
7910	16623267
7918	5065990
7919	3551
7923	20615511
7926	371288
7931	24187884
7933	15483684
7937	18742706
7938	6887804
7983	194242
7987	26976887
7988	480319
7993	3094554
8002	480319
8013	3916833
8018	14810195
8019	17323510
8029	357655
8031	26822628
8042	36219052
8044	3249406
8061	98123
8071	15662626
8074	44141610
8082	14902277
8083	24275271
8090	18256060
8094	3375593
8096	17238801
8097	1753324
8101	10943536
8117	16302107
8120	10373083
8143	45267563
8147	16375535
8148	2001827
8153	44283044
8160	12164112
8163	3127065
8164	23216425
8170	5252791
8172	10456572
8189	14670820
8203	2243439
8207	1626542
8219	3293268
8229	387565
8234	5134250
8236	22835599
8244	4736239
8245	3396714
8247	1283642
8255	46807569
8286	48830955
8297	32581041
8321	47625548
8332	48721113
8336	24109497
8338	78093
8339	926
8360	2070025
8378	2319163
8394	5597735
8397	14816776
8411	45242295
8413	17117132
8415	30091
8417	4041222
8430	388435
8431	7064855
8438	2744038
8441	45419146
8447	85490
8450	16161032
8455	2257670
8458	3509919
8459	132817
8462	19263353
8463	2583467
8465	3809096
8481	1702719
8488	22238
8489	19205725
8500	42138485
8505	82097
8510	47262652
8526	4062066
8547	30142
8553	23603178
8557	1231207
8561	38084202
8562	44633675
8563	201148
8571	49689735
8577	48931487
8579	2895
8582	728237
8600	562761
8603	2729455
8623	20421431
8625	14544294
8635	2183677
8641	80518
8653	4326396
8656	1184270
8657	44666587
8660	25087170
8662	291969
8663	4394114
8665	2611502
8673	40461871
8674	4240750
8675	9504045
8677	69220
8691	980207
8698	9758619
8702	124600
8708	12640028
8709	3256291
8710	37486582
8716	1427951
8742	22376990
8745	5002241
8746	42885751
8751	2398551
8759	303638
8761	134491
8768	49915958
8771	1084962
8775	2782922
8782	1756965
8789	15814896
8792	7216517
8795	27283241
8796	61411
8805	11930561
8832	8577417
8833	48641853
8853	16110806
8885	98593
8898	64263
8921	9667945
8928	21453030
8950	22421230
8964	45597
8965	32392080
8969	3762926
8974	179671
8986	138136
8999	12830109
9007	48562101
9012	7621730
9019	47179145
9020	9253680
9026	5344079
9027	4843485
9040	816345
9043	6357306
9045	6654074
9047	49119619
9052	9070307
9067	410697
9077	12769236
9079	10831085
9094	4418511
9095	8483627
9106	22094192
9108	3823514
9119	5056972
9132	3651954
9155	10599040
9173	37309166
9178	15378988
9195	3717108
9196	1791637
9203	4377801
9209	29249135
9210	3701429
9214	2359161
9216	13899176
9226	40412863
9228	10745723
9232	22144900
9238	131163
9248	8794657
9251	11368623
9260	21745748
9265	11762910
9267	2238351
9269	26671166
9270	17246081
9287	742837
9288	9944649
9291	182048
9317	4230163
9324	4527917
9327	9844690
9338	12240321
9341	22319554
9345	2916238
9348	22223556
9367	2818109
9372	7165660
9383	10222258
9385	47072801
9406	29133502
9411	23157360
9414	23158094
9415	23213892
9420	30696185
9433	21590847
9442	7275380
9443	12702292
9449	3881739
9458	13760881
9466	23431679
9474	49689735
9485	2159143
9495	3741643
9504	23230389
9513	16592151
9519	3572365
9525	20064892
9534	1990988
9539	9267
9541	10848730
9554	879239
9574	35637799
9577	252418
9578	9901308
9583	21120287
9587	13160611
9588	40519813
9600	12107339
9602	1913409
9603	10944199
9617	34174595
9625	10620791
9633	14694841
9636	4466556
9638	13505034
9648	36976203
9652	16913051
9655	4288559
9657	12195557
9661	23407117
9668	2987089
9670	5493846
9678	23407117
9692	47492
9716	6896454
9718	272143
9722	6666927
9725	36023575
9729	17183782
9732	13056727
9735	39517726
9741	3058713
9744	9924400
9745	22227589
9748	237838
