geneid	dist
636	155
992	174441868
1024	175418263
1430	104783200
2011	62979249
2929	19361
3124	32853725
3911	116779661
4104	112097926
4208	4669
4378	14104463
4416	66038010
4448	150665136
4475	108448322
4544	34977330
4546	34977330
4734	150665136
4746	169004811
4750	150665136
4772	4669
4827	150665136
4828	4669
4841	4669
4857	8646
4867	66038010
4901	116486144
4919	114197203
5007	195615823
5051	56822590
5059	52630410
5085	56774696
5098	52338999
5143	54287783
5151	72293352
5161	54742096
5197	20268
5198	70346940
5216	68801920
5234	45336582
5242	52679523
5249	54346553
5264	29905276
5266	63496224
5280	54976481
5291	68502221
5302	8325
5305	68557317
5357	123879399
5362	56924046
5369	67953417
5401	41395
5467	123899412
5470	46251783
5471	76050479
5505	22831
5506	53820988
5522	106783673
5546	37798115
5557	71221326
5562	70805569
5599	75149884
5608	106595220
5654	7968372
5659	116013540
5670	57581842
5691	126084944
5697	1010
5705	123621731
5740	34516817
5748	73160695
5780	41928281
5785	60911863
5798	37784766
5820	106399141
5837	10372
5843	41248120
5854	33197244
5877	30098382
5879	113574119
5898	125809913
5912	124408779
5913	23062832
5914	107259074
5916	13050437
5921	75670087
5930	108353598
5939	114385597
5951	75081945
5993	103740473
6004	59118434
6012	124848752
6061	29218109
6095	34995222
6101	126687085
6106	141617636
6117	135588032
6120	59313919
6121	106363061
6137	16673130
6138	123020729
6144	65217249
6160	128810079
6179	141954274
6195	153039512
6198	110725382
6201	41395
6204	37775104
6206	106931904
6215	124941329
6228	141646489
6230	18778397
6267	43903880
6278	72379441
6291	165016912
6304	37891708
6308	128524703
6316	67692115
6329	124848752
6338	55867077
6351	41706289
6360	128178492
6390	145658936
6401	168561642
6416	153809257
6429	28651055
6441	116460743
6469	245
6470	168561642
6474	165245610
6504	59707199
6514	117945757
6538	97552657
6552	143366717
6567	37253541
6597	54914937
6639	165809028
6658	148202950
6663	60003608
6667	32779497
6676	23913069
6689	141115646
6709	3474794
6722	142022573
6723	8266072
6731	52990850
6760	113731597
6771	35994202
6784	154036433
6808	70650543
6816	35536001
6821	152205
6861	168561642
6863	34829994
6890	46101056
6902	165809028
6905	27923239
6916	29306628
6917	30578426
6918	166233579
6920	26589646
6923	158131078
6931	189588305
6939	14685430
6946	64596479
6952	34021516
6953	126719564
6974	153950766
6986	27298309
6987	146623104
6988	1981
6990	158403718
6997	50604320
7005	51907690
7007	145769341
7013	33925516
7014	36619214
7045	53237733
7052	80322439
7058	33429991
7066	56924046
7084	35156868
7108	46501827
7119	31744264
7144	114167868
7158	13686
7166	183321992
7176	79336005
7179	45460046
7183	143657805
7190	129688144
7222	157057564
7237	192037834
7258	102210718
7264	34278693
7299	25371149
7301	30256312
7306	31612760
7327	119229057
7338	32647502
7346	82819437
7353	134155369
7411	170346164
7425	113940234
7426	75558305
7428	81186705
7430	83016914
7443	116403624
7455	127016847
7462	37178755
7496	119268098
7498	131577729
7499	83193430
7503	145937098
7511	76913278
7525	72732631
7536	143831888
7540	26636201
7546	41323914
7580	83739312
7583	82118888
7590	27820165
7611	79408404
7637	26242901
7648	46234566
7649	36619214
7659	34721308
7688	41201591
7692	25616703
7701	81087243
7709	81757354
7714	29173445
7719	81715625
7733	27968334
7738	67315872
7739	34061593
7741	33452943
7760	116771354
7761	128029341
7773	63994236
7777	73377761
7791	45550597
7808	168561642
7816	76318678
