geneid	dist
559	3807
564	5066
572	6998
575	7839
582	7399
590	6716
594	5860
605	5158
614	3563
619	1734
624	1137
992	6394327
1024	7793491
1430	5556544
2011	4352247
2929	4500342
2932	5010933
3124	9281198
3152	5010933
3855	4480961
3911	8974121
4202	4480961
4208	9424923
4275	4480961
4374	4480961
4378	11501111
4416	8424592
4448	98404
4475	494286
4513	4480961
4676	347275
4716	4038925
4717	4480961
4734	98404
4747	4480961
4750	98404
4772	9424923
4827	98404
4828	9424923
4841	9424923
4857	1038707
4867	8424592
4901	4027547
4919	4230073
5051	7728883
5059	6393592
5085	1547679
5098	7109120
5143	2926401
5151	7855311
5161	886710
5198	7060461
5216	10069845
5242	7067309
5249	6884633
5264	240316
5266	8101404
5291	7773413
5302	1159816
5305	7315636
5357	5969998
5362	7746233
5401	8243725
5467	3267066
5470	5405599
5471	10679044
5505	11518889
5506	6999156
5522	7367894
5546	6506677
5562	7817266
5599	5055812
5608	7361352
5654	9531195
5670	10352688
5691	8464431
5697	7876937
5705	5967112
5740	6631166
5748	7895242
5780	3710920
5785	6850056
5798	6511959
5820	8504976
5837	2720899
5854	914020
5877	10131631
5879	5429469
5898	944356
5912	10157627
5913	13720221
5914	7397813
5916	2815634
5921	6068318
5930	9617347
5939	5525111
5951	279682
5993	6561506
6004	6152098
6012	949358
6050	10706071
6054	12290529
6061	12209518
6095	6613710
6101	4497734
6106	9389365
6117	6688157
6120	12290298
6121	8498231
6144	7953843
6160	7859594
6179	9376245
6195	4551234
6198	5635943
6201	8243725
6204	11908164
6206	7389308
6228	9388122
6230	9328816
6267	5582965
6276	875069
6278	1610727
6291	1225427
6304	12076399
6308	7866187
6316	7285202
6329	949358
6338	5161694
6351	3790010
6360	7895902
6390	10040021
6391	726967
6401	6284670
6416	720684
6429	5398866
6441	9929323
6469	4357202
6470	6284670
6474	4062891
6504	6815163
6514	9635665
6538	9393541
6552	9875748
6567	6534219
6597	8965477
6653	6675686
6658	1927374
6663	8321725
6667	238412
6676	4539055
6689	9420435
6709	4448607
6722	9360172
6723	8008336
6731	2063722
6745	7587532
6760	5455182
6771	6547292
6784	4692795
6808	7797793
6809	5284393
6816	9735632
6820	3634405
6821	8209645
6834	2079490
6839	4682636
6847	1734834
6861	6284670
6890	5363740
6916	12223079
6917	9173229
6918	1923607
6920	10500270
6923	9429312
6931	477452
6939	2442718
6946	7955225
6952	12381581
6953	12602777
6974	13090088
6986	9502462
6987	6058696
6988	6866188
6990	2553624
6997	5498844
7005	7933635
7007	3236471
7013	144158
7014	2749420
7045	6216643
7052	394017
7058	30690
7066	7746233
7084	8636190
7098	9976038
7108	5382455
7119	9303089
7144	5516636
7158	3646180
7166	1727547
7176	469424
7179	3976958
7183	6434765
7190	11558618
7222	5381019
7237	3132244
7258	10408667
7264	7827890
7299	6303609
7301	4198641
7306	6895602
7312	1734834
7327	4888483
7333	7789968
7338	9386619
7346	9873271
7353	6812328
7385	8611134
7411	9624637
7425	5492712
7426	1979018
7428	2064082
7430	1742698
7443	8557053
7455	7020093
7462	9484109
7469	7789968
7496	562577
7498	7051044
7499	345030
7503	7906993
7511	2817300
7525	7873360
7536	7886628
7540	9466400
7546	5362378
7562	1734834
7580	11321566
7583	2146564
7590	3005271
7595	12563521
7606	7789968
7611	466997
7637	9439290
7648	12251419
7649	2749420
7659	515988
7688	5368283
7692	1271279
7701	2052575
7709	2135788
7714	10342132
7719	2132482
7733	11595546
7738	2330329
7739	7838030
7741	14457877
7760	9421745
7761	4319672
7773	8083597
7776	2715765
7777	7905748
7791	214228
7808	6284670
7816	4459901
7829	13108318
7832	6264624
7834	4885593
7854	11634796
7863	7789968
7882	3374128
7887	336133
7900	8128436
7918	1933373
7919	1546911
7923	7916098
7926	4458224
7933	9614272
7937	8320738
7938	9054746
7987	2689247
7993	12793825
8006	6222592
8007	8611134
8013	9512246
8018	2896284
8019	12855164
8031	6532288
8042	11407505
8044	2916427
8061	12394394
8071	3678630
8083	2721791
8096	6681735
8097	9379621
8101	4687816
8117	9371140
8120	4253471
8148	4653271
8153	6448680
8160	5063328
8163	12810179
8170	585147
8172	4299678
8189	12248902
8203	9746903
8207	11630638
8219	7678894
8236	8909937
8244	8593620
8245	1916517
8247	8552898
8255	362619
8286	9160782
8297	9384172
8312	890482
8321	5351241
8336	5405599
8378	2407445
8394	6174378
8397	2874155
8413	11592927
8415	9030761
8430	9104628
8431	10402241
8438	1742698
8447	333142
8450	7783977
8455	585877
8459	12487695
8462	8490626
8463	2336310
8465	2729977
8488	1413783
8489	211484
8500	4079275
8505	9203780
8510	8616559
8526	7125500
8547	10072150
8553	3821018
8561	4627068
8563	11154603
8571	251317
8579	7859916
8582	5583907
8589	9223292
8600	7591934
8603	7789968
8623	1504723
8635	6364431
8636	1335945
8641	238408
8656	595933
8657	4675955
8663	2002853
8665	2181764
8674	2207604
8675	7499316
8677	9199267
8691	2423005
8698	13182367
8702	1413783
8709	11637720
8710	2932412
8723	231801
8730	490195
8742	41859
8745	12665125
8746	4204574
8751	2078058
8759	297337
8761	6009025
8768	6412590
8771	1311536
8782	494286
8789	9413319
8792	12265274
8795	2643246
8796	7008663
8805	4418778
8827	490195
8832	2214374
8833	9173361
8850	5228568
8862	490195
8885	7317143
8898	7326007
8919	1578891
8921	13220116
8928	4558520
8950	611787
8964	11384071
8965	1089546
8974	6418259
8986	661227
8999	2648361
9007	9178684
9012	2062904
9019	5606836
9020	5360630
9026	11771837
9027	10459963
9040	6738360
9043	5545462
9045	2013733
9047	6465424
9052	5372161
9077	7769143
9079	1427692
9094	8698385
9095	8926490
9106	14457877
9108	11651878
9119	12658916
9155	572469
9173	1880451
9178	2572468
9209	4032906
9214	4439396
9226	6150703
9228	9033283
9232	15523
9238	12013528
9248	8054429
9260	1782776
9265	5070665
9267	3484096
9269	107847
9270	2396269
9287	2185063
9288	6723243
9291	11139762
9299	1734834
9317	3025681
9327	6716650
9338	9221216
9341	4563242
9345	12551493
9348	8294293
9367	8367986
9383	6791641
9410	1972324
9449	5301293
9458	6176517
9466	2072952
9474	251317
9485	5071834
9495	5285326
9504	4726291
9519	11221357
9534	2520621
9539	59008
9541	1442932
9554	8611134
9577	3837597
9578	4272237
9583	897461
9587	7354790
9602	2721519
9603	8951810
9617	72790
9621	8611755
9625	2969298
9636	2160712
9638	7339697
9648	5522667
9652	2464911
9655	6230635
9657	9209223
9661	8610657
9668	731334
9670	415334
9678	8610657
9683	3375570
9692	674925
9716	11877617
9718	7116710
9721	1551996
9722	3521686
9729	7278420
9735	4903001
9741	8653815
9744	9720936
9748	307450
9752	5370701
9758	5670512
9759	11358450
9770	11415636
9772	2657529
9779	3698642
9790	103589
9793	199048
9794	7920424
9798	1578891
9806	2789700
9808	7602987
9810	5395022
9811	12678546
9813	5742705
9827	1578891
9846	6630623
9851	37206
9852	7865826
9853	5005456
9864	3133808
9870	8266221
9878	7306485
9880	2987416
9893	4682636
9922	788654
9930	9539105
9944	255844
9950	4692762
9951	5152883
9954	2774823
9960	887946
9961	2434707
9986	2778429
9990	9386564
10007	2404307
10008	7362642
10018	9403624
10021	8146037
10026	6055728
10033	255844
10037	12016388
10052	940243
10054	7349978
10061	881916
10070	9392317
10071	1682133
10075	2475475
10076	297733
10079	9566820
10086	6688157
10088	7651282
10091	6144615
10112	5045895
10121	5816340
10122	8209645
10123	4525508
10127	9922785
10128	2336310
10134	7657339
10145	2720899
10167	12588718
10171	5382455
10172	512213
10187	7444302
10195	598203
10203	11417211
10205	7758454
10206	13990883
10209	8023123
10212	7309722
10213	7728480
10228	9715429
10233	4536767
10236	6226634
10245	7885410
10254	111433
10262	4557315
10264	5327099
10269	6695258
10276	10585565
10282	9294357
10286	9351638
10287	3452060
10293	4710600
10296	2468593
10298	9137
10301	6019455
10307	1835194
10317	10956029
10322	10885540
10323	3066807
10324	1106949
10326	12139811
10331	5498969
10334	7712448
10335	10375468
10336	1581198
10341	52691
10346	9911400
10347	5439155
10350	1655812
10356	399124
10357	7591245
10363	145999
10374	5273804
10376	4439396
10393	9690091
10405	129888
10406	10516530
10410	4197215
10436	8993059
10444	4519611
10447	6574948
10472	6228187
10493	7914903
10540	8581850
10607	10751442
10610	7539433
10633	10753835
10651	1969483
10664	722100
10672	2487234
10685	4448607
10694	3510220
10702	9736543
10704	1578891
10713	10658982
10716	1007476
10727	46409
10739	10611762
10743	7263439
10765	9880174
10766	7174016
10772	3155414
10774	11803331
10806	4985804
10814	4680903
10819	7647130
10833	5288405
10838	1973234
10844	5599912
10845	582999
10872	3077939
10875	12139811
10879	12139811
10882	34521
10891	1023303
10900	6674661
10905	10392044
10907	3027000
10912	6643582
10914	3006460
10918	6339675
10925	5290449
10928	12890180
10936	5398523
10938	1989948
10967	3251887
10969	27284
10980	4043166
10983	9167201
10997	8010112
10998	7728883
11004	1949710
11009	7916919
11011	8622070
11021	643398
11031	356537
11032	11512644
11036	1330850
11040	588484
11053	8178568
11056	73343
11060	386889
11061	9112779
11067	2970793
11075	3781527
11077	11474236
11089	8190007
11093	3208957
11099	2111107
11101	7890090
11102	11395287
11106	811915
11109	9448312
11114	4183196
11120	3223883
11123	9673
11124	10645778
11125	7319004
11129	12302738
11131	12265274
11140	11143765
11141	12130827
11167	4263566
11172	8601527
11173	8573039
11177	14027566
11188	80550
11193	115044
11195	2954890
11197	746093
11209	5735255
11214	2396234
11216	8205566
11225	2650149
11226	4166200
11228	8379483
11233	3201970
11236	5336408
11237	8563467
11242	6422599
11243	732368
11249	2828759
11250	7865756
11257	6425406
11263	9875101
11289	6058108
11291	7141447
11297	5758152
11299	5319027
11300	46596
11311	2705910
11320	2538754
11322	4760510
11326	2964425
11329	10836162
11331	3281987
11335	2783150
11343	7880010
11344	1802893
11349	11744231
11351	1578891
11366	7908442
11371	4627714
11378	7504478
11379	1523640
11386	2854304
11395	9363165
11396	6331768
11399	6506915
11405	12139811
11410	4277234
11414	7342802
11415	5070504
11417	8757615
11418	2550434
