geneid	dist
992	14585166
1024	14567788
1430	35373820
2010	2725025
2011	2769762
2014	2726021
2929	5390678
3124	68688935
3150	5086839
3152	5871305
4104	73071473
4208	42963294
4378	45092800
4548	50452627
4714	50452627
4716	46811610
4772	42963294
4828	42963294
4841	42963294
5007	2694108
5051	51956873
5059	47902733
5085	52067662
5098	47769577
5143	49060228
5151	4615342
5161	49252860
5197	48600254
5198	3764205
5216	2772251
5234	18517306
5242	47943379
5249	49078415
5264	13701564
5266	48632761
5280	49363737
5291	2462765
5302	4476223
5331	48789573
5345	4355115
5362	51939489
5369	2041548
5401	48512568
5467	46546979
5468	5853875
5470	25367162
5471	52603542
5505	27734856
5506	48644775
5546	10626765
5557	4324293
5562	4197322
5599	50762563
5608	6308059
5631	28186961
5654	56355753
5659	22396092
5670	16918936
5691	44852719
5697	5055553
5705	46761567
5730	8669657
5740	7426213
5748	5251306
5780	13159144
5785	47966416
5798	10605230
5820	6417669
5837	48504793
5841	9559660
5843	12499554
5854	6496593
5874	9345202
5877	6119554
5879	27486434
5895	9462537
5898	45508136
5912	46131566
5913	6057652
5914	1416353
5916	6554192
5921	49967487
5930	26636
5939	28172386
5951	50672359
5977	48789573
5993	9518636
6004	46869419
6012	45634213
6050	50617950
6054	6119502
6055	9259506
6061	4086736
6095	7942322
6101	44191556
6106	24219656
6117	34128967
6120	47082888
6121	6452841
6137	20417642
6144	692500
6160	42959984
6179	24153180
6198	25066013
6201	48512568
6204	10574060
6206	27410840
6215	45619385
6228	24207302
6230	20893036
6253	13781743
6266	27018565
6267	16438892
6276	22110804
6278	4685414
6287	9295678
6290	9426885
6291	13905572
6295	9345202
6304	10682874
6308	43091905
6316	1977787
6329	45634213
6351	12980359
6360	43241858
6390	19965359
6391	31709147
6401	51113714
6416	31735931
6441	22032075
6469	46248812
6470	51113714
6504	47263359
6514	21249011
6538	17884514
6552	21923805
6567	10161539
6597	27742066
6653	13713166
6658	17685548
6663	47457747
6667	6604280
6676	14214326
6689	25424852
6709	27533459
6722	23949794
6723	22496817
6731	48025798
6745	47071312
6760	27739938
6764	8583713
6771	9511716
6784	6194020
6795	5853875
6808	4069939
6809	22461640
6813	10709228
6816	47074969
6820	27664925
6821	48488333
6826	27072583
6834	27603630
6839	5873698
6850	15550846
6855	10709228
6861	51113714
6863	7786886
6890	18902625
6898	45935376
6905	44129511
6913	15550846
6916	4137177
6917	41889503
6918	50754536
6920	45840658
6923	2558814
6926	27022328
6931	32059931
6939	47713395
6946	9731
6952	7155609
6953	694121
6974	6295177
6986	45113230
6987	19054614
6988	42270920
6990	2335773
6997	22715402
7005	48921107
7007	19831423
7013	7115489
7014	48512414
7045	27550589
7052	32986674
7057	27053149
7058	6444631
7066	51939489
7084	47129267
7108	11947082
7114	30610080
7119	40599001
7144	27970588
7151	50645275
7158	47064098
7162	50734028
7166	39365267
7176	32142618
7179	15198173
7183	46406532
7190	42745098
7222	3525620
7237	1527689
7258	11228997
7264	35573641
7299	21309440
7301	42058571
7327	40773724
7333	30490853
7338	39311005
7346	35194004
7353	35831961
7385	26152618
7387	1065234
7411	97807
7425	27844465
7426	24292273
7428	28508967
7430	24198195
7443	22194110
7455	2386192
7461	1266804
7462	38357700
7496	40808775
7497	26919818
7498	37882746
7499	34676917
7503	19667793
7511	24891397
7525	4895496
7536	21643689
7540	45818622
7546	12410204
7583	29504583
7590	44207198
7606	30518991
7611	32212712
7621	15734333
7637	46096501
7648	12151505
7649	48609225
7659	36029591
7675	26952167
7688	12262911
7692	30836467
7701	28432710
7709	28762644
7714	4051154
7719	28750406
7733	3223660
7738	22822455
7739	35311098
7741	6489583
7760	21870120
7761	43263540
7773	48488566
7776	45777715
7777	5410474
7783	9402889
7791	18539064
7808	51113714
7816	50208000
7829	6078945
7832	3309260
7834	26897557
7854	3470277
7882	2977299
7883	35225842
7887	34618751
7900	48628129
7907	15550846
7910	25636340
7918	22396324
7919	50414895
7923	48808580
7926	50196744
7931	45755412
7933	2257502
7937	27436971
7938	32968907
7983	52873665
7987	18303722
7988	15550846
7993	173595
8002	15550846
8006	45989056
8013	744193
8018	24064947
8019	46953395
8029	53202713
8031	10358879
8042	21532881
8044	23847449
8061	50461155
8071	47885393
8074	28673385
8082	54637906
8083	45806492
8090	15322206
8094	30863247
8096	26235100
8097	22058684
8101	6168664
8117	39476951
8120	51453975
8143	19261407
8147	25319937
8148	19584140
8153	28793308
8160	50811646
8163	240771
8164	9604988
8170	8349294
8172	5834029
8184	9345202
8189	23935402
8203	28128694
8207	3595003
8219	23784273
8234	22657462
8236	9314138
8244	40862715
8245	23712284
8247	25173216
8255	18564729
8286	16002808
8297	24177749
8312	12051570
8317	27011152
8321	12586531
8332	16067568
8336	25367162
8337	75229893
8338	42279992
8339	42247368
8360	1097774
8378	24535715
8394	46644238
8397	24074419
8411	19280974
8413	26180321
8417	2262762
8438	24198195
8441	19172428
8447	73191339
8450	2248626
8458	7895562
8459	50409334
8462	6757663
8463	27943978
8465	23400873
8489	41719087
8500	25417527
8510	12279881
8526	605239
8553	46588175
8557	801788
8561	87427203
8562	19762258
8571	15522354
8577	13704256
8579	42200800
8582	17936080
8600	50077438
8603	30443108
8623	13171599
8625	23840868
8635	29963906
8641	16765640
8657	19710512
8659	15215113
8660	8647517
8662	50320916
8663	15408298
8665	24283872
8673	23777090
8674	23203547
8675	34589911
8691	18964994
8698	5394860
8708	10024813
8709	2707473
8710	86953862
8716	19264566
8723	16828588
8731	48752985
8742	6484622
8745	4782152
8746	25987016
8751	24462708
8761	16933344
8768	14526752
8771	726930
8789	39150462
8795	10700250
