geneid	dist
559	284
564	4959
572	6947
575	7775
579	7497
582	263
590	6653
594	5804
602	320
605	5096
614	3520
619	1717
624	1148
1005	262539038
1024	328943
1152	126487898
1274	39135522
1430	15143309
1711	152
1712	152
2011	1121
2256	126487898
2735	13775656
2932	298688323
3124	11481639
3152	298688323
3361	13775656
3911	22624380
4208	35615355
4378	16146571
4416	6689935
4448	187468703
4475	39215395
4529	99390547
4534	325148908
4539	325148908
4544	3167076
4546	3167076
4548	39014715
4566	246075089
4714	39014715
4734	187468703
4750	187468703
4772	35615355
4827	187468703
4828	35615355
4841	35615355
4867	6689935
4881	42528732
4901	22343915
4919	18146765
5007	20550188
5059	146740703
5085	141198781
5098	146935782
5143	98769966
5151	137127109
5161	144539660
5197	16634615
5198	135794132
5216	133899443
5234	5416613
5242	146621684
5249	144734625
5264	16979163
5266	125585196
5280	144277872
5291	133277215
5302	49129559
5305	74773709
5369	132493383
5401	16440654
5467	91358137
5468	13117670
5470	1159759
5471	116591047
5505	9632067
5506	145646934
5522	262875891
5546	5938538
5557	136646690
5562	136384049
5599	116150365
5608	263254356
5654	21614033
5659	247843408
5670	120146260
5691	93909086
5705	91134238
5711	7992082
5730	8075212
5740	15870026
5748	138766867
5785	124058433
5798	5904100
5820	263410923
5837	16407547
5841	7806471
5854	14166739
5877	13553708
5879	252238088
5898	93635988
5912	92011327
5913	19316308
5914	262460137
5916	14241484
5921	115893519
5930	260174151
5939	1917249
5951	116240001
5993	260387361
6004	121855632
6012	92824095
6050	116286248
6061	6927853
6095	10738389
6101	94810765
6106	200207051
6117	107821912
6120	122336273
6121	263452903
6137	1646
6144	130235785
6160	96465939
6179	129049182
6195	120154731
6198	255792292
6201	16440654
6204	5871457
6206	161811904
6215	92891945
6228	129122705
6230	196052069
6266	128164816
6267	5841683
6276	86707054
6278	137313201
6291	17217938
6304	6070659
6308	96322045
6316	132433497
6329	92824095
6338	144718399
6351	6627414
6360	96185644
6390	122727879
6391	120035878
6401	30368
6416	120016428
6441	247124683
6469	91948036
6470	30368
6474	13664164
6504	122604702
6514	245639598
6538	199138116
6552	125939130
6567	3667757
6597	78650176
6639	2119967
6653	17022837
6658	119316543
6661	7952424
6663	8987396
6667	14323287
6676	224646
6689	130500153
6709	9445289
6722	128727187
6723	260102150
6731	146491602
6745	90500883
6760	251725551
6784	104361242
6795	13117670
6808	136209259
6809	248094355
6813	296548308
6816	20919150
6820	344016271
6821	10548226
6834	344182343
6850	372027
6855	296548308
6861	30368
6863	16290609
6890	5122057
6898	126208192
6902	2119967
6905	129440403
6913	372027
6916	6869558
6918	29814
6920	126273410
6923	98686662
6931	147380737
6936	444337
6938	444337
6939	67521598
6942	444337
6946	129079907
6952	15298214
6953	8043327
6974	104469478
6986	127476712
6987	121431909
6988	132247421
6990	98185951
6997	85648759
7005	296892974
7007	122569151
7013	15246841
7014	297420454
7045	344230032
7052	145719716
7058	14020815
7084	20830833
7094	444337
7104	256788703
7108	63688913
7119	134911425
7144	251294061
7146	444337
7148	444337
7158	122313811
7166	30005468
7176	147257492
7179	69755721
7183	185202130
7190	96767087
7222	100136420
7237	9516000
7258	257904991
7264	142014900
7299	138122531
7301	132583287
7306	58121194
7327	87375565
7338	136818768
7346	9041
7353	106206946
7385	90357190
7411	15200927
7425	251588823
7426	92515078
7428	152796449
7430	92860480
7435	444337
7443	247482538
7455	10570377
7461	8970312
7462	138117127
7496	87299993
7498	103386321
7499	143273191
7503	122299685
7511	91585852
7525	118163687
7536	125481257
7540	126319967
7546	64408029
7580	143551251
7583	151495751
7590	129356588
7595	15110411
7611	147247475
7637	125889969
7648	64104599
7649	297279293
7659	141093425
7688	64230837
7692	149516767
7701	152833377
7709	152167743
7714	6958652
7719	152211952
7733	4479036
7734	444337
7738	64273496
7739	142076031
7741	9577872
7760	246781817
7761	96038874
7773	125190821
7776	126394823
7777	139076747
7791	5259083
7808	30368
7816	17532339
7832	134892517
7834	345628572
7854	4874282
7882	99297143
7883	142196242
7887	22840877
7900	16714358
7907	372027
7910	347374105
7918	63554348
7926	17523166
7931	126403282
7933	98062836
7937	344465905
7938	146305976
7983	90255375
7987	102893227
7988	372027
7993	15338471
8002	372027
8006	120366323
8007	90357190
8013	8109544
8018	359523461
8019	90740751
8029	89735016
8031	3543702
8042	87470283
8044	54999
8071	112850901
8074	77037320
8082	278239911
8083	126359377
8094	149459678
8096	346486960
8097	247146321
8101	104307196
8117	136634548
8120	140214472
8143	71606428
8147	347875077
8148	17223298
8153	76426895
8160	115997641
8163	15400683
8164	259955162
8170	53159627
8172	103747582
8189	359329791
8203	14636727
8207	4990901
8219	114202
8229	444337
8234	63979338
8236	260538326
8244	11520353
8245	53162
8247	91133668
8255	73634742
8286	71030884
8297	129087325
8312	63911629
8321	64721007
8332	71128531
8336	1159759
8360	8761416
8378	92080701
8380	262539038
8394	121657060
8397	359533688
8411	71569717
8413	346597864
8417	3865443
8430	51194441
8431	120202934
8438	92860480
8441	71786651
8447	46027669
8450	132843167
8455	37125813
8458	82346228
8459	17766811
8462	263671742
8463	14850528
8465	65009100
8481	36021009
8489	133203063
8500	248871113
8505	49297450
8510	64265204
8519	20550188
8526	130114382
8547	85887972
8553	184904511
8557	30716795
8561	141222846
8562	252323459
8563	49082774
8571	70332357
8577	66782238
8579	52144697
8582	10738654
8623	118074474
8635	123433647
8636	48203475
8641	32913968
8656	34794047
8657	252472222
8660	8082870
8662	17681037
8663	246700259
8665	92523097
8673	246330865
8674	64852440
8675	143348215
8677	49402452
8691	16402176
8698	102979080
8702	49845943
8708	76279619
8709	4173052
8710	142131195
8716	16932992
8723	32658846
8730	81347045
8731	125933138
8742	14152580
8745	25714197
8746	249996285
8759	46472279
8761	3508676
8768	68298672
8771	30950644
8782	39215395
8789	137159127
8792	120104993
8795	6083780
8796	153041600
8805	349186597
8827	81347045
8832	84574181
8833	76029740
8862	81347045
8885	77588156
8898	77553279
8921	102871946
8928	398981
8950	14200379
8964	26815236
8965	199668530
8973	35837602
8974	7438513
8986	91414
8999	357444983
9007	75866793
9012	83738046
9019	64203997
9020	20046623
9026	85012808
9027	247256180
9040	11606192
9043	23692501
9045	82961082
9047	67434119
9052	20307399
9067	10512047
9077	121271779
9079	350388473
9094	64658371
9095	21669155
9106	9577872
9108	82620733
9119	25680569
9132	4093823
9155	48236714
9173	142459906
9178	127782174
9196	91671776
9203	246682506
9209	6309882
9214	9383282
9216	373701916
9226	246220987
9228	350556015
9232	261263847
9238	15390314
9248	119183786
9251	348414125
9260	135563258
9265	116341819
9267	29974390
9269	226233312
9270	129883866
9287	11655839
9291	49141471
9317	83272280
9324	246866109
9327	46105190
9338	75790779
9341	136191544
9345	15161722
9348	261206245
9362	126487898
9364	126487898
9367	247865971
9373	126487898
9381	126487898
9382	126487898
9383	46447829
9385	39135522
9395	126487898
9398	262539038
9410	66320992
9415	1003622
9426	280152850
9427	82516428
9433	126644853
9442	54084518
9448	56341088
9458	121443718
9466	137415255
9474	70332357
9485	30188062
9504	137174532
9519	77125501
9534	91747926
9535	29015880
9539	11138656
9541	350327288
9554	90357190
9574	261748788
9577	83014603
9578	103295771
9583	12639840
9587	77007117
9588	94741447
9602	78527430
9603	350192710
9617	241968103
9621	15717186
9625	350684045
9636	9946183
9638	77341675
9648	13944457
9652	129514714
9655	122372020
9657	75737120
9661	15482561
9668	81482177
9670	361108243
9678	15482561
9683	92640806
9692	144556
9716	87175403
9718	77835368
9721	90198688
9722	355630574
9725	144206479
9729	129824037
9732	76880152
9735	139113754
9741	10761909
9744	262830138
9745	136013718
9748	77777630
9758	11015158
9759	26524470
9770	26960254
9772	16367620
9779	7714406
9790	236291204
9793	22901405
9794	248456816
9806	263993
9810	108681446
9811	26146587
9813	11627667
9821	215997126
9851	261235771
9852	65238817
9853	19944514
9864	97456312
9866	246584929
9870	251865570
9878	135024242
9880	9920953
9897	144045429
9902	7297809
9922	26488760
9930	97607416
9944	9921725
9950	140833789
9951	79051818
9954	246926850
9960	92942775
9961	10064117
9986	297539014
9990	3595446
9994	17512783
10007	17205663
10008	76964827
10018	28245600
10021	10082036
10026	121417796
10033	10145348
10037	15354813
10052	139493235
10054	77277640
10061	17809994
10070	246811006
10071	97667
10075	129431385
10076	77885341
10079	10356345
10086	107821912
10088	107941705
10091	246171603
10107	134562956
10112	78216936
10117	261794393
10118	115101510
10121	248584556
10122	10548226
10123	127438772
10127	142915308
10128	14850528
10133	240378252
10134	21002484
10143	23099985
10145	16407547
10156	216236648
10167	4753845
10171	63802612
10172	49773086
10187	76229430
10195	48309002
10203	136835196
10204	116389247
10205	104643202
10206	137326955
10209	23043569
10212	77696454
10213	7472321
10228	262815848
10233	127279539
10236	165631105
10245	52691699
10254	27252839
10262	136080449
10264	1509235
10269	45953340
10276	34957873
10282	7248534
10286	95651069
10287	137040651
10293	137262807
10296	129484458
10298	116477461
10301	115910082
10306	136604223
10307	135394614
10317	215682323
10322	87502532
10323	122038827
10324	88003391
10326	5731955
10331	99908614
10335	257372060
10336	135905326
10341	42765190
10346	259380461
10347	20922773
10350	87344978
10356	9335473
10357	22717818
10359	122184270
10363	256636887
10374	221210496
10376	9383282
10393	85406
10405	46787922
10406	259107042
10410	18905561
10436	23203788
10444	94421324
10447	260031262
10462	92241
10472	229444798
10477	280152850
10479	139421290
10484	92003470
10488	137646022
10489	137645641
10493	53174665
10540	6038570
10560	152903157
10561	87552862
10566	97004435
10567	51404235
10574	92962631
10577	126487898
10584	6977078
10607	52968856
10608	108468978
10610	108468838
10611	108468689
10612	108468531
10614	108468268
10633	52988787
10634	64077544
10637	3838371
10651	66319012
10664	9531769
10665	287005936
10670	246250100
10672	129315527
10685	9445289
10694	50835185
10702	7605274
10713	116895218
10716	138376563
10722	116938581
10727	11276363
10739	118174023
10743	56127601
10765	56890848
10766	216199004
10771	14356042
10772	55393997
10774	7568757
10806	14257329
10814	4532
10819	55523307
10833	221728665
10838	7535200
10845	10440643
10872	55490039
10875	5731955
10879	5731955
10882	15107292
10891	52390342
10900	10849158
10905	24573
10907	54746338
10908	53877360
10912	43592401
10913	10529833
10914	22964154
10918	222685938
10919	45103
10925	62003311
10935	256755890
10936	20482054
10938	7350774
10951	1826278
10967	10611274
10969	254385874
10977	169675688
10980	6373478
10983	15428295
10997	118550591
11004	92374064
11009	131044811
11011	15915583
11015	130934480
11021	6897941
11023	15882464
11031	9125257
11032	48542838
11036	348586186
11038	53316788
11040	261514007
11053	124808680
11055	251814492
11056	15073630
11060	9185604
11061	7225619
11067	74815842
11075	252636298
11077	7676402
11089	124797711
11093	251500023
11099	3080156
11101	350604593
11102	77391165
11106	12804741
11109	5093360
11114	349994855
11123	15237936
11124	87296554
11125	68813731
11129	13141092
11131	120104993
11140	70696805
11141	5724254
11163	67208880
11167	81499779
11172	15449858
11173	62578486
11177	247930651
11187	19242310
11188	14932284
11189	36865454
11193	27142605
11195	68189409
11197	250880804
11207	6112186
11209	247103427
11214	63695978
11216	297759749
11217	43397898
11225	91492117
11226	19446001
11233	251554171
11236	61253926
11237	62628055
11242	7452952
11249	140967099
11250	7254068
11257	233959477
11263	56821306
11289	297558438
11291	141310514
11297	11554989
11299	61722137
11301	10063389
11305	200114805
11306	119318912
11311	119561552
11322	141829985
11329	13743663
11332	62313357
11335	86248
11343	52630697
11344	29101342
11349	3761099
11363	204094384
11366	53068350
11371	77817001
11374	58246715
11378	262969958
11379	3451687
11386	5185773
11395	7275454
11396	67072107
11399	134808908
11400	55706147
11405	5731955
11410	81340283
11414	65790101
11415	9165894
11419	69716706
11425	77652377
11430	24769479
11432	143302399
11433	66979370
11436	248989225
11443	9210323
11445	67011821
11458	91428226
11459	22819751
11463	62589998
11464	67219303
11465	23317412
11481	17463537
11482	68791000
11484	125026274
11486	68455668
11487	242058190
11490	53745154
11491	68442127
11493	123894432
11497	152910932
11498	203482528
11499	64753631
11500	70082761
11503	259482849
11504	246896513
11505	16861659
11507	68535422
11511	10592105
11513	67846079
11518	16225571
11524	348203793
11528	3142799
11542	122296
11543	359942089
11544	2980152
11546	88433
11547	77934467
11548	2943643
11555	347330652
11561	38229203
11564	79437
11574	135766807
11575	61240052
11579	80021140
11582	137603610
11585	90714639
11590	40749133
11591	261174245
11592	5731955
11601	152903157
11614	90019717
11617	261456258
11619	1953221
11620	17381
