geneid	dist
582	1828
602	296
633	118
636	30808736
992	21275
1005	3014188
1024	5669
1032	233025
1238	233025
1325	2384491
1430	14686140
1711	152
1712	152
2010	69
2011	1502576
2014	793
2929	58849
3124	410278
3152	44553
3855	2596
3911	356955
4104	907668
4145	4765
4202	2596
4208	4791336
4275	2596
4340	4765
4374	2596
4378	942163
4390	4765
4434	4765
4452	4765
4475	927122
4513	2596
4527	10183538
4536	12222806
4540	12222806
4542	12222806
4544	10133928
4545	12222806
4546	10133928
4548	2788
4559	12222806
4566	10904337
4580	12222806
4595	12222806
4623	12222806
4676	36647
4714	2788
4716	3718
4717	2596
4723	4765
4747	2596
4772	4791336
4828	4791336
4841	4791336
4856	4912086
4857	38894
4881	254458
4901	393689
4919	627253
5007	397163
5051	2110573
5059	330460
5085	2256337
5098	172653
5143	1770169
5151	23197841
5161	2011691
5197	1726332
5198	23251597
5216	21965103
5234	23651903
5242	391701
5249	1795024
5264	2058438
5266	16259540
5280	2097449
5291	21612214
5302	3512
5331	16499271
5362	2094661
5369	21127820
5397	9548113
5401	1785050
5467	5992314
5468	9563254
5470	24315634
5471	10072707
5505	2330613
5506	1149878
5522	8463492
5546	14526089
5557	23528652
5562	23686970
5599	9732501
5608	8750928
5631	1579834
5654	1173171
5659	324514
5670	12514569
5697	22483066
5705	1536208
5730	12575915
5740	11282535
5772	462322
5780	17346511
5785	15216347
5798	14514452
5820	9002642
5837	1807388
5841	13459732
5843	16668702
5854	10237746
5877	9786320
5879	501926
5895	13359829
5898	4367850
5913	8497992
5914	8216714
5916	10291872
5921	9581916
5930	6600272
5939	1570104
5951	9866018
5977	16499271
5993	12117842
6004	13777425
6012	4932680
6023	11290372
6050	9896631
6054	9812270
6055	13188453
6061	7816381
6095	11836889
6101	3352893
6106	1690124
6117	6012436
6120	14057498
6121	9044800
6137	1791302
6144	19333447
6160	1914463
6179	6159131
6195	887796
6201	1785050
6204	14488883
6206	8375885
6215	4915021
6228	5911970
6230	21627302
6253	1917612
6266	3454404
6267	21301495
6276	22931701
6278	23073642
6287	13257498
6290	13324402
6291	1905161
6304	14591061
6308	2038732
6316	21075066
6329	4932680
6338	1795792
6351	17174861
6360	2155329
6390	3624473
6401	3304462
6416	968739
6441	879307
6469	5672665
6470	3304462
6474	1026482
6504	14272755
6514	48115
6538	19592497
6552	4753110
6567	14056343
6597	24690192
6639	667
6653	1990205
6658	1372688
6663	14557420
6667	10373468
6676	1467703
6689	4799520
6709	2512676
6722	6214451
6723	6569891
6731	489950
6745	6643687
6760	151880
6764	12510018
6771	13412350
6784	15220255
6795	9563254
6808	23566840
6809	380082
6813	27332708
6816	29894559
6820	26750535
6821	1868373
6826	26132197
6834	26696219
6839	9581010
6850	435686
6855	27332708
6861	3304462
6863	11611011
6890	24087615
6891	290
6898	31230987
6902	667
6905	33074997
6913	435686
6916	7865888
6917	35566503
6918	2824874
6920	31282619
6923	11466542
6926	26040376
6931	44291455
6936	40148
6938	40148
6939	29259303
6942	31925
6943	290
6946	18647472
6949	378209
6952	10981294
6953	1243872
6974	15315758
6988	35013395
6990	11225789
6997	23559496
7005	27819892
7007	3708245
7013	10929346
7014	28202989
7045	26625417
7057	26117963
7058	10130122
7066	2094661
7084	29841822
7094	40148
7098	305240
7108	21603266
7111	26083265
7114	42539936
7119	36745697
7144	1352040
7158	14035006
7162	2803130
7166	3692958
7179	18265008
7183	13278449
7190	1728653
7222	12480912
7237	418816
7258	13685477
7264	41952388
7301	35258854
7306	4181239
7327	4831065
7333	42381939
7338	37974935
7346	42107276
7353	7528322
7366	36544
7380	290
7385	1163
7387	714319
7411	1706068
7425	117567
7426	1040366
7428	421201
7430	949437
7435	40148
7443	1048444
7455	1234396
7462	38962931
7496	4854211
7497	25881619
7498	9358885
7499	42751727
7503	3867463
7511	1554081
7525	22786200
7536	4401668
7540	31300741
7546	21142288
7562	2796723
7583	41548468
7590	33014661
7595	1841242
7606	42414065
7611	44467857
7621	17773216
7637	31013948
7648	21432880
7649	28135762
7659	41258267
7688	21250473
7692	42814022
7701	450430
7709	12651
7714	7754753
7719	50207
7733	6782637
7738	449422
7739	41999528
7741	9971983
7760	594055
7761	2210226
7773	16003963
7776	31358541
7777	495979
7783	13289847
7791	23675676
7808	3304462
7832	22547070
7834	25857087
7854	7104277
7882	11904733
7883	42059007
7887	42767632
7900	1713648
7907	435686
7910	24652786
7918	1000223
7923	27945114
7926	302347
7931	31370790
7933	11140333
7937	26514437
7938	44839255
7983	2486265
7987	5286828
7988	435686
7993	1578300
8002	435686
8013	1029835
8018	23160046
8019	6513390
8029	2807062
8031	14270751
8042	22318171
8044	613054
8061	17397
8071	7526950
8074	23998411
8082	20716954
8083	31335926
8090	26093634
8094	42848548
8096	25175396
8097	902652
8101	15194913
8117	37859911
8120	1532155
8143	14407665
8147	24508024
8148	3386232
8153	23556743
8160	6004398
8163	1562635
8164	12216785
8170	10914175
8172	14838046
8189	23022594
8203	2376283
8207	7246268
8229	40148
8234	620460
8236	11899734
8245	474966
8247	1813736
8255	16114483
8286	17563619
8297	5937162
8312	21447201
8317	26018489
8321	20945968
8332	17451295
8336	24315634
8338	7340370
8339	7321186
8360	694443
8378	1251437
8380	3014188
8394	13498149
8411	14386977
8413	25132498
8417	5796581
8431	12559032
8438	949437
8441	14546515
8447	216476
8450	21348917
8455	1427954
8458	2521191
8459	106734
8462	9238892
8463	2132206
8465	180522
8481	1771817
8489	35616254
8500	11853179
8510	21238562
8519	397163
8526	19249680
8553	30505912
8557	1515141
8561	8193292
8562	13957607
8571	18227960
8577	19841731
8579	54001
8582	3045398
8600	403240
8603	42264906
8623	867568
8625	22921805
8635	1716183
8641	674241
8656	1594767
8657	13980465
8660	12556451
8662	227935
8665	1036609
8673	10362291
8674	16777
8675	42822480
8677	341187
8691	4017649
8698	14343270
8708	269604
8709	6225013
8710	7747046
8716	3890571
8723	657958
8731	16423486
8742	10224481
8745	4729846
8746	12488516
8759	109297
8761	2083589
8768	19199515
8771	1377292
8782	927122
8789	38311430
8792	12494884
8795	14637985
8796	636889
8805	20743215
8832	953844
8833	17343395
8853	21322020
8885	603821
8898	590693
8921	14277863
8928	26424403
8950	10265485
8964	8803164
8965	19242553
8969	4279567
8973	1452739
8974	97146
8986	3545883
8994	5518032
8999	21475048
9007	17280595
9012	1310252
9019	21326025
9020	8516126
9026	3663856
9040	2490195
9043	5939768
9045	2156856
9047	19681256
9052	8407131
9067	3233629
9077	5114274
9079	19874930
9094	139355
9106	9971983
9108	2650696
9119	4780257
9132	6151721
9155	9717501
9173	7609346
9178	6496826
9196	1505740
9203	3944475
9209	16275478
9214	2553408
9216	2330880
9226	10310763
9228	19797035
9232	11305144
9238	316315
9248	11847551
9251	20303528
9260	7377861
9265	9927828
9269	4284384
9270	7859700
9287	2430139
9288	10925667
9291	281569
9324	89610
9327	11030410
9338	133100
9341	6989110
9345	1758087
9348	11390137
9367	5078556
9383	10919387
9398	3014188
9403	9917052
9405	766756
9407	12846056
9408	41805079
9412	12846056
9413	141
9414	25047172
9415	88
9427	12461814
9430	2427003
9443	1615882
9449	3425356
9458	5498831
9466	14230623
9474	18227960
9485	3813590
9495	3349870
9504	14526733
9513	24633612
9519	441037
9534	1439835
9539	2404
9541	19887330
9554	2027230
9574	21768159
9577	7994316
9578	14525589
9583	9230451
9587	402906
9588	10422644
9596	19970689
9600	74203
9602	4095924
9617	672833
9621	11196396
9625	19691607
9633	6064749
9636	1465891
9638	519613
9648	22973880
9652	7622915
9655	14087023
9657	103897
9659	3885796
9661	11084174
9668	2136404
9670	15355642
9683	967716
9716	4767614
9721	2019707
9722	16945253
9725	6525887
9729	7804642
9732	367743
9735	9467523
9741	11846971
9744	8430537
9745	7044044
9748	678637
9751	9548113
9752	24252818
9758	2736112
9759	8582836
9770	8926716
9772	4048152
9774	921060
9779	17448175
9790	2854043
9793	6505465
9794	5411143
9806	26806845
9808	986938
9810	16140784
9811	4604621
9813	2463049
9821	114545
9846	243416
9851	11339753
9852	377439
9853	8584291
9864	10747439
9878	8227476
9880	1431355
9893	9581010
9897	6615536
9922	1865853
9933	7301308
9943	4971105
9944	2147206
9950	8472967
9951	1131368
9954	3770731
9960	901436
9961	2088757
9963	4299098
9986	4916925
9990	816133
9994	3021179
10007	3423716
10008	391970
10018	3240416
10021	2061142
10026	4518727
10033	2048717
10052	12853706
10054	492962
10061	2508282
10070	663485
10071	3650931
10075	7569110
10076	716018
10079	1973252
10086	6012436
10088	18031248
10091	10282511
10107	22344695
10112	821139
10117	21794101
10118	20281501
10120	17651315
10121	5518822
10122	1868373
10123	6223359
10127	7456009
10128	2132206
10133	1190102
10134	7419293
10143	6381524
10145	1807388
10156	162434
10167	6945143
10171	21533047
10172	1343
10187	261488
10195	9603205
10203	23388295
10204	9978408
10205	16398158
10206	14278819
10209	6336572
10212	652599
10213	285753
10228	8420624
10233	6117588
10236	1222117
10245	927791
10254	9132981
10262	7014328
10264	3478222
10269	11159889
10276	15857866
10286	9653656
10287	6426900
10293	14434084
10296	7603013
10298	10010783
10306	23617602
10307	7629793
10317	64082
10322	22253375
10323	5910696
10324	5278458
10326	1160
10331	12316691
10334	8270758
10335	14171525
10336	7228553
10341	749
10347	7925911
10350	22356263
10356	2604821
10357	6817916
10359	6000920
10363	4149158
10374	1931472
10376	2553408
10385	490374
10393	541816
10405	198089
10406	12967783
10410	3444310
10436	6481120
10444	3592203
10447	12175820
10472	5492015
10479	12915930
10488	22917605
10489	22918009
10492	802228
10495	777268
10498	17604699
10505	2793973
10507	2150267
10520	827967
10530	1293917
10540	783100
10546	158
10554	2629073
10560	4189433
10567	18738713
10574	3063990
10587	2629073
10591	1321812
10594	23892345
10596	1290484
10605	5249017
10607	3827217
10608	18072088
10610	18071950
10611	18071803
10612	18071634
10615	12073598
10633	3812536
10637	2032570
10651	11459710
10655	12846056
10664	2481923
10670	10332955
10672	7498728
10680	5194195
10684	20046914
10685	2512676
