geneid	dist
559	3733
564	4996
572	6926
575	7754
579	7533
582	7372
590	6692
594	5838
602	5420
605	5130
614	3549
619	1737
624	1139
977	152
978	152
992	26195
1005	33791356
1024	5719
1152	18585740
1274	36440250
1329	18045369
2011	10328804
2256	18585740
2929	17593280
2932	11916805
3124	70115834
3152	491
4104	52821998
4208	9605971
4378	22103253
4475	50095607
4525	21864915
4529	2721583
4544	52039066
4546	52039066
4566	30707494
4742	23928824
4772	9605971
4828	9605971
4841	9605971
4856	2860258
4901	463186
5051	7903677
5059	3212519
5085	8068962
5098	3069924
5143	4537294
5151	9011670
5161	4770010
5197	3501030
5198	16477636
5216	11226543
5234	20143334
5242	3276614
5249	4570292
5266	16482118
5280	4876657
5291	11545863
5302	147891
5331	16324352
5345	9252248
5357	26329905
5362	7893655
5369	11947706
5397	11717119
5401	3413608
5467	26371595
5470	19467060
5471	22654622
5493	12019881
5505	2815645
5506	3938255
5522	16531514
5546	17336518
5557	9286279
5562	9601059
5597	17212689
5599	22287303
5608	16827446
5631	8106884
5659	5003196
5670	19943205
5691	29069118
5697	5898608
5705	26189469
5706	13917595
5740	14082750
5748	6079635
5772	22456831
5780	20255176
5785	17333610
5798	17317469
5820	16915434
5837	3404558
5843	19584155
5854	7422224
5877	12022577
5879	9148556
5897	15673988
5898	28888213
5912	26853336
5914	16281479
5916	12540375
5921	22125182
5930	14762611
5939	8282902
5951	22395401
5977	16324352
5993	20225628
6004	18981196
6012	28313698
6023	23766521
6050	22430725
6061	9920753
6095	14640583
6101	29716582
6106	3785814
6117	38344870
6120	18539807
6121	16987341
6144	13521160
6160	31130385
6179	38650169
6195	53911657
6198	11765708
6201	3413608
6204	17290230
6206	16427709
6215	28351136
6228	38705769
6230	29778320
6253	765339
6266	41447780
6267	23032590
6276	1759180
6278	8871078
6291	889311
6295	15915444
6304	17429864
6308	31021988
6316	12083790
6351	20077948
6360	30931068
6390	34277550
6401	11150850
6416	53797392
6441	5465711
6469	26801760
6470	11150850
6504	18457809
6538	27707087
6552	36358691
6567	16797597
6597	6437377
6658	31818838
6661	15179513
6663	17983676
6667	12629419
6676	1347015
6689	39964071
6722	38374453
6723	14738098
6731	3362577
6745	25688999
6760	8812668
6764	15334901
6784	18873821
6808	9777170
6809	4873714
6813	21636814
6816	23814307
6820	21244046
6821	3383241
6826	20622070
6834	21190156
6839	11754730
6847	22343270
6850	216144
6855	21636814
6861	11150850
6863	14440142
6890	19628819
6898	25126820
6905	26868749
6913	216144
6916	9981496
6917	27824494
6918	152177
6920	25180860
6923	14585540
6931	4850741
6936	9907450
6938	9907450
6939	23301898
6946	14185939
6952	13747607
6953	14058557
6974	18987815
6986	25890058
6987	33227309
6988	28177387
6990	14327436
6997	2412917
7005	21939661
7007	34133713
7013	13699636
7014	22298006
7052	5938162
7057	20604649
7058	12351328
7066	7893655
7084	23774443
7094	9907450
7098	11767982
7108	9386628
7114	3267022
7119	17193406
7144	8540468
7146	9885232
7158	18550348
7162	166841
7166	12565656
7176	4947916
7179	13006512
7183	631056
7190	31356277
7222	15798612
7237	14820064
7258	21776170
7264	10641925
7299	1196189
7301	28014097
7306	1209713
7312	22343270
7327	15924726
7333	3099071
7338	25399378
7346	10819037
7353	37304339
7385	192556
7387	14376013
7411	13422868
7425	8790154
7426	1702354
7428	1320118
7430	1824704
7435	9907450
7443	5413839
7455	15257219
7461	14558481
7462	24446599
7496	15957719
7497	20401857
7498	35184150
7499	7675705
7503	33941447
7511	1156963
7525	8693367
7536	36046000
7540	25202135
7546	9826295
7580	7502498
7583	2000950
7590	26814651
7595	13322186
7606	3157255
7611	5031390
7621	13474159
7637	24926389
7648	9590810
7649	22234521
7659	10081483
7675	20444472
7688	888889
7692	3538961
7701	1251579
7709	1620935
7719	1604466
7733	8778149
7734	9885232
7738	3440026
7739	10679033
7741	12166880
7760	5825797
7761	30832215
7773	16682184
7776	25291627
7777	6328207
7791	20030184
7808	11150850
7816	509565
7829	18744753
7832	10697011
7834	20378673
7854	9135192
7882	15122434
7883	10745178
7887	7605451
7900	3507249
7907	216144
7910	19067789
7918	3993462
7919	216356
7923	22074216
7926	557021
7931	25305274
7933	14229418
7937	21015447
7938	5915270
7983	90291
7987	32479285
7988	216144
7993	13536010
8002	216144
8006	19847149
8007	237598
8013	14116212
8018	17610227
8019	25872164
8029	13826880
8031	17009047
8042	30480680
8044	2260277
8061	180976
8071	25025872
8074	7310175
8083	25251954
8090	20596498
8096	19648237
8097	5450016
8101	18853972
8117	25608261
8120	7386899
8143	16808902
8147	18872642
8148	6201011
8153	7425118
8160	22187695
8163	13603005
8164	20300820
8170	19015154
8172	18461574
8184	15915444
8189	3503069
8203	12824404
8207	9297931
8219	2296006
8229	9907450
8234	3626103
8236	19988162
8244	14354272
8245	2394009
8247	878585
8255	16106270
8286	13739746
8297	38674285
8312	9475059
8321	9988303
8332	13804644
8336	19467060
8337	6923723
8360	14396797
8378	1484986
8380	33791356
8394	19083376
8397	17619951
8411	16845699
8413	19583464
8415	21848586
8417	7643443
8430	22439732
8431	19902789
8438	1824704
8441	16729611
8447	48019966
8450	11754484
8455	51008246
8458	4685914
8459	360904
8462	17171464
8463	13082008
8465	2690172
8481	51468651
8488	51018815
8489	27632561
8500	19328218
8505	51108650
8510	9713315
8519	44878256
8526	13791946
8547	51019877
8553	24389406
8557	46429061
8562	17261364
8563	51252953
8571	13331929
8577	11349196
8579	21888388
8582	8851759
8591	15659762
8600	651126
8625	17354267
8635	43193947
8641	53018352
8653	8463859
8656	52075109
8657	17206922
8662	484617
8663	8523329
8665	1709217
8673	20935505
8674	2961892
8675	7555237
8677	51085169
8691	7509937
8698	17836438
8702	50834828
8709	8097334
8710	22747354
8716	7398699
8731	16378545
8742	12467425
8745	43226860
8746	18713308
8751	1539512
8759	47758908
8761	10201196
8768	12184525
8771	46575520
8775	3431041
8782	50095607
8789	25244574
8792	4062142
8795	17461175
8796	1059390
8805	14881259
8832	7970350
8833	13899439
8850	3217594
8853	11787343
8885	550182
8898	537285
8921	17720936
8950	12510242
8964	17401258
8965	27423541
8969	8154521
8973	1984874
8986	8314684
8994	871762
8999	15626435
9007	13921229
9012	7728979
9019	9682129
9020	39235060
9026	6069673
9027	8928724
9040	9400641
9043	41832130
9045	7531253
9047	11440176
9052	39368267
9067	8536012
9077	1061181
9079	13979981
9094	3088698
9106	12166880
9108	4829693
9119	43193693
9132	8034276
9155	38166064
9173	22550870
9178	75012
9195	17282824
9196	1206641
9203	8510771
9209	19161813
9214	2594641
9216	15386563
9226	21004825
9228	13937891
9232	19388102
9238	12955868
9248	24347151
9251	14431329
9260	6147219
9265	22490358
9267	24215331
9269	36127326
9270	3353594
9287	9473786
9288	36869918
9291	51207594
9317	5157117
9324	8644580
9327	36807611
9338	47826
9341	11330497
9345	13391836
9348	19467438
9362	18585740
9364	18585740
9366	152
9367	16563848
9373	18585740
9379	152
9381	18585740
9382	18585740
9383	37134794
9385	36440250
9391	14150081
9395	18585740
9398	33791356
9402	28112586
9405	3135047
9407	21940614
9408	10754180
9410	18428551
9411	18654662
9412	12833233
9413	27642972
9414	18655405
9415	18700448
9417	55557235
9420	20352404
9430	697697
9434	59928704
9436	35188626
9437	32824255
9439	17701763
9442	35043541
9443	14010891
9448	16180676
9449	4706938
9458	878496
9466	12005027
9474	13331929
9485	12346191
9495	4628031
9504	11877122
9513	19048701
9519	374080
9525	10544294
9534	1253150
9539	10248672
9541	13997668
9574	29918246
9575	2977797
9577	10164684
9578	18059985
9583	11394608
9587	331308
9588	20883222
9596	14104684
9602	1788262
9603	14093363
9617	40453528
9621	13970088
9625	13800574
9633	354394
9636	1178217
9638	448400
9648	1808364
9652	3147615
9655	18493513
9657	10040
9659	17846795
9661	13851017
9668	4236841
9670	9532731
9683	1774434
9692	8193565
9716	7324503
9722	11070982
9725	21374793
9729	3291504
9732	288142
9735	24511560
9741	14650836
9744	16478901
9745	11259596
9748	664214
9751	11717119
9752	19487644
9758	9175114
9759	17207801
9770	17642804
9772	7554783
9774	1801112
9779	20341033
9790	136885
9793	41206220
9794	16267580
9806	17009635
9808	1766932
9811	43499059
9813	9445884
9821	33241606
9846	501289
9851	19423427
9852	2501495
9853	39149883
9864	1657096
9866	8494716
9870	13669130
9878	5848599
9880	4432330
9893	11754730
9897	21492452
9902	9657202
9922	830804
9930	13906617
9931	1803017
9933	9371826
9944	3062874
9950	23603254
9951	2892892
9954	8692624
9960	1888112
9961	3113852
9963	17279055
9986	16695676
9990	5620999
9994	6438006
10007	6154967
10008	320405
10021	3129763
10026	33215688
10033	3156011
10037	12947917
10052	13271699
10054	415901
10061	5627097
10070	5700273
10071	8114380
10075	2985263
10076	686342
10079	3271710
10086	38344870
10088	21945440
10091	21033337
10107	10842075
10112	826741
10117	29933532
10118	13319640
10120	3135047
10121	16111447
10122	3383241
10123	249732
10127	22401872
10128	13082008
10133	40987772
10143	41388067
10145	3404558
10156	33187885
10167	8958991
10171	9432415
10172	38863646
10187	173689
10195	38197218
10203	9147865
10204	22513036
10205	20118600
10206	11974953
10209	41336468
10212	638455
10213	7234871
10228	16468640
10233	281243
10236	30959443
10245	8648108
10254	17753359
10262	11276695
10264	4790481
10269	36670515
10276	28366359
10282	6940809
10286	12691776
10287	11797179
10293	11934037
10296	3020677
10298	22564328
10301	22136660
10306	9410808
10307	6016367
10317	33300858
10322	30407032
10323	458874
10324	7952467
10331	15728933
10334	39434037
10335	26073417
10336	6395351
10341	34627676
10347	39801912
10350	30522962
10356	2561525
10357	41043237
10359	394121
10363	12308563
10374	31515879
10376	2594641
10385	6981379
10393	1139176
10405	34569444
10406	21121204
10410	11473061
10415	29290009
10436	15005149
10444	29467367
10447	20278178
10472	37275215
10478	6923723
10479	6043786
10488	8746993
10489	8747474
10492	37867572
10495	4750494
10497	10022638
10499	14219720
10500	449543
10507	8532733
10510	4699659
10515	19576615
10520	6371364
10522	13256408
10524	49616080
10530	56493776
10535	22964636
10539	16339984
10540	6303051
10541	31076428
10545	37495777
10549	30248289
10553	27621926
10554	7841171
10560	46765741
10562	10022638
10563	36497351
10567	38985028
10571	50311232
10573	196794
10584	36305771
10587	7841171
10596	6786640
10598	3182074
10600	28160699
10605	18412932
10606	10964716
10607	13318872
10608	22000349
10609	22512945
10610	22000203
10611	22000063
10612	21999893
10613	21999766
10614	21999644
10616	31109642
10627	26700229
10630	21658345
10632	22009073
10636	36140287
10637	5325677
10664	2653931
10665	2165332
10670	20959337
10672	2929950
10678	19265630
10684	28273457
10694	21376335
10702	8239451
10704	1006641
10716	12807750
10718	22779633
10722	22809386
10727	10293896
10739	23638984
10743	12366047
10765	11764152
10766	7443157
10771	12660053
10772	13149256
10774	8257456
10814	1153614
10819	12831548
10833	33563128
10838	12436841
10844	1265975
10845	8453295
10872	12893855
10882	12778260
10891	8356476
10900	9067455
10906	26331088
10907	13423735
10908	13917537
10912	35210076
10913	8572954
10914	41269720
10918	34018736
10919	69225283
10925	5834023
10928	4832269
10935	25649273
10936	39561644
10938	12309188
10951	4046737
10953	29859440
10967	8680919
10969	10769859
10980	19235952
10983	13631499
10997	23902678
10998	7903677
11004	1662294
11009	12886946
11011	14130332
11015	13002170
11021	4550812
11025	4956156
11031	2428175
11032	38310834
11036	14498870
11038	12994086
11040	19352785
11048	16807883
11053	16902979
11056	13242913
11060	2470025
11061	6877404
11067	19597291
11075	13312616
11077	20205595
11089	16945769
11093	13926390
11099	9817514
11101	13833556
11102	24646520
11106	11500723
11109	3576413
11114	14209001
11120	23540982
11123	12909909
11124	30573809
11125	23242443
11131	4062142
11140	23741375
11141	511095
11163	22767901
11167	26550276
11172	13838829
11173	27997153
11177	16463551
11184	5137770
11187	11670964
11188	13174642
11193	3268575
11195	22928906
11197	14353180
11198	7929300
11207	5991416
11209	8809259
11214	3748913
11216	16869723
11217	23489468
11225	1106206
11226	11850561
11228	16578245
11233	13898655
11236	6308051
11237	28033976
11242	12384460
11243	16621469
11249	916504
11250	6952339
11257	39482704
11263	11810718
11289	16710464
11291	829504
11297	9391037
11299	6127246
11301	68047567
11305	27053132
11310	16642374
11311	24562620
11320	3142755
11322	22977595
11326	1949611
11329	68824363
11331	45095947
11332	5609415
11334	2803289
11335	16776181
11343	8505016
11344	13144520
11349	7265271
11351	961007
11366	8877594
11371	24776813
11374	8824819
11378	4888503
11379	7256611
11386	38134678
11395	7022244
11396	22751738
11399	2039646
11400	12773521
11405	180983
11410	26447547
11414	2910774
11415	3368813
11417	17219948
11418	5892019
11419	23454352
11425	24683506
11430	42737492
11432	7584088
11433	1782149
11436	15874582
11443	67803097
11445	22319118
11458	1075133
11463	28008243
11464	1657964
11465	15093642
11474	19728548
11481	6546843
11482	23227200
11484	16768020
11486	5155745
11487	9049238
11490	13795567
11491	5178551
11493	17618778
11497	1210549
11498	17310361
11499	3031384
11500	10757891
11504	8671296
11505	7153347
11507	5131742
11511	15235245
11513	5407560
11514	26165216
11516	7028817
11518	7708745
11524	14348031
11527	5003673
11528	6922540
11529	6964326
11542	2346726
11543	17988925
11544	6456553
11546	6105922
11547	695109
11548	6294480
11555	19084513
11561	9655118
11564	1133994
11573	6209996
11574	9975323
11575	6317285
11579	26129731
11582	8764795
11585	49192412
11590	5153637
11591	5788247
11592	535799
11596	57663778
11601	46765741
11604	53162536
11614	25384689
11617	5654685
11619	3966126
11620	9145659
11625	5022187
11627	15074038
11628	25310262
11636	12257621
11638	16998981
11643	69257628
11646	21786794
11647	27532959
11650	21786794
11653	4844796
11654	6931030
11656	4686352
11657	21786794
11658	3131919
11659	10477744
11661	25621130
11670	2944753
11671	4444731
11673	24757026
11679	20187142
11680	6767610
11683	25220537
11685	16478520
11691	30631620
11694	17056169
11695	13061236
11696	9194035
11704	37121912
11713	3115133
11714	3131919
11716	8697397
11724	521370
11726	9087638
11727	1748317
11728	32794012
11732	1956832
11733	1972698
11734	2002941
11739	11675244
11743	14230289
11744	27730984
11747	2077573
11759	5700458
11765	35791883
11775	44597627
11776	11546845
11778	11511508
11780	19539051
11783	5635195
11786	4066324
11787	7616394
11788	10694878
11789	11496222
11794	18328542
11800	1816292
11801	4965136
11805	11479923
11807	14266871
11810	15129791
11812	13256823
11821	17691592
11826	11479923
11827	11088267
11828	21169966
11829	2112307
11831	139653
11832	2190324
11842	252018
11847	36994186
11856	9416730
11869	21395031
11873	1969088
11890	56193265
11893	12550822
11897	2331105
11900	45032351
11908	21133233
11911	21164096
11912	44312315
11913	1538887
11917	53703966
11922	14852429
11924	41811921
11935	35601597
11938	21540250
11940	6161305
11944	27989709
11945	26533338
11946	8441504
11948	28064733
11954	6987955
11962	19029459
11963	13680794
11964	32631986
11969	33380884
11987	12555020
11995	29866279
11996	13250276
12003	4631467
12008	23789928
12011	8634390
12013	18200886
12014	15582099
12016	16226965
12019	14721835
12020	45421201
12024	39884235
12025	7170355
12027	23083517
12035	1923783
12037	2089617
12038	25153726
12039	2948213
12041	26531132
12044	4864331
12045	8005265
12046	6205605
12047	29921050
12048	6209946
12049	17736285
12050	23078086
12054	35016153
12060	17264674
12064	19531729
12069	12366997
12073	28064733
12083	9017830
12087	14456722
12088	21351103
12090	53123971
12091	14245644
12092	6672807
12095	4671591
12100	4996334
12102	53809631
12106	21107370
12109	13860867
12111	26669169
12116	13720830
12125	881032
12131	18783737
12136	32665802
12137	13515162
12146	48983240
12157	17867042
12164	40279809
12166	2394009
12169	28333135
12170	24195845
12171	24824214
12175	37464362
12177	589526
12179	3135047
12186	18559837
12187	1232023
12201	33791356
12202	53859896
12206	6132898
12210	21825006
12211	17945559
12212	17949027
12213	15749786
12216	8178635
12222	15439461
12230	27180282
12237	23634711
12244	4813786
12245	59919311
12247	20757774
12251	22306962
12261	1521123
12262	5380665
12263	49547339
12268	30320205
12269	45540000
12270	10747224
12274	27006930
12275	25061839
12277	27192606
12280	10305590
12293	4568995
12294	21825006
12297	2098604
12304	23949258
12305	46860961
12306	25504742
12307	13232943
12313	5436619
12314	106
12316	26470236
12317	27376404
12319	13890277
12321	25177088
12325	21105917
12327	10369361
12331	21786794
12334	51878597
12341	10498656
12343	7281780
12345	10712575
12350	4774279
12351	14246923
12354	8619969
12370	2584829
12373	15761214
12379	42205092
12383	1541158
12384	10688208
12387	36113543
12388	4945764
12389	40817067
12391	15284334
12392	4396718
12395	13274897
12396	4815331
12400	7285224
12404	10701155
12412	4570636
12415	25982200
12421	10701155
12426	4568400
12427	69515362
12431	10764592
12434	832010
12435	23700951
12452	13957522
12459	2485335
12463	990914
12464	13664645
12468	13141742
12469	509459
12470	13669901
12478	25903283
12479	51630390
12484	6083737
12490	4291851
12491	8401024
12493	4900506
12497	23304591
12500	18636491
12501	4744036
12502	26259551
12513	25983046
12515	29734982
12517	3243163
12527	1365997
12530	40713740
12531	32206622
12534	14680364
12536	36527923
12547	23362196
12551	16687558
12553	3694095
12556	14428831
12570	14661303
12573	20504869
12574	4874360
12575	39650084
12576	6415466
12583	9196074
12589	24843288
12595	15013010
12602	13489358
12606	51775388
12610	3863682
12614	20494567
12618	1627865
12619	1973231
12624	20209486
12625	42363805
12630	15670233
12637	37636768
12646	3346580
12660	9819605
12662	14472316
12668	7784751
12670	26953801
12672	49266128
12682	4526745
12683	14167531
12686	8078735
12688	3943422
12690	16414525
12696	3281568
12698	17745209
12699	15756106
12701	27618338
12707	15501956
12711	23559886
12717	6714780
12720	26641302
12729	26608229
12734	1411407
12737	6324839
12741	21786794
12762	41881881
12765	23716108
12766	27044151
12767	53734380
12778	9256481
12779	577589
12783	6978435
12790	153393
12805	15329144
12810	24393432
12811	14354936
12812	48746648
12817	53905362
12822	28504828
12828	28465785
12829	10002919
12845	28860595
12846	4612557
12847	24733831
12852	14250586
12853	6610788
12857	1932675
12863	2815645
12864	21851718
12865	4973253
12866	25284556
12873	53098098
12877	49389568
12878	2085397
12891	3491984
12895	25182997
12898	3032493
12899	13485667
12900	21587749
12901	4830801
12904	22456831
12905	7282091
12907	3413608
12921	30624978
12925	15245256
12927	42851162
12931	26671444
12934	42762002
12936	26177706
12944	2974747
12947	55997748
12949	32974845
12950	28736576
12955	11623632
12958	27201087
12973	46732046
12975	3143532
12977	12466388
12987	25295026
12988	23287160
12992	4164545
12995	16105618
13000	3501030
13006	12941114
13010	22305278
13011	52043461
13016	12788349
13017	12790481
13018	12790889
13021	12841118
13023	128860
13026	47867428
13033	26505542
13042	25136413
13048	47017129
13053	3507249
13054	7083512
13058	24590304
13059	49917946
13061	15567336
13063	12706624
13067	13243802
13070	42391392
13071	26405554
13073	3534985
13075	13403381
13086	53829212
13088	7044231
13092	1382430
13096	747513
13097	36269780
13098	13997119
13103	7456756
13111	3565923
13115	16454481
13116	2291806
13117	8708699
13126	12689012
13136	9732522
13137	51655736
13140	29193983
13142	14083007
13143	2141520
13148	51301417
13151	3008395
13157	17842518
13167	23143843
13172	59377489
13175	2717325
13177	12982843
13179	68394576
13182	5121702
13189	49042347
13191	6888931
13192	42721393
13199	6472305
13203	14266871
13204	29013298
13213	997572
13235	7072910
13236	1944110
13244	29326309
13246	27706660
13247	59554209
13251	4500338
13252	3577106
13253	57477380
13254	7015289
13256	4410137
13258	5583422
13267	22339604
13273	2048013
13277	51073437
13278	57617568
13279	20939372
13287	6038207
13295	3718840
13304	9467041
13313	22448887
13315	1805147
13316	3883803
13322	68726121
13328	41829866
13336	5709882
13338	29246385
13341	28949
13343	28949
13347	5013167
13348	28949
13349	1059
13355	1059
13361	4350805
13367	11992
13368	11992
13370	11992
13375	2344149
13382	1842126
13383	52888347
13387	2081581
13388	30763812
13389	2259267
13392	30746110
13399	3976011
13407	14247705
13427	214463
13430	33308426
13432	4952597
13441	20902165
13442	30613975
13452	13227990
13459	8472113
13465	38781193
13466	1751090
13467	2929606
13471	59022259
13474	216144
13478	55949231
13483	17331947
13488	2390563
13490	16321314
13498	4823760
13500	32808008
13503	5025707
13510	4628589
13511	43131561
13519	30515635
13523	14797653
13525	30434311
13526	5816500
13532	16707598
13533	5681117
13534	2494547
13541	3894330
13542	26299228
13547	2381202
13550	1633124
13560	2104702
13567	53343284
13578	33791356
13585	6247256
13587	14490302
13593	59163831
13599	34636893
13606	39137016
13613	8270183
13614	33482826
13616	13400063
13619	25473080
13620	39137016
13622	33825895
13623	1397368
13624	10183659
13627	9308146
13637	6923723
13642	3084466
13644	3083092
13645	26971872
13654	6834897
13664	117143
13669	37426495
13671	16216859
13672	13323430
13673	34700638
13674	43461568
13680	6247256
13683	6084174
13685	6964672
13686	42561838
13689	1292076
13695	45323042
13697	16422142
13714	19997867
13715	26519550
13718	25032242
13719	1509487
13721	29233068
13722	14744560
13729	49917946
13730	26574621
13737	15770031
13745	31896153
13747	13428408
13756	13416120
13766	13308047
13778	4431773
13783	36830486
13784	11335993
13785	51351862
13796	1776961
13804	25113974
13808	273610
13810	2577654
13811	8215099
13828	12275947
13830	30790511
13831	8224800
13834	5835106
