geneid	dist
633	4602250
992	14997595
1024	14977839
1274	64300247
1430	39216775
2010	2889762
2011	2934708
2014	2890758
2929	4128163
3124	56180164
3150	3556333
3152	4698938
4104	60068515
4208	46288727
4378	46142915
4548	55491774
4714	55491774
4772	46288727
4828	46288727
4841	46288727
5007	2927226
5051	50960679
5059	46743101
5085	51072747
5098	46606165
5143	47997906
5151	4842255
5161	48200143
5197	54874037
5198	3917875
5216	2886154
5234	19766561
5242	46778426
5249	48021529
5264	14092813
5266	52856759
5280	48318965
5291	2540813
5302	4725368
5331	53012028
5345	4572238
5362	50941651
5369	2077122
5401	54772725
5467	50755424
5468	5883574
5470	20425920
5471	51633396
5505	29237764
5506	47546982
5546	11051738
5557	4541367
5562	4398793
5599	49740933
5608	7056719
5631	30591606
5654	58054389
5659	23770877
5670	19453875
5691	48964915
5697	5339542
5705	50969362
5730	8928064
5740	7541809
5748	5593603
5780	13857110
5785	52144865
5798	11027983
5820	7178524
5837	54763583
5841	9882115
5843	13196447
5854	6565343
5874	9643269
5877	6151329
5879	29837237
5895	9771510
5898	49657908
5912	50312658
5913	6806582
5914	1719812
5916	6625254
5921	54447588
5930	189739
5939	30577405
5951	49630762
5977	53012028
5993	10300802
6004	50925087
6012	49768486
6050	49534684
6054	6151277
6055	9556452
6061	4234607
6095	8113683
6101	48256967
6106	26972365
6117	38028895
6120	51219136
6121	7214238
6137	22392281
6144	653407
6160	46960119
6179	26912826
6198	27206249
6201	54772725
6204	10999079
6206	29918994
6215	49753148
6228	26962428
6230	21639958
6253	14171919
6266	30052679
6267	17501743
6276	22939258
6278	4929442
6287	9592661
6290	9738406
6291	14296777
6295	9643269
6304	11115610
6308	47072155
6316	2000081
6329	49768486
6338	48023980
6351	13668917
6360	47233323
6390	22271002
6391	30354351
6401	57558746
6416	30382603
6441	23389642
6469	50429124
6470	57558746
6504	51350410
6514	22584971
6538	19307807
6552	24443373
6567	10538282
6597	28323576
6653	14107196
6658	19850053
6663	51596206
6667	6675071
6676	14624686
6689	28297126
6709	29042151
6722	26692204
6723	24482120
6731	46867028
6745	51308457
6760	30115862
6764	8824068
6771	9821922
6784	6845125
6795	5883574
6808	4270981
6809	23851877
6813	12267870
6816	50155512
6820	29410837
6821	54746538
6826	28766110
6834	29336188
6839	5900976
6850	16088493
6855	12267870
6861	57558746
6863	7940897
6890	20165881
6898	48985621
6905	47014763
6913	16088493
6916	4288231
6917	44659723
6918	57163548
6920	48876912
6923	2845367
6926	28712817
6931	34181409
6939	50841807
6946	8467
6952	7272030
6953	793154
6974	6961067
6986	48093981
6987	21292859
6988	45073765
6990	2596228
6997	23560533
7005	52149307
7007	22131754
7013	7229568
7014	51708085
7045	29281358
7052	35153985
7057	28744482
7058	6508785
7066	50941651
7084	50211110
7108	12525211
7114	32619699
7119	43282554
7144	30359320
7151	57048401
7158	51143424
7162	57141075
7166	41265172
7176	34246638
7179	16065208
7183	49468068
7190	46720276
7222	3867627
7237	1680284
7258	12123230
7264	37890310
7299	22328205
7301	44847282
7327	46950181
7333	32494754
7338	41870349
7346	37500165
7353	39862441
7385	27979297
7387	1212083
7411	145962
7425	30232231
7426	26047210
7428	30410375
7430	25948781
7443	23556450
7455	2601935
7461	1420969
7462	40857400
7496	46983387
7497	28590009
7498	42077004
7499	36939784
7503	21953493
7511	26699375
7525	5157800
7536	24124415
7540	48852801
7546	13051523
7583	31309181
7590	47116764
7606	32525034
7611	34319805
7621	16640054
7637	49159235
7648	12752818
7649	51817878
7659	38385273
7675	28626094
7688	12889884
7692	32851081
7701	30328626
7709	30672843
7714	4200890
7719	30659664
7733	3331970
7738	24484880
7739	37610822
7741	6558393
7760	23226667
7761	47254221
7773	52712476
7776	48808048
7777	5766266
7783	9714523
7791	19789173
7808	57558746
7816	56591650
7829	6721300
7832	3448646
7854	3595131
7882	3304857
7883	37514036
7887	36878483
7900	54906811
7907	16088493
7910	27202920
7918	24036004
7919	56814358
7923	52029888
7926	56582327
7931	48781654
7933	2519266
7937	29153996
7938	35133876
7983	56004354
7987	20506305
7988	16088493
7993	231748
8002	16088493
8006	49946967
8013	852530
8018	25508768
8019	51179787
8029	56352936
8031	10750440
8042	22327470
8044	25551098
8061	56863790
8071	52184389
8074	29295333
8082	51903177
8083	48840918
8090	16451954
8094	32881929
8096	27868924
8097	23417018
8101	6818592
8117	42062291
8120	50440401
8143	20467698
8147	26826823
8148	21053024
8153	29440160
8160	49788301
8163	302083
8164	10388661
8170	9023675
8172	6456212
8184	9643269
8189	25372098
8203	30444000
8207	3718995
8219	25486261
8234	24317271
8236	10072806
8244	42854584
8245	25403575
8247	27005770
8255	19702359
8286	16934270
8297	26934150
8312	12643092
8317	28693938
8332	17008628
8336	20425920
8337	80473671
8338	40178690
8339	40142144
8360	1246654
8378	26304908
8394	50684378
8397	25518819
8411	20487092
8413	27809727
8417	2339395
8431	19561571
8438	25948781
8441	20379551
8447	60199378
8450	2299481
8459	56808795
8462	7377993
8463	30256199
8465	25090410
8489	44478607
8500	26996273
8510	12908694
8526	561936
8553	49662082
8557	878752
8561	93476424
8562	21013649
8571	16404246
