geneid	dist
559	3884
564	5129
572	7060
575	7899
582	7388
590	6705
594	5852
605	5143
614	3551
619	1724
624	1136
992	1203193
1024	12054581
1430	39209
2011	12765791
3124	43384
3855	2799519
3911	19708249
4202	2799519
4208	10468375
4275	2799519
4374	2799519
4378	31541965
4416	7379
4448	15890849
4475	1710516
4513	2799519
4544	296940
4546	296940
4676	12556147
4716	2411145
4717	2799519
4734	15890849
4747	2799519
4750	15890849
4772	10468375
4827	15890849
4828	10468375
4841	10468375
4857	177575
4867	7379
4901	8431166
5051	14450190
5085	29112839
5098	50315
5143	5201156
5151	14585423
5161	11659169
5198	24783808
5216	21754054
5242	15822622
5264	81836
5266	16386189
5291	15699695
5302	22404374
5305	8077678
5357	22023761
5362	14466540
5401	12856274
5467	20039155
5470	10398694
5471	21376929
5505	19767765
5506	15690593
5522	27089036
5546	19731218
5562	14556647
5599	13119784
5608	19721827
5654	18052398
5670	16506873
5691	19304100
5697	14654398
5705	3614952
5740	19977443
5748	10818992
5780	11946416
5785	15274739
5798	19742625
5820	24844269
5854	7497
5877	21219285
5879	26024218
5898	12813664
5912	4068649
5913	33578786
5914	19794631
5916	17096141
5921	18688525
5930	19908907
5939	26300959
5951	3528923
5993	1615684
6004	18835885
6012	12816307
6054	18408382
6061	18503365
6095	14341395
6101	4887
6106	33571979
6117	20620843
6120	13572210
6121	24848935
6144	16093659
6160	6805732
6179	33604008
6195	454805
6198	12694
6201	12856274
6204	11914923
6206	19758797
6228	33577435
6230	22944919
6267	16970657
6276	3903224
6278	2123745
6291	2934006
6304	12394192
6308	6799740
6316	8247901
6329	12816307
6338	28106404
6351	11921774
6360	6673252
6390	21715795
6391	37858345
6401	8763221
6416	13335104
6429	10299740
6441	1351
6469	4021316
6470	8763221
6474	3038040
6504	14908516
6514	32034321
6538	22860400
6552	21467318
6567	14201780
6597	29788646
6653	11193977
6658	6881636
6663	14929231
6689	21215734
6709	17177562
6722	21290519
6723	11919804
6731	4259867
6745	3122
6760	26197099
6771	19799539
6809	25743607
6816	4500141
6820	20237193
6821	18541579
6834	18706977
6847	20573887
6861	8763221
6890	10144065
6916	18495911
6918	6712536
6920	10875462
6923	33525384
6931	2157286
6939	9607828
6946	16101961
6952	13471552
6953	14555574
6986	6690356
6987	21754162
6997	18322224
7005	1031817
7007	21727997
7013	21997147
7014	19020661
7045	3188323
7058	32633414
7066	14466540
7084	1221161
7098	19189858
7108	16072749
7119	1167557
7144	26293479
7158	24414
7166	119565
7176	2185018
7179	3165962
7183	7677
7222	17355
7237	6814200
7258	21209630
7264	36138045
7299	3415
7301	162733
7306	10415587
7312	20573887
7327	35035014
7333	3388
7338	1007745
7346	11323207
7353	20268282
7385	3825
7411	37787417
7425	26254806
7426	7118413
7428	29185359
7430	6672887
7443	8721742
7455	2303132
7462	837706
7469	3388
7496	22763
7498	17358699
7499	24516961
7503	6639754
7511	6503182
7525	14648464
7536	957294
7540	6760052
7546	26374283
7562	20573887
7580	23923564
7583	11407573
7590	1096312
7606	3388
7611	2852129
7637	6830242
7648	15877460
7649	19020661
7659	24357835
7688	5553321
7692	8475774
7701	2260
7709	94969
7714	8691
7719	126987
7733	23124366
7738	487071
7739	36149085
7741	23118176
7760	32749185
7761	29593743
7773	16355227
7776	33498812
7777	14683793
7791	14062
7808	8763221
7816	28273
7829	17033114
7832	13498399
7834	17940464
7854	21411869
7863	3388
7882	1524453
7900	30643
7918	7069031
7919	5372319
7923	1061859
7926	25346
7933	20997489
7937	7837228
7938	2473945
7993	14773190
8006	16388749
8007	3825
8013	37410022
8018	17577406
8031	14103438
8042	7070459
8044	6316113
8061	11431256
8071	12065450
8083	33522411
8096	43537
8097	32832282
8101	17884073
8117	1071550
8120	8007503
8148	14322487
8153	10690573
8160	13126141
8163	14800191
8170	25820164
8172	3698133
8189	2586463
8203	38074781
8207	21407171
8219	7009836
8236	96842
8244	13634654
8245	7040268
8247	6552
8255	13196987
8286	9296957
8297	33583592
8312	23502767
8321	5574695
8336	10398694
8378	14982
8394	18879700
8397	17541567
8413	653718
8415	19792851
8430	19929597
8431	16394268
8438	6672887
8447	979399
8459	11504954
8462	24909766
8463	22726
8465	6649579
8488	7296
8500	5594
8505	20092039
8510	14378928
8526	16172767
8547	38433373
8553	3537502
8561	1766210
8563	2526190
8571	13333
8579	17100
8582	46795
8600	7187677
8603	3388
8623	8584197
8635	21501220
8636	24099263
8641	128871
8656	17965314
8657	63117
8663	18574910
8665	12749
8674	7623206
8675	30371595
8677	20088450
8691	7970465
8698	16885885
8702	7296
8709	21418182
8710	23704
8723	68492
8730	8879194
8742	32547989
8745	17828546
8746	11250769
8751	1129148
8759	925180
8761	27875044
8768	29138237
