geneid	dist
631	6240
633	117
991	40785099
992	49530598
1005	66036649
1024	49961454
1032	1294
1152	382
1238	1294
1274	516707
1325	144
1430	11254
1625	40769835
1711	26148681
1712	26148681
2011	59086890
2014	59098958
2256	100
3124	4963
3152	549
3159	283039
3901	4477514
4378	64141
4525	61398989
4533	26098793
4538	11546837
4541	11546837
4543	13831413
4544	13692670
4546	13692670
4610	26098793
4744	1918568
4746	1886950
5007	13864265
5009	4477514
5051	61015617
5059	60474845
5085	61198186
5098	60146919
5143	63887575
5151	11803533
5161	63556387
5197	2358787
5198	10655207
5216	9123604
5234	5651758
5242	65412788
5249	63873994
5264	8901218
5266	11783
5280	63369710
5291	8707930
5302	11363444
5331	3244935
5345	11419754
5357	69805261
5369	8192650
5397	11692837
5401	2438355
5467	69856891
5468	11711677
5470	20115
5471	65152953
5505	3124494
5506	64608875
5522	60576980
5546	15593511
5557	11378286
5562	11195248
5597	15758091
5599	65547971
5608	60434341
5631	70254142
5659	72480908
5670	68461597
5691	70760425
5693	15478735
5697	58102365
5705	69663406
5706	64021051
5730	15328598
5740	13822796
5748	58242529
5772	34991314
5780	12327560
5785	1912949
5798	15629359
5820	60190045
5837	2461695
5841	15903494
5843	13162159
5854	12563046
5874	15648314
5877	12048257
5879	69145922
5897	15517458
5898	71079218
5901	15499682
5904	15372910
5912	70438539
5913	60510846
5914	60862725
5916	12644338
5921	65898991
5930	62645060
5939	70224123
5951	65405476
5977	3244935
5993	56637763
6004	328456
6012	70939435
6023	63750386
6050	65352668
6061	9803751
6095	14479208
6101	69976073
6105	70673666
6106	42402015
6117	53553901
6120	559837
6121	60133699
6138	69259751
6141	138061
6144	6330451
6160	62144817
6179	42319253
6195	48487039
6198	66101973
6201	2438355
6204	15650439
6206	60691719
6215	70982687
6228	42382728
6230	45589864
6264	48226114
6266	45434275
6267	8576817
6276	44225915
6278	11925702
6290	15749322
6291	51837387
6304	15569334
6308	62284950
6316	8125677
6338	63848815
6351	12787019
6360	68586305
6390	37530506
6401	54288982
6416	48375743
6441	73137434
6469	70379768
6470	54288982
6474	51086646
6504	770647
6514	74322722
6530	57822161
6538	47921564
6552	39802666
6567	16560057
6597	38547337
6635	57822161
6653	4979
6658	34636558
6659	57822161
6663	45488647
6676	49764058
6689	43694777
6722	42049173
6723	62690970
6731	65341747
6745	69108946
6760	69512882
6771	15850708
6784	20360874
6795	11711677
6808	11032214
6809	72334316
6813	35153939
6820	34529673
6821	2548162
6826	33732964
6834	34443272
6847	36046270
6855	35192475
6863	14266606
6890	5021594
6898	313326
6905	2478674
6913	52880992
6916	9867390
6917	5106356
6918	53826900
6920	386184
6923	15366330
6931	45306464
6938	52824779
6939	37283448
