geneid	dist
559	3699
564	4951
572	6876
575	7702
582	6027
590	6682
594	5829
602	4495
605	5123
614	3544
619	1740
624	1139
631	212
992	22239
1032	8415282
1238	8415282
1430	4034503
1711	152
1712	152
2929	434
3124	63725718
4104	7077302
4208	4003033
4378	1317325
4475	4003875
4744	19535701
4772	4003033
4828	4003033
4841	4003033
4856	27022091
4881	23806181
5007	19053845
5051	36273832
5085	36358503
5143	37590661
5151	34227666
5161	37497434
5197	13705676
5198	21745821
5216	32366401
5234	149752047
5242	38365729
5249	14246611
5264	991104
5266	27602023
5280	37388504
5302	33894244
5345	33940919
5369	31647734
5397	129078538
5401	13781603
5467	17397908
5468	129102929
5470	150660158
5471	21714520
5505	14430579
5506	37961104
5522	28005091
5546	135416273
5557	33908370
5562	33769976
5570	133437493
5597	135294415
5599	21257185
5608	28279728
5631	21218993
5659	20064863
5670	24113191
5691	15403624
5693	133290215
5697	34753066
5705	17650770
5711	133608128
5730	133018239
5748	34831711
5772	21896921
5780	139388167
5785	26696371
5798	135400586
5820	28344815
5837	13800302
5841	134057041
5843	138507895
5854	130035473
5874	133708795
5877	129528289
5879	21974925
5898	15821235
5912	16901569
5913	28033827
5914	27778485
5916	130094530
5921	21123650
5930	26266399
5939	21303033
5951	21337149
5993	31205538
6004	25422247
6012	16268822
6023	22903837
6050	21361338
6055	133653271
6061	9357568
6095	132040454
6101	14621910
6106	42335652
6117	1067242
6120	25635339
6121	28382006
6144	49397959
6160	13097707
6179	45913604
6197	133512360
6198	23845665
6201	13781603
6204	135372458
6206	27926660
6215	16250594
6228	45968268
6230	26350044
6266	47508714
6267	146255881
6276	25012761
6278	22332875
6291	911563
6295	133708795
6304	135483292
6308	13260893
6316	31584953
6329	16268822
6338	37566092
6351	139143247
6360	13385947
6390	40302912
6391	11435859
6401	1656285
6441	19767856
6470	1656285
6504	25834292
6514	19286925
6538	29082001
6552	42888343
6567	134808569
6597	16166803
6658	37420467
6663	26084749
6667	130168846
6676	697806
6689	47541949
6709	14682519
6722	45648048
6723	26236539
6731	38292550
6745	18016816
6760	21676920
6764	132879678
6771	134009714
6784	19584802
6795	129102929
6808	33640510
6810	133517545
6813	31013722
6816	33783021
6820	24310829
6821	13878670
6826	23652404
6834	24236859
6839	129120038
6850	1940744
6855	31013722
6861	1656285
6863	131861130
6890	150419290
6898	36920714
6905	355979
6913	1940744
6916	9409674
6920	36782207
6923	12081400
6926	5863
6931	42097909
6936	1975677
6938	1975677
6939	33156488
6946	29972887
6952	130926876
6953	3707517
6974	19704254
6986	35587415
6987	39249896
6988	3032527
6990	11823076
6997	23839648
7005	31295150
7007	40164559
7013	130878822
7014	31734388
7045	24165531
7052	41217320
7058	129918283
7084	33742665
7094	1975677
7098	2151456
7108	17500591
7114	43315692
7119	5368301
7144	1402
7146	1971172
7151	2181052
7162	1892263
7166	7948594
7176	42021269
7179	13460326
7183	37700057
7190	12839872
7222	13131540
7237	4434880
7258	32847564
7264	38976662
7299	846549
7301	3309427
7306	8365785
7327	52176603
7333	43217195
7338	6998504
7346	39391087
7353	3770727
7385	49213106
7387	4065237
7411	3228132
7425	21618827
7426	10836270
7428	42458583
7430	10749152
7435	1975677
7443	19934327
7455	5126657
7461	4199031
7462	8020978
7469	43228731
7496	52202366
7497	23383233
7498	6635186
7499	39895920
7503	39980628
7511	47804829
