geneid	dist
992	12894172
1024	34483646
1430	9173555
2011	13785003
2929	474512
2932	455168
3124	11639561
3150	543323
3152	455168
3855	13296301
3911	3765960
4202	13296301
4208	15873095
4275	13296301
4374	13296301
4378	6298264
4416	11646700
4448	1269837
4475	11678751
4513	13296301
4544	709990
4546	709990
4676	94727
4716	57517
4717	13296301
4734	1269837
4747	13296301
4750	1269837
4772	15873095
4827	1269837
4828	15873095
4841	15873095
4857	11541458
4867	11646700
4901	3740459
4919	11509197
5051	17260145
5059	26360584
5085	27336118
5098	20002947
5143	3076555
5151	15769251
5161	20856125
5198	12302956
5216	10021829
5242	20873739
5249	20605830
5264	6957556
5266	8107531
5291	3800658
5302	10501423
5305	3838541
5357	6574
5362	15576399
5401	7040872
5467	10524
5468	13469474
5470	20829290
5471	3821893
5493	543323
5505	15814186
5506	20748337
5522	3900735
5546	5961268
5562	15714087
5599	3884659
5608	31021809
5654	15797612
5659	10705140
5670	2478488
5691	23610850
5697	15792975
5705	23490
5740	6160183
5748	6768779
5780	12662495
5785	2654498
5798	5951062
5820	13350047
5837	197487
5854	3248885
5877	6896292
5879	1191954
5898	22701474
5912	22529224
5913	11028517
5914	3931976
5916	16060925
5921	4940128
5930	30708920
5939	2429690
5951	13430
5993	18376621
6004	2806552
6012	22587882
6050	14004355
6054	3697954
6061	18569219
6095	4464689
6101	22881033
6106	123232
6117	11640
6120	1127461
6121	13340982
6138	8526272
6144	4786674
6160	8482282
6179	176450
6195	6314884
6198	3960154
6201	7040872
6204	3121775
6206	30940606
6215	5026015
6228	119007
6230	15376654
6267	16388492
6276	38099
6278	17051159
6291	9713559
6308	8492987
6316	22223422
6329	22587882
6338	2904872
6351	15477805
6360	10439650
6390	76785
6391	1229
6401	13675462
6416	24636
6429	16138376
6441	372893
6469	8277
6470	13675462
6474	24887672
6504	7111012
6514	917
6538	15535853
6552	847791
6567	3316301
6597	17819334
6653	27524420
6658	9267774
6663	7252712
6667	7948536
6676	17607180
6689	2757
6709	42349
6722	160080
6723	9149680
6731	3123744
6745	36278121
6760	942647
6771	5848050
6784	3720935
6795	13469474
6808	15668028
6809	1588887
6816	11192017
6821	7245590
6834	18953841
6847	5608146
6861	13675462
6863	4354324
6890	33175505
6905	24290508
6916	18597646
6917	3073426
6918	2734983
6923	81779
6931	11873402
6939	1265574
6946	4805277
6952	1526723
6953	27683901
6974	9528945
6986	18180467
6987	1561
6988	7204813
6990	50333
6997	25116126
7005	33892583
7007	5005380
7013	7782107
7014	11174
7045	9068508
7052	12037338
7058	14272612
7066	15576399
7084	11115667
7098	33661934
7108	17059456
7119	2858792
7144	2402143
7166	21227336
7176	11887938
7179	24700097
7183	15904950
7190	28109030
7222	74932
7237	31629902
7258	18059793
7264	12322627
7299	6630
7301	7154096
7306	24998413
7312	5608146
7327	14452157
7333	1546411
7338	67679
7346	6700700
7353	32863
7385	4115552
7411	14426140
7425	880469
7426	9504944
7428	17200444
7430	9199842
7443	777845
7455	11025609
7462	4924148
7469	1546411
7496	119632
7498	2299
7499	17402374
7503	10415013
7511	653956
7525	15786296
7536	44095
7540	20128709
7546	14571160
7562	5608146
7580	4654678
7583	17437858
7590	24282085
7595	24647511
7606	1546411
7611	11931135
7637	18272500
7648	32389764
7649	11174
7659	12949922
7688	17002764
7692	5235065
7701	17170758
7709	17378115
7714	22196554
7719	17373939
7733	26035295
7738	775511
7739	12248630
7741	18694059
7760	82454
7761	5016418
7776	27566559
7777	15839242
7791	12144321
7808	13675462
7816	9614955
7829	9495697
7832	1485137
7854	39237370
7863	1546411
7882	10182
7887	17388972
7900	14778843
7918	9459429
7919	12628251
7923	3136991
7926	9639072
7933	2190895
7937	14466360
7938	19933216
7987	9312539
7993	27253061
8006	2589485
8007	4115552
8013	14237168
8018	883915
8019	8602967
8031	2297630
8042	15755892
8044	34394
8061	19936381
8071	22577012
8083	27574923
8096	7971087
8097	44771
8101	3707097
8117	4613442
8120	13454658
8148	2555307
8153	18967649
8160	3850553
8163	27236200
8170	27215467
8172	6747790
8189	22482517
8203	14670781
8207	39273895
8219	13082445
8236	18436155
8244	29286450
8245	9432381
8247	4128386
8255	4303087
8286	10470564
8297	109640
8312	386702
8321	14587634
8336	20829290
8378	15718
8394	5485160
8397	14095476
8411	6486375
8413	21650290
8417	26187183
8430	4112488
8431	2484214
8438	9199842
8447	11832428
8450	9946207
8455	11376501
8458	40970312
8459	439014
8462	13321241
8463	14646482
8465	7542043
8488	1090021
8489	15321202
8500	5997257
8505	4426431
8510	16996736
8526	3526961
8547	17318189
8553	24419526
8561	21668598
8563	23034121
8571	11218664
8579	427679
8582	15682810
8589	33981679
8600	30740
8603	1546411
8623	8686571
8635	329
8636	10502
8641	37970
8656	11331196
8657	4772442
8663	23622540
8665	6106
8674	9768033
8675	3301891
8677	34056894
8691	1801913
8698	35191120
8702	1090021
8709	26169729
8710	5793842
8723	53302
8730	22720881
8742	14208816
8745	25973803
8746	5229439
8751	9401
8759	11867105
8761	16076102
8768	6663336
8771	15124279
8782	11678751
8789	4693372
8792	972353
8795	16014326
8796	44677244
8805	18209471
8827	22720881
8832	17713666
8833	10441471
8850	2929
8853	22371570
8862	22720881
8885	33391
8898	13933
8919	8964267
8921	35231135
8928	19730855
8950	3237620
8964	16199178
8965	14101099
8974	16869324
8986	160854
8999	14723539
9007	10416457
9012	15798433
9019	3316562
9020	63442
9026	24082899
9027	10840362
9040	18807641
9043	12105
9045	17378009
9047	6804841
9052	19142
9077	12102508
9079	39265167
9094	3943179
9095	11525167
9106	18694059
9108	16554822
9119	7700978
9132	26168883
9155	6949089
9173	6737117
9178	8694554
9209	15537574
9214	64518
9226	10243097
9228	10682190
9232	12506668
9238	27679438
9248	22746722
9260	7592101
9265	3841085
9267	19367
9269	20965642
9270	8469055
9287	12080009
9288	2607
9291	23062513
9299	5608146
9317	16662622
9327	118549
9338	3683213
9341	8814650
9345	24626797
9348	12870201
9367	14399328
9383	17626440
9410	13727801
9411	34725732
9414	19885668
9442	10885997
9448	14836178
9449	20617663
9458	464
9466	27363207
9474	11218664
9485	23486554
9495	20588973
9504	8896249
9519	42781
9534	12873
9539	14195803
9541	10874270
9554	4115552
9577	1582534
9578	6827514
9583	3308259
9587	50018
9602	17195763
9603	10831202
9617	537725
9625	14259067
9636	9708915
9638	151171
9648	28737734
9652	8556889
9655	1172459
9657	3712577
9668	16297032
9670	5848112
9683	365682
9692	216806
9716	24373667
9718	7719
9721	18226222
9722	20011718
9729	9452582
9732	35885405
9735	21629118
9741	2315822
9744	35752857
9748	13256
9752	20729616
9758	15872178
9759	16258822
9770	16184451
9772	5393832
9779	15414832
9790	773002
9793	62308
9794	13666316
9798	8964267
