geneid	dist
559	3833
564	5091
572	7073
575	7916
582	7411
590	6728
594	5872
605	5164
614	3570
619	1735
624	1140
977	142
978	142
992	8885962
1024	11754996
1430	14809317
1711	142
1712	142
2011	5232044
3124	4539486
3855	5058893
3911	12164070
4202	5058893
4208	13817161
4275	5058893
4374	5058893
4378	14587847
4416	33170170
4448	3999289
4475	1309324
4513	5058893
4544	3263925
4546	3263925
4676	18679243
4716	4784919
4717	5058893
4734	3999289
4747	5058893
4750	3999289
4772	13817161
4827	3999289
4828	13817161
4841	13817161
4857	1666229
4867	33170170
4901	5351459
4919	4897784
5051	15935518
5059	914799
5085	14872600
5098	8652712
5143	5836216
5151	16127482
5161	3516263
5198	8188621
5216	13462638
5242	8600309
5249	8369195
5264	829476
5266	15950848
5291	16381170
5302	3790810
5305	10128252
5362	15950804
5401	12302979
5467	733097
5470	2120272
5471	14235061
5505	15637096
5506	8512298
5522	15822505
5546	9193932
5562	16036484
5599	12037422
5608	15865456
5654	4693216
5670	8858649
5691	11824813
5697	16150653
5705	11356985
5740	9343804
5748	12800516
5780	11218483
5785	9592917
5798	9198974
5820	19033540
5837	20942631
5854	3401228
5877	12579675
5879	13767766
5898	6800106
5912	11226409
5913	8685700
5914	15775141
5916	15002719
5921	8671371
5930	15612657
5939	13932600
5951	19536195
5993	7542667
6004	8767445
6012	6810030
6050	14275569
6054	13530418
6061	17312853
6095	15147256
6101	4422391
6106	13428690
6117	15559696
6120	14709183
6121	19022715
6144	16156938
6160	7910823
6179	13464792
6195	2671471
6198	4162387
6201	12302979
6204	13931266
6206	15806529
6228	13433401
6230	18462812
6267	15271574
6276	11006909
6278	7009742
6291	10967880
6304	14157993
6308	7919286
6316	10094004
6329	6810030
6338	10270490
6351	11190813
6360	7954524
6390	13426521
6391	917514
6401	9939721
6416	907500
6429	18722969
6441	19006658
6469	11240310
6470	9939721
6474	12509532
6504	9547270
6514	5150959
6538	18391528
6552	13223662
6567	9240884
6597	22391802
6653	6878210
6663	15568258
6667	1002885
6676	1223881
6689	13107293
6709	14870952
6722	13120400
6723	17878405
6731	6525506
6745	7770589
6760	13844210
6771	9244856
6784	13564113
6808	16011631
6809	13538159
6816	20794708
6820	13300896
6821	10210412
6834	4738067
6839	13574635
6861	9939721
6890	2142676
6917	11457858
6918	5388455
6920	5969410
6923	13390971
6931	2993560
6939	7717502
6946	16144817
6952	14603516
6953	18786425
6986	4171715
6987	14875611
6988	656334
6997	11427690
7005	1289516
7007	13441092
7013	1283914
7014	14418110
7045	5212394
7052	3226426
7058	3757352
7066	15950804
7084	18979767
7098	16351710
7108	17385675
7119	11603460
7144	13920913
7158	2331333
7166	9256689
7176	3006922
7179	12623683
7183	12339339
7190	10193015
7222	12793846
7237	3545781
7258	17089441
7264	15423399
7299	10924766
7301	735569
7306	10819952
7327	3421725
7333	28079775
7338	11699521
7346	12270500
7353	15768741
7385	5247103
7411	23053616
7425	13883447
7426	7743102
7428	2109634
7430	10086758
7443	15794579
7455	8006722
7462	11818677
7469	28079775
7496	16686867
7498	16028013
7499	556219
7503	7972049
7511	9418463
7525	16146976
7536	13262865
7540	4129158
7546	16814032
7580	2888444
7583	2310369
7590	736710
7595	16094060
7606	28079775
7611	16279704
7637	4086555
7648	17525806
7649	14418110
7659	1032744
7688	14340660
7692	2164396
7701	2113213
7709	2290641
7714	11492219
7719	2283977
7733	10528509
7738	8400509
7739	15391604
7741	9935194
7760	5529556
7761	16126458
7773	15967575
7776	5987631
7777	16178660
7791	3163338
7808	9939721
7816	6931743
7832	14640884
7834	11932460
7854	10465841
7863	28079775
7882	553949
7887	548673
7900	1218856
7918	7696611
7919	19634965
7923	1366892
7926	6928762
7933	12938261
7937	3272220
7938	3219780
7987	7787632
7993	18486627
8006	8850227
8007	5247103
8013	22852484
8018	16679868
8019	17973863
8031	9205534
8042	16856617
8044	8888
8061	13833189
8071	6262045
8083	5996904
8096	4144440
8097	5564107
8101	13568459
8117	11685615
8120	12105772
8148	8667350
8153	9331216
8160	12045970
8163	18476864
8170	8697945
8172	5584632
8189	1255055
8203	23290924
8207	10491599
8219	7644192
8236	13254112
8244	12718146
8245	7671903
8247	5048432
8255	30953840
8286	16378865
8297	13441892
8312	1242464
8321	14352555
8336	2120272
8378	4931296
8394	8792845
8397	16714911
8411	30336516
8413	169633
8415	12224437
8430	12316220
8431	11496226
8438	10086758
8447	3133537
8450	16363101
8455	1659893
8459	13967756
8462	19010384
8463	4554282
8465	9293976
8488	13685052
8500	9901688
8505	12427250
8510	15180753
8526	9902791
8547	16281424
8553	12846417
8561	9103777
8563	12430353
8571	28143452
8579	2447762
8582	18465217
8589	12448255
8600	7469484
8603	28079775
8623	8937030
8635	15210317
8636	867920
8641	9271450
8656	1756117
8657	9886953
