geneid	dist
559	66801469
631	100287566
633	118
636	20603818
971	768112
991	106
1005	765490
1024	30843196
1032	26403029
1152	100
1238	26403029
1274	232136
1327	97434422
1430	661960
1711	152
2008	50190690
2010	1679979
2011	1666920
2014	1679038
2256	100
2929	44095
2932	36470
3119	1115
3124	1957747
3150	37775
3152	35420
3154	1115
3901	5132696
3990	14689800
4378	61396360
4475	3469075
4525	62574752
4527	61428417
4529	2741562
4530	411350
4533	22276405
4538	194
4541	194
4543	59130323
4544	59244045
4546	59244045
4610	22276405
4716	63221427
4746	925512
5007	388510
5009	5132696
5051	3820166
5059	4571148
5085	3812894
5098	4418668
5143	82697
5151	6903614
5161	1804658
5197	2485979
5198	7961442
5216	9377382
5234	28614041
5242	1395956
5249	67538
5264	9524153
5266	15330738
5280	1899579
5291	9746243
5302	7272474
5305	15080794
5331	15121398
5345	7207691
5362	4187940
5369	10224096
5397	12164954
5401	2582114
5467	23571104
5468	12185581
5470	29375821
5471	28228915
5505	3281301
5506	725739
5522	12665764
5546	17621159
5557	7252464
5562	7574957
5597	17518399
5599	27811634
5608	12935631
5631	3670558
5659	3012932
5670	19532580
5691	21724304
5697	6141288
5705	23872240
5706	9833960
5740	14232020
5748	6082450
5780	21054382
5785	16425930
5798	17607322
5820	13010876
5837	2608536
5843	20204006
5854	12995797
5877	12513546
5879	4774233
5898	22070324
5904	15734548
5912	22996432
5913	12680496
5914	12367541
5916	13069503
5921	27632935
5930	10779566
5939	3843492
5951	27928490
5977	15121398
5993	16536995
6004	18338916
6012	22510199
6023	29524512
6050	27959955
6061	10195213
6095	14902606
6101	20939200
6105	22764786
6106	40698762
6117	39952910
6120	17777130
6121	13067907
6138	24158578
6144	12039673
6160	31091749
6179	40621643
6191	16077381
6195	31931729
6197	16073678
6198	7546115
6201	2582114
6204	17575267
6206	12547980
6215	22490646
6228	40680521
6230	27254780
6253	28640723
6264	32273589
6266	43708628
6267	25859902
6276	28848068
6278	6779372
6290	16298984
6291	28793688
6304	17704739
6308	30980427
6316	10378068
6338	42397
6351	20791520
6360	19679048
6390	35794349
6391	31997346
6401	26040423
6416	32031149
6441	1145852
6469	23175486
6470	26040423
6474	30598111
6504	17652615
6530	35526278
6538	24866881
6552	38086529
6567	17090855
6597	34181549
6635	35526278
6653	28553347
6658	33222188
6659	35526278
6663	17161785
6676	29226123
6689	41978349
6709	61578329
6722	40342144
6723	10743040
6731	1325757
6745	24264930
6760	4414953
6771	16411739
6784	18977084
6795	12185581
6808	7780892
6809	2895379
6810	16082292
6813	34631787
6816	37242229
6820	33991710
6821	2707961
6826	33184393
6834	33917411
6847	35460898
6850	26997840
6861	26040423
6863	14703214
6890	29108438
6891	27249817
6898	38824458
6905	41008323
6913	26997840
6916	10261815
6917	43591482
6918	10400
6920	39043564
6923	14374934
6926	33073661
6931	36841085
6936	27335391
6939	36630593
6942	27253007
6943	33672
6946	12794753
6952	13830260
6953	19708439
6974	19123149
6986	39751002
6987	34943806
6988	43021211
6990	14093083
6997	29617326
7005	34958687
7007	35639680
7013	13780513
7014	35398105
7045	33850039
7057	33143993
7058	12857531
7066	4187940
7084	37174950
7094	27335391
7098	6672
7108	34658408
7111	33108964
7114	34994024
7119	44915489
7144	4079031
7148	27045693
7151	27409127
7158	17787508
7162	32971
7166	24893559
7176	36962556
7179	30466858
7183	15122576
7190	31295899
7199	35526278
7222	15626827
7237	20642341
7258	18227431
7264	41058535
7301	43263935
7306	25076209
7312	35460898
7327	17907385
7333	34852056
7338	45131373
7346	40664092
7353	38637171
7366	27206345
