geneid	dist
559	647497
582	27938812
602	654379
992	1290301
1005	33631510
1024	1293353
1032	9062254
1238	9062254
2011	3296662
2929	540
2932	33059
3124	1429750
4104	5830836
4208	39439845
4378	53722228
4475	9105534
4525	14086
4530	15556026
4544	49287325
4546	49287325
4744	20875440
4772	39439845
4828	39439845
4841	39439845
4856	18007393
4881	8140648
5007	25095433
5051	3041829
5085	3031506
5098	278066
5143	1373069
5151	5425788
5161	1555358
5197	13929794
5198	37629958
5216	7545874
5234	9869239
5242	441859
5249	1381118
5264	2069061
5266	12906755
5280	1632080
5291	7845703
5302	26429
5331	12739015
5345	5673125
5362	3098485
5369	8264267
5397	5328295
5401	13850001
5467	22679527
5468	5310620
5470	10573610
5471	18569686
5505	8821
5506	995798
5522	34846995
5546	275977
5557	5716706
5562	5988187
5570	1826652
5597	416959
5599	18927938
5608	35155380
5631	27250518
5654	7771
5659	28751
5670	16152591
5691	24589505
5697	4725429
5705	22499362
5706	32374864
5711	1745418
5730	2058821
5740	3527365
5748	4663180
5780	3047136
5785	13826132
5798	305097
5820	35239067
5837	13836828
5841	1436710
5843	2264364
5854	4537898
5877	5073630
5879	28129847
5898	24385586
5904	2000476
5912	23188801
5913	34875812
5914	34598652
5916	15192
5921	19244199
5930	33184584
5939	27370232
5951	18820411
5977	12739015
5993	38314713
6004	15260491
6012	23656004
6023	17280255
6050	18768915
6055	1712601
6061	7133333
6095	2969530
6101	25310365
6105	16804
6106	40709692
6117	35485200
6120	14803923
6121	35291062
6144	9982625
6160	26718426
6179	40638563
6195	46875151
6197	1763005
6198	30380235
6201	13850001
6204	320617
6206	34761329
6215	23692657
6228	40696831
6230	40672445
6266	43738623
6267	7480583
6276	39515127
6278	5259823
6287	1674138
6290	1589506
6291	43516
6304	254512
6308	26608689
6316	8395915
6329	23656004
6338	1381746
6351	2806713
6360	26494489
6390	36234756
6391	46808399
6401	2715693
6416	46800758
6441	422588
6469	23127812
6470	2715693
6504	14711759
6514	1120352
6538	42911569
6552	38255695
6567	1220909
6597	32925230
6653	4889
6658	33736045
6663	14314195
6667	4480708
6676	1835401
6689	41947392
6709	13337214
6722	40391193
6723	33158119
6731	531862
6745	22018160
6760	59021157
6771	1488626
6784	22435806
6795	5310620
6808	6175120
6809	41065
6813	908
6816	28726222
6820	25925676
6821	13819605
6826	25364368
6834	25852986
6839	5299911
6850	2366090
6855	908
6861	2715693
6863	3219070
6890	10330440
6898	30368026
6905	32703705
6913	2366090
6916	7097806
6918	2421366
6920	30420862
6923	18384016
6931	43233000
6936	3268771
6938	3268771
6939	28121432
6942	3262812
6946	10820455
6952	3808074
6953	4240880
6974	22531512
6986	31445180
6987	35212296
6988	34771572
6990	18124536
6997	38507992
7005	26654498
7007	36087976
7013	3823747
7045	25782545
7052	44175003
7057	25405493
7058	4821670
7066	3098485
7084	28692284
7094	3268771
7098	3342495
7104	31003458
7108	28512402
7114	16215
7119	25290903
7144	27571042
7146	3245199
7151	3360105
7158	14818540
7162	2400432
7166	24390
7176	43314291
7179	24621478
7183	29541393
7190	26943875
7222	19419945
7237	4836433
7258	39923411
7264	46724596
7299	47580517
7301	35012713
7327	40483951
7338	37688558
7346	46395198
7353	34143794
7366	3254207
7385	1790
7387	4444786
7411	3928829
7425	27769189
7426	67361
7428	41302033
7430	43780110
7435	3268771
7443	375261
7455	5545702
7461	4605165
7462	38655211
7492	2000476
7496	40023291
7497	25184942
7498	31635525
7499	45842541
7503	35852140
7511	43350484
7525	5076794
7536	37920054
7540	30444580
7546	11434137
7562	2394878
7580	45689021
7583	41568702
7590	32632069
7595	3836242
7606	41635658
7611	43399279
7621	24013355
7637	30082438
7648	28233719
7649	26948390
7659	41033360
7688	27950314
7692	42072390
7701	41225402
7709	41464546
7714	710
7719	41451827
7733	8463212
7734	3245199
7738	44793719
7739	46506233
7741	4844179
7760	724655
7761	26387240
7773	13110196
7776	30559837
7777	4457639
7791	9891820
7808	2715693
7816	15403359
7829	22307750
7832	7027823
7834	25216344
7854	7914250
7882	18863368
7883	46436418
7887	45766936
7900	13950150
7907	2366090
7918	45076596
7919	15542211
7923	14936
7926	7229
7931	30567347
7933	18031677
7937	1310
7938	44153409
