geneid	dist
582	23087949
602	95663814
991	10695715
992	24299636
1005	27589736
1032	20438795
1238	20438795
2011	264759
2929	33616
3124	246771
4104	33208784
4208	24542995
4475	36341981
4529	43570698
4544	46718220
4546	46718220
4566	43195261
4716	48055624
4772	24542995
4828	24542995
4841	24542995
4881	39615268
5051	4394172
5059	647396
5085	4382301
5098	471249
5143	2080924
5151	7101504
5161	2367692
5197	176646
5198	8070490
5216	9399459
5234	22210210
5242	704382
5249	2107129
5264	16722946
5266	15071726
5280	2460666
5291	9734062
5302	7470601
5331	14898876
5345	7414817
5357	25323654
5362	4465817
5369	10168219
5397	7716991
5401	253805
5467	25363035
5468	7741093
5470	22850974
5471	21492537
5505	283446
5506	1507388
5522	9240028
5546	12655973
5557	7454418
5562	7732156
5597	12535315
5599	21850953
5608	9516787
5631	648238
5659	317017
5670	18795022
5691	27082592
5697	6405698
5705	25214021
5706	6468731
5730	10841943
5740	9555321
5748	6353993
5773	11475328
5780	15630967
5785	16123126
5798	12640479
5820	9637041
5837	270311
5841	11589725
5843	14904862
5854	8447274
5874	11368330
5877	8034398
5879	1640115
5895	11483184
5898	26920962
5912	25845942
5913	9267802
5914	9004665
5916	8509715
5921	98002
5930	7366119
5939	795257
5951	21730540
5977	14898876
5993	12822758
6004	17758323
6012	26293698
6023	20166191
6050	21679603
6055	11319000
6061	5973939
6095	10098232
6101	27783159
6106	35215868
6117	36722050
6120	17255659
6121	9689574
6137	4871299
6144	12009536
6160	29183299
6179	35137256
6195	34339272
6198	4273730
6201	253805
6204	12611713
6206	9150598
6215	26314711
6228	35197426
6230	22348381
6266	37954060
6267	19813689
6276	23761795
6278	6973312
6290	11465924
6291	25984769
6295	11368330
6304	12727959
6308	29084468
6316	10320857
6329	26293698
6338	2107908
6351	15409044
6360	28974605
6390	30917020
6391	34404792
6401	17350097
6416	34435728
6441	161327
6445	25426553
6469	25789073
6470	17350097
6474	25261046
6504	17185206
6514	893
6538	20182458
6552	32902538
6567	12166059
6597	28605183
6639	699
