geneid	dist
559	3783
564	5050
572	6963
575	7795
582	7489
590	6801
594	5949
605	5235
614	3649
619	518
624	1815
992	348101
1024	302247
1430	28505000
2011	15412132
2735	190
2932	560
3152	560
3361	190
3911	7415985
3990	14761998
4104	20033204
4208	35085579
4378	2781054
4416	652778
4448	66176828
4475	21690264
4548	5969904
4714	5969904
4734	66176828
4750	66176828
4772	35085579
4827	66176828
4828	35085579
4841	35085579
4867	652778
4881	13151338
4901	7279353
4919	6310706
5051	44294739
5085	44289308
5098	42490779
5143	43158720
5151	45546296
5161	43353720
5197	5737374
5198	45959171
5216	46538747
5234	15373980
5242	42536892
5249	43157092
5264	5731843
5266	49105185
5280	43405212
5291	46675036
5302	42343745
5305	46618057
5357	53858906
5362	44445792
5369	46779919
5401	5673465
5467	53878781
5470	11674588
5471	52214822
5505	5260392
5506	42876961
5522	46561443
5546	15813808
5557	45665756
5562	45804075
5599	52374085
5608	46503578
5654	5107615
5659	51188317
5670	51036555
5691	54740461
5697	45203555
5705	53824609
5740	50578
5748	45169581
5772	25542600
5780	13093172
5785	49604394
5798	15807271
5820	46393724
5837	5664645
5854	1009660
5877	1402489
5879	49743802
5898	54685180
5913	805300
5914	46694908
5916	1085237
5921	52524015
5930	47294620
5939	50121016
5951	52311782
5993	45152093
6004	50581890
6012	54299921
6050	52286489
6061	2124659
6101	55049146
6106	49940117
6117	54837377
6120	50294799
6121	46372971
6144	47504724
6160	55748267
6179	49897578
6195	3154421
6198	48510494
6201	5673465
6204	15788626
6206	46622646
6215	54313987
6228	49936402
6230	40905611
6266	51400462
6267	14290967
6276	65428969
6278	45443173
6291	5501905
6304	15844183
6308	55723321
6316	46843586
6329	54299921
6351	12976738
6360	55673655
6390	48069347
6401	2504372
6416	3110935
6429	22671256
6441	51436937
6470	2504372
6474	5421303
6504	50200358
6514	51977570
6538	41907397
6552	48998297
6567	579542
6597	4004735
6658	46756515
6663	49968037
6667	874978
6676	2407141
6689	50649088
6709	5079348
6722	49771920
6723	12129
6731	42615604
6760	49846640
6771	652370
6784	40744824
6808	45914984
6809	51151134
6813	7019267
6816	2141616
6820	7145314
6821	5647397
6834	7155603
6839	1255295
6855	7019267
6861	2504372
6863	945440
6890	15566192
6898	10443243
6905	4406624
6916	2111240
6917	5416892
6918	2070073
6920	10404680
6923	38941030
6936	5251551
6938	5251551
6939	186152
6942	5251551
6946	47854453
6952	15669204
6953	1228222
6974	40776761
6986	3977099
6987	47538756
6988	5199341
6990	38812067
6997	6648984
7005	7006963
7007	48018833
7013	15644167
7014	6426722
7045	7158997
7052	473428
7058	962145
7066	44445792
7084	2082670
7094	5251551
7108	2138625
7119	5868305
7144	49972855
7146	5251551
7148	5251551
7158	50304222
7162	2040518
7166	4521439
7179	415290
7183	623422
7190	55859388
7222	39457944
7237	1519764
7258	44372516
7264	7691733
7299	1930109
7301	5309459
7306	543690
7327	20409544
7338	6223782
7346	12083987
7353	55488756
7411	3099143
7425	49911871
7426	22211466
7428	11472453
7430	22298167
7435	5251551
7443	51429962
7455	5282793
7461	1390414
7462	6527356
7496	20218320
7498	56315480
7499	12209809
7503	47909153
7511	21867454
7525	45343188
7536	48835863
7540	10388103
7546	1983286
7580	12248204
7583	11926071
7590	4381876
7595	3067205
7611	727266
7637	10510761
7648	2102973
7649	6404685
7659	7500176
7688	2023164
7692	916419
7701	10849569
7709	11819722
7714	2138874
7719	11811333
7733	2746934
7734	5251551
7738	23160436
7739	7712438
7741	1486748
7760	51566956
7761	55591239
7773	49197420
7776	10361769
7777	45099659
7791	15403405
7808	2504372
7816	873925
7829	40683499
7832	46312242
7834	7243274
7854	2477587
7882	39128571
7883	12055846
7887	12216795
7918	23446531
7923	6999521
7926	871998
7931	3766732
7933	38766262
7938	579067
7983	21367526
7987	47121914
7993	3144453
8006	50976695
8018	915897
8019	53697170
8029	21160404
8031	15692443
8042	64993524
8044	22488797
8071	53287915
8074	3557257
8082	22655566
8083	10375522
8096	7229177
8101	40730847
8117	6152880
8120	44622723
8148	11965163
8153	3323946
8160	52395770
8163	3177089
8170	45645414
8172	40534074
8189	2968115
8203	2899289
8207	2463529
8219	22491017
8229	5251551
8236	45194961
8244	5107204
8245	22550169
8247	21722706
8286	158468
8297	49918129
8312	2115283
8321	1939216
8336	11674588
8360	1347698
8378	22035995
8394	50666042
8397	862468
8413	7215853
8417	3161987
8430	33330987
8438	22298167
8447	22832023
8455	21130956
8458	24126573
8459	4954773
8462	46348209
8463	2987086
8465	22692879
8481	20826522
8488	4178931
8489	5459952
8500	5842
8505	33915463
8510	2015342
8526	47808614
8547	33872926
8553	675027
8561	69100308
8563	34003564
8571	382216
8577	1253139
8579	32997958
8582	6636403
8600	814151
8623	44406054
8625	17146111
8635	52454414
8641	19858245
8656	20502971
8662	5051856
8663	5642914
8665	22226107
8673	53724
8674	22768638
8675	12236995
8677	33900056
8691	11469919
8698	40266588
8702	33782676
8709	2901372
8710	68827171
8723	19726626
8730	17978391
8742	1003855
8745	17258154
8751	22088543
8759	22982379
8761	14903194
8768	965802
8771	13794941
8782	21690264
8789	6332915
8792	51058145
8795	2202543
8796	35355627
8805	6864974
8827	17978391
8832	10035223
8833	88681
8862	17978391
8885	25585358
8898	25622025
8919	3577687
8921	40232785
8928	10659836
8950	1050177
8964	8387421
8965	42076397
8974	17284435
8986	9747945
8999	3003438
9007	44943
9012	10151125
9019	2046336
9020	15393479
9026	23489160
9027	5885425
9043	16646208
9045	10593843
9047	1164284
9052	15433598
9077	3620433
9079	4081426
9094	22846197
9095	38387
9106	1486748
9108	23912447
9119	17244358
9132	3071985
9155	14748479
9173	68762125
9178	3143442
9196	21881623
9209	1664974
9214	5054235
9216	2440429
9226	35620
9228	4160014
9232	45430903
9248	51391184
9251	6962291
9260	5368558
9265	52261460
9267	9219229
9269	56376622
9270	3722156
9287	14293358
9288	14130788
9291	33981585
9317	23732547
9327	14090430
9338	26174243
9341	5559474
9345	3090983
9348	45404277
9367	6127808
9383	14338175
9405	1157879
9410	7078034
9411	11337575
9414	11338316
9415	11373295
9442	8080812
9448	5187988
9449	4471878
9466	5947722
9474	382216
9485	4449426
9495	4491221
9504	5886704
9519	25777673
9534	21914730
9539	2043499
9541	3991119
9578	40324302
9583	1514574
9587	25793647
9588	62095
9600	26220974
9602	11640525
9603	4066144
9617	52844799
9625	4207408
9633	2928549
9636	23683795
9638	25701331
9648	6910701
9652	3556220
9655	50272497
9657	26202017
9661	102854
9668	24375925
9670	2684337
9678	102854
9683	22258732
9716	35192051
9718	25514391
9721	39610654
9722	3594763
9725	68221830
9729	3669638
9732	25889055
9741	866937
9744	46572874
9745	5517133
9748	25527504
9758	6964095
9759	8287715
9770	8461167
9772	11445822
9774	4031231
9779	13114586
9790	54136260
9793	16364640
9794	6317625
9798	3577687
9806	10550523
9808	22255919
9810	1730803
9811	17417815
9813	7397352
9821	56808571
9827	3577687
9846	5063181
9851	45417825
9852	22612444
9853	15350922
9864	38500905
9870	760553
9878	5171029
9880	23653195
9893	1255295
9902	2281165
9922	21704484
9930	38549333
9933	2406284
9944	5394828
9950	69328526
9951	25140668
9954	5721081
9960	22325233
9961	5453763
9986	6497147
9990	51470765
9994	1217969
10007	12016657
10018	314509
10021	26291414
10026	47527131
10052	6645283
10054	25733960
10061	24286637
10070	51501638
10071	9454358
10075	3536081
10076	25488344
10079	5589935
10086	54837377
10088	42226571
10091	22331
10107	46413771
10112	25457868
10120	1157879
10121	6367804
10122	5647397
10123	3004615
10127	68680018
10128	2987086
10133	53236085
10134	15700679
10143	16461035
10145	5664645
10167	2568740
10171	2138625
10172	15234238
10187	26150349
10195	14761998
10203	45602407
10204	52228508
10205	41289134
10206	5919149
10212	25561480
10233	2954742
10245	32843495
10254	8527801
10262	5523944
10264	4431477
10269	14057923
10276	10939784
10286	37765006
10287	5843642
10296	3548735
10301	52410436
10306	45718183
10307	5342378
10317	56776325
10322	64947618
10323	759616
10324	35437280
10331	39400096
10335	44214036
10336	5468625
10341	13202752
10347	15686116
10350	59934909
10356	4983680
10357	16298518
10363	48245150
10374	57989290
10376	5054235
10405	13180667
10406	44851361
10410	6436602
10436	7503501
10444	54933619
10447	45076961
10462	32488
10472	55757906
10479	6622429
10488	45366698
10489	45367183
10493	32724087
10540	89385
10546	49980460
10561	1016348
10566	23209
10567	31509976
10607	21732596
10608	42225106
10610	42224956
10611	42224802
10613	42224508
10633	20908449
10651	7074891
10664	5101935
10665	3863473
10670	44801
10672	3505767
10685	5079348
10694	52801834
10704	3577687
10713	52116023
10716	6068578
10718	52113181
10722	52090700
10727	2037497
10739	51638219
10743	19694381
10765	19307458
10766	56840343
10772	20241117
10806	879157
10814	683888
10819	20048749
10833	57920822
10838	17604751
10844	677242
10845	7695722
10872	20093268
10891	32937030
10900	6763785
10907	20379416
10908	20600721
10912	13389496
10914	16400224
10918	57602138
10919	1184136
10925	17578689
10928	23849440
10935	43999162
10936	15566538
10938	17257557
10967	6504900
10969	48986850
10977	36256268
10980	1607174
10983	3186460
10997	51528518
10998	44294739
11004	22190979
11009	47154650
11011	4107
11021	301309
11023	5627
11031	4922320
11032	14863714
11036	6942941
11038	58513
11040	45491060
11053	49342837
11056	3043175
11060	4932280
11067	12917900
11069	1221895
11075	939061
11077	13036537
11089	49372933
11093	658427
11099	14738891
11101	4174733
11102	4382180
11106	1127841
11109	2415113
11114	615572
11120	5322831
11123	10343
11124	60080925
11125	5597627
11129	1263673
11131	51058145
11140	5135661
11141	7292
11163	6003569
11167	3520011
11172	152722
11173	6960648
11177	6147534
11188	3004819
11193	8495081
11195	5811107
11197	540216
11209	5823734
11214	23312546
11216	6608631
11217	5351002
11225	21837143
11226	6588018
11228	6096833
11233	666016
11236	17843140
11237	6946511
11242	17307265
11249	1591028
11263	19328504
11289	6502799
11291	1139736
11297	7344033
11299	17727670
11301	6465003
11306	51286254
11310	661124
11311	51236489
11320	22867316
11322	69009026
11326	1360445
11329	6683253
11331	25183926
11335	10437362
11343	32916728
11344	4643241
11349	3283310
11351	3577687
11366	32810044
11371	4258952
11374	19208955
11378	3242946
11379	3327150
11386	28553110
11396	6083828
11399	1261206
11400	20015349
11410	3590243
11414	16312269
11415	4231892
11417	2846536
11419	5476496
11425	4359870
11433	15764966
11436	55769
11443	6352224
11445	13460437
11458	21814012
11459	5309309
11463	6946695
11464	15698216
11465	7530593
11481	13577727
11482	5628582
11484	49249231
11486	2155029
11487	891272
11490	20713808
11491	2166102
11493	49749304
11498	258164
11499	22811436
11500	14741268
11503	2281038
11504	5710178
11505	12345515
11507	2130431
11511	5275332
11513	2267517
11516	3340614
11518	11373011
11524	6976757
11527	2042586
11528	3369967
11529	2108706
11541	3467018
11542	22524090
11543	1773886
11544	3542027
11546	1906467
11547	25475172
11548	3956100
11555	1554178
11561	3145854
11574	45974471
11575	17847929
11579	4050980
11582	45374482
11585	21590540
11590	2149014
11591	2740922
11614	53467091
11617	2824712
11619	4230445
11620	16133963
11625	2344571
11627	306961
11628	53444886
11636	19652969
11638	8151136
11643	1070286
11646	2096938
11647	2602943
11650	2096938
11652	15135654
11653	4366920
11656	1785268
11657	2096938
11659	15171259
11661	53585617
11670	5400429
11671	4675447
11679	13216464
11680	11943542
11685	6135170
11691	63664769
11694	1600390
11695	37999698
11696	16362396
11704	55900193
11713	16363440
11716	6524512
11726	16070155
11727	22243525
11728	57478370
11732	4691056
11734	4732882
11739	37188196
11741	17843140
11744	4780624
11747	4753992
11765	56525629
11775	25431987
11780	14590209
11783	17470573
11786	16831837
11787	2378262
11789	37091901
11800	22281592
11801	645249
11805	37079409
11807	3433072
11810	5241399
11812	6638655
11821	574046
11825	316259
11826	37079409
11827	14891853
11829	4791459
11831	21398638
11832	4825526
11842	25933493
11847	29028644
11856	7378969
11873	22360933
11893	785221
11897	4888680
11900	25191437
11908	52846626
11911	52841177
11912	25632743
11913	2659081
11917	383328
11922	2662629
11924	26833074
11935	56556740
11938	52767350
11940	11974271
11946	44040776
11948	6929560
11954	2231740
11963	124509
11964	47209847
11969	58662078
11987	1294635
11996	20105
12003	43208760
12008	5065662
12011	49937355
12013	1954149
12016	48980485
12019	2724823
12020	25090322
12024	54648627
12025	569238
12027	5752384
12035	1396388
12037	6838416
12038	41136470
12039	3319349
12041	1386158
12045	35487154
12046	5410098
12047	55225340
12048	482171
12049	4785396
12050	13719908
12054	56982801
12060	378213
12064	45362969
12069	4454970
12073	6929560
12083	15753958
12087	5132557
12088	68169529
12091	2418999
12092	2180612
12095	1755326
12100	2035169
12102	370909
12103	1184452
12106	9253471
12109	675026
12111	3474536
12116	2913569
12125	1660270
12131	6983598
12136	5958356
12137	4533048
12146	115687
12157	40309379
12163	49010810
12166	22550169
12179	1157879
12210	746997
12211	45976965
12212	45973842
12222	29693
12266	23907220
12268	64898824
12269	6091601
12275	951057
12293	17305312
12294	746997
12305	9605298
12316	3538031
12325	52873435
12327	5030506
12331	2096938
12334	5683945
12341	1609171
12345	14951938
12350	23818234
12351	3422056
12354	5692530
12370	5506772
12379	26471679
12383	371280
12384	1544729
12387	48882514
12388	2018841
12389	27221664
12391	4199322
12396	1924018
12402	38900568
12404	1529157
12415	53736580
12417	8937113
12421	1529157
12426	23727218
12428	1388016
12429	1388016
12430	1388016
12431	1507508
12434	1099455
12435	5161409
12452	47657994
12459	22592759
12463	5451527
12464	2942047
12468	4587281
12469	2686537
12470	130325
12478	53710464
12484	24549740
12485	2228097
12490	1255722
12491	2047997
12493	1987212
12497	5525827
12500	2984304
12501	1871977
12502	44313377
12513	53736648
12515	31904811
12517	949240
12527	11491525
12530	27238103
12531	4250742
12534	4255012
12536	29279700
12551	3731409
12553	23271881
12556	2889667
12570	47387934
12574	1951193
12575	27782937
12576	34598825
