geneid	dist
582	67443733
602	386
633	9038535
636	153
991	24247031
992	4125495
1024	4107215
1274	14611508
1325	20864452
1430	30310442
2010	59547097
2011	59591470
2014	59548119
2929	470
3124	2881641
3150	449
3152	4489640
3159	4573602
4104	34059096
4208	2287712
4378	59778896
4544	52866106
4546	52866106
4548	10702757
4714	10702757
4716	61977228
4741	20362492
4772	2287712
4828	2287712
4841	2287712
4856	1699917
5007	21586508
5051	51997838
5059	47649402
5085	52137537
5098	47480896
5143	17143040
5151	5798265
5161	49198336
5197	9891653
5198	6661860
5216	7770871
5234	19562035
5242	47691022
5249	49005285
5266	35211704
5280	49302909
5291	8075448
5302	10912084
5331	35364252
5345	6068142
5362	51977951
5369	8498221
5397	6442920
5401	9798628
5467	47143028
5468	6457921
5470	25528623
5471	52722521
5505	9180718
5506	48513128
5522	28696219
5546	11471237
5557	6098906
5562	6369793
5599	50702227
5608	553720
5631	308
5654	14672672
5659	23082245
5670	14867080
5691	45390768
5697	5301250
5705	33030288
5730	9510447
5740	8145963
5748	5216910
5780	14110302
5785	34508891
5798	11450770
5820	670586
5837	9789664
5841	10355944
5843	13473858
5854	7136760
5874	10140091
5877	6696858
5879	21841768
5895	10262517
5898	45711298
5913	302113
5914	28436801
5916	7198834
5921	50771452
5930	26934576
5939	608746
5951	50523362
5977	35364252
5993	3875530
6004	33373563
6012	46162771
6023	53894570
6050	50483436
6054	6724328
6055	10038228
6061	19592
6095	8725321
6101	44707920
6117	35785696
6120	33581364
6121	709432
6137	62859614
6144	1184606
6160	43408281
6179	25050657
6198	24227515
6201	9798628
6204	11412256
6206	15788894
6215	46141068
6228	25102869
6230	14054533
6253	3180167
6266	28023360
6267	17475334
6276	15409176
6278	5706384
6287	10070761
6290	10219235
6291	3300470
6295	10140091
6304	11531581
6308	43539526
6316	8637651
6329	46162771
6338	49006139
6351	13930982
6360	43634216
6390	20636871
6401	12550208
6416	26361809
6441	22738904
6469	46815871
6470	12550208
6504	33770894
6514	21925117
6538	11911222
6552	22739602
6567	10950426
6597	20344858
6658	18283661
6663	33956066
6667	7267820
6676	3659337
6689	26359819
6709	8966680
6722	24817775
6723	26899393
6731	47782663
6745	47721984
6760	231965
6764	9417518
6771	10311897
6784	4451515
6795	6457921
6808	6541055
6809	23150524
6813	17818
6816	49049811
6820	29101044
6821	9773409
6826	28497094
6834	29028596
6839	6474417
6850	5843710
6855	17818
6861	12550208
6863	8533725
6890	19948050
6898	47842036
6905	45906415
6913	5843710
6916	4681851
6917	43504361
6918	12143919
6920	47744301
6923	8545624
6926	28426484
6931	33304430
6936	5816799
6938	5816799
6939	49729385
6946	1755662
6952	7875004
6953	26407437
6974	4329848
6986	46992321
6987	19719808
6988	43937067
6990	8700880
6997	16089453
7005	50959463
7007	20525029
7013	7836057
7014	50562836
7045	28969389
7052	34327563
7057	28468596
7058	7029968
7066	51977951
7084	49086293
7094	5816799
7108	12085660
7114	31838020
7119	42130352
7144	405113
7151	12006277
7158	33558693
7162	12122520
7166	3190998
7179	15473600
7183	48325023
7190	43191823
7222	7377449
7237	25446815
7258	5652052
7264	37065198
7299	17907943
7301	43723564
7327	3132781
7333	31714064
7338	40880872
7346	36683118
7353	37459333
7385	27070170
7387	25881566
7411	26924591
7425	242211
7426	25222269
7428	29802087
7430	25120218
7435	5816799
7443	22888124
7455	24522826
7461	25770634
7462	39838030
7496	2714137
7497	28315694
7498	39460725
7499	36099141
7503	20350235
7511	25887828
7525	5505307
7536	22442759
7540	47716692
7546	12549402
7583	30273595
7590	45997055
7595	27041054
7606	31747182
7611	33500057
7621	16053891
7637	48025814
7648	12300935
7649	50654916
7659	37495879
7688	12421378
7692	32048011
7701	29719259
7709	30079591
7714	33641
7719	30066536
7733	1175236
7738	23704297
7739	36805260
7741	6883302
7760	22554029
7761	43717037
7773	35045097
7776	47667759
7777	5039744
7783	10200930
7791	19584139
7808	12550208
7816	11464256
7832	7155845
7834	28285131
7854	706181
7882	7979205
7883	36714430
7887	36052663
7900	9907857
7907	5843710
7910	26939631
7918	23230711
7919	11695530
7923	50860981
7926	11458223
7931	47640467
7933	8958773
7938	34300455
7983	30003260
7987	18934989
7988	5843710
7993	26828628
8002	5843710
8013	26192419
8018	24697861
8019	47606403
8029	30402357
8031	11157919
8042	14778175
8044	24745511
8061	11749233
8071	48573385
8074	21237301
8082	11987137
8083	47702309
8090	14421618
8094	32080490
8096	27542716
8097	22764050
8101	4481754
8117	41054359
8120	51447804
8143	19815258
8147	26033683
8148	20502581
8153	21353878
8160	50714242
8163	26813591
8164	3995632
8170	2660584
8172	5081759
8184	10140091
8189	24566387
8203	27531460
8207	642756
8219	24674673
8229	5816799
8234	23546402
8236	3685555
8244	1578748
8245	24616025
8247	26189624
8255	19068632
8286	16349120
8297	25076268
8312	12195865
8317	28413102
8321	12733146
8332	16405464
8336	25528623
8337	9938560
8338	42365546
8339	42324889
8360	25855017
8378	25472949
8394	33146319
8397	24704046
8411	19848286
8413	3920
8417	1964622
8431	14903555
8438	25120218
8441	19719296
8447	34206813
8450	8284861
8455	5456
8458	6450463
8459	11687468
8462	863090
8463	27337872
8465	24295984
8489	43337374
8500	26193726
8510	12439753
8526	1391297
8553	48512618
8557	11036693
8561	1685229
8562	20341482
8571	15791017
8577	13886623
8582	18838256
8589	8825257
8600	11330912
8603	31674593
8623	13838192
8625	24472024
8635	31090462
8641	9994945
8657	20281581
8659	15519433
8660	9490443
8662	11593752
8663	15652090
8665	25218608
8673	24545784
8674	24096644
8675	36017698
8691	19899726
8698	5386967
8702	9665
8708	8657715
8709	1533791
8710	2282133
8716	20184476
8723	9728470
8731	35327172
8742	7125335
8745	23553238
8746	26819108
8751	25396057
8761	17721578
8768	14732467
8771	11177956
8775	47817862
8789	40707015
8792	14843739
8795	11551088
8796	29594837
8805	22169947
8832	52239964
8833	16515874
8853	8328568
8885	8227167
8898	8257627
8921	5517701
8928	22163706
8950	7172082
8965	11591854
8969	15136187
8973	18444879
8974	15019309
8986	19276553
8994	57040203
8999	22921502
9007	16545200
9012	52397568
9019	12401669
9020	27853270
9026	5610711
9027	16108564
9040	18217561
9043	24950631
9045	53282955
9047	14033322
9052	27736598
9067	19030792
9077	56451198
9079	21246567
9094	23946407
9095	27070797
9106	6883302
9108	6309337
9119	23596083
9132	1751864
9155	29142076
9173	2542743
9178	58034255
9182	15519433
9195	15126949
9196	25780207
9203	15638731
9209	13040368
9214	8944523
9216	16377869
9226	24462357
9228	21172246
9232	3116808
9238	14435403
9248	20633300
9251	21671285
9260	62695412
9265	50456143
9267	38349207
9269	5199575
9270	59281131
9287	18096224
9288	30387009
9299	15537330
9317	5984585
9324	15785587
9327	30482753
9338	8871162
9341	63114477
9345	26971833
9348	3204188
9367	14318193
9383	30381695
9385	14611508
9403	31206463
9405	64156487
9408	60682293
9409	21566166
9411	20844118
9412	55051693
9414	20843391
9415	20794742
9438	23222
9440	17047098
9449	4441019
9458	57021968
9466	64015918
9474	15791017
9485	3264840
9495	4471693
9504	63878263
9513	26914652
9519	8451337
9534	25684723
9539	4874009
9541	21260106
9554	1035
9574	14198550
9575	7623709
9577	4835983
9578	5275723
9583	6143263
9587	8471803
9588	24615692
9596	21368791
9600	8914306
9602	55336340
9603	21357292
9617	6406834
9621	8062861
9625	21064259
9633	57605916
9636	22596518
9638	8353316
9648	15479803
9652	59057777
9655	33617282
9657	8886135
9659	20791606
9661	7967055
9668	6630390
9670	16698381
9678	7967055
9683	25146007
9692	19321902
9716	4712414
9718	8116225
9721	3580449
9722	18328340
9725	3831892
9729	59224549
9732	8539311
9735	23513030
9741	8736418
9744	28647042
9745	63037040
9748	8151184
9751	6442920
9752	20099175
9758	18493022
9759	18488922
9770	18807978
9772	19877073
9774	22743665
9779	14154952
9790	34143
9793	25639941
9794	14036582
9806	22560279
9808	25161532
9811	23396883
9813	2100
9821	10082726
9846	11478531
9851	3151249
9852	24510374
9853	27925813
9864	9473488
9878	62306201
9880	22662903
9893	6474417
9897	3682361
9902	266759
9922	26233474
9930	9030689
9933	485655
9943	58399179
9944	9390402
9950	1398627
9951	7703950
9954	15829420
9960	25069801
9961	9427318
9963	15119642
9986	14438307
9990	22706101
9994	20883699
10007	20475117
10008	8491964
10018	27330030
10021	9499470
10026	19706878
10033	9526481
10037	14444542
10052	65462536
10054	8392554
