geneid	dist
992	16964822
1024	16838886
1325	803422
1430	24641016
2011	63591440
2929	736
2932	9698506
3124	3578660
3152	9698506
3911	45328292
3990	38987706
4104	35102578
4208	21346640
4378	14288178
4416	45033
4448	25537432
4475	33885018
4544	3790330
4546	3790330
4548	8630543
4714	8630543
4734	25537432
4750	25537432
4772	21346640
4827	25537432
4828	21346640
4841	21346640
4867	45033
4881	40195511
4901	45383763
4919	46292757
5007	36486731
5051	25774805
5059	24335494
5085	31632
5098	24259966
5143	24895432
5151	26870429
5161	25044019
5197	46636705
5198	2873356
5216	28023886
5234	49504235
5242	24390932
5249	24905047
5264	13418695
5266	30271466
5280	25102824
5291	28107451
5302	41014522
5305	28067757
5357	8026474
5362	25941311
5369	28293990
5401	46654369
5467	7994645
5468	50742894
5470	49311497
5471	574918
5505	47050065
5506	24672142
5522	44232685
5546	52523310
5557	27116528
5562	27266672
5597	52466668
5654	22608983
5659	40634804
5670	8738132
5691	6925956
5697	26605161
5705	8111889
5740	51653651
5748	26581405
5780	51763137
5785	12165342
5798	52513820
5820	44369557
5837	46679480
5854	51048417
5877	50832582
5879	41747458
5898	6896549
5913	21737279
5914	44122047
5916	51116229
5930	43726212
5939	41441402
5951	468715
5993	45512783
6004	9022465
6012	10005827
6050	491112
6054	50843014
6061	49987297
6095	51849588
6101	7176085
6106	7021387
6117	1792217
6120	32870714
6121	44386682
6137	4673212
6144	28929037
6160	201206
6179	7161159
6195	18196948
6198	42745374
6201	46654369
6204	52499631
6206	44181090
6215	9968567
6228	7209372
6230	43015701
6266	5627519
6267	50614651
6276	3310635
6278	26803782
6291	13795012
6304	52553494
6308	303148
6316	28419220
6329	10005827
6338	24911323
6351	51936127
6360	436948
6391	18228072
6401	15393713
6416	18256909
6429	19805545
6441	40437336
6470	15393713
6474	13921847
6514	39872206
6538	43802899
6552	7998516
6567	52379461
6597	7505250
6653	20866093
6658	17520335
6663	9937063
6667	35805814
6676	15298166
6689	6652018
6709	47178817
6723	43704842
6731	24451656
6760	41604989
6771	52154340
6784	10217257
6795	50742894
6808	27382019
6809	40667015
6813	5142745
6816	6830982
6820	4770924
6821	46727800
6834	2106
6839	50753455
6855	5142745
6861	15393713
6863	13993438
6890	9394774
6891	14759691
6898	11367147
6905	12276832
6916	50020406
6923	19293272
6931	1695470
6936	14434309
6938	14434309
6939	5387602
6942	14434309
6943	14759691
6946	29233653
6952	51480336
6953	18512417
6974	10325339
6986	11795644
6987	18329846
6988	13352610
6990	19345767
6997	4584622
7005	5680685
7007	8985065
7013	51448915
7014	92158
7045	4862422
7058	50977005
7066	25941311
7084	6743367
7094	14434309
7104	42973597
7108	19920
7114	44018523
7119	14302363
7144	41521900
7146	14434309
7148	14434309
7158	9045523
7166	8563935
7176	1746250
7179	11520975
7183	8756090
7190	47073
7222	18761846
7237	19514132
7258	46062216
7264	16553682
7299	22358026
7301	13529074
7306	7081732
7327	26924450
7338	14847342
7346	6355252
7353	1437238
7380	14759691
7385	28223890
7411	16092353
7425	41546977
7426	29711264
7428	16758201
7430	19547043
7435	14434309
7443	40530240
7455	1445967
7461	10497
7462	15104436
7496	26755357
7498	345194
7499	6215699
7503	18688950
7511	28900077
7525	26716138
7536	8199290
7540	11424727
7546	9474084
7580	2863988
7583	2936323
7590	12250788
7595	16052530
7611	1825875
7637	11305038
7648	9313774
7649	57142
7659	16303728
7688	9401583
7701	16768126
7709	7992879
7714	49964391
7719	16546479
7733	49503812
7734	14434309
7738	31533177
7739	16588633
7741	50903060
7760	40356902
7761	482495
7773	30347339
7776	11470883
7777	26530193
7791	49446788
7808	15393713
7816	4718081
7829	10123515
7832	27835561
7834	4053125
7854	49649820
7882	19038196
7887	6187286
7900	46618103
7910	2667241
7918	31826133
7923	5750949
7926	4769214
7931	11479035
7933	19554496
7937	5000281
7938	2338588
7983	28159377
7987	17845866
7993	16153365
8006	8839259
8007	28223890
8013	18550878
8018	29616733
8019	11126155
8029	27824642
8031	52424236
8042	3392645
8044	30317402
8074	8036355
8082	32795918
8083	11457506
8096	3237453
8097	40451550
8101	10181039
8117	14786369
8120	26081065
8143	13865191
8148	4368740
8153	8097940
8163	16199887
8170	44973813
8172	9751310
8189	31895448
8203	15781638
8207	49697170
8219	30344354
8229	14434309
8234	31612969
8236	45409944
8244	647850
8245	30448662
8247	28602984
8255	13510121
8286	11984147
8297	7068657
8312	9231804
8321	9591389
8336	49311497
8338	13122414
8360	19703999
8378	29203414
8394	8973989
8397	29662085
8411	13881738
8413	3202012
8417	49046444
8430	31651816
8431	8765692
8438	19547043
8441	13830943
8447	32888472
8450	28166688
8455	34316481
8458	427836
8462	44447008
8463	15933973
8465	30669610
8488	3994118
8489	13756463
8500	15470130
8505	32100186
8519	36486731
8526	29104259
8547	10942870
8553	8691327
8561	22316549
8562	14061385
8563	28225727
8571	11694000
8577	10457154
8579	31324453
8582	2494797
8600	4894503
8623	14569495
8625	38548602
8635	4260980
8641	35234923
8656	34820914
8657	14023525
8662	4451976
8663	24093496
8673	16488095
8674	30808826
8675	2899873
8677	32080656
8691	3784605
8698	9592907
8702	31990204
8709	49287727
8710	22630392
8716	3960571
8723	1075
8730	24583460
8742	51034811
8745	37139621
8746	15004197
8751	29348125
8759	32702059
8761	9931697
8768	10952362
8771	21937920
8782	33885018
8789	14934975
8792	8724905
8795	52563466
8796	41722811
8805	1854465
8827	24583460
8832	15234583
8833	12048049
8850	23990273
8853	28187887
8862	24583460
8885	24587780
8898	24607409
8919	12726082
8921	9550753
8928	48468497
8950	51087469
8964	44370064
8965	43923811
8974	12989905
8986	3066217
8994	6242923
8999	31981877
9007	12067093
9012	15305664
9019	9380161
9020	38523535
9027	23557480
9040	1896928
9043	37519848
9045	15847891
9047	10625044
9052	38467033
9067	2609286
9077	17539504
9079	26826640
9094	30962064
9095	27447010
9106	50903060
9108	156038
9119	37162400
9132	49229694
9155	39026897
9173	22664671
9178	9641879
9209	52167512
9214	47220281
9216	51293952
9226	16550773
9228	16085
9232	45103046
9238	2097753
9248	8450993
9251	2350919
9260	12163346
9265	533427
9267	43685599
9269	36080984
9270	10324553
9287	9186765
9288	39384590
9291	32123218
9317	38567
9327	39413707
9338	25083972
9341	1156548
9345	16077987
9348	45172554
9367	23016529
9383	39376511
9407	2234409
9408	37697509
9410	2854198
9412	2234409
9414	48998658
9442	8737144
9448	14266355
9449	47794885
9466	1818050
9474	11694000
9485	8315941
9495	47761010
9504	1684024
9519	24746125
9534	28953756
9539	50116117
9541	27004693
9554	28223890
9574	11472793
9577	8385202
9578	9667742
9583	50580830
9587	24755386
9588	16454338
9600	25120725
9602	16921537
9603	26921231
9617	39156697
9621	51597932
9625	26645181
9636	1121767
9638	8075
9648	645908
9652	10015918
9657	25091641
9661	51541572
9668	23514856
9670	31428780
9678	51541572
9683	29825651
9692	3123128
