geneid	dist
559	3681
563	3889
564	4933
568	5075
572	6863
575	7687
579	7521
582	7360
590	6680
594	5828
602	5417
605	5127
614	3550
619	1738
621	1213
624	1140
636	151
971	13713
992	17376105
1024	17350597
1329	16903453
2010	2068341
2011	2055546
2014	2067399
3154	45016392
3159	444663
3901	6403925
4012	40714415
4500	40714415
4525	65393925
4527	64224603
4533	14178213
4543	47458651
4544	47341748
4546	47341748
4610	14178213
4768	40714415
5009	6403925
5059	24113075
5085	23500582
5098	24460945
5143	20785533
5151	27241429
5161	21207520
5197	2482251
5198	28305990
5216	30022717
5234	18500157
5242	19316389
5249	20812554
5264	30142872
5266	36092078
5280	21307198
5291	30371870
5302	28414960
5305	24748479
5331	35857528
5345	27553326
5362	23921025
5369	30871161
5397	12106696
5401	2576109
5467	7462936
5468	12126266
5470	17693324
5471	49679906
5493	30124711
5505	3287650
5506	20165344
5522	17370443
5546	17438151
5557	27593632
5562	27921266
5597	17355659
5599	49288816
5608	17640721
5659	4608991
5670	40608994
5691	329655
5697	26397634
5705	7758923
5706	13091118
5730	15702758
5740	14201604
5748	26328553
5780	20821805
5785	37407212
5798	17419821
5820	17742570
5837	2603145
5841	16294705
5843	19971852
5854	12945729
5877	12401537
5879	7906958
5895	16175727
5897	15917035
5898	146249
5904	15761093
5912	6872671
5913	17386719
5914	15717749
5916	13019113
5921	49049274
5930	14051974
5939	6859896
5951	49386150
5977	35857528
5993	21270216
6004	39403746
6012	6380231
6023	50991656
6050	49419310
6054	12431653
6061	10149599
6095	14842410
6101	219276
6105	6636726
6106	9778470
6117	53159365
6120	38838322
6121	17797070
6137	6251114
6138	211444
6144	32751458
6160	52692399
6179	41671311
6195	16081949
6197	15988764
6198	10720521
6201	2576109
6204	17385457
6206	17245246
6215	6366083
6228	41726913
6230	31956771
6264	15875439
6266	44768382
6267	21601438
6276	33590154
6278	27070100
6290	16138547
6291	2602
6295	16061964
6304	17513986
6308	52584720
6316	31035719
6338	20813182
6351	20579215
6360	40774734
6390	36664689
6416	15974865
6441	16735531
6469	7052890
6474	17726231
6504	38687048
6514	2609584
6538	29572911
6552	39177478
6567	16899301
6597	38412870
6639	21504383
6658	33863573
6661	15478579
6663	21701972
6665	15926413
6667	13099694
6676	19271965
6709	3555832
6722	41397772
6723	14018261
6731	19428997
6745	303521
6760	5376129
6764	15636638
6768	15924054
6771	16243296
6784	19556408
6795	12126266
6808	28120215
6809	4686262
6810	15998873
6816	4068018
6820	907772
6826	202990
6834	854235
6847	2367530
6850	21524593
6855	1585224
6863	14640709
6890	17918985
6891	21446227
6898	5642107
6902	21504383
6905	7773982
6913	21518471
6916	10214745
6917	10572296
6918	22624567
6920	5859738
6923	14950411
6926	102449
6931	21432492
6936	18667
6938	21435290
6939	3486628
6943	21413041
6946	33523403
6949	43928
6952	13790690
6953	20572390
6974	19686125
6986	6558610
6988	10002265
6990	14652364
6997	34374372
7005	1872452
7007	36503892
7013	13730914
7014	2306743
7058	12806489
7066	23921025
7084	4004468
7098	10623
7108	34719592
7111	146213
7114	23647549
7119	11863535
7144	7090934
7151	61329
7158	38850328
7162	22595988
7166	24509560
7179	30655285
7183	34092
7190	52896827
7222	16165153
7237	21455828
7258	22957996
7264	17421157
7301	10252841
7306	23390380
7312	2367530
7327	18719265
7333	23795457
7338	13245890
7346	17616383
7353	54783612
7380	12597
7385	15597119
7387	20991784
7411	19809124
7425	7385041
7426	13775967
7428	25740943
7430	13656467
7435	29765
7443	16992959
7455	22525828
7461	21172229
7462	14283471
7469	24182016
7496	18757446
7497	28379007
7498	56927069
7499	18398939
7503	36306899
7511	14481280
7536	38565390
7540	5727726
7546	34177507
7562	22586852
7580	18670699
7583	24947370
7590	7695120
7595	19714506
7606	23739084
7611	21308561
7621	30074544
7637	5397448
7648	34498436
7649	2219561
7659	16682418
7675	28301392
7688	34263523
7692	23384789
7701	25797829
7709	25248364
7714	10076264
7719	25280938
7733	8922832
7734	28595
7738	11796433
7739	17467819
7741	12623176
7760	16452575
7761	40875173
7773	36343991
7776	5820285
7777	26046120
7783	16120963
7791	18368142
7816	383746
7832	28907403
7834	28415090
7854	9322108
7863	24130068
7882	15461025
7883	17545331
7887	18418225
7900	2464792
7907	22490531
7910	30428185
7918	11242762
7923	1997556
7926	435016
7931	5834178
7933	14547146
7938	20625443
7983	15698636
7987	34714557
7988	21524593
7993	19951543
8002	21518471
8007	15538944
8013	20630465
8018	30015600
8019	132221
8029	16175227
8031	17137463
8042	32878544
8044	13243075
8058	15914590
8061	29619
8071	46613065
8074	37609845
8082	2608979
8090	159961
8094	23347812
8096	29750218
8097	16765269
8101	19529570
8117	13111347
8120	24992854
8143	26120757
8147	30649515
8148	7877859
8153	37077721
8160	49186541
8163	20021295
8164	21351930
8170	19903522
8172	19110004
8189	29856462
8203	19168700
8207	9459744
8219	13141041
8229	2130
8234	11623209
8236	21011248
8244	23570967
8245	13065775
8247	14830328
8255	27898847
8286	29784587
8297	41699309
8312	34509125
8317	28187767
8321	33923593
8332	29645069
8341	13713
8360	21014007
8378	14052543
8394	39591666
8397	30026028
8411	26087561
8413	29850453
8417	7750735
8430	542450
8431	40567379
8438	13656467
8441	26286206
8447	3654322
8450	30632912
8455	7207540
8458	3896800
8459	202857
8462	17990086
8463	19462759
8465	12625916
8481	7786634
8489	10618383
8500	23090492
8505	1600490
8510	34245089
8526	33038606
8553	4790800
8557	11221443
8561	18659975
8562	25551530
8563	1772916
8577	32586754
8579	9222
8582	5510026
8591	15902042
8600	553079
8603	23876571
8623	28298014
8625	29757313
8635	48149707
8636	2370392
8641	9832733
8653	19590611
8656	8598406
8657	25624817
8659	19543563
8660	15686336
8662	348905
8663	19670782
8665	13772094
8673	21225396
8674	12238813
8675	18493512
8677	1588735
8691	7088370
8698	18426314
8704	22482939
8708	357771
8709	8253309
8710	18132889
8716	7484802
8723	9850871
8730	8920840
8731	35940777
8742	12934896
8745	14781817
8746	23845055
8751	13972114
8759	3285917
8761	4262122
8768	31809377
8771	11044055
8775	19501541
8782	6018008
8789	13584378
8792	19154174
8795	17569276
8796	25981685
8805	27056347
8827	12945919
8832	572975
8833	29554213
8853	30683344
8885	952518
8898	928969
8919	5139812
8921	18335205
8928	15068673
8948	19056821
8950	12980660
8964	38378770
8965	29272231
8969	19152905
8973	27955679
8986	6133111
8994	5436529
8999	27958558
9007	29475354
9012	971154
9019	34362886
9020	18968730
9026	5536926
9027	20141570
9040	4783540
9043	16131069
9045	1449173
9047	32400961
9052	18812412
9067	5741358
9077	4872210
9079	26004840
9094	12062830
9095	18208838
9108	4052910
9119	14828978
9132	8176231
9155	20251244
9173	17957666
9178	6593900
9182	19557327
9196	14426135
9203	19653363
9209	19518763
9210	19079550
9214	3593040
9216	23299181
9226	21168701
9228	25948648
9232	20360825
9238	372530
9248	51636052
9251	26539440
9260	11750405
9265	49475857
9267	34836876
9269	6427216
9270	8086272
9287	4730092
9288	21643901
9291	1729787
9299	26046098
9324	19820858
9327	21744977
9338	90145
9341	12245147
9345	19770367
9348	20463623
9367	18208615
9372	12066678
9383	21640819
9400	17530391
9401	17626352
9402	17676061
9403	20424731
9405	15718676
9406	20423685
9407	16830205
9408	22996799
9409	16140427
9410	16394199
9411	16645742
9412	19424215
9413	22260430
9414	16646484
9415	16695821
9417	22871994
9418	21354945
9420	20886576
9424	19488764
9425	18769812
9427	20496647
9429	20248628
9430	17257917
9433	17699035
9434	17299077
9436	9332842
9437	12607661
9438	139312
9439	7666283
9440	13680975
9441	12973245
9442	14847413
9443	14138067
9448	4734411
9449	4731500
9458	5406168
9466	13679724
9474	30612400
9485	23827265
9495	4630362
9504	13115773
9513	30448463
9519	670639
9525	10810345
9534	14331796
9535	10466713
9539	10463393
9541	26028918
9554	15081732
9574	32152242
9575	1866190
9577	10398196
9578	18695939
9583	11732614
9587	611793
9588	21307188
9596	26172105
9600	2438
9602	3796379
9603	26151540
9617	14753944
9621	14103150
9625	25793382
9633	6086018
9636	10277532
9638	799096
9648	33639528
9652	7821088
9655	38797556
9657	44135
9659	13979909
9661	13915886
9668	3328986
9670	20849571
9683	13675667
9692	6223311
9716	7016576
9718	1095639
9721	13940320
9722	22683389
9725	16594079
9729	8024466
9732	545219
9735	20098400
9741	10128424
9744	17310320
9745	12161092
9748	1071668
9751	12106696
9752	17712280
9758	5104222
9759	38575819
9770	38288628
9772	7056888
9774	60984
9779	20874909
9790	11798941
9793	16831926
9794	17875732
9798	5029152
9806	14711613
9810	27414318
9811	14634973
9813	4759548
9821	169771
9827	5003538
9846	371425
9851	20409314
9852	12873985
9853	19054159
9864	14068960
9866	19640125
9878	11330504
9880	10331862
9897	16722524
9902	9847429
9922	14872148
9930	14176723
9931	9560208
9933	9539639
9943	9502342
9944	3046054
9950	19139126
9951	1757400
9954	19877028
9960	13641009
9961	2990333
9963	19114102
9986	18398093
9990	16659570
9994	8353807
10007	7843209
10008	592917
10018	15975109
10021	2934314
10026	35585453
10033	2919784
10037	377527
10054	765970
10061	9035553
10070	16500693
10071	6332666
10075	7762756
10076	1127795
10079	2784057
10086	53159365
10088	22704296
10091	21118367
10107	29169061
10112	1348853
10117	32184196
10118	2789211
10120	2713746
10121	17561696
10122	2681953
10123	6275940
10127	17765346
10128	19462759
10133	14011396
10143	16693184
10145	2603145
10156	236802
10167	9126317
10171	34617449
10172	19348443
10187	336103
10195	20123464
10203	27428876
10204	49518620
10205	20585070
10206	13636018
10209	16645760
10212	1031648
10213	48765111
10228	17294287
10233	6140085
10236	27704222
10240	38149143
10245	47178608
10254	37973183
10262	12176533
10264	4815712
10269	21883550
10276	30464652
10282	49067821
10286	12712159
10287	13025280
10293	13209494
10296	7801350
10298	26813024
10301	49111850
10306	27723940
10307	11590863
10317	87218
10322	32789866
10323	5916076
10324	7636690
10331	15937684
10334	18657315
10335	23519057
10336	12020760
10341	23997742
10346	35227335
10347	18344155
10350	32940694
10356	3641505
10357	17135428
10359	6002835
10363	11309749
10374	3267664
10376	3593040
10385	48990028
10393	54880809
10405	24050879
10406	22220607
10410	44617327
10415	568827
10436	40886270
10444	498778
10447	21322868
10472	7971411
10478	18540696
10479	15237097
10482	19382236
10483	21393205
10484	21154674
10485	20073403
10486	24286144
10489	26891184
10490	27037232
10491	27613842
10493	46875436
10494	27858749
10495	27122724
10496	23774655
10497	29182818
10498	29996745
10499	28255707
10500	27460621
10501	28331359
10505	20776663
10507	33785362
10510	33515554
10513	38583576
10516	39660413
10520	49810875
10522	39588825
10524	40029804
10525	40204087
10528	6672109
10529	7476013
10530	7534689
10532	47328231
10533	7596508
10535	48833454
10536	48939529
10539	321027
10540	50006363
10541	52654568
10542	53098832
10545	56704562
10546	54954978
10549	56029363
10551	53366423
10553	55080182
10554	53773996
10556	48498093
10557	54532224
10558	47825824
10560	103
10562	45741765
10563	41748508
10566	41867677
10567	41994214
10569	41226761
10571	41262269
10573	41339189
10574	41571125
10575	40169090
10577	44659252
10578	38055052
10584	43983337
10587	36577452
10591	32778063
10593	36254965
10596	39349972
10598	30785940
10600	24279074
10602	21626144
10604	19430956
10606	18819043
10607	15686078
10608	22752591
10609	23332079
10610	22752445
10611	22752305
10612	22752131
10613	22752004
10614	22751882
10616	17967466
10619	17193946
10624	15947038
10625	15942392
10627	12386704
10629	12196224
10630	12147421
10631	12118344
10632	15473891
10633	15703046
10635	8278361
10636	4286657
10637	6868075
10639	4104026
10645	14372162
10647	3863718
10651	2160344
10655	777745
10664	3480579
10665	22407981
10670	21176675
10672	7677254
10678	22760107
10680	22824722
10684	30206721
10685	3555832
10693	22978602
10694	48114010
10702	47524742
10704	5321597
10708	48280137
10713	49900488
10716	14192399
10718	49908169
10720	49932495
10722	49936317
10724	49954551
10726	49968372
10727	10526509
