geneid	dist
559	3810
564	5069
572	7017
575	7865
582	7421
590	6738
594	5881
605	5173
614	3569
619	1734
624	1139
636	10417837
992	10021981
1430	2530958
2011	13989531
2929	11623596
3124	91126
3855	13383674
3911	15404429
4202	13383674
4208	10528057
4275	13383674
4374	13383674
4378	10218651
4416	5517078
4448	26335
4475	10410969
4513	13383674
4544	4428218
4546	4428218
4676	11727138
4716	2553798
4717	13383674
4734	26335
4747	13383674
4750	26335
4772	10528057
4827	26335
4828	10528057
4841	10528057
4857	3817748
4867	5517078
4901	5644635
4919	22154341
5051	11513925
5059	4458319
5085	9481640
5098	13029532
5143	810742
5151	11668395
5161	8424680
5198	4614033
5216	16958282
5242	12967012
5249	12707606
5264	79757
5266	5423003
5291	4907066
5302	14614802
5305	4882179
5357	10935813
5362	11541911
5401	5573180
5467	7133700
5470	9939980
5471	17890934
5505	18943420
5506	12878918
5522	3595078
5546	6226157
5562	11618563
5599	4831756
5608	3565167
5654	4955576
5670	5863980
5691	15103585
5697	11696054
5705	9630431
5740	6381070
5748	8562655
5772	7107697
5780	4174115
5785	5604456
5798	6231579
5820	10542164
5837	7759125
5854	11205487
5877	9996359
5879	3999112
5898	173823
5913	1973245
5914	1583
5916	632265
5921	5612812
5930	3704728
5939	8383127
5951	19251411
5993	11542869
6004	5760659
6012	80073
6050	17914190
6054	5631619
6061	17889921
6095	6361521
6101	22567447
6106	12137324
6117	11675367
6120	6641908
6121	10551892
6138	16969175
6144	5181517
6160	3078902
6179	12180171
6195	2659053
6198	298414
6201	5573180
6204	7479039
6206	3618466
6228	12142975
6230	9277813
6267	537092
6276	6965625
6278	6565840
6291	3063463
6304	7221996
6308	3093932
6316	4943972
6329	80073
6338	3639585
6351	4154012
6360	3150332
6401	7624918
6416	583676
6429	10426702
6441	13545974
6469	9539540
6470	7624918
6474	15046259
6504	5780511
6514	9073329
6538	9200005
6552	16694205
6567	6257003
6597	13521451
6653	11527176
6658	2199226
6663	5694152
6667	4425256
6676	477910
6689	12111894
6709	6088686
6722	12188006
6723	13833099
6731	1412076
6745	943427
6760	8486517
6771	6269494
6784	5652402
6808	11596064
6809	3798340
6816	13696725
6820	2543993
6821	14625412
6834	14590906
6839	5659552
6847	186639
6861	7624918
6863	6130413
6890	9887107
6916	17866557
6917	5532262
6918	923709
6923	12073839
6931	11692775
6939	4570383
6946	5186985
6952	6735500
6953	12222352
6974	16594526
6986	8564335
6987	11025800
6988	4776831
6997	15583914
7005	5325324
7007	7832147
7013	4306672
7014	1513739
7045	3117596
7052	11399624
7058	6693384
7066	11541911
7084	15887931
7098	3244611
7108	9263328
7119	5728227
7144	8396797
7158	1056985
7166	2225588
7176	455229
7179	15171488
7183	5613161
7190	6798886
7222	5231060
7237	8829730
7258	11391433
7264	14322488
7299	10168487
7301	4835420
7306	7941405
7312	186639
7327	1818712
7333	11015841
7338	5855937
7346	6513228
7353	11877928
7385	9095430
7411	10925182
7425	8439155
7426	904144
7428	398694
7443	4289425
7455	10848775
7462	5980136
7469	11015841
7496	7364719
7498	12111172
7499	289501
7503	3168938
7511	5708605
7525	11689369
7536	13082933
7540	8522799
7546	9231035
7562	186639
7580	2050085
7583	206102
7590	4128407
7595	3732714
7606	11015841
7611	474468
7637	8490017
7648	10895780
7649	1513739
7659	457071
7688	9245316
7692	3072174
7701	402550
7709	86283
7714	9791930
7719	95004
7733	164251
7738	5023268
7739	14294083
7741	5498924
7760	9518136
7761	11419580
7773	5384339
7776	5932158
7777	11729016
7791	119010
7808	7624918
7816	480647
7829	16564046
7832	5903752
7834	13901929
7863	11015841
7882	7008518
7887	277422
7900	2780627
7918	858785
7919	20940605
7923	5351736
7926	469400
7933	16280847
7937	14468315
7938	11511448
7987	2179414
7993	11939804
8006	5857338
8007	9095430
8013	10763586
8018	6857305
8019	17000842
8031	6240801
8042	13305814
8044	5844195
8061	12292359
8071	21502985
8082	11146272
8083	5922929
8096	3843913
8097	9574429
8101	5656664
8117	5834529
8120	11880603
8148	2793156
8153	2951016
8160	4848404
8163	11928924
8170	4265840
8172	655540
8189	1190646
8203	11117772
8219	808960
8236	11641360
8244	6198790
8245	838663
8247	258382
8255	59585
8286	15220526
8297	12151917
8312	270428
8321	9209197
8336	9939980
8378	220339
8394	5791508
8397	6825765
8413	5123775
8415	15469714
8430	15583374
8431	10220159
8447	10713805
8450	4914081
8455	10091875
8459	12459223
8462	10588385
8463	8154650
8465	5618473
8488	180337
8500	5225597
8505	15716783
8510	6104419
8526	5254560
8547	14629772
8553	15421471
8561	7827485
8563	10865996
8571	702908
8579	13542876
8582	8472420
8600	600687
8603	11015841
8623	2462
8635	11382483
8636	640920
8641	5011725
8656	17427611
8657	4889531
8662	8419968
8663	14474611
8665	4792016
8674	4982120
8675	13308112
8677	15712035
8691	49860
8698	16463692
8702	180337
8709	67672
8710	1955273
8723	13371890
8730	850382
8742	6720139
8745	17280095
8746	4915276
8751	4664868
8759	10754418
8761	8788680
8768	6528461
8771	248427
8782	10410969
8789	5889208
8792	6609469
8795	629578
8796	7889337
8805	7207212
8827	850382
8832	1573075
8833	15234743
8850	5031795
8862	850382
8885	12457561
8898	12463053
8919	308175
8921	16454201
8928	8979667
8950	10074167
8964	18962081
8965	3260326
8974	8785413
8986	7474156
8999	9802975
9007	15242943
9012	1396277
9019	9611501
9020	10250069
9026	18670194
9027	13948654
9040	8372801
9043	10467260
9045	1024187
9047	6621854
9052	10265896
9077	6967613
9079	1375586
9094	9216222
9095	1024697
9106	5498924
9108	18790206
9119	17305015
9155	251031
9173	6294153
9178	576524
9209	4100268
9214	6097973
9226	6157429
9228	8704970
9232	1405333
9238	9104592
9248	14429154
9260	9810
9265	4856845
9267	3652073
9269	6738403
9270	741356
9287	797325
9288	7133884
9291	10840889
9299	186639
9317	1148591
9327	7148383
9338	15737875
9341	2179556
9345	3745543
9348	4307824
9367	14551551
9383	7145105
9408	131
9414	13745343
9442	5822125
9448	4149310
9449	9831525
9458	6303
9466	13856706
9474	702908
9485	7371267
9495	9809410
9504	2086892
9519	18730291
9534	5515655
9539	6732851
9541	1389215
9554	9095430
9577	3263481
9578	6182016
9583	11187802
9602	2629010
9603	8788241
9617	5397
9625	6950617
9636	8534341
9638	12481418
9648	15618094
9652	672075
9655	5868555
9657	15728551
9661	6093520
9668	9887720
9670	2852725
9678	6093520
9683	16074153
9692	7487240
9716	18516535
9718	3744834
9722	2399050
9725	3074882
9729	5991159
9732	11776432
9735	8055961
9741	6152374
9744	3599077
9748	19217491
9752	9898491
9758	8441918
9759	18926686
9770	19200276
9772	1158207
9774	13079264
9779	4186439
9790	42124
9793	14593178
9794	14740236
9798	308175
9806	9105372
9808	917181
9810	3949472
9811	17264079
9813	4305201
9827	308175
9851	1395837
9852	13790406
9853	2903095
9864	9745998
9870	14370828
9878	5970353
9880	10084010
9893	5659552
9902	2093
9922	6466003
9930	16179080
9944	21390641
9950	7874755
9951	4958939
9954	1577528
9960	85008
9961	6628224
9986	8966098
9990	9560758
10007	12854
10008	12498141
10018	10478722
10021	12046186
10026	11023310
10033	21390641
10037	690720
10054	12494885
10061	7923228
10070	9545866
10071	5672563
10075	650283
10076	19230425
10079	9373294
10086	11675367
10088	12823093
10091	6152044
10107	4861380
10112	4822483
10121	2043464
10122	14625412
10123	2236760
10127	10698670
10128	8154650
10134	13218332
10145	7759125
10167	4831207
10171	9263328
10172	382823
10187	12593147
10195	230477
10203	8607957
10205	12990865
10206	13060743
10209	7388427
10212	12450536
10213	13417833
10228	3606407
10233	2222984
10236	7372140
10245	13576364
10254	20943314
10262	2187167
10264	9849254
10269	7170692
10276	17761350
10286	15923681
10287	2096635
10293	2065912
10296	663996
10298	19296172
10301	5558778
10307	50200
10317	14042722
10322	12577162
10323	730940
10324	4220493
10326	1159726
10331	40063
10334	13296613
10335	11352766
10336	223881
10341	426921
10346	14739606
10347	10335434
10350	12422
10356	21301606
10357	13109494
10363	302117
10376	6097973
10393	29115
10405	437353
10406	8500
10410	22105248
10436	15427552
10444	22603061
10447	11577265
10472	9680087
10489	11677703
10493	13629460
10540	8279998
10566	606800
10567	501965
10607	14793663
