geneid	dist
582	23387115
602	3722157
992	15288903
1005	17595298
1032	3679149
1238	3679149
2011	1311695
2929	112376
3124	6735173
3159	189799
4104	5142674
4208	30351007
4475	2935500
4529	12922966
4544	41187182
4546	41187182
4566	13352349
4716	60628760
4772	30351007
4828	30351007
4841	30351007
4856	19086573
4881	17090722
5007	7841729
5051	7771343
5059	1406047
5085	7952047
5098	1557811
5143	28284399
5151	5495162
5161	169710
5197	1720179
5198	3326806
5216	3531116
5234	21251980
5242	1327665
5249	251135
5264	5653102
5266	11933308
5280	33036
5291	3214224
5302	26464185
5305	3333020
5331	11757253
5345	5209396
5362	7755288
5369	2838472
5397	9083078
5401	1782193
5467	5922003
5468	9092366
5470	21758043
5471	17260111
5505	2266335
5506	766332
5522	16497494
5546	13460118
5557	5173927
5562	5057541
5597	13365659
5599	16887709
5608	16751929
5631	8168157
5654	51155576
5659	6073277
5670	19713305
5691	7510113
5693	12093117
5697	6061729
5705	5796298
5730	11880402
5740	10680308
5748	6203235
5772	1893226
5780	16035493
5785	12898014
5798	13447491
5820	16843775
5837	1801073
5841	12505520
5843	15393541
5854	9724201
5874	12310566
5877	9347046
5895	12402831
5898	7357278
5904	11952720
5912	6368404
5913	16510882
5914	16259578
5916	9785797
5921	16707571
5930	14718855
5939	8308843
5951	16985544
5977	11757253
5993	20540029
6004	5059059
6012	6783827
6023	18471732
6050	17012237
6055	12258195
6061	7510214
6095	11175385
6101	8106843
6105	6539515
6106	24478554
6117	15730632
6120	14066525
6121	16876884
6137	3003647
6144	8940173
6160	9253811
6179	24709990
6198	11796028
6201	1782193
6204	13421615
6206	16407853
6215	6820054
6228	24501537
6230	29226345
6266	22242906
6267	19263331
6276	30391880
6278	5596231
6287	12283750
6291	16844261
6295	12310566
6304	13512753
6308	9151123
6316	2791304
6329	6783827
6338	235717
6351	15856908
6360	9061017
6390	28426304
6391	1688661
6401	17711108
6416	1718163
6441	5544726
6469	6316957
6470	17711108
6474	16197725
6504	13973097
6514	4165545
6538	27333090
6552	26713813
6567	13046811
6597	25700070
6653	16911976
6658	30474215
6661	12238844
6663	13499886
6667	9841263
6676	16506251
6689	23756272
6709	2450855
6722	24752319
6723	14686406
6731	1258192
6745	5398285
6760	8845594
6764	11808544
6771	12464161
6784	41249620
6795	9092366
6808	4916938
6809	6177560
6813	21019736
6816	19310056
6820	21609958
6821	1887362
6826	22144415
6834	21650749
6839	9108253
6847	20557952
6850	17282182
6855	21019736
6861	17711108
6863	11023351
6890	21597865
6891	18568612
6898	18278587
6905	16430873
6913	17282182
6916	7559548
6917	14209578
6918	17319337
6920	18184071
6923	44921057
6926	22275186
6931	3565356
6936	18493011
6938	18493011
6939	19890546
6942	18414855
6943	18568612
6946	9632578
6952	10408362
6953	19944060
6974	41168875
6986	17467923
6987	29175971
6988	14573899
6990	45040602
6997	29765567
7005	20938286
7007	28501870
7013	10356535
7014	20618414
7045	21695970
7052	4846631
7057	22161119
7058	9683719
7066	7755288
7084	19362049
7094	18493011
7098	18588926
7108	22947308
7114	1579345
7119	12848497
7144	8547131
7146	18526885
7151	18628574
7158	14081552
7162	17299472
7166	15822172
7176	3693983
7179	19786570
7183	18701158
7190	9443036
7222	43813591
7237	19133021
7258	22098572
7264	7788645
7299	2982756
7301	14402863
7306	15308348
7312	20557952
7327	13003761
7338	11712867
7346	7376121
7353	14793121
7366	18498668
7380	18568612
7385	10777764
7387	19475651
7411	19669843
7425	8776143
7426	9310268
7428	762313
7430	9220877
7435	18493011
7443	5806073
7455	18363922
7461	19395845
7462	10684487
7469	1395696
7492	11952720
7496	13036874
7497	22403676
7498	12844342
7499	6739504
7503	28622919
7511	9897244
7525	5835234
7536	27014393
7540	18160207
7546	22417905
7562	17291589
7583	283969
7590	16504433
7606	1437726
7611	3785527
