geneid	dist
559	3694
564	4942
572	6867
575	7689
579	7520
582	7359
590	6679
594	5827
602	5408
605	5118
614	3542
619	1735
624	1142
633	18736169
636	151
977	82547323
991	76875258
992	3175670
1005	41273019
1024	3157905
1430	36683562
1711	46646318
1712	46646318
2011	67019318
2929	5762881
3124	2761339
3150	4171549
3152	6224872
3911	144628
4104	44988551
4145	390667
4208	12650938
4340	390667
4378	67294948
4390	390667
4434	390667
4452	390667
4533	14246
4536	29035989
4540	29035989
4542	29035989
4545	29035989
4548	58682111
4559	29035989
4580	29035989
4595	29035989
4610	14246
4623	29035989
4676	589267
4714	58682111
4716	69303202
4723	390667
4741	2164278
4744	27755414
4772	12650938
4828	12650938
4841	12650938
4857	329299
4901	185622
5051	41081159
5059	36911165
5085	41190005
5098	36744762
5143	22929471
5151	9793428
5161	38276159
5197	11340296
5198	8759599
5216	7271872
5234	17684903
5242	36946708
5249	38096875
5266	121974405
5280	38387316
5291	6956984
5302	15540177
5305	1741301
5331	121840803
5345	9501213
5362	41066769
5369	6341902
5401	11252449
5467	52475319
5468	32469566
5470	25966308
5471	41770112
5505	10680283
5506	37663584
5522	25560
5546	27094364
5557	9470565
5562	9331195
5597	27251801
5599	39870208
5608	1052606
5631	8618002
5654	78911601
5659	24593813
5670	16109856
5691	50656155
5697	10257130
5705	52704227
5730	29618857
5740	30977483
5748	10391270
5772	44527801
5780	24285275
5785	122775765
5798	27130341
5820	48213505
5837	11243205
5841	28478360
5843	25078740
5854	31847490
5874	28672956
5877	32263899
5879	7480636
5895	28583643
5898	50968121
5912	51958500
5913	786674
5914	265076
5916	31805728
5921	54528480
5930	2098885
5939	8602022
5951	39742103
5977	121840803
5993	4294136
6004	124170322
6012	51436457
6050	38709984
6055	28781270
6061	34121378
6095	30428073
6101	49924126
6106	27215108
6117	38873509
6120	123745834
6121	1216409
6137	6046477
6144	987551
6160	48449226
6179	27150909
6198	4927522
6201	11252449
6204	27141881
6206	169382
6215	51429581
6228	27204142
6230	14964991
6253	2258759
6266	30374555
6267	20705063
6276	17332210
6278	9864791
6287	28724865
6290	28614260
6291	2375833
6295	28672956
6304	27080701
6308	48722987
6316	6473321
