geneid	dist
992	14484345
1024	8466258
1430	12070844
2011	5046504
2932	13074786
3124	691922
3152	13074786
3855	4852709
3911	11715597
4202	4852709
4208	11860225
4275	4852709
4374	4852709
4378	10419582
4416	12777524
4448	3615591
4475	2385793
4513	4852709
4544	2797174
4546	2797174
4676	19861395
4716	5404119
4717	4852709
4734	3615591
4747	4852709
4750	3615591
4772	11860225
4827	3615591
4828	11860225
4841	11860225
4857	11397677
4867	12777524
4901	612614
4919	4201209
5051	13323664
5059	8147393
5085	12692014
5098	9445312
5143	9662896
5151	13207226
5161	17705797
5198	11983930
5216	13162193
5242	9385875
5249	9106024
5264	4155714
5266	13586643
5291	14066819
5302	2228529
5305	8089617
5357	18693638
5362	13321060
5401	9135827
5467	10753151
5470	16468131
5471	13995764
5505	15291310
5506	9284270
5522	11059582
5546	7080677
5562	13246505
5599	4815446
5608	11050453
5654	7931192
5670	6719865
5691	11397238
5697	13172367
5705	13084284
5740	7220534
5748	10353434
5780	5585029
5785	7482466
5798	7080482
5820	14675285
5837	8979030
5854	10754416
5877	11927564
5879	15605512
5898	27081
5912	13140789
5913	5051702
5914	11110495
5916	10077096
5921	6522866
5930	11198355
5939	15742939
5951	28411
5993	8499576
6004	6628215
6012	13247
6050	14019386
6054	3666948
6061	16362382
6095	7203824
6101	4853892
6106	8752468
6117	19634308
6120	12321755
6121	14682198
6144	13827873
6160	11985359
6179	8738010
6195	7795488
6198	275791
6201	9135827
6204	11500472
6206	11096065
6228	8750274
6230	13549961
6267	9972515
6276	9239203
6278	6551812
6291	4066453
6304	11721494
6308	11980234
6316	8016389
6329	13247
6338	11868493
6351	5630109
6360	11944310
6391	2308492
6401	3310118
6416	2297736
6429	18447271
6441	14183466
6469	5173971
6470	3310118
6474	13264514
6504	7439607
6514	8033100
6538	13483648
6552	12922576
6567	7118668
6597	17533067
6653	14981063
6658	8262087
6663	13266723
6667	2575300
6676	955607
6689	8788366
6709	10162338
6722	8715495
6723	8183968
6731	9218753
6745	9497862
6760	15641553
6771	7125243
6784	3713952
6808	13282406
6809	15401523
6816	18511456
6820	7152677
6821	3835170
6834	3466553
6847	5130557
6861	3310118
6890	16492331
6916	16377339
6917	13114482
6918	3790952
6920	7562745
6923	8803018
6931	7814361
6939	3992119
6946	13816649
6952	12228940
6953	6529518
6974	17556578
6986	5868438
6987	18797256
6988	2651739
6990	4959598
6997	13044373
7005	4629402
7007	35678
7013	2671935
7014	5780204
7045	5829425
7052	7676551
7058	3612238
7066	13321060
7084	16579746
7098	10660777
7108	9523460
7119	12932173
7144	15713936
7158	1673266
7166	4889012
7176	7794560
7179	13151936
7183	7771876
7190	12885309
7222	3201178
7237	18770861
7258	12094480
7264	5563496
7299	12714615
7301	2705410
7306	7237216
7312	5130557
7327	8991058
7333	9741318
7338	12845360
7346	1062302
7353	19809976
7385	3899155
7411	14822716
7425	15682930
7426	8576074
7430	8297454
7443	9559120
7455	17256640
7462	12717321
7469	9741318
7496	1107606
7498	17325797
7499	781242
7503	11923824
7511	8365546
7525	13182619
7536	12986062
7540	5823841
7546	9554255
7562	5130557
7580	6034527
7590	108562
7595	19173160
7606	9741318
7611	7791751
7637	5784715
7648	14173773
7649	5780204
7659	2862080
7688	9545585
7692	2655745
7701	399571
7709	302547
7714	12913114
7719	315756
7733	10830651
7738	7602143
7739	5530078
7741	14542956
7760	8490265
7761	5177541
7773	13612881
7776	4093276
7777	13150764
7791	387178
7808	3310118
7816	5918087
7829	17578407
7832	6766871
7834	8900610
7854	10901847
7863	9741318
7882	10620390
7887	969177
7900	2671772
7918	8541282
7919	3868752
7923	3290438
7926	5915702
7933	12590959
7937	3713637
7938	11056937
7987	8296687
7993	6282350
8006	6713219
8007	3899155
8013	14970573
8018	13027698
8019	17204498
8031	7083904
8042	16246354
8044	8515069
8061	15163774
8071	2104591
8083	4102175
8096	1447878
8097	8524662
8101	3720468
8117	12872757
8120	13726226
8148	7922418
8153	5882225
8160	4792488
8163	6271522
8170	11658783
8172	9837170
8189	2637363
8203	14636117
8207	10891353
8219	9617816
8236	5522615
8244	9604314
8245	8523742
8247	3853357
8255	1537377
8286	9633184
8297	8745032
8312	482765
8321	9579929
8336	16468131
8378	3797029
8394	6655507
8397	12996421
8411	1855715
8413	2382922
8430	11889958
8431	8978294
8438	8297454
8447	1414361
8450	14046977
8455	2593886
8459	15343496
8462	14718459
8463	1741607
8465	8227384
8488	2543381
8500	4733055
8505	12014960
8510	12868210
8526	7847109
8547	10158649
8553	12928538
8561	4445794
8563	13468944
8579	6805861
8582	10683251
8589	12037877
8600	9495998
8603	9741318
8623	7477684
8635	19175054
8636	81706
8641	3189928
8656	2642950
8657	5395518
8663	3806909
8665	1646190
8674	8949105
8675	11160770
8677	12011415
8691	4172635
8698	17686993
8702	5883486
8709	10905846
8710	4695171
8723	3167595
8730	892441
8742	3571067
8745	16925534
8746	4864741
8751	7182368
8759	1276240
8761	9736235
8768	10839692
8771	4487912
8782	2385793
8789	12828601
8792	12349935
8795	10080494
8796	15818698
8805	8997826
8827	892441
8832	4630465
8833	9650033
8850	4543704
8853	8085477
8862	892441
8885	14853527
8898	14843907
8919	265131
8921	17732017
8928	17401208
8950	3076355
8964	15106294
8965	10787224
8974	10301258
8999	8059595
9007	9656808
9012	4067730
9019	9196923
9020	4323038
9026	15636179
9027	7370288
9040	10775839
9043	15196673
9045	4151708
9047	10907485
9052	17887923
9077	12199678
9079	13355725
9094	11536702
9095	12668468
9106	14542956
9119	16917488
9155	3520720
9173	7166965
9178	4663671
9209	5673771
9214	10151357
9226	8377165
9228	14501294
9232	1738782
9238	9784072
9248	10892090
9260	3527646
9265	4780637
9267	10841978
9269	2542115
9270	4418175
9287	13575610
9288	6827399
9291	13445527
9299	5130557
9317	9515575
9327	6816502
9338	12036736
9341	7607853
9345	19160993
9348	14967376
9367	7814441
9383	6887788
9410	15170078
9414	17504176
9415	17512795
9442	9635744
9448	10418184
9449	16550819
9458	10204682
9466	8429131
9485	2651305
9495	16560634
9504	7704743
9519	14824945
9534	8172889
9539	3552425
9541	13341686
9554	3899155
9577	4932511
9578	9878357
9583	10809480
9587	20575871
9602	5450923
9603	14375371
9617	3958734
9621	12880741
9625	13109821
9636	8890090
9638	14837955
9648	12931714
9652	4498266
9655	6726037
9657	12023794
9661	12884438
9668	2824390
9670	13879360
9678	12884438
9683	12286927
9692	1299745
9716	15802244
9718	59691
9721	9740518
9722	6909011
9729	15866214
9732	15363654
9735	4711942
9741	12824810
9744	11063618
9748	64159
9752	16472778
9758	10705450
9759	15069418
9770	15130870
9772	4534458
9774	9859571
9779	5562836
9790	3628935
9793	1190246
9794	13018262
9798	265131
9806	11026966
9808	9520093
9810	11605165
9811	16945209
9813	12681628
9827	265131
9846	12785
9851	1731077
9852	10701417
9864	12263127
9878	15853086
9880	10102584
9902	11636059
9922	7022895
9930	12504336
9944	2411248
9950	4569211
9951	4669033
9954	5817042
9960	8286722
9961	11794979
9986	16333258
9990	8509012
10007	20343
10008	14816773
10018	10679710
10021	12868412
10026	18794193
10033	2411248
10037	5096916
10052	5002166
10054	20568874
10061	8270712
10070	8500518
10071	7977983
10075	4515479
10076	52813
10079	11821111
10086	19634308
10088	20473193
10091	8394564
10107	14131964
10112	4880938
10121	10185551
10122	3835170
10123	7531228
10127	12811035
10128	1741607
10134	7077145
10145	8979030
10167	11624520
10171	9523460
10172	3467190
10187	20631032
10195	3539388
10205	17550670
10206	15101232
10209	11641663
10212	20515728
10213	8623660
10228	11070959
10233	7549652
10236	16651696
10245	6776295
10254	2903266
10262	7599269
10264	16531390
10269	6802606
10276	6052380
10282	676234
10286	12236279
10287	7694002
10293	7721637
10296	4503588
10298	852795
10301	6469493
10307	3604837
10317	15521851
10322	15903032
10323	5055845
10324	2996179
10326	2103421
10331	9459015
10334	7011534
10335	12138148
10336	3230826
10341	3419558
10346	6683929
10347	7070030
10350	634840
10356	2274584
10357	7182128
10363	347031
10374	7868422
10376	10151357
10393	129730
10405	3408414
10406	12049589
10410	4090623
10436	11733490
10444	4896029
10447	8473259
10472	15105599
10493	6730904
10540	13478991
10561	11615593
10566	8146080
10567	620231
10607	16128659
10610	17397438
10633	16132145
10637	179555
10664	2833955
10665	10324618
10672	4533229
10685	10162338
10694	472426
10702	33280
10704	265131
10713	13968314
10716	8839943
10727	3565202
10739	13914691
10743	10995169
10765	10877505
10766	8827549
10772	5526305
10774	18128347
10806	8136192
10814	10683222
10819	15887158
10833	7889975
10838	10354082
10844	6276095
10845	1151830
10872	5547322
10875	2103421
10879	2103421
10882	124979
10891	1316596
10900	10693438
10905	7222661
10907	5648998
10908	17233771
10912	6724561
10914	3829052
10925	14845923
10928	6116398
10936	7052437
10938	10290495
10967	15404151
10969	208013
10980	5651276
10983	14708683
10997	10826974
10998	13323664
11004	8555228
11009	13868871
11011	12864209
11021	1622403
11031	2331254
11032	3569580
11036	13497876
11038	3914082
11040	11667439
11053	13477966
11061	916870
11075	7332298
11077	15244787
11089	13475026
11093	13378123
11099	9605192
11101	9837027
11102	7726036
11106	10880373
11109	13480159
11114	9313379
11120	7257853
11123	5207238
11124	15586564
11125	9081647
11129	16451491
11131	12349935
11140	7392761
11141	2096276
11163	10520509
11167	10855652
11169	12443037
11172	12912099
11173	10902504
11177	3591120
11188	173854
11193	2906611
11195	8627784
11197	19195527
11209	10222925
11214	3781872
11216	13422719
11225	8380150
11226	3997436
11228	7799087
11233	13372762
11236	14899348
11237	10890683
11242	10307274
11243	3593743
11249	382042
11250	8421356
11257	14883767
11263	10885587
11291	1951207
11297	10771642
11299	14877466
11300	1368707
11311	8994611
11320	110824
11322	14292288
11326	10071303
11329	18010274
11331	5382282
11335	11032280
11343	6788312
11344	4772691
11349	11063778
11351	265131
11363	4094723
11366	6769251
11371	11352602
11378	12607158
11379	12719301
11386	4709509
11396	10588450
11399	12462124
11405	2103421
11410	10871215
11414	7495939
11415	2576160
11417	1664476
11419	12203309
11425	7710620
11430	18125005
11433	8907740
11436	12464371
11445	8949978
11458	7922354
11459	17282880
11463	15049039
11464	8865802
11465	13299682
11481	7968807
11482	832645
11484	13501694
11486	11081304
11487	17232115
11490	17280579
11491	11042125
11493	7463181
11497	417596
11498	15167224
11499	8287632
11500	6150698
11504	9157111
11505	4371293
11507	10900560
11511	6549230
11513	7776080
11516	12731613
11518	17470026
11524	7372365
11528	12751000
11529	328361
11541	15866696
11542	8512372
11543	5653461
11544	12842924
11546	9594395
11547	35501
11548	12970332
11555	9069368
11561	11500104
11564	11068
11574	12920139
11575	14909684
11579	11186570
11585	8008718
11590	8519637
11591	10682868
11592	2103421
11614	5008894
11617	5684030
11619	13023606
11620	14116027
11625	10695936
11627	9287512
11628	428297
11636	10973613
11638	336474
11643	1225566
11646	19692537
11647	11110095
11650	19692537
11652	5389330
11653	16509991
11657	19692537
11659	4881997
11670	5642241
11671	375375
11679	7523369
11680	7938113
11685	3544033
11691	15272208
11694	1915187
11695	12331915
11696	14172741
11704	7406750
11713	7475416
11716	10732880
11724	2103421
11726	5541375
11727	8482401
11728	7807218
11734	2144647
11739	20576468
11741	14899348
11743	18444976
11744	4076721
11765	12486062
