geneid	dist
559	260
992	391125
1024	341772
1430	25494556
1711	152
1712	152
2011	5914477
2735	1431760
2929	793
2932	221
3152	221
3361	1431760
3911	6863092
3990	2000116
4104	7212291
4208	10288973
4378	2596931
4416	100759
4448	6242272
4475	666857
4544	141
4546	141
4734	6242272
4750	6242272
4772	10288973
4827	6242272
4828	10288973
4841	10288973
4867	100759
4881	377680
4901	6725620
4919	5739723
5051	25265133
5085	25256318
5098	23418290
5143	24113543
5151	26479179
5161	24253325
5197	5154860
5198	26910621
5216	27474068
5234	2148974
5242	23492578
5249	24131544
5264	5724222
5266	30028195
5280	24371206
5291	27626544
5302	959597
5305	27567506
5357	34889802
5362	25338523
5369	27729359
5401	5088390
5467	34908715
5470	1868273
5471	33237479
5505	4666891
5506	23849466
5522	42840739
5546	33292
5557	26618128
5562	26767332
5599	33392332
5608	42979628
5654	4862864
5659	38176405
5670	32062109
5691	35774358
5697	26162082
5705	34850693
5740	170116
5748	26128597
5780	423016
5785	30537061
5798	28514
5820	43017245
5837	5079717
5843	639923
5854	98714
5877	99577
5879	39696912
5898	35720723
5913	980173
5914	42701021
5916	180525
5921	33539787
5930	42116217
5939	39284463
5951	33325529
5993	44252919
6004	31620650
6012	35328718
6050	33304649
6054	71124
6061	541108
6101	36081925
6106	29149162
6117	34045218
6120	31221473
6121	43036019
6144	28457118
6160	36797065
6179	29106883
6195	3191633
6198	40847640
6201	5088390
6204	2224408
6206	42792817
6215	35341205
6228	29144394
6230	40090062
6266	30615498
6267	743086
6276	24276751
6278	26398784
6291	5500089
6304	64429
6308	36772214
6316	27789183
6329	35328718
6338	24133109
6351	695042
6360	36723848
6390	27177425
6401	2457829
6416	3146370
6429	19717484
6441	37915743
6470	2457829
6474	5426137
6504	31128918
6514	37331065
6538	41083729
6552	28213305
6567	1024331
6597	2770362
6658	25846446
6663	30899374
6667	85316
6676	2367978
6689	29825952
6709	4463941
6722	28983349
6723	42099138
6731	23556404
6760	39511665
6771	877311
6784	19731882
6808	26866474
6809	38209935
6813	6234879
6816	886537
6820	6137405
6821	5061021
6834	6128035
6839	3893
6855	6234879
6861	2457829
6863	653926
6890	1930031
6898	2677500
6905	4421672
6916	526920
6917	3499374
6918	2010780
6920	2632975
6923	17912984
6936	488
6938	488
6939	172793
6942	488
6946	28798401
6952	2103524
6953	1187879
6974	19764833
6986	4830798
6988	3658921
6990	17786843
6997	26986
7005	6265813
7007	27094247
7014	5067249
7045	6115475
7058	334175
7066	25338523
7084	953442
7094	488
7104	41140395
7108	2022029
7119	2443813
7144	39397093
7146	488
7148	488
7158	31233937
7162	1975797
7166	4367911
7179	268991
7183	595785
7190	36905739
7222	18443773
7237	1477840
7258	43564187
7264	748967
7299	1949917
7301	3551175
7306	477360
7327	1696774
7338	2036773
7346	2716566
7353	34700409
7411	3074683
7425	39474489
7426	3720303
7428	57383
7430	3807045
7435	488
7443	38054434
7455	5125779
7461	1341303
7462	1720564
7496	1667979
7498	35514372
7499	2586573
7503	26990462
7511	3368918
7525	26307756
7536	28049522
7540	2623008
7546	25779
7580	2532711
7583	2906070
7590	4444889
7595	3045341
7611	3038363
7637	2745176
7648	1980370
7649	5029032
7659	514836
7688	9910
7692	3217950
7701	2601537
7709	2970236
7714	557288
7719	2990266
7733	1898881
7734	488
7738	4675963
7739	770742
7741	2454
7760	37839782
7761	36631007
7773	30130524
7776	2595342
7777	26024238
7791	2092070
7808	2457829
7816	1335339
7832	27246227
7834	6036299
7854	2036447
7882	18123337
7883	2725429
7887	2564599
7918	4961646
7919	4660762
7923	6279642
7926	1335721
7931	5041932
7933	17655185
7937	6103793
7938	2891277
7983	2870601
7987	26204996
7993	3119727
8006	31947185
8013	1213466
8018	703798
8019	34728584
8031	2128034
8042	24387154
8044	3999174
8071	34293254
8074	3333222
8082	22788581
8083	2610227
8096	5861737
8097	37930010
8101	19718025
8117	2190598
8120	25587941
8148	2391650
8153	3159640
8160	33415571
8163	3152750
8164	44232255
8170	43777557
8172	19525293
8189	1516391
8203	2870637
8207	2078923
8219	4001314
8229	488
8236	44221919
8245	4055822
