geneid	dist
582	154690734
602	3821698
1005	220407144
1024	3158532
1430	77763549
2011	19396708
2929	328364788
2932	328294302
3124	13114431
3152	328294302
3911	251422663
4104	204876779
4208	34023913
4378	16488243
4416	3481393
4448	157136109
4475	210283182
4525	147185773
4529	131426006
4534	210998032
4539	210998032
4544	5173962
4546	5173962
4676	1109
4734	157136109
4750	157136109
4772	34023913
4827	157136109
4828	34023913
4841	34023913
4867	3481393
4881	269366957
4901	251060328
4919	247550474
5051	170077914
5059	164615461
5085	170054895
5098	164456022
5143	166267977
5151	173508648
5161	166614024
5197	246111459
5198	174613150
5216	176295869
5234	238841751
5242	164682354
5249	166397160
5264	3764961
5266	80942762
5280	166750693
5291	176777946
5302	44873693
5305	176521161
5331	183324842
5362	170447989
5369	177467027
5401	245927449
5467	84531980
5468	242948808
5470	231375369
5471	89227025
5505	234540012
5506	165596047
5522	221593048
5546	238219460
5557	173873127
5562	174200030
5599	89694013
5608	221925000
5654	117819550
5659	208760738
5670	86222562
5691	86776856
5697	172319301
5705	2289066
5730	236010148
5740	245364588
5748	172214476
5780	236568613
5785	82519271
5798	238250215
5820	222038782
5837	245896163
5841	236358001
5854	243915194
5879	212698335
5898	86589837
5913	29784841
5914	221289448
5916	243992250
5921	89975359
5930	219365541
5939	211721937
5951	89539787
5977	183324842
5993	225842333
6004	84723322
6012	85806097
6054	243323340
6061	237225612
6095	240618886
6101	87544071
6106	114140559
6117	99689154
6120	84125443
6121	222075700
6137	85847282
6138	83923758
6144	179524894
6160	88984053
6179	114483433
6195	63771234
6197	236123638
6198	215833216
6201	245927449
6204	238272815
6206	221490233
6215	85842105
6228	114167770
6230	239692464
6266	110866115
6267	238554688
6276	336374546
6278	173272382
6291	3964207
6304	238182735
6308	88877595
6316	177614358
6329	85806097
6338	166308967
6351	237681147
6360	88768301
6390	119916694
6391	63636390
6401	1480325
6416	63616472
6441	208197219
6470	1480325
6474	6869885
6504	84047371
6514	206880652
6538	236662318
6552	117243891
6567	233829973
6597	344089800
6639	2062375
6658	122850940
6663	83429670
6667	244081827
6676	3319746
6689	113022392
6709	234733380
6722	114558870
6723	219332017
6731	164798654
6745	83755256
6760	212284193
6764	235967631
6784	142691627
6795	242948808
6808	174394505
6809	208881297
6813	185956207
6816	22631771
6820	227415505
6821	240459856
6834	227544540
6850	2025967
6855	185956207
6861	1480325
6863	245797427
6890	239038334
6898	167855773
6902	2062375
6905	164627245
6913	2025967
6916	237316336
6918	1510788
6920	167694284
6923	147864473
6931	148809822
6936	3072254
6938	3072254
6939	63354475
6942	3072254
6946	180552463
6952	244966261
6953	8692721
6974	142595944
6986	166632618
6987	120974021
6988	162159206
6990	148089238
6997	337592520
7005	186314516
7007	120012629
7013	244899458
7014	186650800
7058	243834205
7066	170447989
7084	22611069
7094	3072254
7104	216685632
7108	348864947
7119	159878854
7144	212046639
7146	3072254
7148	3072254
7158	84138451
7162	1253141
7166	14472925
7176	148928383
7179	354248037
7190	89270530
7222	146363190
7237	9703297
7258	227897468
7264	153844002
7299	342851417
7301	161906949
7306	38040691
7338	158140618
7346	153367872
7353	98401273
7385	15754264
7411	7893642
7425	212284035
7426	13841684
7428	144152430
7430	13553287
7435	3072254
7443	208403678
7455	10762712
7461	9432946
7462	157059386
7496	18444015
7498	95654667
7499	152552648
7503	120193027
7511	14735375
7525	172886510
7536	117666174
7540	167663077
7546	349532957
7580	152325014
7583	145352597
7590	164783375
7595	7800132
7611	149034066
7637	168124036
7648	349253292
7649	186552145
7659	154391448
7688	26644629
7692	146833663
7701	144028802
7709	144634586
7714	237163150
7719	144603317
7733	239790551
7734	3072254
7738	11993322
7739	153544865
7741	243556515
7760	207933185
7761	88651647
7773	81308312
7776	167589026
7777	171827686
7791	238893877
7808	1480325
7829	142832623
7832	175421580
7834	228431155
7854	239329261
7882	147100057
7883	153408609
7887	152420063
7907	2025967
7918	11431671
7919	1999933
7923	186359783
7926	1782064
7931	167567456
7937	227755398
7938	150225765
7983	15852392
7987	122032483
7988	2025967
7993	8024941
8002	2025967
8006	86080759
8007	15754264
8013	8731718
8018	241032799
8019	83989312
8029	16328565
8031	233776929
8042	335449647
8044	13150452
8061	1984324
8071	92726690
8074	345508096
8082	323986358
8083	167642728
8094	146881600
8096	229201265
8097	208214963
8101	142729821
8117	158389319
8120	170807534
8143	356721647
8148	9080948
8153	345742400
8160	89761977
8163	8087838
8164	225931981
8170	224292642
8172	143480920
8189	240856754
8203	7409454
8207	239248062
8229	3072254
8234	11747814
8236	225541809
8245	12997590
8247	15125772
8255	358622839
8286	355368156
8297	114211595
8312	349095803
8321	349797686
8332	355472497
8336	231375369
8338	250910563
8360	9237960
8378	14291433
8380	220407144
8394	84901706
8397	241042894
8411	356679298
8413	229295052
8417	240267320
8430	218553905
8431	86159153
8438	13553287
8441	46146907
8447	213770386
8450	177165170
8455	208370107
8458	162236784
8459	1967129
8462	222244008
8463	7599805
8465	12634048
8481	207266791
8489	161421785
8500	352900937
8505	216592126
8510	349373683
8526	180274674
8553	115558776
8557	202385477
8561	288911199
8562	356036705
8563	216452154
8571	354762563
8577	351595529
8579	219421975
8582	1698045
8589	167813268
8600	1666507
8623	130799786
8625	240772014
8635	106846120
8636	215594578
8641	204410311
8656	206144698
8657	356249234
8660	235999639
8662	1889228
8663	220983841
8665	13829527
8673	350596065
8674	12485023
8675	152364700
8677	217062531
8691	8267670
8698	143983643
8702	217458618
8709	239946569
8710	288214654
8716	8978199
8723	204108862
8730	23842020
8731	183448349
8742	243915194
8745	197951951
8746	353850058
8751	14152185
8759	214254082
8761	2753086
8768	352960173
8771	137149609
8782	210283182
8789	157951788
8792	86307029
8795	238096357
8796	143834510
8805	231641573
8827	23842020
8832	76885143
8833	355621377
8850	164489188
8853	177218071
8862	23842020
8885	166284306
8898	166362139
8921	144183984
8928	230285784
8950	243950238
8964	255029255
8965	236254471
8974	6102786
8986	2013666
8999	239264696
9007	355663503
9012	76160669
9019	349329559
9020	192698625
9026	160419665
9027	221507541
9040	1169550
9043	196244002
9045	75508784
9047	352290278
9052	192908780
9067	1784677
9077	64695048
9079	232623271
9094	12285262
9095	54090661
9106	243556515
9108	161948770
9119	197917357
9132	240118970
9155	274077628
9173	287931973
9178	122833382
9196	14676142
9203	220957098
9209	237917771
9214	234796671
9216	253310024
9226	350502706
9228	232801418
9232	224833051
9238	7245601
9248	86893229
9251	230937406
9260	130126769
9265	89431964
9267	257673421
9269	191112646
9270	124738628
9287	1093468
9288	272535016
9291	216452065
9317	161236257
9324	221125078
9327	272484987
9338	167945511
9341	130723078
9345	7838908
9348	224918224
9367	222079592
9383	272849762
9398	220407144
9405	161071779
9406	14723761
9407	296377425
9410	61528829
9412	296377425
9415	231215820
9427	269202237
9442	40927271
9448	53690512
9458	64927934
9466	131878780
9474	354762563
9485	14613477
9495	231478778
9504	131612197
9519	166787163
9534	14595197
9539	240997216
9541	232583402
9554	15754264
9574	169259000
9577	65144643
9578	143704047
9583	242506279
9587	166812312
9588	350698906
9600	168040374
9602	71550728
9603	232474001
9617	203676685
9621	245234323
9625	232911108
9633	65732730
9636	10892592
9638	166520491
9648	230894029
9652	124427556
9655	84089861
9657	167945511
9661	245115088
9668	162852529
9670	242633595
9678	245115088
9683	13746141
9692	2053455
9716	158536655
9718	166106456
9721	123052300
9722	238415064
9725	286301821
9729	124677519
9732	167024926
9735	291141028
9741	240646793
9744	221557733
9745	130587591
9748	166151968
9758	1504044
9759	254776746
9770	255251093
9772	8241139
9779	236465351
9790	199113266
9793	195521218
9794	222629595
9806	229896560
9808	13768314
9810	98204065
9811	198336720
9813	1122776
9821	182136033
9846	1804205
9851	224869017
9852	12839262
9853	192534341
9864	149160788
9870	225731612
9878	129629018
9880	10930837
9897	286485218
9902	236891018
9922	22833458
9930	148590962
9943	27655767
9944	234331767
9950	289504993
9951	165146836
9954	221183038
9960	13537204
9961	234233681
9986	186772342
9990	13887168
9994	9461157
10007	9050909
10008	166838408
10018	26174242
10021	234177948
10026	121025751
10033	234149762
10037	7220500
10052	133700735
10054	166590350
10070	207933044
10071	2107926
10075	124352976
10076	166042963
10079	19019113
10086	99689154
10088	140020813
10091	350473682
10107	175712542
10112	165954185
10117	169309854
10120	161071779
10121	222788161
10122	240459856
10123	122448560
10127	287703810
10128	7599805
10133	202341325
10134	193710886
10143	195774418
10145	245896163
10167	239579713
10171	349002319
10172	78341132
10187	167725507
10195	274126843
10203	173709283
10204	89329353
10205	142534162
10206	131754495
10209	195710570
10212	166212858
10213	899772
10228	221541524
10233	122302260
10236	101581446
10245	219894506
10254	255378065
10262	130636006
10264	231757441
10269	272359996
10276	262836869
10286	150651509
10287	131489454
10293	131701538
10296	124410491
10298	89272592
10306	173981915
10307	129962448
10317	181807864
10322	335339350
10323	65525274
10324	157082185
10326	4902963
10331	146780805
10335	228336819
10336	130463195
10341	269524202
10347	193484990
10350	335523123
10356	234962546
10357	195355600
10359	65671833
10374	186661049
10376	234796671
10393	120402
10405	269405701
10406	227012618
10410	248265907
10436	251850936
10444	87244019
10447	225896368
10472	193991211
10479	133651330
10488	172959064
10489	172959506
10493	220202026
10535	44977510
10561	61168747
10566	91911977
10567	25520019
10608	138683451
10610	138683598
10611	138683737
10613	138684063
10614	138684156
10633	48920577
10637	11244294
10651	61526945
10655	296377425
10664	234623468
10665	177456368
10670	350535004
10672	124258781
10680	199744684
10685	234733380
10694	90774797
10702	1109853
10713	88868097
10716	132681339
10722	88803765
10727	241047022
10739	87810696
10743	51661301
10765	52366032
10766	182326930
10771	244119498
10772	50999875
10774	1086648
10806	244034794
10819	51100728
10833	187090765
10838	6226975
10844	1084632
10845	1837582
10872	51058188
10875	4902963
10879	4902963
10882	7009249
10891	219631353
10900	1623751
10905	32135
10907	50420933
10908	49728238
10912	270138041
10913	1788752
10914	195612110
10918	187964924
10919	11713569
10925	56932667
10928	10562590
10935	228787367
10936	193236965
10938	6034532
10967	1762614
10969	214649497
10977	144625734
10980	237789140
10983	8127513
10997	87365269
10998	170077914
11004	13972510
11009	178696374
11011	245416318
11015	178922120
11021	3229325
11031	235100991
11036	231086342
11038	57076893
11040	224767476
11053	81708746
11060	235001975
11061	716675
11067	68035997
11075	226287901
11077	236692994
11089	81752675
11093	225350298
11099	2444718
11101	232836190
11102	260377429
11106	242687998
11109	239078338
11114	232327467
11120	263295128
11123	7153214
11124	335585014
11125	264241810
11129	242958760
11131	86307029
11140	262593842
11141	4920499
11163	265657496
11167	256954635
11172	245091443
11173	269807665
11177	222152245
11187	248588735
11188	7678465
11193	255312500
11195	32635179
11197	224854943
11207	4142561
11209	221334661
11214	11531442
11216	186976588
11217	118088165
11225	14818642
11226	248761087
11228	221996717
11233	225403815
11236	56191151
11237	269753855
11242	6120669
11243	229466669
11249	340294832
11250	749663
11257	197419192
11263	52292668
11289	186788514
11291	340074112
11297	1220645
11299	56645436
11301	22402548
11305	235655605
11306	86657660
11310	229506589
11320	12238191
11322	288578715
11326	345575414
11329	10756761
11331	1694556
11332	57225582
11335	229746138
11343	219818353
11344	13914017
11349	233873906
11363	252483907
11366	220175191
11371	259957369
11378	235430278
11379	233639663
11386	7128556
11395	788342
11396	265919170
11399	345796685
11400	51270219
11405	4902963
11410	257126868
11414	60083223
11417	240733320
11419	263766291
11425	260276754
11430	197140354
11432	152392451
11433	61142285
11436	223130807
11443	21646558
11445	65700783
11458	14885802
11459	26396481
11463	269769578
11464	61413800
11465	251907873
11481	9180425
11482	264318233
11484	81476141
11486	45977700
11487	165025582
11490	49586956
11491	46028005
11493	82927337
11497	144005707
11498	252980966
11500	63785795
11503	232224680
11504	221152275
11505	8749791
11507	45908422
11511	10782314
11513	46499163
11516	233468281
11518	8072088
11524	230783828
11527	54345903
11528	233368409
11529	45829471
11542	13048247
11543	91204113
11544	233216381
11546	28092213
11547	165993755
11548	233083723
11555	230003365
11561	59781946
11564	113930
11574	174637959
11575	56179493
11579	258477751
11582	173004620
11585	15725197
11590	45956142
11591	233761264
11592	4902963
11604	62595161
11614	83345743
11617	234052544
11619	232218518
11627	224205854
11628	93150862
11636	51782067
11638	254585464
11643	1361580
11646	26987336
11647	333011491
11650	26987336
11653	231886193
11654	739110
11656	53130222
11657	26987336
11659	19271406
11661	83644039
11670	2550552
11671	235837203
11679	38073280
11680	9385234
11685	222116331
11691	335701831
11694	240477982
11695	150218007
11696	19914774
11704	193663887
11713	59981702
11716	1720073
11724	4902963
11727	13841722
11728	184025059
11732	235666564
11734	235619520
11739	151702746
11741	56191151
11743	224964126
11744	164204940
11747	235552228
11759	57062548
11765	190544640
11775	1777070
11780	40705530
11783	57104642
11786	58814014
11787	27033886
11788	19097161
11789	151904943
11800	13587150
11801	98082215
11805	151944267
11807	878194
11810	11425190
11812	133685032
11821	25528985
11825	75689228
11826	151944267
11827	18991777
11829	220741756
11831	15785737
11832	235411315
11842	167151485
11847	7943431
11869	286340774
11873	1085791
11893	61932094
11897	235265523
11900	1689177
11908	90971683
11911	90971081
11912	2083140
11913	38654573
11917	74632035
11922	1413554
11924	4368269
11935	190492113
11938	90695295
11940	9066884
11944	269790950
11946	169518056
11948	269708982
11954	231971727
11962	230116483
11963	8187984
11964	121825491
11969	181731914
11987	227496829
11995	173521481
11996	176162647
12008	262390682
12011	212092311
12013	241625060
12016	183105800
12019	1462332
12020	1613932
12024	197852240
12025	48756835
12027	264738537
12035	345482024
12038	20006543
12039	164214679
12041	345501554
12044	53925162
12045	157046788
12046	130266386
12047	87775883
12048	150620451
12049	26386199
12050	66708913
12054	189595117
12060	25087316
12064	224997583
12069	14598474
12073	269708982
12083	19637086
12087	11566591
12088	286003267
12090	70925912
12091	51292844
12092	27454389
12095	53060269
12100	54317836
12102	74675870
12106	350314733
12109	225411743
12111	256704993
12116	215819
12125	340225079
12131	230613346
12136	54847479
12137	23105698
12146	51249276
12157	143902851
12163	214378525
12166	12997590
12167	155375988
12179	161071779
12181	283370487
12187	85113152
12201	220407144
12202	74722243
12210	57034039
12211	222980612
12222	741487
12236	14723761
12241	68801099
12262	27100944
12269	55106745
12293	58443613
12294	57034039
12301	289347697
12305	48898931
12307	176139323
12314	111720012
12316	256986612
12319	89370384
12321	205633373
12325	91034460
12327	24742785
12331	26987336
12334	54467583
12341	350431252
12343	824429
12345	19088170
12350	10716463
12351	884529
12354	221096643
12370	2264572
12373	543483
12383	344607624
12384	350607984
12387	117385744
12389	4795595
12396	53764800
12402	147745451
12413	84118921
12415	84117584
12426	10829857
12427	73339113
12428	3139744
