geneid	dist
559	257
636	14391672
992	153253
1024	185090
1274	6743657
1325	12578130
1430	9561
2011	8459154
2929	2289
2932	293
3124	2449295
3150	4548196
3152	293
3911	38583848
4104	21638078
4208	4633277
4378	3098387
4416	58556
4448	18121259
4475	19587691
4529	22418307
4543	2474446
4544	2714812
4546	2714812
4548	489649
4714	489649
4734	18121259
4750	18121259
4772	4633277
4827	18121259
4828	4633277
4841	4633277
4867	58556
4881	29675645
4901	38648315
4919	40218080
5051	2271826
5059	90989
5085	2261208
5098	132967
5143	961203
5151	4151812
5161	1205420
5197	40826932
5198	5027938
5216	6004030
5234	42321128
5242	128179
5249	982412
5264	3889762
5266	9407574
5280	1317954
5291	6149386
5302	6944960
5305	3963421
5357	4150123
5362	2485942
5369	6369704
5401	40875967
5467	4174077
5468	47482872
5470	41953225
5493	4548196
5505	41480641
5506	621763
5522	13740975
5546	48581866
5557	4487717
5562	4745420
5608	13669044
5654	2237800
5659	19454745
5670	5947990
5691	5099360
5705	4097695
5740	49043135
5748	3598886
5780	46865948
5785	3477446
5798	48607311
5820	13516029
5837	40906382
5854	48053336
5877	47741018
5879	17771863
5898	4971118
5913	367232
5914	13911287
5916	48152310
5930	14696945
5939	18205948
5951	1664753
5993	11791892
6004	6280561
6012	4351721
6050	1609737
6061	46268718
6095	49357977
6101	5480703
6106	4794435
6117	4866
6120	13427077
6121	13485228
6137	2027164
6144	7322584
6160	6287454
6179	4969164
6195	17603060
6198	16042928
6201	40875967
6204	48630487
6206	13821498
6215	4373173
6228	4813666
6230	5109953
6266	2651818
6267	44560413
6276	357489
6278	4055194
6291	3991031
6304	48573779
6308	6221368
6316	6485778
6329	4351721
6338	987846
6351	47108924
6360	6127068
6390	7326423
6391	17649009
6401	164357
6416	17685374
6429	8400503
6441	19732212
6470	164357
6474	4042979
6514	20397906
6538	6413093
6552	6083581
6567	49115494
6597	4665337
6639	72483
6653	4995342
6658	5332180
6663	999675
6667	48236614
6676	199807
6689	4006602
6709	41750065
6722	5027625
6723	50059
6731	209109
6760	17886326
6771	49242024
6784	8973739
6795	47482872
6808	4960506
6809	19398273
6813	3012719
6816	1168290
6820	2385132
6821	40980627
6834	2471083
6839	47502100
6850	4269668
6855	3012719
6861	164357
6863	49271436
6890	42012328
6891	4508173
6898	7149471
6902	72483
6905	5776389
6913	4269668
6916	46311953
6920	7056523
6923	3099685
6931	8050922
6936	40224
6938	40224
6939	2000894
6942	40224
6943	4508173
6946	7752047
6952	48768007
6953	7282904
6974	9014203
6986	6470249
6987	4346188
6988	4377655
6990	2966143
6997	496399
7005	2807950
7007	7389442
7013	48719217
7014	253847
7045	2533633
7058	47960393
7066	2485942
7084	1259142
7094	40224
7104	15694807
7108	7051438
7119	3172391
7144	18069443
7146	40224
7148	40224
7158	6307037
7166	1050578
7176	7975362
7179	9293805
7183	1068858
7190	6441525
7222	3723997
7237	6832691
7258	10487306
7264	172192
7299	5497502
7301	4223398
7306	4235924
7327	26623417
7338	2277488
7346	4368506
7353	804186
7366	93529
7380	4508173
7385	14285
7411	77555
7425	18009419
7426	21980335
7428	12072443
7430	21747595
7435	40224
7443	19694164
7455	47883
7462	1763245
7496	26646086
7498	2819274
7499	4772086
7503	3832469
7511	23317092
7525	3900169
7536	6365464
7540	7039965
7546	7372892
7580	6522336
7583	6386600
7590	5858946
7595	113072
7611	7964170
7637	7229331
7648	7174196
7649	213353
7659	204066
7688	7267021
7701	12083359
7709	763098
7714	46223045
7719	11681612
7733	45496160
7734	40224
7738	19636123
7739	217912
7741	47860799
7760	19889266
7761	6022929
7773	9534518
7776	6984667
7777	3501728
7791	42233856
7808	164357
7816	3182294
7829	8880419
7832	5629651
7834	1540677
7854	45708766
7882	3387172
7887	4811854
7900	40804456
7907	4269668
7918	18912257
7923	2713185
7926	3247029
7931	6967029
7933	2903911
7937	2750958
7938	7485083
7983	24400706
7987	4985335
7988	4269668
7993	47798
8002	4269668
8006	6061673
8007	14285
8013	7316891
8018	7186929
8019	2436886
8031	48777471
8042	413696
8044	21173656
8074	5395171
8082	13318392
8083	7012335
8096	531919
8097	19717788
8101	8955630
8117	2437650
8120	2763825
8143	6222034
8148	7051941
8153	5482093
8163	39775
8170	12535507
8172	8652687
8189	10896735
8203	28938
8207	45802842
8219	21132984
8229	40224
8234	19141680
8236	11883284
8244	241560
8245	21015869
8247	23742749
8255	7397317
8286	8704016
8297	4850169
8312	7072320
8321	7596816
8336	41953225
8338	923
8360	6667678
8378	22838896
8394	6234247
8397	7249124
8411	6191187
8413	487564
8417	44620732
8430	15777443
8431	5975245
8438	21747595
8441	6317039
8447	17774367
8450	6243804
8455	20376940
8458	2012717
8462	13432732
8463	74000
8465	20651270
8488	567635
8489	3962317
8500	3894623
8505	16505456
8510	7288320
8526	7551699
8547	16453468
8553	1148390
8561	13631076
8562	5952197
8563	10659750
8571	9261336
8577	8910535
8579	15277261
8582	3952710
8589	5699087
8600	3443026
8623	9658307
8625	10750973
8635	3098
8636	16952010
8641	21802371
8656	21182725
8657	6050640
8662	2769761
8663	5982357
8673	2538912
8674	20432646
8675	6492014
8677	16489601
8691	6203184
8698	8269309
8709	45018370
8710	14035362
8716	6474268
8723	2371509
8730	27344116
8742	48027689
8745	24756897
8746	4566676
8751	22569839
8759	17474345
8761	2776402
8768	9613098
8771	2984885
8782	19587691
8789	2156381
8792	5933054
8795	48535302
8796	1092822
8805	359347
8827	27344116
8832	13552870
8833	8626158
8850	4039052
8862	27344116
8885	4975468
8898	5011985
8919	1874822
8921	8218483
8928	40645079
8950	48097671
8964	36928623
8965	6621983
8974	6410314
8986	4891775
8999	11047873
9007	8569138
9012	13858902
9019	7244382
9020	26957105
9027	5235963
9040	2966404
9043	25355741
9045	14503821
9047	8952999
9052	26866682
9067	4164001
9077	16730512
9079	2839864
9094	20119254
9095	388605
9106	47860799
9108	2230812
9119	24788043
9132	44954907
9155	4397550
9173	14086092
9178	5943274
9209	47572550
9214	41804070
9216	24668360
9226	2453361
9228	2730525
9232	12295095
