geneid	dist
559	4820
564	6085
572	8026
575	8334
582	7410
590	6727
594	5872
605	5163
614	3570
619	1735
624	1140
992	3366292
1024	19926272
1430	2844006
2929	8302
2932	13968683
3124	10356479
3150	21088951
3152	13968683
3855	22091424
3911	11259117
4202	22091424
4208	13271575
4275	22091424
4374	22091424
4378	5434669
4448	5017217
4475	7762556
4513	22091424
4544	132
4546	132
4676	8685
4716	6347430
4717	22091424
4734	5017217
4747	22091424
4750	5017217
4772	13271575
4827	5017217
4828	13271575
4841	13271575
4857	9710320
4901	11177200
4919	10655481
5007	325
5051	15018723
5059	27956382
5085	25298984
5098	19529781
5143	17877144
5151	15483776
5161	21134402
5198	411
5216	7577717
5242	20508831
5249	20203123
5264	715
5266	6374731
5291	2868589
5302	13639467
5305	2885477
5362	15056636
5401	5878020
5467	545152
5468	60848624
5470	32609357
5471	13258559
5493	21088951
5505	10533290
5506	20362854
5522	12013263
5546	4613812
5562	15542554
5599	17357119
5608	17302
5654	27171825
5659	9787633
5670	4967421
5691	22558706
5697	15439245
5705	1812130
5740	4239579
5748	15296928
5780	3696123
5785	1926359
5798	4645941
5820	32028861
5837	7865841
5854	10983393
5877	37196380
5879	2406825
5898	22514361
5912	22068598
5913	9769222
5914	12093662
5916	2976727
5921	4269934
5930	12293376
5939	2927349
5951	12902646
5993	20786137
6004	4563789
6012	22400681
6050	13218262
6054	17190987
6061	18094974
6095	4191441
6101	22671632
6106	23438042
6117	2642703
6120	1777153
6121	32037436
6138	7313266
6144	19666
6160	7470072
6179	1040337
6195	16351600
6198	3210521
6201	5878020
6204	3572773
6206	12059762
6215	15954518
6228	23463022
6230	30171122
6267	2766510
6276	3058105
6278	15146301
6291	16556036
6304	3676908
6308	7288487
6316	41654590
6329	22400681
6338	27587913
6351	15408528
6360	35892020
6390	59705
6391	1229
6401	19752753
6416	8352238
6429	53743002
6441	1502762
6469	22289844
6470	19752753
6474	13819422
6504	4961209
6514	629
6538	30040289
6552	1238941
6567	7370399
6597	12718198
6653	5922787
6658	10297416
6663	5629947
6667	6631595
6676	28738887
6689	2256200
6709	462
6722	6832
6723	5926108
6731	11376995
6745	57693435
6760	13240
6771	4866694
6784	17210812
6795	60848624
6808	38522
6809	2762710
6816	4336973
6821	5560920
6834	32584497
6847	12354124
6861	19752753
6890	854
6916	18128090
6918	13423610
6920	40959643
6923	8084
6931	16517744
6936	469
6938	469
6939	10758999
6942	469
6946	2660555
6952	1572403
6953	16796208
6974	8958535
6986	17534700
6987	3726
6988	6849564
6990	13793
6997	26659429
7005	35769604
7007	6607
7013	6459589
7014	9672017
7045	7976978
7052	16929417
7058	5059414
7066	15056636
7084	4239390
7094	469
7098	9177096
7108	15016965
7119	1805898
7144	45914476
7146	469
7148	469
7158	16410564
7166	21422677
7176	16566511
7179	13967168
7183	21037373
7190	22118216
7222	23706184
7237	551546
7258	27555378
7264	17389903
7299	7125
7301	6786009
7306	22714666
7312	12354124
7327	22331455
7333	2537291
7338	33728804
7346	6586504
7353	27343
7385	17599370
7411	21488639
7425	14074268
7426	14046569
7428	12129979
7430	34113672
7435	469
7443	728209
7455	1966697
7462	5376901
7469	2537291
7496	3717
7498	2345
7499	30036602
7503	36473879
7511	5643
7525	15449700
7536	989465
7540	17606803
7546	16829400
7562	12354124
7580	17687262
7583	54534410
7590	26413476
7595	26130454
7606	2537291
7611	26570702
7637	17677296
7648	15222364
7649	9672017
7659	26846219
7688	7001138
7692	9644113
7701	12132789
7709	11924355
7714	21789847
7719	11935347
7733	26895941
7734	469
7738	19645570
7739	17404985
7741	18199105
7760	1067115
7761	12471
7773	6837932
7777	15402809
7791	10478866
7808	19752753
7816	11826341
7829	8908096
7832	976769
7854	39040011
7863	2537291
7882	3140
7887	30020491
7900	21330411
7918	14120765
7919	6757037
7923	3143
7926	11863695
7937	14811837
7938	16920600
7987	10263064
7993	16293760
8006	4506382
8007	17599370
8013	21255805
8018	13423062
8019	7490931
8029	18239245
8031	5886
8042	13843507
8044	9850265
8061	22892508
8071	22938713
8083	28458958
8096	7061964
8097	547
8101	17200621
8117	4888
8120	10162508
8148	8968220
8153	4989429
8160	18603505
8163	16259440
8170	15990716
8172	12859624
8189	768
8203	21836023
8207	26732614
8219	14177829
8229	469
8236	20817553
8244	18481587
8245	14151122
8247	17613359
8255	4246697
8286	7133306
8297	23489897
8312	1026
8321	6986553
8336	32609357
8378	6939
8394	4549416
8397	13396600
8411	4341957
8413	26763618
8417	27040677
8430	435724
8431	30842404
8438	34113672
8447	7566224
8450	7639747
8455	8067334
8458	26973160
8459	451199
8462	32113385
8463	37071961
8465	10563769
8488	6740
8489	8968876
8500	5191724
8505	117200
8510	16844818
8519	325
8526	23813
8553	13483515
8561	7755754
8563	23058708
8571	18529718
8579	1142042
8582	14550190
8589	906936
8600	1139
8603	2537291
8623	10916004
8635	329
8636	747
8641	714406
8656	8127347
8657	15047
8662	14107619
8663	3666337
8665	981650
8674	13695960
8675	224
8677	801092
8691	17380464
8698	16005649
8702	6740
8709	26943548
8710	9281103
8716	17438170
8723	22104156
8730	23356209
8742	5064111
8745	28348562
8746	5075065
8751	11976928
8759	7511160
8761	6239851
8768	9151435
8771	6531971
8782	7762556
8789	33651630
8792	1901223
8795	2987236
8796	49669761
8805	23121272
8827	23356209
8832	19640446
8833	10208713
8850	12902451
8853	45378179
8862	23356209
8885	4001
8898	5994004
8919	4326582
8921	15990916
8928	31385175
8950	11003528
8964	15658423
8965	13477583
8974	25548215
8999	21272571
9007	10210443
9012	14954184
9019	12319859
9020	3691
9026	16314568
9027	16263955
9040	28295572
9043	7374283
9045	16467154
9047	8693851
9052	3209902
9077	21184523
9079	21799050
9094	17462194
9095	11381191
9106	18199105
9108	15986495
9119	11962680
9132	27023246
9155	15446089
9173	5851825
9178	15779666
9209	3566981
9214	11412
9226	8059986
9228	5808750
9232	11642702
9238	29309572
9248	23199674
9260	14597113
9265	12422181
9267	10583064
9269	11935225
9270	15560056
9288	665572
9291	23050593
9299	12354124
9317	1578327
9327	615512
9338	888918
9341	15882016
9345	26085890
9348	473
9367	20919457
9383	29228429
9408	69
9410	15502170
9411	31582200
9412	47
9414	31582612
9415	33683259
9420	64
9442	11064522
9448	3343733
9449	32417767
9458	3534
9466	23354713
9474	18529718
9485	19344795
9495	32389039
9504	16002327
9519	3274
9534	10047028
9539	5076415
9541	5943121
9554	17599370
9577	3596
9578	8730127
9583	6371
9587	6651
9602	19110073
9603	5897614
9617	5891067
9625	13556055
9636	26841931
9638	1972
9648	44141487
9652	15637313
9655	1748599
9657	823939
9661	4418664
9668	1506540
9670	14027066
9678	4418664
9683	29195152
9716	16622293
9718	8661053
9721	28821541
9722	1710520
9729	3676080
9732	35152074
9735	7068800
9741	1592142
9744	12017265
9748	12862270
9752	32541166
9758	14714993
9759	15721207
9770	15646032
9772	8329805
9774	14024582
9779	3713923
9790	5498327
9793	9830
9794	13417703
9798	4326582
9806	19731906
9808	14027307
9810	24255302
9811	19131028
9813	14571626
9821	2627
9827	4326582
9846	16065248
9851	11660483
9853	12558110
9864	9711
9870	21071952
9878	3654628
9880	38687139
9902	26588838
9922	23850926
9930	2275293
9933	26661827
9944	6784060
9950	7662130
9951	16510731
9954	3890836
9960	14820993
9961	4957249
9986	28801876
9990	3004
10007	17296105
10008	8400
10018	16279574
10021	10169135
10026	6133
10033	6784060
10037	14099158
10052	387
10054	9737
10061	14822828
10070	1382
10071	1451
10075	15656638
10076	12869330
10079	4913960
10086	2642703
10088	955
10091	8044307
10107	2985601
10112	17390019
10121	16363320
10122	5560920
10123	15806128
10127	28878184
10128	37071961
10134	5745
10145	7865841
10167	664
10171	15016965
10172	4814730
10187	25935
10195	16028886
10203	623
10205	9135000
10206	50642870
10209	7892
10212	9178481
10213	22048669
10228	29470493
10233	15815741
10236	34477976
10245	1901
10254	13094398
10262	15864964
10264	32438197
10276	1835
10282	10395819
10286	4162404
10287	15955195
10293	3484463
10296	15643396
10301	3691410
10306	16126712
10307	14693325
10317	3735
10322	11924962
10323	14176520
10324	5231090
10326	9217
10331	40952
10334	3188172
10335	27660577
10336	22934375
10341	15297178
10346	17349436
10347	791
10350	4235717
10356	4979924
10363	10085902
10374	31122143
10376	11412
10393	10633593
10405	15308555
10406	27500807
10410	22280525
10436	11310939
10444	1903
10447	23954716
10462	38490691
10472	9552856
10493	1689
10540	6014986
10561	17272802
10566	8542045
10567	133
10607	805
10608	60
10610	6953942
10611	954
10612	61
10613	60
10614	20331902
10633	653
10637	69
10664	10542323
10665	14910852
10672	15673948
10685	462
10694	8484287
10702	10619494
10704	4326582
10713	13274208
10716	25672274
10718	17296496
10722	24889416
10727	5073653
10739	13400635
10743	849414
10765	11653771
10766	16239350
10772	15421548
10774	14628549
10806	25903481
10814	11679668
10819	572068
10833	4875256
10838	11660769
10844	4846782
10845	7796
10872	15366220
10875	9217
10879	9217
10882	22621766
10891	4405123
10900	27102036
10905	16408593
10906	3156554
10907	15477836
10908	20256102
10912	387750
10914	4842
10918	30889507
10919	38535318
10925	14521772
10928	39862596
10936	32645104
10938	11632538
10967	10898810
10969	10499255
10980	3582616
10983	20845579
10997	5278830
10998	15018723
11004	27111611
11009	14162369
11011	1468206
11021	36743638
11031	6903394
11032	15468803
11036	16655426
11038	11080704
11040	15984994
11048	6357980
11053	6284043
11056	23957525
11060	6932780
11061	10095302
11067	17230365
11075	32805316
11077	15365002
11089	6230208
11093	13021853
11099	10841207
11101	15817319
11102	30850518
11106	11046702
11109	26670886
11114	14273857
11120	7539
11123	13994187
11124	11187441
11125	4911553
11129	28973951
11131	1901223
11140	9690
11141	16349812
11163	15236460
11169	19611997
11172	4509605
11173	15678454
11177	39317744
11188	24008391
11189	548062
11193	13091153
11195	10595635
11197	30949788
11209	16491656
11214	12084955
11216	12774003
11225	9989753
11226	10840352
11228	40319385
11233	12998247
11236	5073417
11237	15645769
11242	25554079
11243	2707769
11249	5013128
11250	21763039
11257	12285617
11263	11670435
11289	8215636
11291	21352739
11297	14926526
11299	8473063
11300	23557952
11305	13651317
11310	35336418
11311	7732796
11320	11446122
11322	9384747
11326	3094
11329	62658134
11331	25121076
11332	24632288
11335	19737548
11343	1193401
11344	21268942
11349	27096758
11351	4326582
11363	47471438
11371	902
11378	11487482
11379	24451275
11386	25599371
11396	2245
11399	6136
11405	9217
11414	16604065
11415	12268864
11417	31102724
11419	29705733
11425	4150746
11430	26471437
11432	30013743
11433	1787205
11436	16313687
11443	26433931
11445	4777741
11458	1541
11459	3967
11463	11158470
11464	18411880
11465	14854790
11481	8904929
11482	4938224
11484	1896912
11486	16605997
11487	584165
11490	20306331
11491	16556769
11493	5924607
11497	12183815
11498	28571683
11499	4181
11500	3316504
11503	20924520
11504	16885740
11505	17483354
11507	19077837
11511	16823922
11513	14704771
11516	24469409
11518	42952771
11524	12701141
11527	6444449
11528	24495510
11529	14169894
11541	22196598
11542	14168213
11543	335201
11544	24609952
11546	16159738
11547	12874543
11548	24797312
11561	153337
11564	3318409
11574	1425418
11575	14242923
11579	12625
11585	19457732
11590	19100213
11591	17067741
11592	9217
11614	4517486
11617	35576647
11619	24826643
11620	22790195
11625	16641422
11627	29597132
11628	22465545
11636	11804396
11638	13047613
11643	25323357
11646	26976114
11647	44943915
11650	26976114
11652	7256316
11653	32452377
11656	3156554
11657	26976114
11659	56531389
11670	18540399
11671	43253801
11679	29187731
11680	8962481
11685	14756834
11691	6880152
11694	3064010
11695	3978105
11704	9865409
11713	16579539
11716	13089888
11724	9217
11726	54556550
11727	15223007
11728	4734379
11734	4972330
11739	1003579
11741	5073417
11743	25355571
11744	17428878
11765	13580198
11775	25155472
11780	3639746
11783	24602746
11786	16239197
11787	371
11788	19356886
11789	17424822
11800	16719118
11801	27650252
11805	51069314
11807	28337888
11810	16354748
11821	3675488
11826	51069314
11827	7999
11828	71
11829	6794485
11831	14850002
11832	6841009
11842	10656
11847	21506800
11856	18754029
11873	2347
11893	956884
11897	6895663
11900	20641984
11908	22450686
