geneid	dist
559	4876
564	6128
572	8055
575	8278
579	7522
582	7361
590	6681
594	5828
602	5412
605	5122
614	3546
619	1742
624	1139
631	13009
992	51647714
1032	73836456
1238	73836456
1711	152
1712	152
2011	1352950
3124	1622371
3150	8120
3152	293
3855	1028939
3911	9552307
4104	4663489
4202	1028939
4208	3782818
4275	1028939
4374	1028939
4378	51454168
4475	2007755
4513	1028939
4536	41853433
4540	41853433
4542	41853433
4545	41853433
4548	17210837
4559	41853433
4580	41853433
4595	41853433
4623	41853433
4676	1635574
4714	17210837
4717	1028939
4744	852808
4747	1028939
4756	8073744
4772	3782818
4828	3782818
4841	3782818
4857	664383
4881	9935353
4901	9171279
5007	9651661
5051	2803447
5059	442436
5085	2790733
5098	280981
5143	1298983
5151	5043045
5161	1500402
5197	1206921
5198	5975260
5216	7085318
5234	25483284
5242	480121
5249	1320981
5266	12405353
5280	1582408
5291	7361573
5302	89746
5331	12256000
5345	5310843
5362	3047354
5369	7759576
5397	10285112
5401	1270185
5467	22303071
5468	10305438
5470	26178561
5471	18033787
5505	1858409
5506	931649
5522	65096532
5557	5346057
5562	5614454
5597	15824166
5599	18400398
5608	64955608
5631	72493603
5670	15559312
5691	24087067
5697	4428740
5705	22144954
5740	12338337
5748	4366254
5780	19147159
5785	13259019
5798	15936246
5820	64723778
5837	1297994
5841	14796460
5843	18355521
5854	11119471
5874	14523438
5877	10625344
5879	71701466
5895	14682314
5898	23894727
5912	22700675
5913	65023270
5914	65349190
5916	11182223
5921	18757869
5930	66708034
5939	72485173
5951	18297826
5977	12256000
5993	61766090
6004	14576108
6023	16738760
6050	18251949
6054	10624496
6061	8264996
6095	12997818
6101	24752244
6105	22920181
6106	34136905
6117	34389730
6120	14183637
6121	64675898
6137	4981076
6144	4583
6160	26132123
6179	34060164
6195	34998245
6198	69548918
6201	1270185
6204	15906847
6206	65258341
6215	23198886
6228	34117873
6230	51945873
6253	50383022
6266	37102383
6267	23136242
6276	50726982
6278	4869328
6291	50491950
6295	14523438
6304	16017364
6308	25994651
6316	7907052
6329	23159717
6338	1321828
6351	18878258
6360	25900802
6390	29484552
6401	49662998
6416	35063389
6441	73885681
6469	22634407
6470	49662998
6504	14154246
6514	74498056
6538	54252973
6552	31592411
6567	15435509
6597	44873112
6639	48952565
6653	50329782
6658	26982521
6663	14057370
6667	11266448
6676	50759283
6689	35371955
6709	2068355
6722	33766428
6723	66765122
6731	572090
6745	21622392
6760	71947938
6764	13807075
6771	14751053
6784	15440597
6795	10305438
6808	5795264
6809	73439093
6813	29306996
6816	31532648
6820	28780954
6821	1378155
6826	28110494
6834	28701113
6839	10327664
6850	49010876
6855	29306996
6861	49662998
6863	12784189
6890	25938543
6898	14707906
6902	48952565
6905	16881330
6913	49010876
6916	8315971
6918	49917469
6920	14761997
6923	10991124
6926	28045755
6931	29278606
6936	48944712
6938	48944712
6939	30995427
6946	10527268
6952	11976172
6953	47737998
6974	15551359
6986	15761215
6987	28405797
6988	18980560
6990	10731250
6997	49697071
7005	29544590
7007	29328231
7013	11925747
7014	29941100
7045	28625484
7057	28085995
7058	11064066
7066	3047354
7084	31501034
7094	48944712
7098	48905551
7108	95320607
7114	30341629
7119	20878215
7144	72212887
7146	48938628
7151	48867363
7158	14381617
7166	43442985
7176	29201023
7179	99332381
7183	59946605
7190	26375716
7222	12132149
7237	46842459
7258	60214523
7264	25923004
7299	40744248
7301	19227576
7306	42863898
7327	12578953
7333	30435632
7338	22037023
7346	26120347
7353	32994837
7385	11929669
7387	47266595
7411	48157941
7425	72067204
7426	10252988
7428	31056312
7430	10144140
7435	48944712
7443	73829555
7455	46017036
7461	47161889
7462	22954424
7469	30426682
7496	12526274
7497	27864280
7498	30611727
7499	26719492
7503	29063671
7511	10994015
7525	4689432
7536	31225129
7540	14970100
7546	95895027
7562	49935617
7580	26947435
7583	30709382
7590	16802442
7595	48303510
7606	30417127
7611	29193494
7621	99993462
7637	14476189
7648	95616755
7649	29857761
7659	25373281
7688	95750875
7692	30239692
7701	31081629
7709	30766608
7714	8184652
7719	30795556
7733	7069518
7734	48938628
7738	8712393
7739	25966843
7741	10803802
7760	74152256
7761	25771961
7773	12600665
7776	14892436
7777	4181093
7783	14582324
7791	25903944
7808	49662998
7816	169758
7829	15310588
7832	6596878
7834	27841306
7854	7443960
7882	11484032
7883	26050354
7887	26737626
7900	1194315
7907	49010876
7910	26518267
7918	8311418
7919	7343
7923	29682323
7926	164409
7931	14897568
7933	10628348
7937	28491886
7938	28679231
7983	13278
7987	27716059
7988	49010876
7993	48051660
8002	49010876
8006	15410473
8013	47526457
8018	24935378
8019	21872726
8029	430095
8031	15656805
8042	51001008
8044	9777922
8061	162120
8071	20906608
8082	104483733
8083	14837416
8090	28104171
8094	30230177
8096	27135423
8097	73870249
8101	15416167
8117	21903269
8120	3266076
8143	103859513
8147	26295171
8148	5751692
8153	43381560
8160	18518146
8163	48040822
8164	61528235
8170	62839818
8172	12437
8184	14523438
8189	24789522
8203	48705841
8207	7618511
8219	9696025
8229	48944712
8234	8552925
8236	61903498
8244	45140570
8245	9620485
8247	11233005
8255	103087249
8286	100291585
8297	34091717
8312	95492709
8317	28021034
8321	96066949
8332	100512463
8336	26178561
8338	932
8339	42838401
8360	47238749
8378	10521736
8394	14737579
8397	24945469
8411	103887284
8413	27064134
8417	5844406
8430	158230
8431	15472314
8438	10144140
8441	103752427
8447	754115
8450	7562737
8455	2825846
8458	2138709
8459	311838
8462	64599917
8463	48523595
8465	9293246
8481	3368871
8489	19630085
8500	106700261
8505	121201
8510	95780758
8519	9651661
8526	9618706
8547	151729
8553	14011700
8557	10149726
8561	114730705
8562	104474489
8563	34384
8571	99809899
8577	97511358
8579	11088
8582	3927183
8600	33702
8603	30454677
8623	22627516
8625	24689084
8635	39454240
8636	289061
8641	4787475
8653	15507867
8656	3972870
8657	104417105
8662	298493
8663	15565724
8665	10244619
8673	112552521
8675	26801155
8677	147413
8691	5092515
8698	13906063
8702	276647
8708	194301
8709	6418708
8710	115133290
8716	5408125
8723	4921
8731	12309699
8742	11108741
8745	11409057
8746	106013574
8751	10429478
8759	6524994
8761	2787304
8768	98456433
8771	7896747
8775	630649
8782	2007755
8789	22357476
8792	15603974
8795	16063881
8805	22274950
8832	525144
8833	100476761
8853	7593543
8885	535512
8898	517523
8921	13829075
8928	28488265
8950	11151013
8964	34198467
8965	54663450
8969	15158349
8974	740329
8986	4389943
8994	3819080
8999	23029229
9007	100535993
9012	673480
9020	15365565
9026	3396907
9027	16005174
9040	3296329
9043	12710435
9045	1147220
9047	98015089
9052	15251232
9067	4119131
9077	3614984
9079	21347396
9094	8929767
9106	10803802
9119	11473968
9132	6312142
9155	16575364
9173	115298817
9178	4852056
9195	15149804
9196	10840598
9203	15550058
9209	17951678
9214	2107181
9216	29200573
9226	112626394
