geneid	dist
582	81190225
602	35755817
631	104610783
992	28355893
1005	72327297
1024	28335985
1032	36041152
1152	79804116
1238	36041152
1325	36442591
2011	1634016
2256	79804116
2929	51507
3124	1960867
3152	164567
3159	1544100
3855	1482684
3911	449033
4104	5788673
4202	1482684
4208	32886851
4275	1482684
4374	1482684
4378	58283956
4475	3166960
4513	1482684
4527	57983245
4536	32829749
4540	32829749
4542	32829749
4544	122
4545	32829749
4546	122
4548	1048799
4559	32829749
4566	19933619
4580	32829749
4595	32829749
4623	32829749
4676	1360786
4714	1048799
4716	60132486
4717	1482684
4747	1482684
4772	32886851
4828	32886851
4841	32886851
4856	7085037
4857	931
4881	802693
4901	313978
4919	190000
5007	8887081
5051	84640723
5059	89009554
5085	84812978
5098	89194833
5143	87318167
5151	24821992
5161	87191880
5197	1856618
5198	25922851
5216	27327726
5234	25798931
5242	88888399
5249	87309192
5266	33221258
5280	87007187
5291	27638271
5302	25221854
5305	27471727
5331	33013885
5345	25168297
5362	84618139
5369	28121500
5397	10132698
5401	1915577
5467	44992154
5468	10146621
5470	26491005
5471	39841678
5505	2486842
5506	88107191
5522	47073236
5546	15414439
5557	25204089
5562	25546133
5597	15258366
5599	40185785
5608	47362992
5631	12569072
5659	14114813
5670	37241337
5691	46701885
5697	24033142
5705	84218516
5706	44110010
5711	13901861
5730	13268810
5740	11990362
5748	82519945
5772	5342067
5780	18704467
5785	34400340
5798	15407712
5820	47677385
5837	1933759
5841	14223943
5843	17927355
5854	10897137
5874	13988580
5877	10459850
5879	33930159
5895	14112324
5898	46550067
5912	45451317
5913	47102510
5914	46822747
5916	10945383
5921	40323487
5930	315551
5939	12552073
5951	40046796
5977	33013885
5993	49667065
6004	36166483
6012	45931557
6023	38482197
6033	13323875
6050	40011607
6055	13945994
6061	8330049
6095	12538672
6101	47482010
6106	8789999
6117	57062918
6120	35666264
6121	47723910
6137	5235010
6144	30062414
6160	49198637
6179	68556196
6195	65894942
6197	13887363
6198	41969743
6201	1915577
6204	15381079
6206	46976615
6215	45968486
6228	68290253
6230	39823758
6266	65849454
6267	23053685
6276	38678582
