geneid	dist
559	72582036
619	18581745
992	332473
1024	285385
1430	30049634
2011	15414430
2735	4241257
2929	1677429
2932	412772
3152	412772
3361	4241257
3911	8082363
3990	15424404
4104	20820318
4208	35870037
4378	2615645
4416	5139587
4448	63290781
4475	22303127
4544	31732
4546	31732
4548	6082593
4714	6082593
4734	63290781
4750	63290781
4772	35870037
4827	63290781
4828	35870037
4841	35870037
4867	5139587
4881	13802006
4901	7948393
4919	6975012
5007	18864266
5051	47235138
5085	47226441
5098	45418296
5143	46097282
5151	48476809
5161	46305542
5197	6393946
5198	48895781
5216	49466705
5234	7298431
5249	46115593
5266	51979989
5280	46359007
5291	49610847
5302	9209445
5305	49551611
5357	56752086
5362	47405227
5369	49713817
5401	6328560
5467	56773264
5470	7548818
5471	55105505
5505	5918335
5506	45832484
5522	46945368
5546	3930341
5557	48598744
5562	48759722
5599	55258716
5608	46887254
5654	4861033
5659	51603975
5670	53909841
5691	10025387
5697	48132463
5705	56719159
5740	19448645
5748	48099004
5780	5169567
5785	52479183
5798	3949480
5820	46774963
5837	6320681
5854	891803
5879	50147834
5898	57309974
5913	3984870
5914	47077262
5916	1433701
5921	55407746
5930	47678780
5939	50532905
5951	55197887
5993	45494917
6004	53472145
6012	57192774
6050	55183579
6054	1596379
6061	2557969
6101	56627018
6117	52385906
6120	53163848
6121	46754781
6144	50419493
6160	55891657
6179	47356960
6195	3001308
6198	48899570
6201	6328560
6204	3960933
6206	47028115
6215	57206971
6228	47393892
6230	41224782
6266	48875764
6267	6289156
6276	65863188
6278	48375561
6291	5898283
6304	3924879
6308	55925949
6316	49773894
6329	57192774
6338	46118302
6351	5144868
6360	56048210
6391	2959185
6401	2873372
6416	2953546
6429	22331132
6441	51854150
6470	2873372
6474	5822687
6504	53077467
6538	42230532
6552	46471478
6567	18903084
6597	32454836
6658	44239950
6663	52896199
6667	742218
6676	2788429
6689	48111192
6709	5726460
6722	47235398
6723	47696165
6731	45539304
6760	50253216
6771	18715158
6784	41348715
6808	48845853
6809	51571242
6813	7811244
6816	3669357
6820	7734940
6821	6303266
6834	7725282
6839	1722155
6855	7811244
6861	2873372
6863	18469414
6890	7480374
6905	24492755
6916	2543282
6917	23498652
6918	2446679
6920	765614
6923	39549985
6931	28118632
6936	5651029
6938	5651029
6939	198796
6942	5651029
6946	50774692
6952	4074655
6953	1476344
6974	41379803
6986	24888427
6987	45006177
6988	23663302
6990	39416729
6997	2994310
7005	7795500
7007	45482951
7014	6636803
7045	7714127
7058	867183
7066	47405227
7084	3608664
7094	5651029
7108	34265424
7119	5187529
7144	50382148
7146	5651029
7148	5651029
7158	53173399
7162	2409332
7166	4617807
7176	28140217
7179	1368475
7183	640450
7190	55824880
7222	40065558
7237	1770875
7258	44708165
7264	3498867
7299	6370777
7301	23597102
7306	511934
7327	19907266
7338	4855721
7346	22784351
7353	53042351
7411	3484073
7425	50314226
7426	21711553
7428	19050026
7430	21798147
7435	5651029
7443	51826476
7455	5399801
7461	1639967
7462	4528229
7496	19717727
7498	53869774
7499	22655669
7503	45384904
7511	21363499
7525	48280149
7536	46306613
7540	772704
7546	34487364
7580	22604997
7583	22972390
7590	24493660
7595	3455282
7611	28202335
7637	684510
7648	34375385
7649	6604258
7659	4491
7688	34414020
7692	27964231
7701	308437
7709	23028809
7714	2570452
7719	23047488
7733	3232084
7734	5651029
7738	22659167
7739	3396589
7760	51968936
7761	56071597
7773	52073659
7776	793549
7777	48009257
7791	7327617
7808	2873372
7816	2278422
7829	41284405
7832	49246356
7834	7631789
7854	2944819
7882	39737818
7883	22799622
7887	22634618
7910	7302209
7918	22942210
7923	7785631
7926	2277355
7931	25106065
7933	39283830
7937	7704094
7938	28374461
7983	20862708
7987	44591799
7993	3529876
8006	53848131
8013	1502683
8018	959603
8019	56593061
8029	20648656
8031	4046822
8042	65425870
8044	21987577
8071	56185034
8074	33035271
8082	23403914
8083	786673
8096	7459399
8097	51843120
8101	41332072
8117	4967401
8120	47559474
8147	7267377
8148	8665432
8153	33148577
8160	55280938
8163	3561235
8170	46036946
8172	41141079
8189	3059436
8203	3280298
8207	2942207
8219	21991382
8229	5651029
8236	45538917
8244	5223756
8245	22048515
8247	21217845
8286	1616568
8297	47376304
8312	34322945
8321	34560481
8336	7548818
8360	1595126
8378	21535327
8394	53546397
8397	910534
8413	7446132
8417	3687743
8430	33957279
8438	21798147
8447	23481192
8455	21752292
8458	24769203
8459	10608604
8462	46730561
8463	3371024
8465	22192516
8481	21484376
8488	623445
8489	23422806
8500	2136484
8505	34564203
8510	34428326
8519	18864266
8526	50724300
8553	694198
8561	60363710
8563	34621795
8571	1368580
8577	419434
8579	33620057
8582	11031139
8600	2211721
8623	41879691
8625	2754644
8635	49888956
8641	20532688
8656	21176190
8662	10681801
8663	5827959
8665	21730680
8673	1834775
8674	22268041
8675	22623479
8677	34519981
8691	9190214
8698	40875003
8702	34388740
8709	3402270
8710	60583748
8723	20405534
8730	17458644
8742	883550
8745	17933298
8746	2211843
8751	21587377
8759	23629697
8761	14482401
8768	785051
8771	13563113
8782	22303127
8789	4786298
8792	53932220
8795	17122568
8796	34024004
8805	7067115
8827	17458644
8832	10820964
8833	1692242
8862	17458644
8885	26244977
8898	26269427
8919	3429458
8921	40841811
8928	8524325
8950	910503
8964	9078479
8965	42404219
8974	16968744
8986	10803490
8999	3095704
9012	10938574
9019	34403711
9020	16060984
9026	24129830
9027	6074003
9040	11665242
9043	17308448
9045	11384486
9047	597008
9052	16098740
9077	3463893
9079	4241863
9094	22345200
9095	3333455
9108	24629235
9119	17918038
9132	3577774
9155	15414034
9173	60662922
9178	2546619
9196	21379550
9209	17772993
9214	5701765
9216	2420746
9226	1816145
9228	4325441
9232	45776365
9238	759730
9248	54269206
9251	7165128
9260	4815555
9265	55150438
9267	9885825
9269	56754212
9270	3157131
9287	13852530
9288	14790963
9291	34601269
9317	24373064
9324	5880410
9327	14751657
9338	26819396
9341	5010097
9345	3476933
9348	45747260
9367	6324459
9383	14996666
9405	1213732
9410	7439698
9411	7842555
9414	7841850
9415	7807869
9420	5194477
9442	8046337
9448	10908955
9449	5116093
9466	5394417
9474	1368580
9485	4541867
9495	5143933
9504	5333733
9513	7267377
9519	26424309
9534	21411091
9539	2464857
9541	4146775
9578	40972238
9583	2089084
9587	26440032
9588	1842648
9600	26864590
9602	12482198
9603	4224583
9617	53247006
9625	4368683
9633	2325269
9636	23174685
9638	26348538
9648	29497938
9652	2993131
9657	26846385
9661	19350493
9668	25020241
9670	2768357
9678	19350493
9683	21755932
9716	35813388
9718	26158632
9721	39240879
9722	3726070
9725	61175654
9729	3107059
9732	26534925
9735	59766140
9741	18514748
9744	46957410
9745	4963464
9748	26171574
9758	11300261
9759	8958148
9770	9144738
9772	9209584
9779	5190113
9790	53946585
9793	17036486
9794	6517875
9798	3429458
9806	8711320
9808	21753215
9810	3347258
9811	18089291
9813	11700994
9821	72577419
9827	3429458
9846	10694049
9851	45763263
9853	16012015
9864	39115051
9870	696253
9878	4623565
9880	23144319
9893	1722155
9902	2729898
9922	21200734
9930	39156261
9944	6054754
9950	60198342
9951	25777654
9954	5910706
9960	21823020
9961	6112904
9986	6700009
9990	51880556
9994	8104778
10007	8699888
10018	330843
10021	25986638
10026	44995062
10052	6098930
10054	26381292
10061	23792413
10070	51909377
10071	12195597
10075	2973085
10076	26134127
10079	6250682
10086	52385906
10088	42802636
10091	1805836
10107	49346654
10112	26098728
10120	1213732
10121	6572005
10122	6303266
10123	2414057
10127	60836572
10128	3371024
10133	53633263
10143	17118206
10145	6320681
10167	3048679
10171	34265424
10172	15891729
10187	26793364
10203	48534497
10204	55118754
10205	41915295
10206	5365113
10212	26210437
10213	250715
10233	2355839
10236	1429222
10254	9197096
10262	4976569
10264	5071027
10269	14716506
10276	11623704
10282	823210
10286	38365214
10287	5288861
10296	2984700
10298	874402
10301	55295907
10306	48651011
10307	4790770
10317	72616069
10322	65380220
10323	196107
10324	36063101
10326	306617
10331	40008778
10334	16118635
10335	44539881
10336	4920494
10341	13859233
10347	16352347
10350	60281576
10356	5634683
10357	16970364
10363	48639484
10374	58348468
10376	5701765
10393	1134034
10405	13830983
10406	45184368
10410	7100195
10436	8169620
10444	56720138
10447	45411945
10462	33438
10472	56150934
10479	6075863
10488	48295326
10489	48295837
10493	33347129
10540	4286037
10566	516453
10567	31218974
10608	42832577
10610	42832427
10611	42832279
10612	42832123
10613	42831989
10614	42831867
10633	21773865
10637	1463847
10664	5752184
10665	3832386
10670	1825129
10672	2941599
10685	5726460
10694	55692838
10702	909342
10704	3429458
10713	55006939
10716	5757379
10722	54976198
10727	2456343
10739	54521375
10743	20564609
10765	20183620
10766	72542242
10771	730270
10772	21102276
10774	1055494
10806	748572
10814	2077699
10819	20911077
10833	58277859
10838	17280690
10844	2072227
10845	10819678
10872	20954423
10875	306617
10879	306617
10882	407781
10891	33555157
10900	11139045
10907	21240472
10908	21465357
10912	14075986
10913	10894585
10914	17061497
10918	57962930
10919	3708385
10925	18451000
10935	44324562
10936	16253440
10938	16932908
10951	4860714
10967	10924233
10969	49382832
10980	17776263
10983	3575621
10997	54406703
10998	47235138
11004	21689707
11009	50082730
11021	4741733
11031	5567874
11032	15526447
11036	7147144
11038	57453
11040	45835275
11053	52223103
11056	3429582
11060	5578496
11061	515561
11067	13748544
11075	883937
11077	5128014
11089	52247149
11093	600770
11099	14318164
11101	4334180
11102	3899445
11106	1878141
11109	2871793
11114	657468
11120	2939713
11123	360974
11124	60431755
11125	2670126
11129	1711194
11131	53932220
11140	3154022
11141	311703
11163	2258758
11167	4777510
11172	19343593
11173	1304998
11177	6343636
11188	3388249
11193	9167500
11195	2480229
11197	502622
11209	6009203
11214	22806237
11216	6810547
11217	2909569
11225	21329018
11226	7250171
11228	6293658
11233	606537
11236	18713611
11237	1318325
11242	16989812
11249	1597345
11263	20207612
11289	6705534
11291	1137122
11297	11653701
11299	18599682
11301	6188919
11306	54171641
11310	5158715
11311	54114590
11320	22366015
11322	60475769
11326	6946586
11329	6386322
11331	26003761
11335	8750467
11343	33536727
11344	4747456
11349	3827514
11351	3429458
11366	33432885
11371	4022546
11374	20080619
11378	3989856
11379	3877709
11386	29351874
11395	1190192
11396	2226850
11399	7412381
11400	20887079
11405	306617
11410	4738552
11414	17181966
11415	577922
11417	2939222
11419	2903823
11425	3981038
11433	16580310
11436	57234
11443	6076311
11445	17091325
11458	21308850
11459	5060276
11463	1306435
11464	16511967
11465	8195882
11481	6973602
11482	2658008
11484	52123856
11486	2827465
11487	4076819
11490	21579817
11491	2841847
11493	52634060
11498	249263
11499	22310096
11500	15593758
11503	3022635
11504	5894887
11505	9014584
