geneid	dist
992	2089829
1024	3080073
1430	4387113
2011	6846803
3124	5884559
3855	2067152
3911	14161905
3990	1334017
4202	2067152
4208	4083435
4275	2067152
4374	2067152
4378	4611604
4416	4367855
4448	522205
4475	1248545
4513	2067152
4544	237635
4546	237635
4676	89188
4716	2206616
4717	2067152
4734	522205
4747	2067152
4750	522205
4772	4083435
4827	522205
4828	4083435
4841	4083435
4857	4085276
4867	4367855
4901	2162716
5051	5979719
5059	3032112
5085	4411448
5143	5400492
5151	5906793
5161	560123
5198	2299966
5216	13226552
5242	2644613
5249	2762447
5264	4216312
5266	650670
5291	450372
5302	257349
5305	457290
5357	5501907
5362	5977072
5467	5763846
5470	3816891
5471	12699062
5505	11960535
5506	2694435
5522	4234821
5546	2494724
5562	5929954
5599	2191323
5608	4258799
5654	3911834
5670	3283630
5697	5887859
5705	5506244
5740	3627927
5748	2517343
5780	2745975
5785	731989
5798	2492048
5820	2784759
5837	9601645
5854	6428004
5877	1387076
5879	3252135
5898	331725
5912	6645679
5913	7722505
5914	5418322
5921	2778705
5939	3313060
5951	8599374
5993	1023268
6004	2724125
6012	303188
6050	12679004
6054	11298063
6061	11352326
6095	997685
6101	14152446
6106	4799206
6117	5008191
6120	1246507
6121	2789249
6144	30802
6160	3083736
6179	4789283
6195	4469033
6198	3393011
6204	1911253
6206	4224952
6230	2101751
6267	6742223
6276	4685164
6278	5900396
6291	4168456
6308	3090161
6316	439201
6329	303188
6338	6474476
6351	2771940
6360	3110739
6390	13248348
6391	146034
6401	9751875
6429	4036353
6441	2457246
6469	6649311
6470	9751875
6474	2780016
6504	3756928
6514	6052955
6538	2062303
6552	13399099
6567	1062295
6597	5637576
6653	4741429
6658	4548926
6667	663685
6689	4818956
6709	6968423
6722	4778163
6723	15160
6731	5130691
6745	9969874
6760	3268626
6771	2464483
6784	2172462
6808	5953441
6809	3158066
6816	7306452
6821	14361548
6847	991530
6861	9751875
6890	1433036
6916	11340701
6917	614623
6918	1735137
6920	6605368
6923	4825672
6931	4089594
6939	1316056
6946	33174
6952	1296973
6953	6690588
6974	10574352
6986	5999888
6987	5443670
6988	1519939
6997	4771714
7005	5949677
7007	13240937
7013	698556
7014	739547
7045	1897559
7052	3235933
7058	7632879
7066	5977072
7084	2227420
7108	2642147
7119	741141
7144	3309178
7158	7121086
7166	3777865
7176	3188546
7179	5946658
7183	1844067
7190	5856192
7222	640448
7237	3361264
7258	1143775
7264	5268179
7299	3895788
7301	4147057
7306	4135598
7312	991530
7327	1113684
7333	514394
7338	810687
7346	1176680
7353	4981793
7385	683443
7411	1649559
7425	3291376
7426	3721416
7428	6576488
7430	1771315
7443	11151
7455	4049967
7462	879527
7469	514394
7498	4796066
7499	8280184
7503	3120865
7511	6382356
7525	5893223
7536	4210724
7540	5969869
7546	6106479
7562	991530
7580	5410366
7583	6626083
7590	482246
7606	514394
7611	3209003
7637	5925148
7648	2724675
7649	739547
7659	8055521
7688	6094537
7692	5542054
7701	6569860
7709	6620365
7719	6618354
7733	6495584
7738	31080
7739	5277239
7741	7019207
7760	6232053
7761	8811510
7773	145565
7776	7976270
7777	5873892
7791	625893
7808	9751875
7816	14191696
7829	10554589
7832	1290118
7854	6476422
7863	514394
7882	5856328
7900	765766
7918	3699930
7923	4619764
7926	14189676
7933	13652212
7937	1667038
7938	3978047
7987	4568663
7993	6520256
8006	2662554
8007	683443
8013	1731500
8018	5786734
8019	10808187
8031	1074217
8042	1999058
8044	6306872
8061	8241496
8083	7971938
8097	6314544
8101	1727470
8117	798811
8120	5116557
8153	6321740
8160	2179110
8163	6515082
8172	5440021
8189	751462
8203	1557078
8207	6489317
8219	10042016
8236	1010277
8244	2664306
8245	3685071
8247	753195
8255	1627569
8286	8505063
8297	4794608
8312	1678482
8321	6116538
8336	3816891
8378	765619
8394	2691237
8397	5801999
8413	125867
8430	14037844
8431	3247343
8438	1771315
8447	1554387
8450	583425
8455	44576
8459	8308795
8462	2812944
8463	6761611
8465	6435980
8488	510391
8500	1005898
8505	13949305
8510	973923
8526	75477
8553	10004682
8561	1655561
8563	7390792
8571	4346478
8579	4021361
8582	2187181
8600	2979471
8603	514394
8623	4043364
8635	5343980
8636	4487709
8641	4135166
8656	19162
8657	575215
8662	5875865
8663	553952
8665	1832
8674	26748
8675	1208739
8677	13955038
8691	401352
8698	10492589
8702	510391
8709	6335158
8710	905207
8723	4110657
8730	6520299
8742	7636474
8745	10963090
8746	931061
8751	6433029
8759	1581685
8761	1777177
8768	5360622
8771	897236
8782	1248545
8789	827346
8792	1230368
8795	6914376
8796	6148
8805	4869968
8827	6520299
8832	1041563
8850	1846875
8862	6520299
8885	4568363
8898	4564854
8919	819933
8921	10484799
8928	482269
8950	780117
8964	12091034
8965	3067794
8974	2014036
8986	163863
8999	1770675
9007	8515285
9012	980171
9019	5930441
9020	5890264
9026	11793258
9027	51782
9040	2223945
9043	6026580
9045	952420
9047	5390220
9052	5910014
9077	2991958
9079	6933498
9094	660652
9106	7019207
9108	11869537
9119	10973641
9155	1328141
9178	3171944
9209	2801681
9214	6963796
9226	5551275
9228	7389756
9232	891280
9238	2346315
9248	1993959
9265	12685894
9267	5725719
9269	3605208
9270	3068529
9287	1678574
9288	2690618
9291	7381260
9299	991530
9317	5308440
9327	2684605
9338	13938507
9341	767452
9345	9331876
9348	2963962
9367	1627482
9383	2715299
9410	9062237
9414	5136996
9442	3921603
9448	3835
9449	1428808
9458	4692266
9466	3213543
9474	4346478
9485	4468971
9495	1418320
9504	808885
9519	12223797
9534	4501281
9539	7643857
9541	6922143
9554	683443
9577	4649542
9578	5417914
9583	6422888
9602	1353720
9603	7410689
9617	21789
9621	971298
9625	5734189
9636	67328
9638	4552218
9648	4788079
9652	3109055
9655	1250300
9657	13942703
9661	966697
9668	908011
9670	7814478
9678	966697
9683	9998140
9716	11705411
9718	6680912
9722	3730404
9729	2689905
9735	1730073
9741	1001114
9744	4231471
9748	8572485
9752	8615047
9758	3858951
9759	12106505
9770	12076968
9772	562868
9774	5925902
9779	2729670
9790	519561
9793	241515
9794	6311705
9798	819933
9806	2884987
9808	9987103
9811	10955431
9813	4248711
9827	819933
9864	2374011
9870	1699533
9878	2680142
9880	4884052
9902	1870594
9922	64215
9930	13673658
9944	655452
9950	1691071
9951	1795604
9954	749310
9960	41958
9961	6422302
9986	2946360
9990	2454125
10007	5890962
10008	4542181
10018	1955096
10026	5448339
10033	655452
10037	1041662
10054	4548604
10061	36810
10070	6302120
10071	4043359
10075	3117623
10076	8580136
10079	6431885
10086	5008191
10088	4420955
10091	5561790
10107	487876
10112	2231527
10121	2876996
10122	14361548
10123	742406
10127	1621043
10128	6761611
10134	4192049
10145	9601645
10167	6050516
10171	2642147
10172	1309668
10187	4512023
10195	1334017
10205	4343752
10206	1455
10209	1107360
10212	4577676
10213	2047756
10233	748484
10236	3927524
10245	4000394
10254	8107425
10262	761896
10264	1455848
10269	2680139
10276	3058689
10282	5894934
10286	13859607
10287	802936
10296	3114183
10301	2782758
10307	2639177
10317	2778812
10322	1616626
10323	735936
10326	647843
