geneid	dist
559	3699
564	4947
572	6930
575	7759
579	7505
582	263
590	6661
594	5812
602	1826
605	5104
614	3528
619	1720
624	1145
971	9240827
992	912841
1005	269615
1024	4183
1430	2743821
1711	152
1712	152
2011	216613
2929	104830
2932	555
3124	318914
3152	555
3911	7166681
4104	3034117
4208	25269062
4378	366268
4416	17844
4448	10207140
4475	2408513
4525	777519
4529	4067187
4534	5422316
4539	5422316
4544	11452926
4546	11452926
4548	112182
4676	2544
4714	112182
4734	10207140
4750	10207140
4772	25269062
4827	10207140
4828	25269062
4841	25269062
4867	17844
4881	597888
4901	7314028
4919	11127389
5007	7351955
5051	16570778
5059	14507004
5085	16751323
5098	14354434
5143	16186344
5151	13152801
5161	16559989
5197	10142255
5198	11948872
5216	10254195
5234	2541016
5242	14574460
5249	16245516
5266	132264
5280	16716985
5291	9695098
5302	4367543
5305	777699
5331	3173406
5345	12702576
5362	16551214
5369	8981283
5401	9935549
5467	6381548
5468	6863492
5470	2183193
5471	260015
5505	1709411
5506	15499562
5522	14935996
5546	1867086
5557	12661998
5562	12464863
5599	748127
5608	15291107
5654	3070782
5659	130257
5670	2903687
5691	4166123
5705	6679058
5711	158
5730	152778
5740	9359646
5748	14505947
5780	227187
5785	1636463
5798	1905361
5820	15440718
5837	9902232
5841	671
5854	7923724
5877	7314701
5879	5873008
5898	4733702
5912	5300
5913	589626
5914	14626718
5916	7995832
5921	1055226
5930	12718472
5939	4954554
5951	592664
5977	3173406
5993	19408566
6004	3829106
6012	5097619
6050	534223
6095	4448568
6101	3408985
6106	10121341
6117	2750
6120	3281674
6121	15477695
6137	3181841
6141	9240827
6144	6875225
6160	1878266
6179	10018578
6195	1009897
6201	9935549
6204	1927295
6206	14823619
6215	5068175
6228	10100127
6230	9442084
6266	10769290
6267	2180469
6276	33201554
6278	299754
6291	1094038
6304	1838775
6308	2014173
6316	8927785
6329	5097619
6338	16245604
6351	1356840
6360	2183954
6390	4662191
6391	1086619
6401	234494
6416	1107980
6429	12204
6441	743414
6470	234494
6474	802422
6504	3196592
6514	2034646
6538	12239402
6552	7209644
6567	2567058
6597	25491424
6639	409
6658	1586419
6663	2600720
6667	8067644
6676	193342
6689	11640508
6709	1527605
6722	9676586
6723	12692418
6731	14691873
6745	7172803
6760	5547558
6764	203511
6771	6316581
6784	22671
6795	6863492
6808	12311068
6809	2172203
6813	1960698
6816	1012182
6821	4291266
6834	1180033
6855	1960698
6861	234494
6863	9811525
6890	2754794
6891	394585
6898	21430042
6902	409
6905	18706870
6916	7748
6918	9286
6920	21328136
6923	2634163
6931	2357865
6936	7520
6938	7520
6939	4107715
6942	7520
6943	394585
6946	5893263
6952	7652
6953	1509548
6974	2836670
6987	3497272
6988	15950343
6990	2861059
6997	31923745
7005	10891214
7007	4514548
7013	8946649
7014	10484545
7045	21747038
7052	3821120
7058	7842041
7066	16551214
7084	930426
7094	7520
7104	43994899
7108	20333249
7119	13555712
7144	5177924
7146	7520
7148	7520
7158	3297216
7162	555684
7166	7737177
7176	2472708
7179	14960790
7183	19108480
7222	1105164
7237	2662719
7258	20570838
7264	7571122
7299	4697830
7301	15696279
7327	8512479
7338	12053565
7346	7088646
7353	1684778
7380	394585
7385	6098439
7387	2132862
7411	631450
7425	5499527
7426	4195899
7428	2552361
7430	3963014
7435	7520
7443	647454
7455	3870881
7461	2355966
7462	10876751
7496	8832193
7498	2652803
7499	6218706
7503	4280807
7511	5082664
7525	5367332
7536	6798515
7540	21273267
7546	19737510
7580	5995749
7583	1429040
7590	18806968
7595	524462
7611	2581741
7637	21709846
7648	20060762
7649	10599930
7659	8129298
7688	345190
7692	444607
7701	2575218
7709	1958199
7714	897846
7719	1987954
7733	3414679
7734	7520
7738	2344300
7739	7252217
7741	5652721
7760	1112077
7761	911
7773	460635
7776	21189476
7777	14836923
7791	2581050
7808	234494
7816	574054
7829	2565592
7832	11140771
7834	357969
7854	3020712
7882	1884796
7883	7131113
7887	6108061
7918	1613762
7919	209096
7923	10793738
7926	611000
7931	21171172
7933	3281535
7937	925657
7938	3770354
7983	6213064
7987	2529249
7993	743865
8006	3128241
8007	6098439
8013	1552836
8018	5565649
8019	6968711
8031	2634842
8042	33577162
8044	3504752
8061	234962
8071	3817213
8074	24097721
8082	43672
8083	21248407
8094	498991
8096	23249023
8097	725618
8101	2689864
8117	12318344
8120	15873154
8143	9635193
8147	24507592
8148	800110
8153	23680326
8160	812101
8163	813039
8164	19499012
8170	17739295
8172	2217572
8189	5689682
8203	67785
8207	2924673
8219	3429725
8229	7520
8234	2069128
8236	19064054
8244	4896543
8245	3342366
8247	5465936
8255	11934231
8286	13815591
8297	10061105
8312	20093148
8321	19517509
8332	13647933
8336	2183193
8338	47349
8341	9240827
8360	2173174
8378	4627413
8380	269615
8394	4046815
8397	5500534
8411	9600021
8413	23366526
8417	4079249
8430	1480858
8431	2965062
8438	3963014
8441	9829063
8447	2948646
8450	9301948
8455	672975
8458	10216286
8459	321141
8462	15605598
8463	278540
8465	2985959
8481	360955
8489	15157588
8500	5893595
8505	37941
8510	19821460
8519	7351955
8526	6791008
8547	81557
8553	18883993
8557	5216952
8561	2741468
8562	8917134
8563	272111
8571	14919220
8577	17630174
8579	1316376
8582	888090
8600	757748
8623	2692642
8625	5794037
8635	6853324
8641	3435312
8656	1668486
8657	9133840
8660	170627
8662	505290
8663	3068574
8665	4187592
8673	3632162
8674	2832292
8675	6053865
8677	61851
8691	1728248
8698	1561534
8702	398813
8709	3695992
8710	2034861
8716	1114818
8730	1978507
8742	7911635
8745	7719309
8746	6827741
8759	2405558
8761	2312942
8768	16729081
8771	5028883
8782	2408513
8789	11633516
8795	1765471
8796	2799446
8805	1100560
8827	1978507
8832	1112244
8833	13543577
8850	11972206
8853	9236733
8862	1978507
8885	10188471
8898	10155291
8921	1470367
8928	766453
8950	7958482
8964	3472003
8965	12713354
8973	98994
8974	4012965
8986	431507
8999	7427426
9007	13447350
9012	365273
9019	19925662
9020	2818023
9026	8467542
9027	3418747
9040	1497993
9043	6026498
9045	485077
9047	17406409
9052	2982150
9067	691657
9077	74516
9079	2125769
9094	14848757
9095	774517
9106	5652721
9108	9930190
9119	7683647
9132	3885076
9155	4247929
9173	1728968
9178	15993552
9196	5022115
9203	3039058
9209	1575996
9214	1496009
9216	6114017
9226	3527576
9228	2286753
9232	18327343
9238	2739154
9248	2174731
9251	499101
9260	22871638
9265	471578
9267	477546
9269	10728622
9270	17999443
9287	1578803
9291	207300
9317	9239353
9324	3213122
9327	2616718
9338	8537112
9341	23511070
9345	588869
9348	18424512
9367	4136481
9383	3003091
9398	269615
9406	105
9409	954767
9410	12790859
9411	1892540
9414	1893294
9415	1971740
9427	4594827
9442	17070847
9448	4598471
9449	2400611
9458	509
9474	14919220
9485	7906708
9495	2251385
9504	24462683
9519	9753080
9534	4931628
9539	4889128
9541	2077363
9554	6098439
9574	1100043
9577	3650185
9578	1731580
9583	6423433
9587	9618679
9588	3732321
9600	8368108
9602	3885788
9603	1960592
9617	5262454
9621	9223038
9625	2406461
9633	883058
9636	1118893
9638	9936471
9648	21900295
9652	1394826
9655	3244933
9657	8462273
9661	9109676
9668	10800197
9670	4225786
9678	9109676
9683	4098959
9692	390626
9716	5913596
9718	10387504
9721	237980
9722	6859480
9725	47532
9729	17939150
9732	9506530
9735	4700352
9741	4471252
9744	351698
9745	23367218
9748	10334176
9758	1173041
9759	3706295
9770	3354732
9772	1760277
9774	40555
9779	127444
9790	9890255
9793	5286516
9794	4702887
9806	441307
9808	4125248
9810	27010896
9811	8090859
9813	1553628
9821	1829945
9846	525113
9851	18372780
9852	3173997
9853	2689303
9864	3193138
9866	2981020
9878	22343044
9880	1158610
9897	215292
9902	648093
9922	1670565
9930	3317861
9944	1971684
9950	3143546
9951	11472593
9954	3269605
9960	3903406
9961	2079469
9986	10380572
9990	779985
9994	418163
10007	859593
10008	9582756
10018	454755
10021	214260
10026	3483236
10033	2162076
10037	2761088
10052	26663515
10054	9902550
10061	27516
10070	973010
10071	352957
10075	17611760
10076	10435354
10079	2354039
10086	2750
10088	6075253
10091	3470914
10107	10857782
10112	10704555
10117	1177582
10118	7457472
10121	4824886
10122	4291266
10123	13870
10127	1486810
10128	278540
10133	6435268
10134	3630714
10143	5509385
10145	9902232
10156	1998438
10167	3269714
10171	20197289
10172	1163
10187	8928001
10195	4298083
10203	12828057
10204	364776
10205	4110429
10206	24611042
10209	5445285
10212	10294329
10213	2984
10228	14884893
10233	15607859
10236	774308
10245	827561
10254	3018517
10262	23415626
10264	2574352
10269	2472872
10276	626308
10282	248807
10286	1532028
10287	24322531
10293	24549764
10296	17661940
10298	316134
10301	836878
10306	12625188
10307	22554284
10317	1563158
10322	33604951
10323	662114
10324	5135662
10326	21902
10331	1537993
10335	20144503
10336	23235425
10341	394904
10347	3573145
10350	33458653
10356	1423986
10357	5116059
10359	811700
10363	9833722
10374	6433008
10376	1496009
10393	127012
10405	5237562
10406	20553709
10410	10420577
10436	6585397
10444	3689808
10447	19455457
10472	13315585
10479	26594035
10484	273929
10488	13606989
10489	13606637
10493	485773
10495	1648926
10498	11502
10529	12993655
10540	118006
10561	4406256
10563	5267736
10566	114761
10567	692737
10582	399842
10584	5352490
10596	37803394
10608	6535612
10610	6535472
10611	6535323
10612	6535165
10614	6534901
10633	6627230
10634	106
10637	199086
10651	12788803
10664	1630622
10665	5884127
10672	17513462
10680	954767
10685	1527605
10694	1842264
10702	6247
10713	85828
10716	25526616
10718	92677
10722	130970
10727	4929042
10739	1320953
10743	6792979
10765	5982950
10766	1983830
10771	8102589
10772	7675267
10774	64072
10806	8018295
10814	956644
10819	7277493
10833	6865134
10838	3874896
10844	936224
10845	629328
10872	7361541
10875	21902
10879	21902
10882	3034713
10891	1103496
10900	1004873
10907	7971723
10908	7478145
10912	396951
10913	142618
10914	5369302
10918	7685558
10919	134125
10925	1569079
10928	774634
10935	19558904
10936	3191870
10938	4167241
10951	2942251
10967	771184
10969	7891712
10977	3156902
10980	1452873
10983	852550
10997	1660517
10998	16570778
11004	4313685
11009	7632250
11011	9418968
11015	7527173
11021	245612
11023	9378876
11031	1203046
11032	4478232
11036	631928
11038	910973
11040	18252458
11053	973
11056	456300
11060	1226069
11061	263967
11067	7251813
11075	8431106
11077	317652
11089	902420
11093	7438213
11099	1970170
11101	2328373
11102	13418782
11106	6522886
11109	2788734
11114	1814292
11120	232640
11123	2952134
11124	33414412
11125	1182631
11129	6901465
11140	11277741
11141	14031
11167	17148472
11172	9088036
11173	4141503
11177	4207423
