geneid	dist
559	3815
564	5072
572	7023
575	7868
582	7544
590	6861
594	6004
605	5296
614	3571
619	1733
624	1139
636	830385
992	7241203
1024	5558041
1430	3628527
2011	15242968
2929	9801243
2932	9871134
3124	75472
3152	9871134
3855	7783782
3911	9205588
4202	7783782
4208	7657635
4275	7783782
4374	7783782
4378	15122196
4416	7823610
4448	101614
4475	720433
4513	7783782
4544	5899542
4546	5899542
4676	11491174
4716	9848378
4717	7783782
4734	101614
4747	7783782
4750	101614
4772	7657635
4827	101614
4828	7657635
4841	7657635
4857	3659648
4867	7823610
4901	4290328
4919	3936322
5051	10912062
5059	4091810
5085	15178834
5098	6569614
5143	4732115
5151	11059533
5161	3953952
5198	9952656
5216	10782097
5249	6251574
5264	123698
5266	2484761
5291	1959821
5302	5715017
5305	1938755
5357	12119177
5362	10937904
5401	6152343
5467	2388260
5470	5264288
5471	11648165
5505	12936827
5506	6425717
5522	7875706
5546	7997171
5562	11017628
5599	6213521
5608	7914079
5654	7234043
5670	7601537
5691	8914748
5697	11087375
5705	9494809
5740	8153348
5748	11108218
5780	6859257
5785	2667440
5798	8003005
5820	11802700
5837	3047942
5854	119864
5877	9844269
5879	7320122
5898	5303451
5913	1812775
5914	7828527
5916	4331541
5921	7358585
5930	7768415
5939	7461750
5951	963566
5993	9117216
6004	7501363
6012	5315161
6050	11671282
6054	5381801
6061	13945939
6095	8133857
6101	3488180
6106	11147328
6117	12850686
6120	3650522
6121	11800243
6144	2245529
6160	6459616
6179	11186783
6195	8149
6198	2137693
6201	6152343
6204	14649098
6206	7860582
6215	5003284
6228	11153071
6230	12990662
6267	4026426
6276	10433951
6278	7609717
6291	2967481
6304	14855922
6308	6451841
6316	1995594
6329	5315161
6351	6890906
6360	6397265
6390	10748305
6391	1411501
6401	3302783
6416	1405071
6429	2738400
6441	1270061
6469	5018820
6470	3302783
6474	10610262
6504	2827357
6514	3268679
6538	13076790
6552	10519540
6567	3277477
6597	10100753
6653	6822728
6658	5893860
6663	2749782
6667	4007703
6676	745827
6689	10290765
6709	1341080
6722	10376337
6723	14378034
6731	5126867
6745	1456084
6760	7357589
6771	8038438
6784	5358444
6808	10998140
6809	7061140
6816	14329855
6820	3628101
6821	8438614
6834	10963819
6839	927615
6847	843292
6861	3302783
6890	5198559
6916	13961504
6917	8509047
6918	1094672
6920	9591920
6923	11094787
6931	12208496
6939	6238723
6946	2247387
6952	15384294
6953	12720967
6974	15180112
6986	7830264
6987	12214054
6988	4089837
6997	7220647
7005	6702344
7007	3131010
7013	3910975
7014	4576134
7045	4489677
7052	12500123
7058	2558978
7066	10937904
7084	15627864
7098	8210958
7108	9105960
7119	8707930
7144	7448275
7158	739381
7166	2051258
7176	5088442
7179	10729178
7183	6192565
7190	9222034
7222	5753814
7237	4351260
7258	14475487
7264	13269860
7299	11122846
7301	4143882
7306	4296684
7312	843292
7327	2624804
7333	11974591
7338	8832456
7346	9466594
7353	13053353
7385	3330610
7411	12901114
7425	7414534
7426	1412069
7428	3133544
7430	5923569
7443	4172419
7455	6454513
7462	8959948
7469	11974591
7496	2957693
7498	13278627
7499	314956
7503	6370383
7511	6832364
7525	11080810
7536	10598927
7540	7786649
7546	9072557
7562	843292
7580	1990225
7583	3316616
7590	1879402
7595	15430476
7606	11974591
7611	5087341
7637	7747175
7648	11374927
7649	4576134
7659	508977
7688	9083033
7692	3373732
7701	3121299
7709	3455389
7714	9737739
7719	3451093
7733	8494627
7738	6155168
7739	13240229
7741	12556961
7760	3658052
7761	5000029
7773	2446218
7776	3099861
7777	11122029
7808	3302783
7816	1056507
7829	15200554
7832	7660711
7834	10359155
7854	8551286
7863	11974591
7882	355995
7887	304985
7900	1990306
7918	1387698
7919	2227881
7923	6726565
7926	1052486
7933	10084995
7937	6683890
7938	12494928
7987	5877413
7993	12425083
8006	7595080
8007	3330610
8013	13126222
8018	14287309
8019	14802942
8031	3303288
8042	4860780
8044	6971757
8061	12149517
8071	4697982
8083	3119337
8096	5198695
8097	3695780
8101	4198131
8117	8811840
8120	11564171
8148	7087913
8153	9029887
8160	6199130
8163	12417874
8170	9630516
8172	1422058
8189	1968025
8203	12669805
8219	1344380
8236	5491135
8244	6630069
8245	1369100
8247	945317
8255	1762217
8286	12470946
8297	11163996
8312	661162
8321	9056925
8336	5264288
8378	986291
8394	7531707
8397	14317849
8413	5766815
8415	9288594
8430	9402194
8431	12008671
8438	5923569
8447	470581
8450	1967035
8458	617932
8459	12262401
8462	11788128
8463	1660761
8465	6706947
8488	1456753
8500	2598824
8505	9547577
8510	3120870
8526	2310157
8547	6824691
8553	11022493
8561	2917986
8563	10771611
8571	867584
8579	7021078
8582	3029366
8600	8994559
8603	11974591
8623	6487334
8635	12544146
8636	316034
8641	2624
8656	5098548
8657	2161891
8662	10925529
8663	10864835
8665	5938071
8674	2890955
8675	12892485
8677	9543497
8691	13427
8698	15331334
8702	1456753
8709	8557179
8710	391706
8723	7195906
8730	4725777
8742	2490791
8745	14518492
8746	2166500
8751	5835058
8759	410869
8761	6244792
8768	10534511
8771	643663
8782	720433
8789	8861729
8792	3614019
8795	4334019
8796	245918
8805	1751759
8827	4725777
8832	2835669
8833	12485670
8850	5979455
8862	4725777
8885	12511283
8898	12502713
8919	239177
8921	15375517
8928	4267665
8950	5338458
8964	12712397
8965	8645486
8973	2744595
8974	6818576
8986	2908796
8999	6963084
9007	12488412
9012	100248
9019	9455306
9020	11425635
9026	13312894
9027	3738469
9040	7248750
9043	11641638
9045	2435884
9047	10605992
9052	11441363
9077	9224598
9079	10075376
9094	3512348
9095	3174804
9106	12556961
9108	13128986
9119	14506448
9155	637442
9173	4860729
9178	1938860
9209	7144026
9214	1355640
9226	10191091
9228	12428984
9232	1649538
9238	11503312
9248	8229887
9260	931739
9265	6191013
9267	2456295
9269	1217123
9270	2077408
9287	1501986
9288	4373800
9291	10752859
9299	843292
9317	4879948
9327	4359592
9338	9567227
9341	3040715
9345	15444490
9348	11512355
9367	6622459
9383	4437112
9408	3445052
9414	13820051
9442	3613406
9448	5447043
9449	5140875
9458	5135317
9466	12820051
9474	867584
9485	3039584
9495	5116576
9504	2930201
9519	12481292
9534	6654868
9539	2451962
9541	10061701
9554	3330610
9577	7560139
9578	1420214
9583	140186
9602	3434367
9603	12324651
9617	71869
9621	3116710
9625	14182962
9636	6467277
9638	12496438
9648	7076767
9652	2010745
9655	3657874
9657	9557847
9661	3109386
9668	5205846
9670	11709545
9678	3109386
9683	14947007
9716	13433705
9718	927180
9722	4019852
9729	10577934
9732	16003233
9735	959
9741	3169892
9744	7872157
9748	924157
9752	5210334
9758	3145959
9759	12665510
9770	12759987
9772	1949430
9779	6841107
9790	6315580
9793	1137213
9794	11115531
9798	239177
9806	4382584
9808	1440730
9810	8250359
9811	14537548
9813	2090508
9827	239177
9851	1657489
9852	13371924
9853	4759984
9864	583913
9870	6769101
9878	10632661
9880	7604923
9893	927615
9902	216917
9922	4403052
9930	9993565
9944	828194
9950	3030908
9951	6063227
9954	4546091
9960	5913880
9961	2593628
9986	10667797
9990	1269468
10007	1001094
10008	12468288
10018	4694418
10021	11429770
10026	12209966
10033	828194
10037	1509818
10054	13640100
10061	5893922
10070	3668401
10071	5924788
10075	2002065
10076	931321
10079	9250956
10086	12850686
10088	13984344
10091	10182266
10107	1921312
10112	6256206
10121	6120962
10122	8438614
10123	3099626
10127	13803064
10128	1660761
10134	7359982
10145	3047942
10167	7718624
10171	9105960
10172	698582
10187	13740872
10195	589239
10205	14140542
10206	12490570
10209	3678691
10212	13598244
10213	7744502
10228	7868613
10233	3085656
10236	8446967
10245	6988583
10254	83347
10262	3050608
10264	5157918
10269	4347492
10276	11517838
10282	51369
10286	9727084
10287	2943330
10293	2909204
10296	2005340
10298	778305
10301	7292575
10307	948733
10317	4113616
10322	5686837
10323	1547480
10324	3834831
10326	1907146
10331	3576421
10334	7277139
10335	14428066
10336	620234
10341	729405
10346	4567466
10347	7349782
10350	1587531
10356	573276
10357	7481088
10363	2156958
10376	1355640
10393	635938
10405	736613
10406	14622447
10410	3963986
10436	9230600
10444	3433394
10447	9083341
10472	12898620
10489	11069171
10493	6938138
10540	7638561
10561	12422776
10566	13739442
10567	1868367
10607	16212666
10610	13856350
10637	9482637
10664	5216137
10665	8285901
10672	1992107
10685	1341080
10694	5101841
10702	665764
10704	239177
10713	11615433
10716	12447977
10727	2486236
10739	11557109
10743	7950039
10765	8046170
10766	10741217
10772	505017
10774	16286587
10806	12905250
10814	1214619
10819	10764341
10833	7777534
10838	6882863
10844	1900295
10845	2928063
10872	611329
10875	1907146
10879	1907146
10882	5987742
10891	794733
10900	7171274
10905	3900899
10907	558921
10908	15978283
10912	4298493
10914	4959108
10918	7951454
10925	12674737
10928	12273195
10936	7290493
