geneid	dist
559	3759
564	5004
572	6951
575	7798
582	7367
590	6684
594	5830
605	5128
614	3540
619	1731
624	1141
992	52673369
1024	52894291
1430	33507951
2011	12673572
2929	3177
3124	3299896
3150	66086583
3911	70114750
4104	72500131
4208	17406172
4378	40084488
4416	18469614
4448	50480878
4475	30108731
4544	23710
4546	23710
4734	50480878
4750	50480878
4772	17406172
4827	50480878
4828	17406172
4841	17406172
4867	18469614
4901	69951078
4919	69095266
5051	16430212
5059	14658793
5085	16417933
5098	15046093
5143	15479259
5151	17807339
5161	15651163
5198	445652
5216	18883736
5234	16199044
5242	14597298
5249	15451431
5264	49548370
5266	21148671
5280	15741290
5291	18983615
5302	38357010
5305	18944295
5362	16488473
5369	19129938
5401	193026
5467	39656864
5470	23489037
5471	23641882
5493	66086583
5506	14328624
5522	42074747
5546	12559605
5557	17998695
5562	18169229
5599	23869009
5608	42031793
5654	43243281
5659	46440356
5670	22785189
5691	40411620
5705	39593797
5740	11273024
5748	17432029
5772	467649
5780	14502891
5785	21636814
5798	12552258
5820	41941190
5843	14182868
5854	10026904
5877	10236862
5879	45318364
5898	40308748
5912	39812569
5913	44291543
5914	42318863
5916	9922166
5921	23999525
5930	42863076
5939	45613771
5951	23819895
5993	40800336
6004	22355969
6012	39915828
6050	23786226
6061	8889497
6095	11530631
6101	40597829
6106	46183117
6117	43896182
6120	22205787
6121	41909885
6144	20081390
6160	41382337
6179	46307700
6195	479214
6198	44104345
6201	193026
6204	12536208
6206	42194560
6215	39934761
6228	46200031
6230	37144796
6267	15577659
6276	52751212
6278	17668118
6291	49700285
6304	12615138
6308	41230849
6316	19350064
6329	39915828
6338	11210407
6351	14349337
6360	41150352
6390	47481055
6391	449713
6401	50760901
6429	59199355
6441	46751689
6470	50760901
6474	49784122
6504	22148428
6514	47447597
6538	37920329
6552	46767678
6567	12343498
6597	115287
6639	50111262
6658	48410028
6663	21924769
6667	10545901
6676	50623272
6689	45991629
6709	181806
6722	46341044
6723	57657
6731	14551993
6760	45803698
6771	11946119
6784	50866124
6809	46411126
6816	5635178
6821	19005
6861	50760901
6890	16452669
6902	50111262
6905	21672828
6917	22769319
6918	50177097
6920	20994194
6923	52484120
6931	25230153
6936	435
6938	435
6939	7562631
6942	435
6946	20274649
6952	11019387
6953	36994814
6974	50827614
6986	21321314
6987	47878937
6988	22513619
6990	52561096
6997	1084845
7007	47524929
7013	10987799
7014	14599835
7052	24657397
7058	10132126
7066	16488473
7084	15918
7094	435
7119	23348651
7144	45681072
7146	435
7148	435
7158	22218138
7166	55473978
7176	25178518
7179	2429589
7183	26030797
7190	58000870
7222	52019590
7237	62675480
7258	40147947
7264	31426176
7299	13414468
7301	22640432
7306	22338
7327	1658126
7338	33538437
7346	23733380
7353	43431599
7411	51342765
7425	45777920
7426	21025733
7428	49170581
7430	21251213
7435	435
7443	46716423
7462	32933183
7496	1666198
7498	42489159
7499	38708973
7503	47612735
7511	20568386
7525	17561278
7536	46941914
7540	21020564
7546	1571836
7580	24001892
7583	49712826
7590	21630594
7595	51309845
7611	25170023
7637	20874319
7648	1701572
7649	14599835
7659	31573102
7688	1606195
7692	20666221
7701	49112646
7709	49450564
7714	8857411
7719	49435577
7733	2605352
7734	435
7738	22674835
7739	31330311
7741	10140074
7760	46894725
7761	41085747
7773	21244980
7776	21077762
7777	17345442
7791	16270879
7808	50760901
7816	24306920
7829	50912191
7832	18610461
7834	2233
7854	8533500
7882	52222141
7883	37731569
7887	38719510
7918	22183033
7926	24300563
7931	21096558
7933	52748215
7938	24845467
7983	28606521
7987	48238190
7993	51382537
8006	22662217
8013	37031762
8018	7297346
8019	39476879
8029	157156
8031	12432465
8042	36012415
8044	21622118
8061	24476966
8071	38971453
8082	47744549
8083	21046822
8096	34431
8097	46742220
8101	50876044
8117	33708898
8120	16810727
8143	4583768
8148	2464
8153	132613
8160	23896840
8163	51399702
8164	39547242
8170	41305895
8172	51143004
8189	5312102
8203	51116790
8207	8596358
8219	21586805
8229	435
8236	40853159
8244	53424155
8245	21514323
8247	20478254
8255	4260980
8286	3311263
8297	46225654
8312	1276759
8321	1458235
8336	23489037
8360	62794531
8378	20861986
8394	22436249
8397	7271842
8411	4597921
8413	56171
8415	58591643
8417	7888782
8430	58287058
8431	22772953
8438	21251213
8441	4544162
8447	33852180
8450	19033020
8455	29396290
8458	56495113
8459	24470206
8462	41881380
8463	51216963
8465	23331985
8481	29069604
8488	23368749
8489	22822393
8500	5915397
8505	34660805
8510	1595685
8526	20172256
8553	26121303
8561	53411812
8562	4892963
8563	34572230
8571	3049028
8577	2232871
8579	58658820
8589	61706130
8600	24155221
8623	49187491
8635	45441493
8636	34497039
8641	72317607
8656	28821030
8657	4863432
8662	24389076
8663	5611352
8665	21063892
8674	23185034
8675	23862141
8677	34694270
8691	74685
8698	51259971
8709	8400631
8710	53026605
8716	129916
8730	2822710
8742	10045894
8745	30842859
8746	5548033
8751	20946403
8759	34068291
8761	64416997
8768	2893955
8771	41919726
8782	30108731
8789	33481880
8792	22837847
8795	47904205
8796	39047277
8805	8904693
8827	2822710
8832	11038703
8833	3218710
8853	19050532
8862	2822710
8885	57734424
8898	57773572
8919	34514636
8921	51383066
8928	22654007
8950	10013461
8964	71429141
8965	38078994
8974	63005309
8986	46555
8999	5248971
9007	3189045
9012	39598943
9019	1642505
9020	40464117
9026	56002900
9027	10242556
9040	89478
9043	32518146
9045	39779885
9047	2261788
9052	40524431
9067	42021
9077	1726010
9079	8044878
9094	23041409
9095	422709
9106	10140074
9108	56378913
9119	33183037
9132	8186089
9155	41782539
9173	52926181
9178	62647829
9196	20597366
9209	13855758
9216	14987
9226	6747645
9228	8012112
9232	41145137
9238	57476858
9248	23074440
9260	64383453
9265	23698565
9267	66504437
9269	923886
9270	63223203
9287	65119402
9288	41284572
9291	34585241
9317	56157992
9327	41263096
9338	61886735
9341	64586270
9345	51326301
9348	41117880
9367	9142821
9383	41484472
9410	45565392
9411	23121104
9413	50206672
9414	23121813
9415	23205649
9420	14606486
9442	48419077
9449	5675304
9458	60222791
9466	65035974
9474	3049028
9485	55624904
9495	5615391
9504	64890244
9519	57879511
9534	1137907
9539	9367152
9541	8102619
9577	1054
9578	10485126
9583	9886743
9587	57899328
9588	6665080
9602	12469918
9603	8070795
9617	48005617
9621	11188178
9625	7982201
9636	27604831
9638	57823525
9648	1225325
9652	63088422
9655	22171946
9657	61859771
9661	11098465
9668	56662833
9670	6477632
9678	11098465
9716	55492387
9718	57646079
9722	8321776
9729	63157783
9732	61465837
9735	54041497
9741	11538274
9744	42087662
9748	57663020
9752	23545568
9758	61590
9759	71339897
9770	71517474
9772	52639
9774	30017144
9779	14574224
9790	48610066
9793	79311488
9794	10868694
9798	34514636
9806	22459811
9808	21130121
9810	25879562
9811	33372408
9813	86534
9821	28880384
9827	34514636
9846	24317946
9851	76018370
9852	23354581
9853	40400323
9864	53083496
9870	12099868
9878	64182764
9880	27615356
9902	8788623
9922	27944286
9930	52797797
9933	8625938
9950	53659498
9951	57332952
9954	5532078
9961	8944
9986	14403439
9990	46787465
9994	73289
10007	5460
10008	57922990
10018	46922949
10026	47907368
10033	21389
10052	65596546
10054	57844383
10061	27857244
10070	46813452
10075	63058270
10076	57634270
10079	4509
10086	43896182
10091	6780849
10107	18690491
10112	57599412
10118	41189438
10121	10928521
10122	19005
10123	62584474
10127	52882816
10128	51216963
10133	48209281
10134	78856822
10143	32305631
10167	8500409
10172	38926115
10187	61676339
10195	39402003
10204	23659569
10205	50781913
10206	24775382
10209	6597
10212	57697862
10228	42116286
10233	62539037
10236	2667377
10245	58740577
10254	64913811
10262	64551122
10264	5706669
10269	41207370
10276	34995381
10286	53456271
10287	5600572
10293	64963691
10296	63075461
10298	23650530
10301	44613432
10306	18215996
10307	64357542
10317	28915040
10322	35965559
10323	62401318
10324	55214475
10331	52147565
10334	37038051
10335	40276714
10336	64517222
10341	38910589
10347	78849159
10350	61554911
10356	15380
10357	79245333
10363	43811162
10374	113412
10393	8274267
10405	38693683
10406	39909490
10410	69173314
10436	70182421
10444	40510072
10447	39249836
10472	601767
10479	65568708
10489	17580252
10493	58828388
10505	41165597
10540	18963512
10566	133
10567	47876932
10584	40837260
10598	41829513
10607	21296028
10608	50119248
10610	50119376
10611	50119518
10612	50119646
10613	50119771
10614	69
10633	23604462
10637	41167704
10664	2610
10665	337636
10672	63013546
10685	181806
10694	38543883
10702	36589
10704	34514636
10713	23578408
10716	65367496
10718	23571580
10722	23564105
10727	9374674
10739	23218441
10743	20098340
10765	19825527
10766	28831167
10771	10607947
10772	20484886
10806	10534520
10814	23921980
10819	20333897
10833	395465
10838	62847219
10844	23899287
10845	4966
10872	20363060
10882	57682789
10891	1556
10900	57600
10905	8581936
10906	81004754
10907	20640392
10908	21676926
10912	40753615
10914	79657887
10918	678938
10919	25328230
10925	18260346
10936	36972026
10938	63051031
10951	6778931
10967	67343
10969	44494114
10980	13993025
10983	51412989
10997	23176467
10998	16430212
11009	226637
11011	11285696
11015	19936062
11021	18609204
11032	39377724
11036	9062880
11038	2326
11040	41192102
11053	21370635
11056	51275392
11067	13402746
11075	12367691
11077	14405382
11089	21417578
11093	12005285
11099	64505171
11101	7994996
11102	25676399
11106	10470876
11109	8691184
11114	6196744
11120	23392258
11123	57658247
11124	61114370
11125	22302585
11129	35859193
11131	22837847
11140	23902872
11141	8644753
11172	11079641
11173	19757249
11177	10553642
11188	51236408
11193	71539555
11195	22036409
11209	5338426
11214	22260902
11216	16065259
11225	20521809
11226	73041
11228	9366605
11233	11987763
11236	18550804
11237	19439067
11242	62996284
11249	61524
11257	48826183
11263	19854120
11289	14362725
11291	16724486
11297	7598
11299	18396981
11305	38180822
11310	22360810
11311	23009470
11322	53325549
11326	10366269
11329	25068648
11331	175788
11332	18151432
11335	22415208
11343	58718352
11344	54902779
11349	7808913
11351	34514636
11363	31524235
11366	58807687
11371	25884561
11374	19770942
11379	7795494
11386	45180367
11395	5418
11396	21466453
11399	13097497
11400	20308466
11414	17014961
11415	23593306
11417	5457731
11419	22652936
11425	25794809
11430	32840694
11432	23756283
11433	16478391
11436	11032904
11443	20714560
11445	36200194
11458	20499235
11459	44487069
11463	19738802
11464	16376087
11465	70217205
11482	22284079
11484	21293165
11486	86707050
11487	44146747
11490	21584438
11491	86695568
11493	21781035
11497	49103808
11498	32168478
11499	23106811
11500	15305872
11503	14600918
11504	5561546
11505	27862
11507	86794698
11511	37085964
11513	92561892
11518	18416
11524	9101906
11527	81887461
11528	7631678
11529	81992893
11541	7330551
11542	21568369
11543	7139681
11546	26238692
11547	57619973
11548	7166379
11564	8265483
11574	18300872
11575	18563856
11582	17591400
11585	28279155
11590	86767193
11591	15511
11604	3106
11614	39104183
11617	56545
11619	6835624
11620	12338829
11625	85233052
11627	11487043
11628	39084441
11636	20041722
11638	71252770
11643	18141995
11646	46462920
11647	14390445
11650	46462920
11652	12948363
11653	5731700
11656	81004754
11657	46462920
11659	12764343
11661	39254096
11670	23917887
11671	5320322
11679	32087278
11680	7870
11685	10530587
11691	434423
11694	6114274
11695	53331437
11704	714250
11716	23357
11726	11169096
11727	21081125
11728	28230238
11732	4620973
11733	4620973
11734	4610847
11739	53964431
11741	18550804
11743	9854135
11744	22050080
11747	13803
11759	18227527
11765	1036749
11766	64037469
11775	38059
11780	38127831
11783	18185173
11786	17460378
11787	24425739
11788	13096655
