id,group,label
abrachyrhynchus,unknown,Pink-footed goose
acalliptera,unknown,Eastern happy
acarolinensis,shortlived,Anole lizard
acchrysaetos,unknown,Golden eagle
acitrinellus,unknown,Midas child
amelanoleuca,positive,Panda
amexicanus,leaveout,Mexican tetra
anancymaae,unknown,Ma's night monkey
aocellaris,unknown,Clown anemonefish
apercula,unknown,Orange clownfish
aplatyrhynchos,shortlived,Duck
apolyacanthus,unknown,Spiny chromis
applatyrhynchos,unknown,Duck
atestudineus,unknown,Climbing perch
bbbison,unknown,American bison
bgrunniens,unknown,Yak
bihybrid,replicative,Bos indicus hybrid
bmusculus,unknown,Blue whale
bmutus,unknown,Wild yak
bsplendens,unknown,Siamese fighting fish
btaurus,replicative,Cow
bthybrid,replicative,Bos taurus hybrid
cabingdonii,unknown,Abington island giant tortoise
capalliatus,unknown,Angola colobus
caperea,unknown,Brazilian guinea pig
catys,unknown,Sooty mangabey
cauratus,unknown,Goldfish
ccaeruleus,unknown,Blue tit
ccapucinus,unknown,Capuchin
ccarpio,unknown,Common carp
cdromedarius,unknown,Arabian camel
celegans,shortlived,Worm
cfamiliaris,replicative,Dog
cgchok1gshd,unknown,Chinese hamster
cgobio,unknown,Channel bull blenny
cgpicr,unknown,Chinese hamster (PICR)
charengus,unknown,Atlantic herring
chircus,replicative,Goat
choffmanni,positive,Sloth
chyarkandensis,unknown,Yarkand deer
cintestinalis,leaveout,Ciona intestinalis
cjacchus,replicative,Marmoset
cjaponica,unknown,Japanese quail
clanigera,unknown,Long-tailed chinchilla
cldingo,unknown,Dingo
clfamiliaris,replicative,Dog
clumpus,unknown,Lumpfish
cmilii,unknown,Elephant shark
cpbellii,unknown,Painted turtle
cporcellus,shortlived,Guinea pig
cporosus,unknown,Australian saltwater crocodile
cpugnax,unknown,Ruff
csabaeus,replicative,African Green Monkey
csavignyi,negative,Ciona savignyi
csemilaevis,unknown,Tongue sole
csyrichta,unknown,Tarsier
cvariegatus,unknown,Sheepshead minnow
cwagneri,unknown,Chacoan peccary
dclupeoides,unknown,Denticle herring
dlabrax,unknown,European seabass
dleucas,unknown,Beluga whale
dmelanogaster,shortlived,Fruitfly
dnovemcinctus,negative,Armadillo
dordii,shortlived,Kangaroo rat
drerio,shortlived,Zebrafish
eaasinus,unknown,Donkey
eburgeri,unknown,Hagfish
ecaballus,replicative,Horse
ecalabaricus,unknown,Reedfish
eelectricus,unknown,Electric eel
eeuropaeus,shortlived,Hedgehog
elucius,unknown,Northern pike
enaucrates,unknown,Live sharksucker
etelfairi,shortlived,Lesser hedgehog tenrec
falbicollis,leaveout,Flycatcher
fcatus,replicative,Cat
fheteroclitus,unknown,Mummichog
gaculeatus,leaveout,Stickleback
gaffinis,unknown,Western mosquitofish
gevgoodei,unknown,Goodes thornscrub tortoise
gfortis,unknown,Medium gound-finch
ggallus,shortlived,Chicken
ggorilla,replicative,Gorilla
gmorhua,leaveout,Cod
gwilldenowi,unknown,Blunt-snouted clingfish
hburtoni,unknown,Burton's mouthbrooder
hcomes,unknown,Tiger sail seahorse
hgfemale,unknown,Naked mole-rat female
hhucho,unknown,Huchen
hsapiens,replicative,Human
ipunctatus,unknown,Channel catfish
itridecemlineatus,shortlived,Squirrel
jhyemalis,unknown,Dark-eyed junco
jjaculus,unknown,Lesser Egyptian jerboa
kmarmoratus,unknown,Mangrove rivulus
lafricana,replicative,Elefant
lbergylta,unknown,Ballan wrasse
lcalcarifer,unknown,Barramundi perch
lcanadensis,unknown,Lynx
lchalumnae,leaveout,Coelacanth
lcrocea,unknown,Large yellow croaker
llaticaudata,unknown,Blue-ringed sea krait
lleishanense,unknown,Leishan spiny toad
loculatus,leaveout,Spotted gar
marmatus,unknown,Zig-zag eel
mauratus,unknown,Golden Hamster
