geneid	dist
992	1295824
1024	9781629
1430	13418995
2011	9099498
2932	2944560
3124	833557
3152	2944560
3855	8942148
3911	11303749
4202	8942148
4208	10608809
4275	8942148
4374	8942148
4378	8231463
4416	7372801
4448	24354
4475	2164204
4513	8942148
4544	8905840
4546	8905840
4676	16716044
4716	7550203
4717	8942148
4734	24354
4747	8942148
4750	24354
4772	10608809
4827	24354
4828	10608809
4841	10608809
4857	5565637
4867	7372801
4901	5880294
4919	10978669
5051	14104915
5059	4385741
5085	19730792
5098	1338101
5143	3222751
5151	13974248
5161	17310032
5198	4997027
5216	12599095
5242	7068273
5249	2471654
5264	3959100
5266	13742868
5291	13240391
5302	1045900
5305	7521433
5357	11264252
5362	14102769
5401	4627989
5467	10183908
5470	18532147
5471	13336007
5505	14411591
5506	7181948
5522	11097691
5546	6370134
5562	14020328
5599	3116399
5608	11134040
5654	15285129
5670	5970779
5691	5139565
5697	13945707
5705	5480380
5740	6569299
5748	11781739
5780	9268678
5785	6894638
5798	6380335
5820	12906207
5837	5803462
5854	5636236
5877	10787844
5879	11718586
5898	5224144
5912	5358698
5913	14812139
5914	11063899
5916	8288279
5921	5733527
5930	11039229
5939	6294447
5951	165875
5993	15517876
6004	5864906
6012	5304429
6050	1319
6054	5901899
6061	15281421
6095	6533785
6106	14302591
6117	12545463
6120	15151817
6121	12898698
6144	13508261
6160	12388260
6179	14342736
6195	6569346
6198	6156256
6201	4627989
6204	16185956
6206	11093196
6228	14308584
6230	14015222
6267	8489305
6276	7995584
6278	7339530
6291	15726111
6304	15947908
6308	12401143
6316	7485234
6329	5304429
6338	6060931
6351	9236739
6360	12434710
6391	1327196
6401	607933
6416	1317148
6429	15576494
6441	15095343
6469	5414202
6470	607933
6474	12704164
6504	6839784
6514	11807254
6538	14084778
6552	12376151
6567	6420843
6597	12456887
6653	19065056
6658	6696286
6663	14067631
6667	3548909
6676	3959410
6689	12221223
6709	8193802
6722	12261356
6723	18088853
6731	3865425
6745	7407979
6760	6369306
6771	6425503
6784	5853885
6808	14056903
6809	11585630
6816	20476820
6820	8656423
6821	1822665
6834	8139760
6847	3089313
6861	607933
6890	18481303
6916	15324167
6917	9612169
6918	4269208
6923	14259705
6931	4631284
6939	6049275
6946	13513338
6952	15271158
6953	18373647
6974	16287669
6986	9748994
6987	11369709
6988	32174
6990	1150993
6997	14069748
7005	432688
7007	5931732
7013	3434365
7014	91987
7045	7150521
7052	4463953
7058	4238848
7066	14102769
7084	18631124
7098	11541277
7108	6772131
7119	9764326
7144	6303834
7158	7959511
7166	15001381
7176	4608502
7179	12798710
7183	9493823
7190	13183291
7222	5378964
7237	7599201
7258	15339785
7264	16249518
7299	12499993
7301	12999252
7306	10318706
7312	3089313
7327	3052154
7333	3910156
7338	9864755
7346	10476918
7353	12937734
7385	8443738
7411	13388374
7425	6361561
7426	7439360
7428	983223
7430	13364125
7443	8603319
7455	8305481
7462	9992534
7469	3910156
7496	2593576
7498	13398020
7499	1149203
7503	12455647
7511	9978606
7525	13953486
7536	12414823
7540	9793554
7546	6743993
7562	3089313
7580	6314821
7583	757698
7590	3912916
7595	17227150
7606	3910156
7611	4591332
7637	9836718
7648	17198703
7649	91987
7659	4081753
7688	6752355
7692	5810113
7701	1000045
7709	784073
7714	5654495
7719	797252
7733	3118810
7738	8811372
7739	16215473
7741	15106269
7760	12091353
7761	9084617
7773	13715241
7776	4056331
7777	13923968
7791	39394
7808	607933
7816	9286209
7829	16309216
7832	6045747
7834	480982
7854	3077557
7863	3910156
7882	10334383
7887	1159677
7900	4071838
7918	7500740
7919	1769031
7923	481081
7926	9282848
7933	12046163
7937	6332047
7938	11074254
7987	6651777
7993	18112439
8006	5962663
8007	8443738
8013	2963761
8018	16854612
8019	16014021
8031	6386830
8042	13038218
8044	10130151
8061	13990367
8071	124326
8083	4050109
8096	8539605
8097	12120978
8101	5845604
8117	9847343
8120	11638562
8148	8750716
8153	8175160
8163	18104613
8170	5386146
8172	10120894
8189	4034067
8203	13588961
8207	3070457
8219	1431360
8236	15534562
8244	12772301
8245	1388307
8247	8232588
8255	266006
8286	16385900
8297	14318817
8312	2006662
8321	6729506
8336	18532147
8378	8149939
8394	5899155
8397	16822444
8413	6634332
8417	3288302
8430	11460235
8431	17448302
8438	13364125
8447	1844156
8450	13249017
8455	2379514
8459	14055376
8462	12884152
8465	9767429
8488	4013504
8489	3087949
8500	10131192
8505	11565892
8510	14550942
8526	7223827
8547	11555608
8553	13043461
8561	3914669
8563	1424179
8571	13571603
8579	18168031
8582	11778462
8589	11591143
8600	12181359
8603	3910156
8623	7385606
8635	11831333
8636	1003833
8641	468847
8656	2419647
8657	1086957
8662	11960608
8663	8012781
8665	5387428
8674	5803017
8675	11080890
8677	11561820
8691	3467764
8698	16429153
8702	4013504
8709	3085003
8710	5877384
8723	4836692
8730	6295887
8742	4186752
8745	15769194
8746	1552011
8751	8226794
8759	1763188
8761	8672019
8768	8107194
8771	1874276
8782	2164204
8789	9903164
8792	15118237
8795	8271496
8796	6861079
8805	4351459
8827	6295887
8832	7100499
8833	16367927
8850	2763060
8853	7519559
8862	6295887
8885	13754519
8898	13768384
8919	8359800
8921	16472444
8928	17582467
8950	1558499
8964	14242395
8965	468812
8974	11364500
8986	2494175
8999	6807431
9007	16341798
9012	4530461
9019	7074294
9020	119968
9026	14751938
9027	9589903
9040	11878895
9043	10737115
9045	7103438
9047	7965425
9052	10506124
9077	13303629
9079	9283485
9094	8697406
9095	15245050
9106	15106269
9108	14589876
9119	8112189
9155	4813996
9173	4333248
9178	5965256
9209	9168474
9214	8207984
9226	8493910
9228	12180187
9232	2322135
9238	14016963
9248	8854590
9260	4933521
9265	3072779
9267	8673176
9269	13946288
9270	5761342
9287	504247
9288	5996936
9291	1392777
9299	3089313
9317	3501144
9338	11588904
9341	2307662
9345	17212629
9348	12639000
9367	11861384
9383	5953662
9408	1371258
9410	11455683
9414	17454087
9442	13723042
9448	12365083
9449	18416199
9458	10966138
9466	12600727
9474	13571603
9485	9409072
9495	18392628
9504	2452842
9519	14043299
9534	6323428
9539	4171940
9541	9267254
9554	8443738
9577	7254746
9578	10178173
9583	5664580
9587	13808604
9602	7647633
9603	12244326
9617	150813
9625	16942633
9636	5739048
9638	13790922
9648	13972330
9652	5827734
9655	5981895
9657	11575220
9661	14537304
9668	1581326
9670	12751516
9678	14537304
9683	13581770
9692	2380028
9716	14884186
9718	102700
9722	9227206
9729	13245361
9732	19630762
9735	8629013
9741	14604077
9744	11155227
9748	93851
9752	18488795
9758	11800843
9759	14213139
9770	14258252
9772	3510554
9779	9279893
9790	10632
9793	3060771
9794	13536399
9798	8359800
9806	17661124
9808	7429063
9810	6375963
9811	15784125
9813	7395380
9827	8359800
9846	11974808
9851	2304516
9852	10657175
9853	13619424
9864	1081781
9870	11954687
9878	13230314
9880	7205826
9902	2975469
9922	12034867
9930	1085977
9944	3639439
9950	8424177
9951	2937604
9954	1388772
9960	13350328
9961	4272025
9986	17461067
9990	12108289
10007	8173657
10008	13817647
10018	9697933
10021	13659257
10026	11366553
10033	3639439
10037	7254048
10052	4417616
10054	13800885
10061	13333791
10070	12100056
10071	12154538
10075	5844110
10076	110805
10079	4284739
10086	12545463
10088	14146138
10091	8515833
10107	13196085
10112	3158855
10121	11308708
10122	1822665
10123	2176538
10127	14754787
10134	18061646
10145	5803462
10167	3146839
10171	6772131
10172	4862050
10187	13915412
10195	4780382
10205	14405059
10206	15627502
10209	13549750
10212	13744196
10213	12572569
10228	11151328
10233	2197041
10236	5469176
10245	18139429
10254	5191854
10262	2292093
10264	18437019
10269	6037699
10276	8720753
10282	778380
10286	11749166
10287	2429170
10293	2493386
10296	5833346
10298	529352
10301	5661369
10307	4960483
10317	13720214
10322	12391245
10323	7316589
10324	3252224
10326	9028019
10331	8973911
10335	15305226
10336	4915042
10341	4927656
10347	18085451
10350	4101979
10356	3764318
10357	17959958
10363	198869
10374	9962640
10376	8207984
10405	4939691
10406	15446969
10410	11002100
10436	11327653
10444	10539903
10447	16732698
10472	13952684
10493	18104747
10540	7093724
10561	14085541
10566	10257733
10567	2625092
10607	6368534
10610	14067143
10633	15838981
10637	8683234
10664	1622720
10665	14413457
10672	5863205
10685	8193802
10694	448777
10704	8359800
10713	13308052
10716	13066590
10727	4178528
10739	13256796
10743	11234241
10765	11335158
10766	7697587
10772	4847469
10774	16147666
10806	8893079
10814	7816634
10819	4772323
10833	5023802
10838	163283
10844	10396932
10845	2523381
10872	4782169
10875	9028019
10879	9028019
10882	4713972
10891	507310
10900	11797487
10905	9658505
10906	13338407
10907	4936009
10908	16913751
10912	6087837
10914	18159735
10918	5224970
10925	12918521
10928	17956109
10936	10543803
10938	195057
10967	5384060
10969	524053
10980	9180776
10983	932060
10997	8904494
10998	14104915
11004	13723281
11009	13450583
11011	14560572
11021	929279
11031	3730581
11036	9526991
11038	3897805
11040	5369646
11048	13838163
11053	13853296
11056	350052
11061	1228145
11067	7731245
11075	8408728
11077	14354631
11089	13874247
